"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","W4Efsd 6","doJOZc","W4Efsd 7"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Apotek+K-24+Jojoran+Surabaya/data=!4m7!3m6!1s0x2dd7fbd2a86017bf:0x6049cfa50bd9665f!8m2!3d-7.2758095!4d112.7621141!16s%2Fg%2F11fz9wy8b5!19sChIJvxdgqNL71y0RX2bZC6XPSWA?authuser=0&hl=id&rclk=1","Apotek K-24 Jojoran Surabaya","4,8","(246)","Apotek","·","Jl. Raya Menur No.14","Buka 24 jam","·","0853-3920-7458","https://www.apotek-k24.com/location/detail/542/K-24-JOJORAN","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan nya bagus,","","",""
"https://www.google.com/maps/place/VIVA+Apotek+Gubeng/data=!4m7!3m6!1s0x2dd7fbd1c4f4e0e7:0x8ddd8e50c3de70e8!8m2!3d-7.2756451!4d112.7559679!16s%2Fg%2F11gc4brqdf!19sChIJ5-D0xNH71y0R6HDew1CO3Y0?authuser=0&hl=id&rclk=1","VIVA Apotek Gubeng","4,6","(119)","Apotek","·","Jl. Dharmawangsa No.126 A","Buka","·","0812-3448-5094","https://vivaapotek.co.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan ramah, bersih, obat-obatnya juga lengkap.""","· Tutup pukul 21.30","",""
"https://www.google.com/maps/place/Apotek+Boy+dan+Praktek+Dokter+Bersama/data=!4m7!3m6!1s0x2dd7fbcd59cb97ff:0x47b0f082fe95f168!8m2!3d-7.2753261!4d112.7622489!16s%2Fg%2F1hc2502s7!19sChIJ_5fLWc371y0RaPGV_oLwsEc?authuser=0&hl=id&rclk=1","Apotek Boy dan Praktek Dokter Bersama","4,5","(39)","Apotek","·","·","Jl. Raya Menur No.4","Buka","0812-5952-8818","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dokter ramah, suster nya oke","· Tutup pukul 21.00","","·"
"https://www.google.com/maps/place/Apotek+K-24+Dharmawangsa+Surabaya/data=!4m7!3m6!1s0x2dd7fbf96ee98f35:0xc1ffe97474a86da8!8m2!3d-7.2735772!4d112.7560603!16s%2Fg%2F11xyyj26tx!19sChIJNY_pbvn71y0RqG2odHTp_8E?authuser=0&hl=id&rclk=1","Apotek K-24 Dharmawangsa Surabaya","4,9","(55)","Apotek","·","Jl. Gubeng Airlangga IV No.1 3","Buka 24 jam","·","0811-3077-7215","https://www.apotek-k24.com/location/detail/1145/K-24-DHARMAWANGSA","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya luas, bersih, dan produknya cukup lengkap juga.""","","",""
"https://www.google.com/maps/place/Apotek+Kimia+Farma+-+Dharmawangsa/data=!4m7!3m6!1s0x2dd7fbd166814ff7:0x9b74796d21757efa!8m2!3d-7.26957!4d112.756204!16s%2Fg%2F1tlr2nbx!19sChIJ90-BZtH71y0R-n51IW15dJs?authuser=0&hl=id&rclk=1","Apotek Kimia Farma - Dharmawangsa","4,5","(765)","Apotek","·","·","Buka 24 jam","Jl. Dharmawangsa No.24","0811-3290-024","http://kimiafarmaapotek.co.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanan nya baik, apotekernya baik, obatnya lengkap sip sip""","","","·"
"https://www.google.com/maps/place/Apotek+Rawat+Inap+24+Jam+RS+Dr.+Soetomo/data=!4m7!3m6!1s0x2dd7fbd5bb90b921:0x5cf756ba2554853c!8m2!3d-7.267952!4d112.7589884!16s%2Fg%2F11g8b5hr5y!19sChIJIbmQu9X71y0RPIVUJbpW91w?authuser=0&hl=id&rclk=1","Apotek Rawat Inap 24 Jam RS Dr. Soetomo","3,0","(2)","Apotek","·","Jl. Prof. DR. Moestopo No.6-8","","Buka 24 jam","","","","Rute","","","","","","",""
"https://www.google.com/maps/place/Apotek+2+Oscar/data=!4m7!3m6!1s0x2dd7fbd698144099:0xa8e9633021b6807e!8m2!3d-7.2700031!4d112.7563155!16s%2Fg%2F1hc2d5xbv!19sChIJmUAUmNb71y0RfoC2ITBj6ag?authuser=0&hl=id&rclk=1","Apotek 2 Oscar","2,6","(132)","Apotek","·","·","Buka","Jl. Dharmawangsa No.28","0857-3189-3889","https://www.tokopedia.com/apotek2oscarsurabaya","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga tergolong murah dibanding","· Tutup pukul 00.00","","·"
"https://www.google.com/maps/place/Apotik+Meliana/data=!4m7!3m6!1s0x2dd7fbcc556c611f:0x5e8facbc43053992!8m2!3d-7.27852!4d112.7588262!16s%2Fg%2F1hm678ylh!19sChIJH2FsVcz71y0RkjkFQ7ysj14?authuser=0&hl=id&rclk=1","Apotik Meliana","3,8","(46)","Apotek","·","·","Jl. Kertajaya No.137","Buka","(031) 5034539","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apoteknya lengkap, pelayanannya baik.""","· Tutup pukul 21.00","","·"
