"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","M4A5Cf"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/KARMENSEVE+Coffee+Shop/data=!4m7!3m6!1s0x2dd7fbd49a32bf13:0xa41d1f0b078e68b1!8m2!3d-7.2704953!4d112.7609238!16s%2Fg%2F11bw_5mp3f!19sChIJE78ymtT71y0RsWiOBwsfHaQ?authuser=0&hl=id&rclk=1","KARMENSEVE Coffee Shop","4,6","(454)","·","Rp 25–50 rb","Kafe","·","","·","Jl. Karang Menjangan V No.8","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGdHy8CSRWXf40U3A-PNjm9I4bETm9YdahOrlGgsnvs79GsIaxqKwhFRAFKwWfWlbnmC37eFM7CZ5biV6jTaF1UvcCae-s0sBzzl462NPduS1vsgiCB3KHjoPy6yRVy808maGWDkQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Walau tempat kecil,","cafe",""
"https://www.google.com/maps/place/Toko+Kopi+Karmen/data=!4m7!3m6!1s0x2dd7fb07c8d2e6c9:0x715b6b00f512ba7c!8m2!3d-7.271078!4d112.7603459!16s%2Fg%2F11scjs432x!19sChIJyebSyAf71y0RfLoS9QBrW3E?authuser=0&hl=id&rclk=1","Toko Kopi Karmen","4,8","(225)","·","Rp 1–25.000","Kedai Kopi","·","","Jl. Karang Menjangan No.52, RT.001/RW.08","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFpdx9XnF5XxXZOP56NZVIaknESPEe6aDBPnmPr8Cg2a3k5DPT3co3L4TNAHxn3dM8RxXvXQyRS_xM09ccaSAqp2DTm43LHZjwXKF6PdTR_1be1jqi151AoeMZ9xw-NsrPX5AUMoJOfMtbe=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Cafe",""
"https://www.google.com/maps/place/Tarantula+Barak+Coffee/data=!4m7!3m6!1s0x2dd7f97fd150dacd:0x69b73bd2f505f12e!8m2!3d-7.2657292!4d112.7604638!16s%2Fg%2F11mtd05j9w!19sChIJzdpQ0X_51y0RLvEF9dI7t2k?authuser=0&hl=id&rclk=1","Tarantula Barak Coffee","4,8","(142)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. Kedung Sroko No.135, RW.03","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIpY1FCMP7-vwe43z8y2dFWH0e-4xDam2_1HnRKUUXiH3PDlPOELRtUKQZUIVhfJdNMu2Zo-uUp1EoBcmXHSrQ-0RI5ZxHfjlRDJfEIweoNzSg4Ig_rlcmhESrPYq-AxyjMb56_Q=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Affordable coffee.""","",""
"https://www.google.com/maps/place/Pukul+Satu+Kopi/data=!4m7!3m6!1s0x2dd7fbe0a7893f01:0x821f3404de8a92d5!8m2!3d-7.2767447!4d112.7557838!16s%2Fg%2F11h5p_l04j!19sChIJAT-Jp-D71y0R1ZKK3gQ0H4I?authuser=0&hl=id&rclk=1","Pukul Satu Kopi","4,7","(759)","·","Rp 1–25.000","Kedai Kopi","·","","·","Jl. Dharmawangsa No.142a","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAErrJxCQv3Xay__5fkHGg6yf-RgoH5Ops29a2xh59MlaleqIHy090t_cRHXTWyLDtdCSipEyQvgS5OSMgwSoHH8_ZcKVT4YbPyIaalrpGfzGhF2XpxTRA_IPIEv_AIBomDj7v8Op2bRcKXP=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""kopi nya enak creamy, ESPRESSO nya kerasa
yang varian Kopi PSK creamy""","",""
"https://www.google.com/maps/place/TETRA+Coffee+%26+Eatery+-+Surabaya/data=!4m7!3m6!1s0x2dd7fb73b554413b:0x385bdc7442e7c05!8m2!3d-7.2782914!4d112.7532476!16s%2Fg%2F11x970s5yk!19sChIJO0FUtXP71y0RBXwuRMe9hQM?authuser=0&hl=id&rclk=1","TETRA Coffee & Eatery - Surabaya","4,6","(593)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. Kertajaya No.78","","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZXneALfOwx41kdVQwJmCnQYmEwjpa00LLZkPFK_7WipN0eBbq6r1QbhbW1xKW4woDldWvXyX71_V-4qEaIJkIvAWfgq-WhR82nwsJZvD0QC1U0Ov3vGUSKAxZRnfcqt7e1jd4KiLcqrY=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopi mantap, makanan enak, service ramah, tempat bersih dan nyaman""","",""
"https://www.google.com/maps/place/TECO+Specialty+Coffee+-+Dharmawangsa/data=!4m7!3m6!1s0x2dd7fbf81ca1ba3d:0x2f08f97fc9657491!8m2!3d-7.2725268!4d112.7562024!16s%2Fg%2F11pyyzm2bv!19sChIJPbqhHPj71y0RkXRlyX_5CC8?authuser=0&hl=id&rclk=1","TECO Specialty Coffee - Dharmawangsa","4,5","(105)","·","Rp 1–25.000","Kedai Kopi","·","","Jl. Dharmawangsa No.78","","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZ45aRE3-ZygZ_gHiQKTZ10I_7FV-TqowNUZLM-nUkI1HWtIkJMgx9oLlKoatQGkQDqP9TMqvqJ4QDXuO3X-HLpgs4eyT7moqleKNEvNpTpxL2ih3AY4QtXkjbwy7rVz8xmkcn=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nyaman cafenya, kopinya juga enak""","",""
"https://www.google.com/maps/place/Sixma+Coffee/data=!4m7!3m6!1s0x2dd7fb0053d49013:0xe46ad4ca31c4795d!8m2!3d-7.2714713!4d112.7550646!16s%2Fg%2F11ymhng18v!19sChIJE5DUUwD71y0RXXnEMcrUauQ?authuser=0&hl=id&rclk=1","Sixma Coffee","5,0","(24)","·","Rp 1–25.000","Kedai Kopi","·","","Jl. Dharmawangsa Barat No.47a","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEAhQS3VFH2vJ_brt0ju_jHdGfxBZEq-8rlF-0PXwnHDp0PU5-BcH3ll0jDvLMNHIvTiMzrop1L6jQOLNnq02Uld3bZqUBPtLq_YsIfGbS9Y_hB6gubxobph2TiLo8NYnfzkOF3JbzhY18C=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu kopi uenak harga terjangkau ajah cuma 10 rb an.""","",""
"https://www.google.com/maps/place/ARAH+Coffee+Kertajaya/data=!4m7!3m6!1s0x2dd7fb108d7b8665:0x41b1f0afdd830086!8m2!3d-7.2783105!4d112.757391!16s%2Fg%2F11mry3d_hk!19sChIJZYZ7jRD71y0RhgCD3a_wsUE?authuser=0&hl=id&rclk=1","ARAH Coffee Kertajaya","4,6","(243)","·","Rp 25–50 rb","Kafe","·","","Jl. Kertajaya No.107","","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFD_Du7XI_zXYnuI4HeiLPN-6p9Af6hy0RPrle7SGpoxX_rX-gw8evSciukXge7YcDUfnOBH1BKEXRbIDY_ENiyTx69cWir8kwfEvJ_AyBENMQZ_dv2NITEtQPaPkTR7sjQS0haeVrX0TA=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""coffeshop cozy, rasa minuman dan makanan enak""","",""
