"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 6","doJOZc","W4Efsd 7"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Puskrip+Karmen,+Print+,+Foto+Copy+24+Jam/data=!4m7!3m6!1s0x2dd7fbd33ffa294b:0x304b5af10990437d!8m2!3d-7.2722215!4d112.7614908!16s%2Fg%2F1hm5xxxmg!19sChIJSyn6P9P71y0RfUOQCfFaSzA?authuser=0&hl=id&rclk=1","Puskrip Karmen, Print , Foto Copy 24 Jam","4,1","(335)","Penyedia Layanan Internet","·","Jl. Karang Menjangan No.113A","Buka 24 jam","·","0853-3733-3314","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Secara harga memang sedikit lebih di atas tempat","","",""
"https://www.google.com/maps/place/Pijar+Copy+Center/data=!4m7!3m6!1s0x2dd7fbd49377441f:0x769a910cef1d60b7!8m2!3d-7.2715235!4d112.7606601!16s%2Fg%2F11clvbt2g6!19sChIJH0R3k9T71y0Rt2Ad7wyRmnY?authuser=0&hl=id&rclk=1","Pijar Copy Center","3,9","(19)","Toko Fotokopi","·","Jl. Karang Menjangan No.64","Buka","·","0857-6267-3046","","Rute","","Layanan di tempat","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/Aneka+Jaya+Fotocopy/data=!4m7!3m6!1s0x2dd7fbd1e4ed8af7:0xb2ad1ffcef73ad3a!8m2!3d-7.2758141!4d112.7559016!16s%2Fg%2F1hm3xcslj!19sChIJ94rt5NH71y0ROq1z7_wfrbI?authuser=0&hl=id&rclk=1","Aneka Jaya Fotocopy","4,2","(43)","Toko Fotokopi","·","·","Buka","Jl. Dharmawangsa No.130","(031) 5031446","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat print dan","· Tutup pukul 20.00","","·"
"https://www.google.com/maps/place/Foto+Copy+Tunggal+Jaya/data=!4m7!3m6!1s0x2dd7fbd32668bf79:0xbc30f4c9d2240bc2!8m2!3d-7.273189!4d112.7619981!16s%2Fg%2F11clvv56vs!19sChIJeb9oJtP71y0Rwgsk0sn0MLw?authuser=0&hl=id&rclk=1","Foto Copy Tunggal Jaya","3,5","(6)","Toko Fotokopi","·","Jl. Karang Menjangan No.131","Buka","·","0812-1632-2210","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fotocopy dengan harga murah meriah, per lembar 200""","· Tutup pukul 21.00","",""
"https://www.google.com/maps/place/Foto+Copy+Murah+Harapan+Jaya+Dharmawangsa/data=!4m7!3m6!1s0x2dd7fb0a28058975:0x304100d7e1dc07ed!8m2!3d-7.2750878!4d112.7560536!16s%2Fg%2F11lm7k77x_!19sChIJdYkFKAr71y0R7Qfc4dcAQTA?authuser=0&hl=id&rclk=1","Foto Copy Murah Harapan Jaya Dharmawangsa","4,7","(39)","Toko Fotokopi","·","·","Buka","JL DHARMAWANGSA NO : 116 SURABAYA Pindahan dari gubeng kertajaya 9 d no :35","0821-4587-4561","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan cepat, murah dan hasil nya bagus""","· Tutup pukul 21.00","","·"
"https://www.google.com/maps/place/Wisnu+Print+%26+Fotocopy/data=!4m7!3m6!1s0x2dd7fbd51deace99:0xfadfa0d2426fed!8m2!3d-7.2683822!4d112.7610269!16s%2Fg%2F11b76lth7p!19sChIJmc7qHdX71y0R7W9C0qDf-gA?authuser=0&hl=id&rclk=1","Wisnu Print & Fotocopy","4,7","(30)","Toko Alat Tulis","·","·","Buka","Jl. Karang Menjangan No.47","0857-2477-8556","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan cepat,sat set
Mau nge print warna dan copy cepat dan murah""","· Tutup pukul 21.00","","·"
"https://www.google.com/maps/place/Foto+Copy+Srikana+Jaya/data=!4m7!3m6!1s0x2dd7fb18d15510cd:0x93308ed9e983da49!8m2!3d-7.2743221!4d112.7564239!16s%2Fg%2F11f5m15d7h!19sChIJzRBV0Rj71y0RSdqD6dmOMJM?authuser=0&hl=id&rclk=1","Foto Copy Srikana Jaya","4,1","(35)","Toko Fotokopi","·","·","Buka","Jl. Dharmawangsa No.35","0812-4949-0611","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","· Tutup pukul 21.00","","·"
"https://www.google.com/maps/place/Foto+copy+murah+pangestu+dharmawangsa+no+:+39+surabaya/data=!4m7!3m6!1s0x2dd7fb5bce548b9d:0x362e5f97b1a69633!8m2!3d-7.2745239!4d112.7563566!16s%2Fg%2F11whjllwmr!19sChIJnYtUzlv71y0RM5amsZdfLjY?authuser=0&hl=id&rclk=1","Foto copy murah pangestu dharmawangsa no : 39 surabaya","4,8","(16)","Toko Fotokopi","·","Jl. Dharmawangsa No.39","Buka","·","0857-9115-1535","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah banget dan hasilnya bagus, sangat recommended""","· Tutup pukul 23.00","",""
