"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","M4A5Cf"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Toko+Kopi+Karmen/data=!4m7!3m6!1s0x2dd7fb07c8d2e6c9:0x715b6b00f512ba7c!8m2!3d-7.271078!4d112.7603459!16s%2Fg%2F11scjs432x!19sChIJyebSyAf71y0RfLoS9QBrW3E?authuser=0&hl=id&rclk=1","Toko Kopi Karmen","4,8","(225)","·","Rp 1–25.000","Kedai Kopi","·","Jl. Karang Menjangan No.52, RT.001/RW.08","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7lbIgU_Cr515L3eqGjFckWAQsKqQx8eGM0RG1LYs4jF_ynaVYrJs1YAu8puHzX5-TqdAkvpEn74cydFSK2On_FyWbsSVfPXh54_ZYhX1xzGUpdBXK39sBwLNHwCRbFUijfaHm=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""beveragenya enak, pelayanan ramah, harga terjangkau, ambiencenya top💯""","",""
"https://www.google.com/maps/place/Kedai+Samarata/data=!4m7!3m6!1s0x2dd7fb1687795065:0xf09e613ddb04edbd!8m2!3d-7.2757764!4d112.7530242!16s%2Fg%2F11xztfqdqb!19sChIJZVB5hxb71y0Rve0E2z1hnvA?authuser=0&hl=id&rclk=1","Kedai Samarata","4,8","(439)","·","Rp 1–25.000","Kedai Kopi","·","Jl. Gubeng Kertajaya V C No.7A","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFekviY2W_vz9xyay5SEVlzcCacwQZMMfgEKgDbxxbei_eJlIQ1i9F5QnC5CBZPo_-FmS1fv2PAQzfqzRLgzf4I0_Rc945Fzmm1uPSqLQjj88qdzLLJNhioo3dSTkKFgb5Hw-5iBo0yL93j=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","kedai",""
"https://www.google.com/maps/place/Kedai+Ambang/data=!4m7!3m6!1s0x2dd7fb00343003fd:0xc17eef4ac00915e0!8m2!3d-7.2783034!4d112.7614689!16s%2Fg%2F11yxwjl7qw!19sChIJ_QMwNAD71y0R4BUJwErvfsE?authuser=0&hl=id&rclk=1","Kedai Ambang","4,7","(13)","·","Rp 1–25.000","Kedai Kopi","·","Jl. Gubeng Kerta Jaya XIII B No.30 Blok B, RT.003/RW.06","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIm9cI3wEFsl26j_u3ng28o9_ZSKgRzk_jpPhtaV1lOnQlGcZij1-VkOQC6MqVT3BVNinXtxvjjCljMAx1p2-faEb0i3jFjvp2nnX6dpcz1ZhFpCXCtn6zMl9MmityMctSZNRAL_UjQRaZ=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Takoyaki enak, kopi susu ambang best...""","",""
"https://www.google.com/maps/place/Kedai+Sembari/data=!4m7!3m6!1s0x2dd7fb00017050bd:0xb780d10e9194aadc!8m2!3d-7.2744826!4d112.7587782!16s%2Fg%2F11ywrkkh1x!19sChIJvVBwAQD71y0R3KqUkQ7RgLc?authuser=0&hl=id&rclk=1","Kedai Sembari","5,0","(41)","","","Kedai Kopi","·","Jl. Srikana No.140","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFI4gdc7Ntzyu68McQtmp3LJKhCow-csj8bN3I35d6cuOdXEbZ8bpZmiQ7NzlviAQjKZcTnwUd1RTEuqOntQJf7aQsnf3X_hvMV2H3GCby0ulYHjgGH_ZXx7LsQJTcXLfIKNu41ekM1-no=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya enak nyaman, ada musholla dan toilet bersih juga.""","",""
"https://www.google.com/maps/place/Sun+Sun+Kedai+Makan+dan+Kopi/data=!4m7!3m6!1s0x2dd7fb92e51eef37:0x8aa4e41b40be7d7c!8m2!3d-7.2758818!4d112.7599079!16s%2Fg%2F11v5z1sm5b!19sChIJN-8e5ZL71y0RfH2-QBvkpIo?authuser=0&hl=id&rclk=1","Sun Sun Kedai Makan dan Kopi","4,7","(339)","·","Rp 1–25.000","Kedai Kopi","·","Jl. Karang Menur No.22","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFMzSXcdJEJcefC0DmTF_sPFtwV9cOeseObDhwzWb-EeDtgU5Gm-HmP92Y51U6XGcsXjIZdDRpm3hKqjF1qN9wwYDjF1cpdNfyJvr9NVaDYR_G5QoRXXXEDCJaghK2ELHeX38Uvr7avK3X0=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""nasi ayam kungpao nya crunchy sekalii & teh tariknya enak bgt!""","",""
"https://www.google.com/maps/place/Keris+%2F+kedai+Legendaris/data=!4m7!3m6!1s0x2dd7fb004a9b2757:0xdf34966629fd91d8!8m2!3d-7.2739877!4d112.7625481!16s%2Fg%2F11xp9gjhbr!19sChIJVyebSgD71y0R2JH9KWaWNN8?authuser=0&hl=id&rclk=1","Keris / kedai Legendaris","4,9","(148)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Jojoran III No.1","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTKNY7DZfiAh-GZefr3tQYITCXjcAYOvPG6vds3birhpwKuywclbshxv4n4SbtIrOBs9F3PM1zVhna9nFUlELWR8sh_015ALejMy-w6SgZ8fRSG17J0giJYmcOwXU8Aj3MiGK8CODg5Hx7=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makananya enak enak, tempatnya luas dan view dari rooftop juara""","",""
"https://www.google.com/maps/place/Sixma+Coffee/data=!4m7!3m6!1s0x2dd7fb0053d49013:0xe46ad4ca31c4795d!8m2!3d-7.2714713!4d112.7550646!16s%2Fg%2F11ymhng18v!19sChIJE5DUUwD71y0RXXnEMcrUauQ?authuser=0&hl=id&rclk=1","Sixma Coffee","5,0","(24)","·","Rp 1–25.000","Kedai Kopi","·","Jl. Dharmawangsa Barat No.47a","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEAhQS3VFH2vJ_brt0ju_jHdGfxBZEq-8rlF-0PXwnHDp0PU5-BcH3ll0jDvLMNHIvTiMzrop1L6jQOLNnq02Uld3bZqUBPtLq_YsIfGbS9Y_hB6gubxobph2TiLo8NYnfzkOF3JbzhY18C=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah, enak dan wajib coba all varian menunya""","",""
"https://www.google.com/maps/place/Kedai+Kopi+32/data=!4m7!3m6!1s0x2dd7fbd2481d157d:0x1ccd30a96aa39181!8m2!3d-7.2742503!4d112.7584447!16s%2Fg%2F11fz9x47ms!19sChIJfRUdSNL71y0RgZGjaqkwzRw?authuser=0&hl=id&rclk=1","Kedai Kopi 32","4,7","(361)","·","Rp 1–25.000","Kedai Kopi","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHqayUvcMDmTVXGmZUl6OTPf-JIE4hh3Li43x_NZlRhcMlnf8SEnjw5W1A99UtnvT-YPj_lBazUzbXqx8rq9kxYQbwFEDALliw4DMQw2wVrwaeYdrV97XIHBQclqKszB3-Nm9di=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kalau lapaaar, ada nasgor miegor, mie ayam, pecel, wah banyak pokonya.""","",""
