"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 5","W4Efsd 6","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/SE%27INDONESIA+Gubeng/data=!4m7!3m6!1s0x2dd7fb0006a001f5:0x62ed30de475a992c!8m2!3d-7.278855!4d112.760799!16s%2Fg%2F11wtd_7_mg!19sChIJ9QGgBgD71y0RLJlaR94w7WI?authuser=0&hl=id&rclk=1","SE'INDONESIA Gubeng","4,0","(144)","·","Rp 25–50 rb","Makanan Siap Saji","·","Jl. Kertajaya No.171 RT02, RW.06","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiQmv7z5vXhStQUeTRPfpLBXBY0hSK2PG2nGkleswFXJBcANgDzmNL9EduKvzesh6muXoW-KiBEtzwe7FelCzWmZiV0SDd4-KnmgS8y2pZX6e7osl1ShRL00iOK8W9mZtmq2rO8rmLuFM=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makannya enak, masih termasuk murah, fav banget Superplate sapinya 🤩🤩""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3dGRfN19tZxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=TDD3aaTRBuSw4-EPvITo0Ak&ei=TDD3aaTRBuSw4-EPvITo0Ak&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","","",""
"https://www.google.com/maps/place/Toby%27s+-+Kusuma+Bangsa/data=!4m7!3m6!1s0x2dd7f97b4fa3f6bb:0xc261737b2fc2b518!8m2!3d-7.2605808!4d112.7516406!16s%2Fg%2F1q6j3hlp5!19sChIJu_ajT3v51y0RGLXCL3tzYcI?authuser=0&hl=id&rclk=1","Toby's - Kusuma Bangsa","4,5","(1.370)","·","Rp 1–25.000","Makanan Siap Saji","·","·","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgbjrJhnSggPrrH5capXXWa_QXJcg0wspLBYGId12Dlzz3Fge-3K19BY2qSi0pSeLA-qerBitBCrhmN5qvLSPZlHZcDaROUSzCez5I0mwQI2d6trMvr2qIHTHZG-F1Im1Lg8o=w80-h99-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya bagus
Tempat nya bisa diperluas
Makanannya juga enak""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXE2ajNobHA1GAA6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=TDD3aaTRBuSw4-EPvITo0Ak&ei=TDD3aaTRBuSw4-EPvITo0Ak&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Gubeng, Jl. Kusuma Bangsa No.22","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/Depot+Sederhana+Gubeng+Pojok/data=!4m7!3m6!1s0x2dd7f963d2d4fb4d:0xc8bf1c2a9ed2f725!8m2!3d-7.2664351!4d112.7518896!16s%2Fg%2F11b6br_w71!19sChIJTfvU0mP51y0RJffSniocv8g?authuser=0&hl=id&rclk=1","Depot Sederhana Gubeng Pojok","4,6","(3.218)","·","Rp 1–25.000","Jawa Timur","·","·","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFX5_qxDVlwm9J_1BtS7xScCw3y1vrt9F537txAeUZ4DoEgAgasD8ywQtUFPBrtGGIi23wIgW80emUsWFlGJ-aUi0XIHFL8ZzDLDhkwLzCnz1oApePSO3kVJk_L41IlSPZlE5aW=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanannya enak banget.. tempatnya juga luas.. harganya murah!""","","","","","Jl. Stasiun Gubeng No.1A","","",""
"https://www.google.com/maps/place/Jasa+Gofood+LATIF/data=!4m7!3m6!1s0x2dd7f95ea70a644f:0x9949b3a8d9ec3ceb!8m2!3d-7.2550488!4d112.7604551!16s%2Fg%2F11tszzrgjk!19sChIJT2QKp1751y0R6zzs2aizSZk?authuser=0&hl=id&rclk=1","Jasa Gofood LATIF","5,0","(131)","","","Restoran","·","Jl. Jedong","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpiToSlwWUBPSGpdzc2cgn4w3a_DvHqWBCratTJkxqal5k_wx3E-hkqXoC5Lcrf4PfiEcpae-ulXrbWdnZzQlNHJl3A-ETfc0E0T2uX8ilFD-_xtm7JkfIm-vexlFaPkrMgO_F7Q=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Penanganan","","","","","","","cepat",", owner ramah, recomended 👍"""
"https://www.google.com/maps/place/Ikon+All+You+Can+Eat/data=!4m7!3m6!1s0x2dd7fb1c768ad3fd:0xb398f6f9430c12dd!8m2!3d-7.2778713!4d112.7519432!16s%2Fg%2F11qgkj8yvj!19sChIJ_dOKdhz71y0R3RIMQ_n2mLM?authuser=0&hl=id&rclk=1","Ikon All You Can Eat","4,8","(5.064)","·","Rp 125–150 rb","Korea","·","·","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8fnKd0hXMJOFXSfMS_s0PcSYtFiFMq9VEp-LRKqbkhl7mZBp-kQ2B4U84gWpLjPVCHywB5lf1bycoadalFyBdKA5U_GrSntujcUiuB822KN7ZUo7WCo9HbnSgQ5GzvdodYYgX6w=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanannya enak sekaliii, servisnya juga baguss bangettt.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFxZ2tqOHl2ahgCOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=TDD3aaTRBuSw4-EPvITo0Ak&ei=TDD3aaTRBuSw4-EPvITo0Ak&fo_s=OA&opi=79508299&orderType=2&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Kertajaya No.42a","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/Sego+Sambel+Ho-Ha+GTLC/data=!4m7!3m6!1s0x2dd7fbd15b1c9391:0xfc531c12919d14dd!8m2!3d-7.2745922!4d112.7552301!16s%2Fg%2F1hf35z88v!19sChIJkZMcW9H71y0R3RSdkRIcU_w?authuser=0&hl=id&rclk=1","Sego Sambel Ho-Ha GTLC","4,4","(600)","·","Rp 1–25.000","Jawa","·","·","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFJx4PxaIcXavO0u6xXzCDHvMvI5qmcLV9yUZhCOcy3PiYd6KTmUFzKS3j8uWelhPcG9elprFrol-eOyUW985JekTUogXZlS1kouySxXJPPkmL_HOOXgeB0CgPxYMGpcbQZavnI=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa enak, harga murah, tempat panas""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhmMzV6ODh2GAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=TDD3aaTRBuSw4-EPvITo0Ak&ei=TDD3aaTRBuSw4-EPvITo0Ak&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Gubeng Kertajaya VII Raya No.70","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/SUBWAY+-+Gubeng/data=!4m7!3m6!1s0x2dd7fbf266df205f:0x5a72be1ba04e39c5!8m2!3d-7.2718545!4d112.7492258!16s%2Fg%2F11rty5wk7d!19sChIJXyDfZvL71y0RxTlOoBu-clo?authuser=0&hl=id&rclk=1","SUBWAY - Gubeng","4,6","(1.224)","·","Rp 50–75 rb","Sandwich","·","Jl. Raya Gubeng No.29, RT.006/RW.04","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMA20_Cty0007NZS8FybVT7IfJME1oyUYIsUKqnyhyq4Wo_FH94B5SqZYxCxOwkN8jE-EeMevYbUk--hI-OSwY2gKwtc6zS6WoAH73Y-HvS7Tv-gkV84YsqLRuD9pvl5EfAwS-wg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih, makanannya fresh dan sayur sama sausnya banyak""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFydHk1d2s3ZBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=TDD3aaTRBuSw4-EPvITo0Ak&ei=TDD3aaTRBuSw4-EPvITo0Ak&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jaringan kedai buat sandwich sendiri","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/A%26W+Wijaya+Kusuma/data=!4m7!3m6!1s0x2dd7f96f84261c7d:0x9deef5b7317cdc6a!8m2!3d-7.256214!4d112.748497!16s%2Fg%2F11b6tq3ryp!19sChIJfRwmhG_51y0Ratx8Mbf17p0?authuser=0&hl=id&rclk=1","A&W Wijaya Kusuma","4,5","(3.396)","·","Rp 25–50 rb","Makanan Siap Saji","·","·","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGuolRrcKduf_46XFr3hsgzv8OGWYQVadaBlNoaAVGU0c2b78COw5iSE-kQGOfpr9qOhr2o7qP-Q0SnOamKvImPBxsLoZ9M8DX2KSHY9ZnxpljGHtNJs1e0hVPnpXMqEI99TQEf=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak, murah, bagus, bersih, keren, lezat""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNnRxM3J5cBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=TDD3aaTRBuSw4-EPvITo0Ak&ei=TDD3aaTRBuSw4-EPvITo0Ak&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Wijaya Kusuma No.61","· Tutup pukul 23.00","",""
