"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 6","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Dapur+Fizzul+%28Surabaya%29+-+Rumah+Makan+Khas+Maluku+No.1+di+Dunia/data=!4m7!3m6!1s0x2dd7fb5d013c8d39:0x4079c2499408aefc!8m2!3d-7.2670573!4d112.7611443!16s%2Fg%2F11vlt3q20h!19sChIJOY08AV371y0R_K4IlEnCeUA?authuser=0&hl=id&rclk=1","Dapur Fizzul (Surabaya) - Rumah Makan Khas Maluku No.1 di Dunia","4,7","(187)","·","Rp 25–50 rb","Restoran","·","depan Politeknik Kesehatan Kemeskes Surabaya Samping Hotel Kita, Jl. Karang Menjangan No.15","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuKlMavYhw3k9k2Dx7UkzxqTWJPUwYg313vl_xDEGteOcfxEruqm0uD6-gXmFyHh2_RvMeh9nTeRVMDJkAmmzLoxOIWKGtCA_c6KUYuSR1U8fi7Y1LZ58_ppYjyblmSAIG2fUciW1takLk=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ikan kuah kuning, ikan bakarnya, colo-colo, teh pala ennnaakkkk semua.""","","","","","","",""
"https://www.google.com/maps/place/Wapo+Resto/data=!4m7!3m6!1s0x2dd7fbd486736e29:0x703f50fba3cdfe7e!8m2!3d-7.2705024!4d112.7602896!16s%2Fg%2F11gzwlgp9!19sChIJKW5zhtT71y0Rfv7No_tQP3A?authuser=0&hl=id&rclk=1","Wapo Resto","4,4","(7.117)","·","Rp 25–50 rb","Nasi Goreng","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE78e3x2Faxigbl_AwowqE8Y5JKpeRwn0jCkzjZRc5oLP1WXd0uC12_U7Hx-V6Vny3rfgSpagZ8_aVhZiVLoO4KORE7UA4Yfay19dbv_qKbs6dv0T0XIrQYtGrvqZYdEpdAe93_=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi goreng ikan asin ⭐️⭐️⭐️⭐️
Tahu crispy ⭐️⭐️⭐️⭐️
Fruit salad ⭐️⭐️⭐️⭐️""","","Jl. Airlangga No.43","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMTFnendsZ3A5GAA6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=MTD3aYD7CfiG4-EP7ZXP6Q0&ei=MTD3aYD7CfiG4-EP7ZXP6Q0&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Gubug+Makan+Mang+Engking+Gubeng+Surabaya/data=!4m7!3m6!1s0x2dd7fb27e4e5d3f5:0x1f44be80d59668d1!8m2!3d-7.2671284!4d112.7526298!16s%2Fg%2F11tmdwt8wm!19sChIJ9dPl5Cf71y0R0WiW1YC-RB8?authuser=0&hl=id&rclk=1","Gubug Makan Mang Engking Gubeng Surabaya","4,4","(754)","·","$$","Sunda","·","Jl. Gubeng Masjid","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiasyQteYTQdG8RX6o__0_92VKZzxgZE2kLdiMniCu-O13FrFSWE1YQyLGN4cuYBKXDZ_yr2tdWrXAsrKDYRoban2BmcyeNjSmmK3U7B-rEwFcssNySvZhspYuA0N5dKLSxzx6lM_vT1Jz=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ikan bakarnya mantap, bumbu ayam gorengnya enak skli, mantaps""","","","","","","",""
"https://www.google.com/maps/place/Warung+Imood/data=!4m7!3m6!1s0x2dd7fbd206d1ff59:0xde078d6cb22d2aa3!8m2!3d-7.2760394!4d112.7573194!16s%2Fg%2F12hq3ghky!19sChIJWf_RBtL71y0RoyotsmyNB94?authuser=0&hl=id&rclk=1","Warung Imood","4,7","(1.491)","·","Rp 1–25.000","Ayam Penyet","·","·","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAErIQ-NDcDrqyUoG2QAmO206a0Mt0ySP7q5hR_VLNaw6dCWkHSDd3kQcJg8Upky7wWcj_IrEF9oG-3Efq2jsB1Gqr5MCxN3aDQtaB33GmV99QFCcyagObv3VtlNhKHqPvJZwJxE=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, sambelnya juara, langganan trs.""","","Jl. Gubeng Kertajaya IX Raya No.40-A","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMTJocTNnaGt5GAA6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=MTD3aYD7CfiG4-EP7ZXP6Q0&ei=MTD3aYD7CfiG4-EP7ZXP6Q0&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Sentra+Wisata+Kuliner+Dharmawangsa/data=!4m7!3m6!1s0x2dd7fbd60d244851:0x1bd60c87ef84a349!8m2!3d-7.2673172!4d112.7561795!16s%2Fg%2F11b69bcrbv!19sChIJUUgkDdb71y0RSaOE74cM1hs?authuser=0&hl=id&rclk=1","Sentra Wisata Kuliner Dharmawangsa","4,4","(240)","·","Rp 1–25.000","Pujasera","·","PQM4+3FF, Jl. Dharmawangsa","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwM5wNYuyNxHsFobunIOtZE36ByfCjEBCD_UdCgZa4Iugzbp4J4dzp1qgATGa_2R4pAtFri3Bq8VprcfsqP7M6BEeDxpWUjAYbCfL_Fvo3PgGNe7ucoXFJwbUk8DiBQ8tR9-ts=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","","","Makanan","juga enak-enak disini, apalagi makannya pas lagi laper 😀."""
"https://www.google.com/maps/place/Warung+SONGDJI+%28Kuliner+Komplit%29/data=!4m7!3m6!1s0x2dd7fb4a86f579ed:0x95fa575bc9629d8c!8m2!3d-7.2703899!4d112.7606009!16s%2Fg%2F11gjtxvyx5!19sChIJ7Xn1hkr71y0RjJ1iyVtX-pU?authuser=0&hl=id&rclk=1","Warung SONGDJI (Kuliner Komplit)","4,7","(230)","·","Rp 1–25.000","Kedai Kopi","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFt4hZKsfb9TDeEYmA5p5Hz-EsXnn3DR-e9QvdRF3I_AVSdmvkehgCcyoyKaza90AafumYhXR-aOs8gkufRAR9exrKP38yJZrxGJYGryNaqIpP7UNg0bPFUULygY4BjBpcEw_Bu=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap ada bakso yg enak dipojokan""","","Jl. Karang Menjangan No.81, RT.005/RW.07","","","","",""
"https://www.google.com/maps/place/Sun+Sun+Kedai+Makan+dan+Kopi/data=!4m7!3m6!1s0x2dd7fb92e51eef37:0x8aa4e41b40be7d7c!8m2!3d-7.2758818!4d112.7599079!16s%2Fg%2F11v5z1sm5b!19sChIJN-8e5ZL71y0RfH2-QBvkpIo?authuser=0&hl=id&rclk=1","Sun Sun Kedai Makan dan Kopi","4,7","(339)","·","Rp 1–25.000","Kedai Kopi","·","Jl. Karang Menur No.22","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEy0XYtAQICR32inmGU1FpKlaS5yl1szQ7hweUtt2v2aFm-yK416PSuRvJCVf-Qf3FRL2lAyooBCWleLgRj_vQY5_9MzoYpHBHu0a0CsQXx36iNsk6KAS_xiiEN0IUstr417dzZ_NMAvGUk=w80-h141-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""nasi ayam kungpao nya crunchy sekalii & teh tariknya enak bgt!""","","","","","","",""
"https://www.google.com/maps/place/Ayam+Kremes+Suroboyo+karmen+pitu+wolu/data=!4m7!3m6!1s0x2dd7fbc50c8f872b:0x6c000ad90b63a070!8m2!3d-7.2720832!4d112.7610346!16s%2Fg%2F11h32x474k!19sChIJK4ePDMX71y0RcKBjC9kKAGw?authuser=0&hl=id&rclk=1","Ayam Kremes Suroboyo karmen pitu wolu","4,7","(1.129)","·","Rp 1–25.000","Ayam","·","Jl. Karang Menjangan No.78, RT.001/RW.08","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHJrP48BNdkj8zKxpz7WAnnqG-hhPoKbgY5A3egkhqhBOMKHM61_uKMBr2DC9IfEMjJQkxcSXLb6k0Vs0pnlTwBlENxtz80ipO-TghBAC98Akzc5vWarBc6Lwo1mZL30aoD8LyI=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya, menurut saya, rasanya enak, dan harganya terjangkau.""","","","","","","",""
