"hfpxzc href","qBF1Pd","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","Cw1rxd","R8c4Qb","MW4etd","UY7F9","W4Efsd 5","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Alfamart+Stasiun+Gubeng/data=!4m7!3m6!1s0x2dd7f9007a7331c3:0x4832e285729dfb30!8m2!3d-7.266319!4d112.753024!16s%2Fg%2F11nj2b92lv!19sChIJwzFzegD51y0RMPudcoXiMkg?authuser=0&hl=id&rclk=1","Alfamart Stasiun Gubeng","Minimarket","·","PQM3+V74, Jl. Gubeng Masjid","Buka 24 jam","","Rute","","","","","","","","","","","",""
"https://www.google.com/maps/place/Mini+Mart+Guten/data=!4m7!3m6!1s0x2dd7fbd529c74d47:0x365ac8b75dddaa88!8m2!3d-7.2683189!4d112.762394!16s%2Fg%2F11k5t64_rj!19sChIJR03HKdX71y0RiKrdXbfIWjY?authuser=0&hl=id&rclk=1","Mini Mart Guten","Toko bahan makanan","·","Jl. Kedung Tarukan Baru III C No.32","Buka","","Rute","5,0","(4)","· Tutup pukul 21.00","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","","","",""
"https://www.google.com/maps/place/Alfamart+-+Raya+Dharmawangsa/data=!4m7!3m6!1s0x2dd7fbd1ece3ffff:0x29db1c0fcda17ce1!8m2!3d-7.2751598!4d112.7559583!16s%2Fg%2F11ddyxys1y!19sChIJ___j7NH71y0R4XyhzQ8c2yk?authuser=0&hl=id&rclk=1","Alfamart - Raya Dharmawangsa","Minimarket","·","·","Raya, Jl. Dharmawangsa Kel No.118","","Situs Web","4,1","(225)","Buka","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lokasi 3
Alfamart Kedung Cowek
KEDUNG COWEK 99, Jl.""","","· Tutup pukul 22.00","·","(021) 1500959","https://alfamart.co.id/","","Rute"
"https://www.google.com/maps/place/Indomaret+Fresh+Dharmawangsa+41+%28TY4R%29/data=!4m7!3m6!1s0x2dd7fbd1dcc9f23f:0x83f9afc945117282!8m2!3d-7.2747043!4d112.756504!16s%2Fg%2F1v2f2t6m!19sChIJP_LJ3NH71y0RgnIRRcmv-YM?authuser=0&hl=id&rclk=1","Indomaret Fresh Dharmawangsa 41 (TY4R)","Minimarket","·","·","Jl. Dharmawangsa No.41","","Situs Web","4,0","(270)","Buka 24 jam","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tokonya bersih, nyaman, rapi, pelayanannya ramah""","","","·","(031) 5033185","http://indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Sakinah+Minimarket/data=!4m7!3m6!1s0x2dd7fbd593c28f5d:0x16de6cedfcaa4397!8m2!3d-7.2660274!4d112.7618125!16s%2Fg%2F11whfh_zlk!19sChIJXY_Ck9X71y0Rl0Oq_O1s3hY?authuser=0&hl=id&rclk=1","Sakinah Minimarket","Minimarket","·","Jl. Dharmahusada No.16","Buka","","Rute","4,6","(17)","· Tutup pukul 23.00","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk harganya juga bersaing dan sering ada promo menarik!""","","·","","0897-1111-927","","",""
"https://www.google.com/maps/place/Indomaret+-+Karang+Menjangan/data=!4m7!3m6!1s0x2dd7fbd514976711:0x2bcb18fd650b4d44!8m2!3d-7.2671961!4d112.7611085!16s%2Fg%2F11b66l5mnz!19sChIJEWeXFNX71y0RRE0LZf0Yyys?authuser=0&hl=id&rclk=1","Indomaret - Karang Menjangan","Minimarket","·","Jl. Karang Menjangan No.19","·","","Situs Web","3,3","(37)","Buka","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat stategis ,berada d daerah padat penduduk, lumayan lengkap.""","","· Tutup pukul 22.00","","(031) 5997825","http://indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Toko+Mekarsari/data=!4m7!3m6!1s0x2dd7fbd0605e5ae1:0x72305985f78b7e46!8m2!3d-7.2741121!4d112.7523518!16s%2Fg%2F11f3pqthph!19sChIJ4VpeYND71y0RRn6L94VZMHI?authuser=0&hl=id&rclk=1","Toko Mekarsari","Minimarket","·","Jl. Gubeng Kertajaya III No.47","Buka","","Rute","4,0","(3)","· Tutup pukul 21.00","","","","·","","0817-0368-8194","","",""
"https://www.google.com/maps/place/Indomaret+Point+St.Gubeng+%28T5RH%29/data=!4m7!3m6!1s0x2dd7fa2b63bee1cd:0x45d5eadd038377b3!8m2!3d-7.2652107!4d112.7519637!16s%2Fg%2F11bbtb2m26!19sChIJzeG-Yyv61y0Rs3eDA93q1UU?authuser=0&hl=id&rclk=1","Indomaret Point St.Gubeng (T5RH)","Minimarket","·","·","Jl. Gubeng Masjid","","Situs Web","3,5","(108)","Buka 24 jam","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""standard, as always harga stasiun""","","","·","(021) 1500580","http://www.indomaret.co.id/","","Rute"
