"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Stasiun+Gubeng+Baru/data=!4m7!3m6!1s0x2dd7f97d71c9f08d:0x907624aac0e2d16!8m2!3d-7.26555!4d112.75329!16s%2Fg%2F11v58k2mcb!19sChIJjfDJcX351y0RFi0OrEpiBwk?authuser=0&hl=id&rclk=1","Stasiun Gubeng Baru","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Airlangga/data=!4m7!3m6!1s0x2dd7fbd472db032f:0x7a917db873fe5cd0!8m2!3d-7.27066!4d112.75848!16s%2Fg%2F11f5f__drl!19sChIJLwPbctT71y0R0Fz-c7h9kXo?authuser=0&hl=id&rclk=1","Airlangga","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Gubeng+Airlangga/data=!4m7!3m6!1s0x2dd7fbd179f771df:0x84251c625d7551f6!8m2!3d-7.27345!4d112.75623!16s%2Fg%2F11vdq6w42t!19sChIJ33H3edH71y0R9lF1XWIcJYQ?authuser=0&hl=id&rclk=1","Gubeng Airlangga","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kertajaya+A/data=!4m7!3m6!1s0x2dd7fbcc51d964fb:0xd08a2f79681b8917!8m2!3d-7.2790633!4d112.7593974!16s%2Fg%2F11q2sbd3yk!19sChIJ-2TZUcz71y0RF4kbaHkvitA?authuser=0&hl=id&rclk=1","Kertajaya A","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Surabaya+Stasiun+Gubeng+Bus+Station/data=!4m7!3m6!1s0x2dd7f97d447cf291:0x70c3dd3546ee8aa4!8m2!3d-7.2656226!4d112.7520452!16s%2Fg%2F11yj6whwrb!19sChIJkfJ8RH351y0RpIruRjXdw3A?authuser=0&hl=id&rclk=1","Surabaya Stasiun Gubeng Bus Station","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kertajaya+B/data=!4m7!3m6!1s0x2dd7fbcc52c842f7:0xec64d8513e54beb!8m2!3d-7.27872!4d112.75941!16s%2Fg%2F11nnps4n7p!19sChIJ90LIUsz71y0R60vlE4VNxg4?authuser=0&hl=id&rclk=1","Kertajaya B","Perhentian bus","","Rute"
"https://www.google.com/maps/place/UNAIR+Kampus+B/data=!4m7!3m6!1s0x2dd7fbd1789d658f:0x41f74540eaad8e09!8m2!3d-7.27365!4d112.7564!16s%2Fg%2F11s7_4wl41!19sChIJj2WdeNH71y0RCY6t6kBF90E?authuser=0&hl=id&rclk=1","UNAIR Kampus B","Perhentian bus","","Rute"
"https://www.google.com/maps/place/SMA+Negeri+4/data=!4m7!3m6!1s0x2dd7f97d940db089:0x8d5f55dc3c118590!8m2!3d-7.2654612!4d112.7554702!16s%2Fg%2F11b6d2qc73!19sChIJibANlH351y0RkIURPNxVX40?authuser=0&hl=id&rclk=1","SMA Negeri 4","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Karang+Menjangan+B/data=!4m7!3m6!1s0x2dd7fbd4ecc439fd:0x2e3acae9d880cae7!8m2!3d-7.26968!4d112.7609!16s%2Fg%2F11y8_qw9z2!19sChIJ_TnE7NT71y0R58qA2OnKOi4?authuser=0&hl=id&rclk=1","Karang Menjangan B","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Lapangan+Hockey/data=!4m7!3m6!1s0x2dd7fbd67327d5e5:0x682f5e7cbdf29f8d!8m2!3d-7.26751!4d112.75645!16s%2Fg%2F11gh1n74yk!19sChIJ5dUnc9b71y0RjZ_yvXxeL2g?authuser=0&hl=id&rclk=1","Lapangan Hockey","Perhentian bus","","Rute"
