"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Pizza+de+nitro/data=!4m7!3m6!1s0x2dd7fba78142ba9f:0x4e87cdd5bbdbe854!8m2!3d-7.2730792!4d112.7537777!16s%2Fg%2F11hj74dd3y!19sChIJn7pCgaf71y0RVOjbu9XNh04?authuser=0&hl=id&rclk=1","Pizza de nitro","5,0","(22)","·","Rp 25–50 rb","Pizza","·","Jalan Gubeng Jaya V no 3B RT.012 RW002","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGrzMazhjWyAa5YSIlv_EZYaZk-WcEUttSINGjpyThDGMn29Utq4A_dgVGUjw-axXUGG1-qCmCqeeOQLLTRYu4txxV8toFZr2gqI3PuR3DAnp1C0SCpEi5aQV5iPdb0VFiJjheu=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","pizza","nya enak sekali anak saya sampe ingin beli lagi","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoajc0ZGQzeRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=vDD3adfwOdCW4-EP86PVkQU&ei=vDD3adfwOdCW4-EP86PVkQU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Pizza+Tarik+-+Gubeng+Kertajaya+5+Raya/data=!4m7!3m6!1s0x2dd7fb001467c5cf:0x8a83b9bd3bbbdd7e!8m2!3d-7.275861!4d112.752528!16s%2Fg%2F11xmbgydcy!19sChIJz8VnFAD71y0Rft27O725g4o?authuser=0&hl=id&rclk=1","Pizza Tarik - Gubeng Kertajaya 5 Raya","4,6","(53)","","","Pizza","·","Jl. Gub. Kertajaya V Raya No.17, RW.01","Buka","· Tutup pukul 21.45","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_Dd2Homd_gNLQ4djyqGLKZgetDkhIBPbtkQCRH4iTS2Z9ARFjhULaO75c2dx7DKCC1JqmfN1_NAp_iWYqC69Hn16pHzXVPPeEJE74FGcNqXMBEQvg_N0Pujz0RXbx2ViklAsjIV_DD8iR=w80-h122-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa","pizza","enak, pas, harga beda beda.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4bWJneWRjeRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=vDD3adfwOdCW4-EP86PVkQU&ei=vDD3adfwOdCW4-EP86PVkQU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Neko-neko+cafe/data=!4m7!3m6!1s0x2dd7fb00618b465d:0x16c30f9aa87e0f9b!8m2!3d-7.2779987!4d112.7554811!16s%2Fg%2F11y372fbsb!19sChIJXUaLYQD71y0Rmw9-qJoPwxY?authuser=0&hl=id&rclk=1","Neko-neko cafe","4,6","(183)","·","Rp 25–50 rb","Restoran","·","·","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDJWuhI_pxBVKWNlAhAZLFZT_CrE_ffJJkA87azJpUDRa8rrQD93WqAJVxs1scMtVFta93O56hOTai-01BlodXDvPwi7zVNnKwespupNp8ZepbZcVTeuz3dRFEH_zhV8ANH6BGMMC3wfQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Beer, drinks and food.""","","","","","","","Jl. Kertajaya No.83"
"https://www.google.com/maps/place/Istanbul+Kebab+%26+Pide+Turkish+Pizza+Gubeng+SBY/data=!4m7!3m6!1s0x2dd7fb9117538fa7:0x3d1a048d4018ede3!8m2!3d-7.2730581!4d112.7619455!16s%2Fg%2F11y3hxx3d_!19sChIJp49TF5H71y0R4-0YQI0EGj0?authuser=0&hl=id&rclk=1","Istanbul Kebab & Pide Turkish Pizza Gubeng SBY","4,6","(26)","·","Rp 1–25.000","Restoran","·","Jl. Karang Menjangan No.127-159","Tutup","· Buka Sen pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHez7_bpKq85BfkkALZXk-m8OratxAz6tFp-5-ZO67bdgt9P6GUZP39Szz-F45etsznh63NXcaTvA1NvFezzEQrKAt0hJdWhNXErRvZyfxGKnO5ZE0JXn6xGpKVj7Z2UWeRF4EF8g=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tortillanya dia fresh from dough, trus dipan.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5M2h4eDNkXxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=vDD3adfwOdCW4-EP86PVkQU&ei=vDD3adfwOdCW4-EP86PVkQU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Pizza+Nia+Lezzatos/data=!4m7!3m6!1s0x2dd7f9f1d5e6743f:0x847cf030243c9a88!8m2!3d-7.2553312!4d112.7606897!16s%2Fg%2F11trl4wg8v!19sChIJP3Tm1fH51y0RiJo8JDDwfIQ?authuser=0&hl=id&rclk=1","Pizza Nia Lezzatos","4,8","(10)","·","Rp 25–50 rb","Pizza","·","Jedong 1 No.10, RT.003/RW.02","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHv3ofGeDgkex8jmQnKt5Y-xKgYxhVhNbKwnzoo9lhIN3OKCfj5FaYp5nq9WztKZOwFFmHS2zrF0zrAWOGPi_F0uwaoSSIMucVJB_rvKccQnm_HT_Vnv92hGirgTonmtZFsjc0=w80-h107-k-no","","Makan di tempat","Ambil di tepi jalan","Antar tanpa bertemu","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0cmw0d2c4dhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=vDD3adfwOdCW4-EP86PVkQU&ei=vDD3adfwOdCW4-EP86PVkQU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Airlangga+Food+Point+KAMPUS+B/data=!4m7!3m6!1s0x2dd7fbc3707b2c05:0x9cea0a58f8d682fa!8m2!3d-7.2719373!4d112.760414!16s%2Fg%2F11t5xdcw3f!19sChIJBSx7cMP71y0R-oLW-FgK6pw?authuser=0&hl=id&rclk=1","Airlangga Food Point KAMPUS B","4,7","(39)","·","Rp 1–25.000","Restoran","·","PQH6+65F Universitas airlangga kampus b","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHfic6SzQ6924GCDFDTNnFsnEJsNnRI38wYzOvlNJS2xTYeBGIqbZmu3Ysasreg7Bm_XoIoI9YMBbm5_PLso3ZK2vEcAQ3NXdw0vKo6NAhMuelQfpEqWAH7jrR6ObW2xOO_YURyWg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ini aku pernah maem kare, curry, sama sop.""","","","","","","",""
"https://www.google.com/maps/place/Pizzaku+Srikana/data=!4m7!3m6!1s0x2dd7fbd186740281:0x291af04e5fdf00e2!8m2!3d-7.2741538!4d112.7563988!16s%2Fg%2F11f2w5ffng!19sChIJgQJ0htH71y0R4gDfX07wGik?authuser=0&hl=id&rclk=1","Pizzaku Srikana","3,0","(2)","","","Bakso","·","Jl. Srikana No.32","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG42tU7wqxK4G3UtcIdTZ8K9bXrGmsU7w5ZPOplKpKOUlaqLADHuXhn_MjSTSZACI4wd8HeRRMLiaWU1kXObhvFHotikxfN92M2g9-bXcjrwXsXYnirqWk4lTGGuKjpwJoDrKvBQQ=w80-h142-k-no","","Makan di tempat","Bawa pulang","","","","","",""
"https://www.google.com/maps/place/Pizza+Hut+Restoran+-+Basuki+Rahmat+Surabaya/data=!4m7!3m6!1s0x2dd7fb627d8726d1:0x750286490adc8788!8m2!3d-7.2644529!4d112.7424851!16s%2Fg%2F11gvxbjsqr!19sChIJ0SaHfWL71y0RiIfcCkmGAnU?authuser=0&hl=id&rclk=1","Pizza Hut Restoran - Basuki Rahmat Surabaya","4,7","(3.125)","·","$$","Pizza","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHB3kltNu3MyCXMP6ZQA6v20BoJQygs15UxzQQF-OyL3TO8GXchNdsblI2H7g-EqmYuKpPH4cBU4MwvBhrSm5sNKOHnLl2RNckhlmsY7z-zJBAVv-9koCVNJCon5x1PM1U32G9W=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masakan selalu fresh,","pizza","matang sempurna, salad bar selalu segar.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFndnhianNxchgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=vDD3adfwOdCW4-EP86PVkQU&ei=vDD3adfwOdCW4-EP86PVkQU&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Jenderal Basuki Rachmat No.25-31"
