"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Padang+Legenda+-+Dharmahusada/data=!4m7!3m6!1s0x2dd7fb606d71d185:0x2ab2462edb002393!8m2!3d-7.2661689!4d112.7647218!16s%2Fg%2F11w_t_88_5!19sChIJhdFxbWD71y0RkyMA2y5Gsio?authuser=0&hl=id&rclk=1","Padang Legenda - Dharmahusada","4,8","(1.666)","·","Rp 25–50 rb","Padang","·","Jl. Dharmahusada No.64","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwFu5ikuOU56IMaekhjAAcbKOjpZyRmsKaUgS8UONUDfDYVQwQrmUPas83_nMnXxKX2nfjxzEDRTMTavckS9JxLIf65iOneedsduwODRRF6yN_2yXJkKNHHFIVZfCfuGAFWvQ9=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Padang","murah meriah dgn ruangan ber AC dan tempat nyaman, menunya enak2""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3X3RfODhfNRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=IjH3acTvD-av4-EPvPa0sAk&ei=IjH3acTvD-av4-EPvPa0sAk&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Nasi+Padang+Uda+Wandi+-+Srikana/data=!4m7!3m6!1s0x2dd7fbd24edf2525:0x19dec40a9741abbe!8m2!3d-7.2741543!4d112.7588057!16s%2Fg%2F11f2y46rh4!19sChIJJSXfTtL71y0RvqtBlwrE3hk?authuser=0&hl=id&rclk=1","Nasi Padang Uda Wandi - Srikana","4,3","(891)","·","Rp 25–50 rb","Padang","·","·","Segera tutup","· 19.00 · Buka Sen pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEz_0LcoZBpkujFlO-WtWWsyb62mvk58sy1Vy2gcbDBrqeaBO5T_pzFplaYXp9C1oS1D8UxUze80sMvtxkbv-En75t0KY7ksPAl0Cc9trC92IC8Mm-XxkkRpN1YvX9YnTMYb370=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi","padang","dengan rasa yang enak, worth to try🙌🏻""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmMnk0NnJoNBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=IjH3acTvD-av4-EPvPa0sAk&ei=IjH3acTvD-av4-EPvPa0sAk&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Srikana Tim. No.4"
"https://www.google.com/maps/place/Ampera+Hidup+Baru+Masakan+Padang/data=!4m7!3m6!1s0x2dd7fbce1130bd09:0x452b0379de46e33f!8m2!3d-7.2750425!4d112.7622081!16s%2Fg%2F1hm68ts4j!19sChIJCb0wEc771y0RP-NG3nkDK0U?authuser=0&hl=id&rclk=1","Ampera Hidup Baru Masakan Padang","4,8","(24)","·","Rp 1–25.000","Padang","·","Jl. Raya Menur No.2c","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOZirqq6XwpTdAZr2C3UhW77rEYMhXc4j4eMsYChl9zR-3R_5Q6yAT8X_pwa2GTj2uQFsROZt1uSbs2GpsvrxB06SOcSn6mvC4y8qYGsPYWh7Rh1LUVZjlF-Gg3RAcAsy2T941TQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makannya super duper enakk polll, asli","padang","punyaa 😍😍😍""","","","","",""
"https://www.google.com/maps/place/Ampera+Bundo+Kanduang+Masakan+Padang/data=!4m7!3m6!1s0x2dd7f97fd3e656a3:0x338923ff57cfb8c4!8m2!3d-7.265997!4d112.7622159!16s%2Fg%2F1hm48wwbj!19sChIJo1bm03_51y0RxLjPV_8jiTM?authuser=0&hl=id&rclk=1","Ampera Bundo Kanduang Masakan Padang","4,6","(76)","·","Rp 1–25.000","Padang","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHaOOVVsqIb6rkcSFExThwhXU7xLwRxUPwnUcDu7ZdUT7bUdErr-P5x6emSvqo-ruOcZnD_CXofWXENwdaJjl_18-hOkRMv5H4p1i6POwDV25645afr4Wbx35IClnV9wKJgvSmuFw=w194-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi rendang, telor, dll 20rb kayaknya.""","","","","","","","Jl. Dharmahusada No.2"
"https://www.google.com/maps/place/Rumah+Makan+Palapa/data=!4m7!3m6!1s0x2dd7fb43d2e292a1:0xdfb564102b73d538!8m2!3d-7.2741477!4d112.7559026!16s%2Fg%2F11f730fglc!19sChIJoZLi0kP71y0RONVzKxBktd8?authuser=0&hl=id&rclk=1","Rumah Makan Palapa","4,3","(201)","·","Rp 1–25.000","Padang","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGX6LbkGcrlUvG3vTvwfFm_J3M_GJA130NlZ2KqSWwEqjXCGpSGVZivrm-3q696Cbowky1INM_HojwV95JxX42fzyCGqDCR94lR0YvNLoEN-eCdZ-CH8DlfZPsJJpN5OzoDmAT7=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""enak murah terjangkau untuk nasi","padang","area kampus.""","","","","","Jl. Gubeng Kertajaya 7H"
"https://www.google.com/maps/place/Ampera+Palapa+Masakan+Padang+Jalan+Dharmawangsa+No.04+Surabaya/data=!4m7!3m6!1s0x2dd7fbd662d76f77:0x2146b68ab4a6f2a5!8m2!3d-7.2668532!4d112.7564483!16s%2Fg%2F11cltrq1rp!19sChIJd2_XYtb71y0RpfKmtIq2RiE?authuser=0&hl=id&rclk=1","Ampera Palapa Masakan Padang Jalan Dharmawangsa No.04 Surabaya","4,1","(94)","·","Rp 1–25.000","Padang","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYnizH1k6E__07428AnBD31b5_c_et7GsvtnZuhOAQW7DriVEQllFcXEMREwgr71ocwxXSqrDHpWlGl5ajpOV_uXQnjQdQwWtOzSQlwUqFFZ84Qvi80ReWaW53HvO51EXO_rhd1Q=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi rendang dan ayam gorengnya enak.""","","","","","","","Jl. Dharmawangsa No.4"
"https://www.google.com/maps/place/Restoran+Payakumbuah,+Gubeng+Surabaya/data=!4m7!3m6!1s0x2dd7f9d92bc7609d:0x423d8639754d0ec8!8m2!3d-7.2734049!4d112.7491544!16s%2Fg%2F11vwjt2b25!19sChIJnWDHK9n51y0RyA5NdTmGPUI?authuser=0&hl=id&rclk=1","Restoran Payakumbuah, Gubeng Surabaya","4,7","(2.716)","","","Padang","·","Jl. Jawa No.33","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7nbDQ5K5eoDaaFZIC-Lz7RZlilLjFuX00Te3O5oiXPriZWRoo5cMTvActPgkjmUqCsBkAZfTpphf6jvzZiDbhAefhgsrx0pexZ3X_TCvTp8PVo4NFAABNZU4_TN7aekPTflSAN0Vfr2Qt=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Resto","padang","terfavorit.. Dendeng batokok dan telur barendonya mantap""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2d2p0MmIyNRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=IjH3acTvD-av4-EPvPa0sAk&ei=IjH3acTvD-av4-EPvPa0sAk&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Sabana+Bundo+Sati+MASAKAN+PADANG/data=!4m7!3m6!1s0x2dd7f96419d15865:0x82b43a77a03f907f!8m2!3d-7.2606592!4d112.7456758!16s%2Fg%2F11bw65vvvw!19sChIJZVjRGWT51y0Rf5A_oHc6tII?authuser=0&hl=id&rclk=1","Sabana Bundo Sati MASAKAN PADANG","4,5","(1.613)","·","Rp 25–50 rb","Padang","·","·","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQzLvZf8B87c7FmWfFf_Z1kktCBG9W376ZCDwLVm6GeECMawsA_VQ3LkZvsfqWZOv1K8i7ZdXp7Xln1e9JubNq1rDZbPJS6oS-lP8m_3_JNqFbhma0dd7Zo8RyFtDlZ3i1azE=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rendang dagingnya empuk banget, bumbu sayurnya juga mantap!""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFidzY1dnZ2dxgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=IjH3acTvD-av4-EPvPa0sAk&ei=IjH3acTvD-av4-EPvPa0sAk&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Walikota Mustajab No.70"
