"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Wapo+Resto/data=!4m7!3m6!1s0x2dd7fbd486736e29:0x703f50fba3cdfe7e!8m2!3d-7.2705024!4d112.7602896!16s%2Fg%2F11gzwlgp9!19sChIJKW5zhtT71y0Rfv7No_tQP3A?authuser=0&hl=id&rclk=1","Wapo Resto","4,4","(7.117)","·","Rp 25–50 rb","Nasi Goreng","·","","·","Jl. Airlangga No.43","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGar9IqHl_N4zQ_hInCAbnfKJIhtzZx5duakOfY2ww5zGtWkT1QMUzeOeTXKJv5BFuWm1R93jmu4DXamWqJp2hcBjMuf0ma8XAuLA6SooD3x10St9aIN_MUNgUWqelEdA04PSZi8w=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi goreng ikan asin ⭐️⭐️⭐️⭐️
Tahu crispy ⭐️⭐️⭐️⭐️
Fruit salad ⭐️⭐️⭐️⭐️""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMTFnendsZ3A5GAA6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=AjH3acvDJ9uQ4-EPzs29uQs&ei=AjH3acvDJ9uQ4-EPzs29uQs&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Gubug+Makan+Mang+Engking+Gubeng+Surabaya/data=!4m7!3m6!1s0x2dd7fb27e4e5d3f5:0x1f44be80d59668d1!8m2!3d-7.2671284!4d112.7526298!16s%2Fg%2F11tmdwt8wm!19sChIJ9dPl5Cf71y0R0WiW1YC-RB8?authuser=0&hl=id&rclk=1","Gubug Makan Mang Engking Gubeng Surabaya","4,4","(754)","·","$$","Sunda","·","","Jl. Gubeng Masjid","","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFd7r1sN5qxZnf7p41GREn0Ap-yrqa_UnsHa6Ehr6CGTePBX3EUYaSPmJcsRxfJ6R6CLFvMg_iayqdZrYiQL18vIec_OjAGD78_fM_UAnAa83cz_LF1YvxGkmrdPvKtlMCdxyuB=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Vibesnya enak, cuman jual tempatnya yg enak tapi makanan ZONK!!!""","","",""
"https://www.google.com/maps/place/Ayam+Kremes+%26+Soto+Suroboyo/data=!4m7!3m6!1s0x2dd7fbcdfdb1ee0d:0xd59a31db9b2cdd83!8m2!3d-7.276653!4d112.757084!16s%2Fg%2F11cnpjnjx_!19sChIJDe6x_c371y0Rg90sm9sxmtU?authuser=0&hl=id&rclk=1","Ayam Kremes & Soto Suroboyo","4,7","(1.969)","·","Rp 1–25.000","Restoran","·","","·","Jl. Gubeng Kertajaya VII C No.56","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHE4QRcTD3eY-8gUpAkw4uoihjzGmuQtRPTgguWbSCCvSelqnKo7Zu_RfQlZDAknf9k1S_gXHDoDGMkUknvUfdudHUPlkDaapoQRAodNF6r0kqeyi1i_VlE0OyWAd9wHQ6-FJpaTA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat makan bagi mahasiswa, untuk menu soto bisa minta gratis balungan.""","","",""
"https://www.google.com/maps/place/Warung+Imood/data=!4m7!3m6!1s0x2dd7fbd206d1ff59:0xde078d6cb22d2aa3!8m2!3d-7.2760394!4d112.7573194!16s%2Fg%2F12hq3ghky!19sChIJWf_RBtL71y0RoyotsmyNB94?authuser=0&hl=id&rclk=1","Warung Imood","4,7","(1.491)","·","Rp 1–25.000","Ayam Penyet","·","","·","Jl. Gubeng Kertajaya IX Raya No.40-A","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE_mZsVyQSLgvzOOwTEwNuo25SrgfpSACm9Kg7FPJUc1MVa0Axnh0HXaVQUcm633d5B7_SAWTCQiFzPphEGUjU9f38D5NxQTeM6Qkuf0g9fNJNXKi4BkpW2y_yLdExsXgGkYGTPDAK1VriT=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat makan bersih, dapur bersih, service juga sangat baik.""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMTJocTNnaGt5GAA6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=AjH3acvDJ9uQ4-EPzs29uQs&ei=AjH3acvDJ9uQ4-EPzs29uQs&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Halim+Restaurant/data=!4m7!3m6!1s0x2dd7fbcdd8610cb5:0x94b23ce99f18a23!8m2!3d-7.2782845!4d112.7575782!16s%2Fg%2F1tlnst93!19sChIJtQxh2M371y0RI4rxmc4jSwk?authuser=0&hl=id&rclk=1","Halim Restaurant","4,2","(1.389)","·","$$","China","·","","·","Jl. Kertajaya No.111-113","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFvtssC_Gm23mY0JO_9CA2MvTKFsWeiHDWhQaU70CdQWQ5o_6NDJQEacmbNjQc0IW_84T86jP9oZc63au_8w0EOiLlTa-OU3hhtqbsw2zHpFvCTO2wb8cGIc8RDQ9jGIarTSWxj=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""𝕸𝖊𝖓𝖚 𝖑𝖊𝖓𝖌𝖐𝖆𝖕, 𝖒𝖆𝖘𝖆𝖐𝖆𝖓 𝖊𝖓𝖆𝖐, 𝖍𝖆𝖗𝖌𝖆 𝖙𝖊𝖗𝖏𝖆𝖓𝖌𝖐𝖆𝖚.""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRsbnN0OTMYAToDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=AjH3acvDJ9uQ4-EPzs29uQs&ei=AjH3acvDJ9uQ4-EPzs29uQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Depot+Cak+Win/data=!4m7!3m6!1s0x2dd7fbcd6a881939:0x5921cd3aafe11214!8m2!3d-7.2771498!4d112.7613594!16s%2Fg%2F1hm5sc0md!19sChIJORmIas371y0RFBLhrzrNIVk?authuser=0&hl=id&rclk=1","Depot Cak Win","4,4","(2.130)","·","Rp 25–50 rb","China","·","","·","Jl. Gubeng Kertajaya XIII E No.33, RT.06/RW.06","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHczKqVGafvi3Dfqqh4Nu-Ijip29iarIWyDRUhdgNT8_HZQBwnD317aVUW_VWAgJxJ55mxuonyOgzpjvrxg4WtlF8hFBH_DbRk7Tjaee12tkcCNPiOiiYC4mT9znHkA7lUWMk-BDg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""recommended nasi goreng seafood nya + fuyung Hay nya josss.""","","",""
"https://www.google.com/maps/place/Depot+Slamet/data=!4m7!3m6!1s0x2dd7f97df8943357:0x7ce7975a766ef034!8m2!3d-7.2660748!4d112.7563232!16s%2Fg%2F11rs17fdy!19sChIJVzOU-H351y0RNPBudlqX53w?authuser=0&hl=id&rclk=1","Depot Slamet","4,4","(3.663)","·","Rp 25–50 rb","China","·","","·","Jl. Dharmahusada No.6B","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgKOhuynLQVLUFcY4tFyLGmGAHuYoLIZncw79yP_gwzRRvF5Q0u7LNRa8YXSWzrmwHvAFEjuQBUh_Z2m8shztVWnsHqe88BsOoh4ICK4EZWU5x-mEnd8JS6NOGVV0tA0hgQ0suSw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makananya enak bgt, porsi jumbo, tempatnya bersih, pelayanannya satset!""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMTFyczE3ZmR5GAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=AjH3acvDJ9uQ4-EPzs29uQs&ei=AjH3acvDJ9uQ4-EPzs29uQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Spesial+Belut+Bu+Yuli/data=!4m7!3m6!1s0x2dd7fbcce4403fab:0xbad55b42431d18ef!8m2!3d-7.2788937!4d112.7607022!16s%2Fg%2F11dz_xsl6j!19sChIJqz9A5Mz71y0R7xgdQ0Jb1bo?authuser=0&hl=id&rclk=1","Spesial Belut Bu Yuli","4,5","(2.369)","·","Rp 25–50 rb","Restoran","·","","·","Jl. Kertajaya No.173A","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGQ9oNcpt4XjbG2tJl2Dl5dTL4VCw-_cSeCm7gQv7GFOHyet32fC7dL76ybYBocVUNQaAz5-TmC7-pK-c0lOUybFWN-4VgsKrGZHcfvETrI4pxf_6SuDtr3KjjIKiPm8pqu16K=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak makan diluar sambil lihat lampu lalu lintas dan sepeda lalu lalang.""","","",""
