"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/The+Seven+Gym/data=!4m7!3m6!1s0x2dd7fb1d0e874ac3:0xde3e37f35dac43e!8m2!3d-7.2750445!4d112.7551796!16s%2Fg%2F11b6d223nc!19sChIJw0qHDh371y0RPsTaNX_j4w0?authuser=0&hl=id&rclk=1","The Seven Gym","4,3","(89)","Tempat Fitness","·","","·","Jl. Gubeng Kertajaya VII Raya No.56","Tutup","· Buka Sen pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHlgUX7RQuYQ8eRK_oyY05usT0WCf1YEHUaqAbxg3aWokWx_P0lbk27xftQxDSAxmLGG8tWla9yrF2Yms3r3tv9J2fHoBvDPjazmA0LwW3iJu5ZUYN_wuLN1cXMwxoHO9WHIPs=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah, tempatnya nyaman, pemiliknya ramah banget!""","",""
"https://www.google.com/maps/place/Vins+Club+Gym/data=!4m7!3m6!1s0x2dd7fb9e34d3d3af:0x9ad03dfd080a0c54!8m2!3d-7.27461!4d112.7622691!16s%2Fg%2F11ny3x6wgp!19sChIJr9PTNJ771y0RVAwKCP090Jo?authuser=0&hl=id&rclk=1","Vins Club Gym","4,9","(49)","Tempat Fitness","·","","Jl. Raya Menur No.2A","","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEiwO6RYENeKZunkTk7ZFguR0BEef6yJ0P5xZ-6l80CI59fLoDJlhb9O5g6tSCXC120dmnAFxU14tAzL7-A-_NfPBYRXy4B9HQMoW_FttROEMVFPFLcdMOHUULmCypnuribaDPQXQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alatnya bagus harga member bersahabat 30rb per kedatangan""","",""
"https://www.google.com/maps/place/One+Fit+%28Fitness+Studio%29/data=!4m7!3m6!1s0x2dd7fbcc6ea1e27d:0xe437917df307f595!8m2!3d-7.2804186!4d112.7585604!16s%2Fg%2F11gc9g20h5!19sChIJfeKhbsz71y0RlfUH832RN-Q?authuser=0&hl=id&rclk=1","One Fit (Fitness Studio)","4,6","(167)","Tempat Fitness","·","","·","Jl. Gubeng Kertajaya VIII C No.55a","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHIYtff_1j_9uVIJvzbijeSsLy0zaLsg4e5HDp_mczFaR9DQVRtevLdQSlad69KmZnVDl4yW8KAHpACaKtb6wGc4BIP684attJUU_3Z-4eH0WMXBRkSB5jwrivmB5k0c_pnn92DHg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Suka sekali","gym","disini, orangnya lucu2 kyk balon"""
"https://www.google.com/maps/place/Gym+Fitness+Wanita+Surabaya+Mazaya+Fit/data=!4m7!3m6!1s0x2dd7fbc958391309:0x2f013093b6481ab!8m2!3d-7.271025!4d112.756208!16s%2Fg%2F11ts4jvtxg!19sChIJCRM5WMn71y0Rq4FkOwkT8AI?authuser=0&hl=id&rclk=1","Gym Fitness Wanita Surabaya Mazaya Fit","4,9","(186)","Pusat kebugaran","·","","·","Jl. Dharmawangsa No.54-56 Lantai 3","Tutup","· Buka Sen pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQf9L5e629Wy4Tg66ZkwD3CcbTNAjnLthXb6PWbnXPAbZhzwxTWcZRsrZm5y6tw-HyD5aEXWgpFrluk5x0f228mES9UKmISOosyqDjdo0N295H_NMM--ih6DMeblGsOjuUaGwUMm_TmKxb=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","muslimah yg sangat kids friendly dan cozy."""
"https://www.google.com/maps/place/WARRIORS+Gym/data=!4m7!3m6!1s0x2dd7fb0034b69483:0xd9faeefdf77fcfec!8m2!3d-7.281999!4d112.757538!16s%2Fg%2F11vm7yj_b_!19sChIJg5S2NAD71y0R7M9_9_3u-tk?authuser=0&hl=id&rclk=1","WARRIORS Gym","5,0","(46)","Tempat Fitness","·","","Jl. Manyar Adi II No.35","","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF35IUNhAAp82OQ8PZa9OqZBmhkkbcYqhKsBCQt7om1r1Yckq-jL0Q7M6PsnYashBcIiMxHH9F6q-EnSS3qtAKAJxp_FvuZ36H1SpYd2UOBIjWnsySvOKC8-uHT1oReNyHSSz25EX4d7L8O=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga Membership nya bersahabat sekali","Tempat","bersih
Alatnya sangat oke"""
"https://www.google.com/maps/place/FIT+HUB+-+Sumatera/data=!4m7!3m6!1s0x2dd7fb7f90bd5e49:0x2d6d93502cd7944f!8m2!3d-7.2672952!4d112.7509133!16s%2Fg%2F11pkk8ns7j!19sChIJSV69kH_71y0RT5TXLFCTbS0?authuser=0&hl=id&rclk=1","FIT HUB - Sumatera","4,6","(603)","Pusat kebugaran","·","","·","Jl. Sumatera No.20-B, RT.010/RW.07","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEg4d_RvCW8zFUJVd6XqHhgiwpa_oX9wXIrJEi6jngWd9_ouY_n1rW_6NbEeSSu14s3gRxzg1310usItbQAyXhsnDlCZSyb7jaiUBwjKDpT2UYEUDdto8-yQzlQFfF7X5FnupVjrw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat fitness","yg menyenangkan dengan ersonal trainer yg super ramah"""
"https://www.google.com/maps/place/Salad+bugar+corner/data=!4m7!3m6!1s0x2dd7fbd13eea844f:0x4216c845de12b70f!8m2!3d-7.272436!4d112.755189!16s%2Fg%2F11b6dycwww!19sChIJT4TqPtH71y0RD7cS3kXIFkI?authuser=0&hl=id&rclk=1","Salad bugar corner","4,1","(38)","Tempat Fitness","·","","·","Jl. Gubeng Airlangga VII No.5","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFefGJ9Ewy-Hw9MuUo48tfRcAel_YCTwgVUj39lHMAXVyaC-udsqcitU_NjmtfDE0ms4AE_YKizo5PfDV5tDLyk19zOXNeB8ZHNE-JhSHot1-gJ2LCPLvEEikud-MAfEtgFVmYtZA=w164-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bang ini kalo nge","gym","doang bisa?"""
"https://www.google.com/maps/place/FIT+HUB+-+Manyar+Kertoarjo/data=!4m7!3m6!1s0x2dd7fb25cfa44455:0x43cea62c4811e2fc!8m2!3d-7.2797958!4d112.7631816!16s%2Fg%2F11s5shghvw!19sChIJVUSkzyX71y0R_OIRSCymzkM?authuser=0&hl=id&rclk=1","FIT HUB - Manyar Kertoarjo","4,6","(373)","Pusat kebugaran","·","","Jl. Manyar Kertoarjo No.12","","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEyeNq9c6edAJvK804lfB9f8t1PzYtY5MUVjI-7-kvSjTgkn-mw_viKY-cKQin0AIowO3P4v0S7Ol70-KjipnOyYfZ0vc_Rr53kuEkbddDobYpE6-iGBNPLnRV2OAexOI-PSoOv=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","premium, bagus, harga terjangkau, staff ramah, pt dengan coach ari 💪"""
