"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 6","W4Efsd 7","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Zangrandi+Ice+Cream+-+Yos+Sudarso/data=!4m7!3m6!1s0x2dd7f963c5e023b5:0x1c6d9f1e4bb8fbbb!8m2!3d-7.2634139!4d112.7461219!16s%2Fg%2F1hc15fzln!19sChIJtSPgxWP51y0Ru_u4Sx6fbRw?authuser=0&hl=id&rclk=1","Zangrandi Ice Cream - Yos Sudarso","4,6","(11.082)","Es Krim","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFB68OKEOSXSEIoHbLShQ886wugVDsoCa1FqfcXB0Rxohp2Dvrw9Wot1Nl-h7eSCej-soAdTdnIKMk9UAaAP3jlMGQ4R50ce8feRa9zZ071UakX9gntMPyC7I2nDV9bt6p_oKo=w137-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Resto","es krim","terbaiq, rasanya enak dan suasananya cozy banget.""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhjMTVmemxuGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CjL3aa_xOP3BjuMPqvfE8Q0&ei=CjL3aa_xOP3BjuMPqvfE8Q0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Momoyo+Dharmawangsa/data=!4m7!3m6!1s0x2dd7fb40f79aebf9:0xc69762ce3dff2b2b!8m2!3d-7.2728786!4d112.7561191!16s%2Fg%2F11vf9sb9yj!19sChIJ-eua90D71y0RKyv_Pc5il8Y?authuser=0&hl=id&rclk=1","Momoyo Dharmawangsa","4,7","(547)","Es Krim","·","Jl. Dharmawangsa No.80","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAETodlZQqt3vaPPOAsdzV5C9K_bpZYLu6NjvrGvuC8OQPOHRU5n1Xr0WLrJ-RG1h_uF_Woeu7SLVg-aYKKWTTHAbG2eeiQ12gMl-TTN8pIpDjh4QDvVA4oxmvNiWLAPp9QoaHc=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","krimnya lembut, creamy, dan enak banget!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2ZjlzYjl5ahgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CjL3aa_xOP3BjuMPqvfE8Q0&ei=CjL3aa_xOP3BjuMPqvfE8Q0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/LAO+BING+HERITAGE+ESKRIM+JADOEL/data=!4m7!3m6!1s0x2dd7fb0fc4e19bdb:0x58ccc4dd063d29d1!8m2!3d-7.2665813!4d112.7674901!16s%2Fg%2F11z20rzkrv!19sChIJ25vhxA_71y0R0Sk9Bt3EzFg?authuser=0&hl=id&rclk=1","LAO BING HERITAGE ESKRIM JADOEL","5,0","(61)","Es Krim","·","Jl. Dharmahusada No.36","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8wkdqHPlX85cX517DxYVaKc1nEO9yVb2JrQ_jmLTaNMD7RfmZqBzfoCOaZFPkzVSdAwOBwnwVdUxOFOW03zD8o6kzKvjFoljYELsjwI-I9oUJSUbycQra-XJOge2pQRfJJo1L0U40k5M=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es krim","enak ala zanggrandi dengan harga terjangkau""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF6MjByemtydhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CjL3aa_xOP3BjuMPqvfE8Q0&ei=CjL3aa_xOP3BjuMPqvfE8Q0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/MOMOYO+Ice+Cream+%26+Fruit+Tea+-+Karang+Menjangan/data=!4m7!3m6!1s0x2dd7fb5946e66003:0x6b167f554cd1b99e!8m2!3d-7.2726209!4d112.7618472!16s%2Fg%2F11xkm8nb3q!19sChIJA2DmRln71y0RnrnRTFV_Fms?authuser=0&hl=id&rclk=1","MOMOYO Ice Cream & Fruit Tea - Karang Menjangan","4,7","(327)","Es Krim","·","Jl. Karang Menjangan No.117C","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmrfJyz9GGZBkvE-Ik9_0nh5No8UUtf-8E8Kj4QGdJcNx0PvWSAnDjutzA-xj7apjXga237Ft9O4oZTE_4NIOS5IBsWWRaAhs6C0Ft9z7xHSp0LqrPL9yntJxXNMnTajH1ubRHXpe25Epy=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es krim","nya enakk, tempatnya bersih, luas dingin, wifinya lancar.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4a204bmIzcRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CjL3aa_xOP3BjuMPqvfE8Q0&ei=CjL3aa_xOP3BjuMPqvfE8Q0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/ESKRIMO+COFFEE+Parkir+Trotoar/data=!4m7!3m6!1s0x2dd7fb10ec23c6ab:0x29b1e7ef33bf0883!8m2!3d-7.2754766!4d112.75597!16s%2Fg%2F11t1j42x8_!19sChIJq8Yj7BD71y0Rgwi_M-_nsSk?authuser=0&hl=id&rclk=1","ESKRIMO COFFEE Parkir Trotoar","4,3","(183)","Kedai Kopi","·","Jl. Dharmawangsa No.124","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMXDMWFG24jTs1w2m3UsTr2xTTcj1UePrzNUswpHuJj80xal8ZBP-a-w8Ho814NbNQ5bb-DOMoZclX4aLMBTc4GeEBm_oFzDQCU8RiTPP-QDDfm5_2EOJQpRdumxXC7TQ8Ob_vzw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saya pesan","ice","matcha dan rasanya tidak terlalu manis, ‘beneran’ matcha.""","","",""
"https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Karang+Menjangan/data=!4m7!3m6!1s0x2dd7fb0074c42aef:0xe7679ff16241d690!8m2!3d-7.2719058!4d112.7609311!16s%2Fg%2F11xycwjygl!19sChIJ7yrEdAD71y0RkNZBYvGfZ-c?authuser=0&hl=id&rclk=1","Mixue Ice Cream & Tea - Karang Menjangan","4,6","(500)","Es Krim","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGziRIRP67BZO-cX43aiG2hYK9UcgIshCi8YJMUCfoZr7rD4tBjbPJFRvbBAxtW4ZMgrsU3QmLINw6YlKaKFb_zlRnCM6p05EbsU7AerIpD4GQQDAL_7ukKwfy_-u6T6UKtE2m8=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es krim","vanilla, sirup coklat berlimpah, dgn remukan cone d dasar gelas.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4eWN3anlnbBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CjL3aa_xOP3BjuMPqvfE8Q0&ei=CjL3aa_xOP3BjuMPqvfE8Q0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Es+Puter+Aneka+Rasa+Pak+Min/data=!4m7!3m6!1s0x2dd7fbb10faad175:0x50989e5fbf122cff!8m2!3d-7.27817!4d112.7659065!16s%2Fg%2F1pzpqlh2s!19sChIJddGqD7H71y0R_ywSv1-emFA?authuser=0&hl=id&rclk=1","Es Puter Aneka Rasa Pak Min","4,8","(1.566)","Es Krim","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEz3BjEaB1PSdKwmQdxtYQZi_NMb6d1Awgx3EBVG9VkmvnAGU-mv2iSKaDEP_GXj1WXxymaJE4YA4ZJCODEY7qpz8rl8htrSzWQsi96r-Bq42RO8-NgvEcjV9cqA3VVbSEqYsfq=w96-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""suka","es krim","puternya...enak....recomend yang 16rb dapat banyak""","","",""
"https://www.google.com/maps/place/La+Ricchi+Ice+Cream+-+Indragiri/data=!4m7!3m6!1s0x2dd7fb93157625ed:0x8b41bb66e683385b!8m2!3d-7.2889118!4d112.7313156!16s%2Fg%2F1tfdv13g!19sChIJ7SV2FZP71y0RWziD5ma7QYs?authuser=0&hl=id&rclk=1","La Ricchi Ice Cream - Indragiri","4,3","(225)","Es Krim","·","Jl. Indragiri No.12- 18","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1YCUqgruLVeekj54zW2ec32wperAywaCWZscIYuLUYRwtqOn24Oi6Lcddy_dj3J9egc_iz1z6noX86MD2E_T3y4Z54PN3HnDfoMqYwmsOj6QuUlwdUz_L4SglpcTq6l-SAaGplA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Selain","es","krimnya yg seger padet rasanya yg enak , Gelatonya pun jg enak.""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRmZHYxM2cYAToDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CjL3aa_xOP3BjuMPqvfE8Q0&ei=CjL3aa_xOP3BjuMPqvfE8Q0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
