"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 6"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Warteg+Orens+Bahari+135+-+Karang+Menjangan/data=!4m7!3m6!1s0x2dd7fb84108a005b:0xc4539eaad8e9ba6c!8m2!3d-7.2707849!4d112.7605355!16s%2Fg%2F11pzyv28x7!19sChIJWwCKEIT71y0RbLrp2KqeU8Q?authuser=0&hl=id&rclk=1","Warteg Orens Bahari 135 - Karang Menjangan","4,3","(409)","·","Rp 1–25.000","Tegal","·","","·","Jl. Karang Menjangan No.93","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGfKfQj1ZyGH1Jg2mwQTmqKeUrtOFrCRa0IGaaeUbE3YqwgX3hU-OFZXo5h-hrDKb_2_h-OX6iT8Juu9b6qUVOY7Oxfzzb2i9BYvhm68i-5S2OgBDmV0HS0bB4khksfew-3WrpDWw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","ter worth it di surabaya, makanannya tergolong murah dan enak.""",""
"https://www.google.com/maps/place/Kedai+Merdeka+-+Dharmawangsa/data=!4m7!3m6!1s0x2dd7fb35c489d01b:0x934fe1f7b09695c4!8m2!3d-7.2758753!4d112.7561899!16s%2Fg%2F11mdb1pdw8!19sChIJG9CJxDX71y0RxJWWsPfhT5M?authuser=0&hl=id&rclk=1","Kedai Merdeka - Dharmawangsa","4,6","(62)","·","Rp 1–25.000","Indonesia","·","","Jl. Dharmawangsa No.61A","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGog2ADnI_ry7okM2VyAk9inNtw3tLf7r4ALv9uDa_5aap32GDIFI8u4A0pFwIYDddVsMlPuOX8OETV13FF5EEYG-sriwC6uJ8UXbsB63Q8geOl7RvdJNxzULjeCGGFrW09LNioAXL8EIhc=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","terbaik dalam segala hal baik pelayanan, rasa, dan sebagainya""","· Tutup pukul 23.00"
"https://www.google.com/maps/place/Warung+Makan+Tegal+Aero/data=!4m7!3m6!1s0x2dd7fb98c4bd510d:0xdbf8e70f8f8d4c00!8m2!3d-7.272211!4d112.761565!16s%2Fg%2F11tdzsgcqc!19sChIJDVG9xJj71y0RAEyNjw_n-Ns?authuser=0&hl=id&rclk=1","Warung Makan Tegal Aero","4,4","(92)","·","Rp 1–25.000","Tegal","·","","·","Jl. Jojoran I No.2a","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8XmUV63LfBh8AQabJNsYi37MuYlpT7Jo0OjmOpUt1LH45IbvxBZb9pgLfL2PQo0gF1mUdzBkBpYCVlH399DxgHJIiymz0yeLszzaxwy0CcEO4osU-8VYdkErZ-RHzRH4tVuDP=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga makanan standar","warteg","pada umumnya.""",""
"https://www.google.com/maps/place/Warung+Makan+AERO+BANGKIT+24+Jam/data=!4m7!3m6!1s0x2dd7fb8067a33667:0xa6df86d4bcea47b3!8m2!3d-7.2769123!4d112.7557798!16s%2Fg%2F11l77rx31s!19sChIJZzajZ4D71y0Rs0fqvNSG36Y?authuser=0&hl=id&rclk=1","Warung Makan AERO BANGKIT 24 Jam","4,1","(41)","·","Rp 1–25.000","Tegal","·","","PQF4+775, Jl. Gubeng Kertajaya","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbQ4imGTwGhfG1Quo6pIVNkKPOMh7nooWW8QolbFipDKfeaM0GiNQph6TX4e2HVkjYgY6T8BZbrrieK3QR446fwXO97F1fQv4Jm9j2q3-iuyYi3OpTM7mEtWrrjhyTP96c5wI=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","termurah dari semua",""
"https://www.google.com/maps/place/Warung+Makan+SK/data=!4m7!3m6!1s0x2dd7fb676d131b01:0x13be9d344ec9f7ba!8m2!3d-7.2703948!4d112.7563045!16s%2Fg%2F11tsc_kyxn!19sChIJARsTbWf71y0RuvfJTjSdvhM?authuser=0&hl=id&rclk=1","Warung Makan SK","2,8","(79)","·","Rp 1–25.000","Indonesia","·","","PQH4+RGM, Jl. Dharmawangsa Dalam","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGGrE0mUjtUOLVzn6inRgqUjyF9DHh2uuDydN3vat4BgoV0f_vHEluf43iNeU4b950H06wdiTPx8-bWymuqHfd1NFWFmXkWQey1sP6wNM1NaOCUSGHBWF0bXGg2JTCo4GxCCgSOffUkxogv=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sumpah","warteg","paling enak ini 🔥🔥🔥 recommend banget""",""
"https://www.google.com/maps/place/Warteg+Sri+Sadana/data=!4m7!3m6!1s0x2dd7fbbcda8b4dad:0x787c5f9f86a3dc8a!8m2!3d-7.2669146!4d112.761055!16s%2Fg%2F11v074mg3p!19sChIJrU2L2rz71y0Rityjhp9ffHg?authuser=0&hl=id&rclk=1","Warteg Sri Sadana","4,7","(22)","·","Rp 1–25.000","Tegal","·","","·","Jl. Karang Menjangan No.13","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDSqfGUbmKf0RNGOYIZKDmy1ns7-IQy2lOj4B3gFi4cExG0ZDEyhFty9yyzdtwg1TU51IISCgnPgqTgQvy2gGSJhlLuaSG3X2ZGG0wllADw7OaY5zsMQ__krXyYBmkvt9pV9HImg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ini","warteg","mahasiswa paling rekomen untuk daerah unair.""","· Tutup pukul 22.00"
"https://www.google.com/maps/place/Wapo+Resto/data=!4m7!3m6!1s0x2dd7fbd486736e29:0x703f50fba3cdfe7e!8m2!3d-7.2705024!4d112.7602896!16s%2Fg%2F11gzwlgp9!19sChIJKW5zhtT71y0Rfv7No_tQP3A?authuser=0&hl=id&rclk=1","Wapo Resto","4,4","(7.117)","·","Rp 25–50 rb","Nasi Goreng","·","","·","Jl. Airlangga No.43","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGN4y9eHPm5r9J1TC2Fba3XYyhs-aAx4-Sh9F5HKqVxEGjrCFmc5OBegoNjdomiA1X3kck8EjWcEn99EsJBu04oV31-TovpQlUiw4u6fJ3Bgn3Eutcg1_xs1kuXpP-TPSJIE_HyZb_3x9zs=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Wow banget dengan porsi jumbonya yg cukup untuk 2 sampe 3 org""","","","· Tutup pukul 22.00"
"https://www.google.com/maps/place/Sushi+Mate+-+Dharmawangsa/data=!4m7!3m6!1s0x2dd7fba82fbb12b7:0xe84c30721372f775!8m2!3d-7.2758358!4d112.7561907!16s%2Fg%2F11ym1g4f6q!19sChIJtxK7L6j71y0RdfdyE3IwTOg?authuser=0&hl=id&rclk=1","Sushi Mate - Dharmawangsa","4,8","(693)","·","Rp 25–50 rb","Sushi takeaway","·","","Jl. Dharmawangsa Barat No.61","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDJEqG9l-y4sqjaKqgue82y_fPBVS8Zri6l3mmodOwpE71Kt2hpBarTA1w8vWU8k4jwQWnpA3yL6hX_0sm0RTWEnDsyivKr1RNmxrWb9F76QTdGRMlraWhx8pyAMJ3LPOYoZWmBRlJrrA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanan enak dan juga murah""","","","· Tutup pukul 23.00"
