"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","AJB7ye","AJB7ye 2","ah5Ghc 2","M4A5Cf"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/NOB+Cafe,+Club+de+Arjuna/data=!4m7!3m6!1s0x2e69f79472c6871b:0x494c4462b3d8261!8m2!3d-6.1899887!4d106.7604499!16s%2Fg%2F11vqllqzsm!19sChIJG4fGcpT3aS4RYYI9K0bElAQ?authuser=0&hl=id&rclk=1","NOB Cafe, Club de Arjuna","4,9","(1.552)","Kafe","·","Club de Arjuna, Jalan Lingkar Luar Barat No.36 Unit C2 No. Kav. 35","Segera tutup","· 23.00 · Buka Min pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHm8AFGswB9nScFtevAcSAOf0Hb1OqaLm5bl_dJMQ13HT4wlxNBq7cHWJpwBHCVs9PLcNfioIVvtR5UjOGcRdGV29HCsc2JJzdMnV2hGi-HcU8VCXK5EyHSSTPSf4pgQlgpPKA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Perfect ambience, friendly staff, good food.""","https://www.google.com/viewer/chooseprovider?mid=/g/11vqllqzsm&g2lbs=AIBNGdUwppzIqRurROB7L15FvI33oOtYrdopjKz_dGt59y-xj4SKSZsB9Zq5er7thogT0tHvew8dxI-fbje1l2CM98lpkeSq0A%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=AafjaYmuNeiUseMPhcOO6Qc&ei=AafjaYmuNeiUseMPhcOO6Qc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/N.O.B.+Caf%C3%A9+%26+P%C3%A2tisserie/data=!4m7!3m6!1s0x2e69f70017d996d7:0x2435980fa2922ac6!8m2!3d-6.1899667!4d106.7595044!16s%2Fg%2F11vwc_c5pg!19sChIJ15bZFwD3aS4RxiqSog-YNSQ?authuser=0&hl=id&rclk=1","N.O.B. Café & Pâtisserie","4,7","(301)","Kafe","·","Blok B","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZo-dThF_ol07IG3cW6DWzt2F5yGhzEcGJzUdwZuFnPQxTTW1qhVPpwR-lTEth6ZdY7SN6bJOhCFE6qwHugE8D1fOZIH4cqDYUocj6M_04iioyb5UIafUK74mwAs6OUKr-9Az2AA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Vibes tempatnya enak, cozy, cocok utk WFC,  kopinya enakk""","","","","","","",""
"https://www.google.com/maps/place/The+Cortado/data=!4m7!3m6!1s0x2e69f6c320c15a6b:0x3c205561b81fd46b!8m2!3d-6.2007302!4d106.7836272!16s%2Fg%2F11bwm6pjk1!19sChIJa1rBIMP2aS4Ra9QfuGFVIDw?authuser=0&hl=id&rclk=1","The Cortado","4,4","(1.197)","Kedai Kopi","·","·","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_FlpWTOhwzABvDjn9wky4RWKpCEe45VohwZNGHkJoz5rUdEwnVHmxw4UytpVLviHmE_eRBgyIIvIUPQXs9s5tJWUDzrklatdHNzZYoaf8ucgDEYnOjbf3KKcloXdDL8IWLwdo=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Waktu kesana coba kopinya aja.""","https://www.google.com/viewer/chooseprovider?mid=/g/11bwm6pjk1&g2lbs=AIBNGdWJ-8YguWYhWax2U4qw0QrzuynAS3vdJlD0jCQ4RhS9XgiiTFL2VhK_2Yz_LHl2WzefdV2QGNyhtA3LJ-2dSr0z4uRNXQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=AafjaYmuNeiUseMPhcOO6Qc&ei=AafjaYmuNeiUseMPhcOO6Qc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","$$","",""
"https://www.google.com/maps/place/Pilona+Coffee+-+Palmerah/data=!4m7!3m6!1s0x2e69f7ace2456de5:0xb55776b97972125d!8m2!3d-6.2024727!4d106.7831216!16s%2Fg%2F11llbldzfv!19sChIJ5W1F4qz3aS4RXRJyebl2V7U?authuser=0&hl=id&rclk=1","Pilona Coffee - Palmerah","4,6","(52)","Kedai Kopi","·","2, Jl. U Raya No.33, RT.8/RW.15","Segera tutup","· 23.00 · Buka Min pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7baxlUUK48vwcy9LO8V2SMFcAVJaQAnPsPympemx4ZeYGgwSHqARrIeJgIqpCRZqvLYo24js2kjek7OVlUsCOBuazXVQnIXuMjC4yjejetDDoHz6cHx6brsjqc6_4pXEvglHP=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman buat nongkrong, kopi susunya enak.""","https://www.google.com/viewer/chooseprovider?mid=/g/11llbldzfv&g2lbs=AIBNGdXw5B6ktqn8Iiv32lqNrXF880B2I4vx3P_3HFodHfZKpfWjt5iW3LK0-iDvWAT6X8YvDmoox1awq0sZ_E7i4EQBY9qZTg%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=AafjaYmuNeiUseMPhcOO6Qc&ei=AafjaYmuNeiUseMPhcOO6Qc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 1–25.000","",""
"https://www.google.com/maps/place/Kedai+Kopi+Koeii/data=!4m7!3m6!1s0x2e69f7e720bda1fb:0x2a302cd7a10a27dc!8m2!3d-6.1933888!4d106.7823528!16s%2Fg%2F11sckk5cyv!19sChIJ-6G9IOf3aS4R3CcKodcsMCo?authuser=0&hl=id&rclk=1","Kedai Kopi Koeii","4,9","(165)","Kedai Kopi","·","·","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0gVdT26BBaA3X-lfFkH1fZCIfxPM-RCKosmkXY4lxSEBYuhJvuAbg6TKyMM0A7P07V8V8suRMyPbr0sxrTuHpFjMegmMNfmrziGI-wV3wGlWA-NCApZvAm4BfplayLLEXl1LS=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/viewer/chooseprovider?mid=/g/11sckk5cyv&g2lbs=AIBNGdXcVrgGP9EHdqrr3auRBD2A8U3AdbcGQL16AKIsQbuOgEzmNs9-vAJJAZ7wMudHGJISNcozqtCO9rQY9QoahkKo7hvmgw%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=AafjaYmuNeiUseMPhcOO6Qc&ei=AafjaYmuNeiUseMPhcOO6Qc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 25–50 rb","Cafe",""
"https://www.google.com/maps/place/de+Arjuna+Cafe/data=!4m7!3m6!1s0x2e69f7a0e656ef09:0x9d477a5fc8101fdb!8m2!3d-6.1890134!4d106.7604348!16s%2Fg%2F11v0znn7kx!19sChIJCe9W5qD3aS4R2x8QyF96R50?authuser=0&hl=id&rclk=1","de Arjuna Cafe","5,0","(804)","Kafe","·","Jl. Kedoya Pesing, RT.08/RW.07","Segera tutup","· 23.00 · Buka Min pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOvlSzfQbbUWZQ5mqYbHGr9FgjURR-MjYyLnnWMxDWWy_fR_0PTlr96_S6v6by5WxpJ_QK275hW2mGoaBdRGM3vmGGRwZTIRzM9CaNYQOIyGzcFx91RY2au4mAyAg9J-BRGP4X3w=w92-h92-k-no","","Makan di tempat","https://www.google.com/viewer/chooseprovider?mid=/g/11v0znn7kx&g2lbs=AIBNGdWU1uf-ko6Kwdt86l08ysdNC00FYfzmLVu1wOe01aNdp4zKTFuRmxXtn4Y_xSYFw2iX7-gssafrJrTzTALRffhfNxtptA%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=AafjaYmuNeiUseMPhcOO6Qc&ei=AafjaYmuNeiUseMPhcOO6Qc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","Bawa pulang","·"
"https://www.google.com/maps/place/JURA+Kemanggisan/data=!4m7!3m6!1s0x2e69f75072eed94d:0xb9063f77d392e77f!8m2!3d-6.1912389!4d106.7854472!16s%2Fg%2F11f9fw61r8!19sChIJTdnuclD3aS4Rf-eS03c_Brk?authuser=0&hl=id&rclk=1","JURA Kemanggisan","4,5","(837)","Kafe","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGqrc8Rgj2zQP9se9NDj1OhGCHbqfC7gqybwzhUZA9EZHC9Ub8X9oQSW73JdXoZRZhD4Re2bC5hWIav4NAiUHbnuOY_3szjNRzRH_B8wKrDhF8mw4XjUqumz1InHNsc_IRcq-KREg=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The ambiance is nice, cozy buat kerja, kopinya juga enakkkk!""","https://www.google.com/viewer/chooseprovider?mid=/g/11f9fw61r8&g2lbs=AIBNGdWGoSiHjR1q7eTJTz-QgJY0TKuLgJ5EiMW39ojUxFB7Z5JUhj1N9U6Kx89YATovYasB7rkNz1CksAinKg3r6e0_E3AVLw%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=AafjaYmuNeiUseMPhcOO6Qc&ei=AafjaYmuNeiUseMPhcOO6Qc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 50–75 rb","",""
"https://www.google.com/maps/place/Brew+%2B+Bites+Cafe+and+Resto/data=!4m7!3m6!1s0x2e69f7003d422429:0xa7dbd7154c4ecf61!8m2!3d-6.1909726!4d106.7590173!16s%2Fg%2F11vt6c_r47!19sChIJKSRCPQD3aS4RYc9OTBXX26c?authuser=0&hl=id&rclk=1","Brew + Bites Cafe and Resto","4,7","(35)","Kedai Kopi","·","Graha Handaya, Jl. Perjuangan No.12 A","Tutup","· Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAElGWNVFDzqaDPCL6ZeY8WPDIA8J4ClS03V6nWebCV9E760T9J5OVMgcNrtQRm-jPfT0k0cfC3pkmlsJf45JucLj8Mml9ebJU0FYyijzufTX3U2Xolj0IufKt1qt6ZDLKKwKM4OQw0VBsA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Barista dan all crew ramah.""","","","","·","Rp 50–75 rb","",""
