"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","M4A5Cf"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Kopi+Nako+Palmerah/data=!4m7!3m6!1s0x2e69f7071c0982c3:0x8b5ca7adfffefdac!8m2!3d-6.2048132!4d106.7831272!16s%2Fg%2F11k4fmd_tm!19sChIJw4IJHAf3aS4RrP3-_62nXIs?authuser=0&hl=id&rclk=1","Kopi Nako Palmerah","4,5","(902)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Rw. Belong","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEJ_GlVoRQJUfkogPtZoGYiCrAsvNjADdTovh4gpemIIJrkD7YjNFY25RDIsWgi-n5TihCr_SpRbN-AGa8UoqEsrRsKx-9c80GSXhrC7_-JX2sfzWX5g3fZCnV_WlUJdfbI9Iq8=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Kopi","nya enak, service nya oke, lokasi nya strategis""","https://www.google.com/viewer/chooseprovider?mid=/g/11k4fmd_tm&g2lbs=AIBNGdXjyO0yNLM6kSaxoMf3wXPBJfUorR0Jmx3kC11ianhwXn7nzdDkCIHrPB0G7jZ4tuNwGpBhyKAbWboziQz_9lEVlFV7-g%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=1KfjaaiyH-O6seMPsPLiqQc&ei=1KfjaaiyH-O6seMPsPLiqQc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/The+Cortado/data=!4m7!3m6!1s0x2e69f6c320c15a6b:0x3c205561b81fd46b!8m2!3d-6.2007302!4d106.7836272!16s%2Fg%2F11bwm6pjk1!19sChIJa1rBIMP2aS4Ra9QfuGFVIDw?authuser=0&hl=id&rclk=1","The Cortado","4,4","(1.197)","·","$$","Kedai Kopi","·","·","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEvQgsuL48TrRyGR62K0AAHjzHq5zplczzj5vrd0yx1Sy_ziUQsLTcqN-12kh1F6tO0BVgz_2_0R2iG2_kn-b1yQxAHViHCoJxzegVlmi4bCkKr3sWrDY8htyvQa71szQOYRw1C1Q=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Kopi","gula aren-nya suka banget, pas banget.""","https://www.google.com/viewer/chooseprovider?mid=/g/11bwm6pjk1&g2lbs=AIBNGdXgzDxPwvOYCcbtSBBrbutenZiIWxP0XNDVrFJpNuLHE3rHX12LG3XJdCno0Y_Kfn4pBVF6AOFg5DP1ZxhToseXvfU-NQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=1KfjaaiyH-O6seMPsPLiqQc&ei=1KfjaaiyH-O6seMPsPLiqQc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Kopi+Atas+Rumah/data=!4m7!3m6!1s0x2e69f7d6e24233b9:0x19877ebdaada8f0!8m2!3d-6.2021843!4d106.773677!16s%2Fg%2F11sfhh6d4s!19sChIJuTNC4tb3aS4R8Kit2ut3mAE?authuser=0&hl=id&rclk=1","Kopi Atas Rumah","4,8","(114)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. H. Domang No.58A 9, RT.9/RW.2","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-NGFEbUoPhyRGBP-nXFqrC2s6SpWoEMUaYrBKF9Nyxmh6sw3Egnl6qrvuDOtGfSwNtyaUHOmFEnVUnuQn2q9TxZJACp0KsbTHraAc0ua5z8vX-hLH3SyOd7OOSSnw8D1MMfhiug=w80-h120-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""barista baik sopan seruu santuy service baik makanan enakk polll""","","","","","",""
"https://www.google.com/maps/place/Kedai+Kopi+Koeii/data=!4m7!3m6!1s0x2e69f7e720bda1fb:0x2a302cd7a10a27dc!8m2!3d-6.1933888!4d106.7823528!16s%2Fg%2F11sckk5cyv!19sChIJ-6G9IOf3aS4R3CcKodcsMCo?authuser=0&hl=id&rclk=1","Kedai Kopi Koeii","4,9","(165)","·","Rp 25–50 rb","Kedai Kopi","·","·","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0gVdT26BBaA3X-lfFkH1fZCIfxPM-RCKosmkXY4lxSEBYuhJvuAbg6TKyMM0A7P07V8V8suRMyPbr0sxrTuHpFjMegmMNfmrziGI-wV3wGlWA-NCApZvAm4BfplayLLEXl1LS=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopinya besttt

Pelayanan bagus sama suasananya enak buat nongkrong""","","","https://www.google.com/viewer/chooseprovider?mid=/g/11sckk5cyv&g2lbs=AIBNGdWuo8Azg99OykKm9VDapcQj3kKpjAanl1G0h_hQ7OzSOYhOH7-8qZCWAnMBPWtN4qKqT7rp4CB5tK0o6PLfaejdw9tJBQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=1KfjaaiyH-O6seMPsPLiqQc&ei=1KfjaaiyH-O6seMPsPLiqQc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/TOKO+KOPI+ASMARADHANA/data=!4m7!3m6!1s0x2e69f79906563009:0x311c97929897590!8m2!3d-6.1910638!4d106.7834582!16s%2Fg%2F11k0xy3gcm!19sChIJCTBWBpn3aS4RkHWJKXnJEQM?authuser=0&hl=id&rclk=1","TOKO KOPI ASMARADHANA","4,7","(25)","·","Rp 25–50 rb","Kedai Kopi","·","RT.7/RW.9","Buka","· Tutup pukul 02.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGb7jsd5FqnaXMdYTEc_TWtXhOP6IA46G8ctkZbPFPJko9xNGnoeUFWU4h_7_2gVziCF3wGKw2Nazo7OhMy1YNkR5v6a6cg52XOtDTSXv4AhGuD6Y3-_7tFrDqrSQCelXrjfaUI=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat ngopi paling enjoy sepanjang masa buat cerita keluh kesah""","","","","","",""
"https://www.google.com/maps/place/Pilona+Coffee+-+Palmerah/data=!4m7!3m6!1s0x2e69f7ace2456de5:0xb55776b97972125d!8m2!3d-6.2024727!4d106.7831216!16s%2Fg%2F11llbldzfv!19sChIJ5W1F4qz3aS4RXRJyebl2V7U?authuser=0&hl=id&rclk=1","Pilona Coffee - Palmerah","4,6","(52)","·","Rp 1–25.000","Kedai Kopi","·","2, Jl. U Raya No.33, RT.8/RW.15","Segera tutup","· 23.00 · Buka Min pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFvPtoj9AGnX0Yua9VhzVsKB_NH9stmvEA8H10FoR6ajFYs4GVF3hzESXwrvgYEkUKqneOlYEE9KxBuMC3jb82snbB1XTN-OgE92_JavfstbMgAosUEi4wDkQC6NYXX_GOoo-Hi=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman buat nongkrong,","kopi","susunya enak.""","https://www.google.com/viewer/chooseprovider?mid=/g/11llbldzfv&g2lbs=AIBNGdVc0CO5IeRBSaU8kkrIOwzJlLbl7oi4NAeRGzSBmGbNLBz6RG0K5iNxV8eKSr89YvAX5r8K6aXZFxXgrKJQ6UMkALse2g%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=1KfjaaiyH-O6seMPsPLiqQc&ei=1KfjaaiyH-O6seMPsPLiqQc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Teras+Kopi+AIAC/data=!4m7!3m6!1s0x2e69f7675961a8fd:0xc2880872250d1a4c!8m2!3d-6.1973767!4d106.7744156!16s%2Fg%2F11f7r0cthq!19sChIJ_ahhWWf3aS4RTBoNJXIIiMI?authuser=0&hl=id&rclk=1","Teras Kopi AIAC","4,7","(60)","","","Kedai Kopi","·","Jl. Villa Kb. Jeruk No.8, RT.8/RW.2","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEJAMGotIoh431_BHe-Mg495rH9GsvjWC_V4CybNE8M0wDxaIvN-CpmR9nkYj89NGCqR8oy1lJXq6a4UiizTJBqUW4U9tf8VtQtnCpOHXkNP-oqXFlM2V6S9bPlc2ri3O9FUIea1g=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kesini cuma lewat saja""","","","","","",""
"https://www.google.com/maps/place/Kopi+Cing/data=!4m7!3m6!1s0x2e69f7b1ba9b8539:0xe999a046499c187d!8m2!3d-6.1875064!4d106.7617441!16s%2Fg%2F11nfmcyd23!19sChIJOYWburH3aS4RfRicSUagmek?authuser=0&hl=id&rclk=1","Kopi Cing","4,9","(29)","·","Rp 25–50 rb","Kedai Kopi","·","RT.9/RW.4","Buka","· Tutup pukul 03.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGdguHtYWKfRl0-kHsAeuW9TUDOErdr5SD-Yb9SzYA5k6Tyxft-Camoew1fgtOoGnqHEnENGf1XSpQ017vA8uKwvpb0rCFhFUnbSv52-dHn2IgwewWzCOQa8wDK8korsg1-3u2w=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Kopi","nya enak ketan nya legit""","","","",""
