"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","W4Efsd 6","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/THREE+UNCLES/data=!4m7!3m6!1s0x2e69f7319d13eea9:0xb8d36dd960a26b3f!8m2!3d-6.1938998!4d106.7691816!16s%2Fg%2F11llt2rm31!19sChIJqe4TnTH3aS4RP2uiYNlt07g?authuser=0&hl=id&rclk=1","THREE UNCLES","4,7","(1.302)","·","$$","Masakan Kanton","·","","·","Jl. Panjang No.5c, RT.6/RW.11","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH9zlDh8OxJNqXPbwmG-bO8EIxfc6PJeYwHubIiXOMO8qihfZofveQaoK5hpkDQ-BKIZaFnuqQFQI-UT9QncNzMtDGSi7G0nyQo3ksP0WrPpAbVWXKQL-RVclj3PsPPRLqOA-BC=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanannya enakk, harganya terjangkau, dan pelayanannya baikk""","https://www.google.com/viewer/chooseprovider?mid=/g/11llt2rm31&g2lbs=AIBNGdWY2vJnWbN6PruUBW5LNqNW3SPaVpUU_uR2CFnzcs8ZW849AdoZEDZlxMiSpc_5aWcYb5aoUX_RvmGtETnjBQXG1pWDFA%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=oabjabz6AfyXnesPqrmzkQk&ei=oabjabz6AfyXnesPqrmzkQk&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Nasi+Uduk+Nikmat+79/data=!4m7!3m6!1s0x2e69f72b57bdf21b:0xd199cfffc7041b55!8m2!3d-6.1929141!4d106.784943!16s%2Fg%2F11t_v1w9y_!19sChIJG_K9Vyv3aS4RVRsEx__PmdE?authuser=0&hl=id&rclk=1","Nasi Uduk Nikmat 79","4,4","(510)","·","Rp 25–50 rb","Nasi Uduk","·","","·","Jl. Kemanggisan Raya No.70, RT.4/RW.7","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGEp8ruGyzAiNj2GFhmOgGe1ndjjiNZpwHwjOlJDEfhSCqNPUTWY0k3KOro8RR0hP2fxh9xLRFKRwiLP1-1zXtaBZg4o07GAGcqI22i5eiJHmmiLTbZBwpuLLWO22f9KIuDosPN=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""enak banget tempatnya bersih, staffnya ramah, makanannya enak banget""","https://www.google.com/viewer/chooseprovider?mid=/g/11t_v1w9y_&g2lbs=AIBNGdUN1PzMbF0xGU7B__78nnCHvhnhM8RCck_OgGk9GiEu2gF9uPbpbbrqew4WHvr2Fu36TKCyR7Y7So85NZzgn1Tr03U1QQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=oabjabz6AfyXnesPqrmzkQk&ei=oabjabz6AfyXnesPqrmzkQk&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","· Tutup pukul 00.00","",""
"https://www.google.com/maps/place/Secret+Korean+Food/data=!4m7!3m6!1s0x2e69f7cefda875db:0xf549a687bcc55fe2!8m2!3d-6.1983529!4d106.7723937!16s%2Fg%2F11mvznszsk!19sChIJ23Wo_c73aS4R4l_FvIemSfU?authuser=0&hl=id&rclk=1","Secret Korean Food","5,0","(22)","","","Korea","·","","Jl. H. Suaib 1 Gg. 8 No.7 3, RT.4/RW.013","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_Bi-xl2HFCP34vn9xvlhk8vbZaxp0FWBMTTT8TBmkJcNpkOW_jQY0vC_DOIvacV65Js5gCjqNinx7zu3NWmUeZqX6UiNXjTab7INxeYZj0vOm3SU1WBTyc1YZlFb_sbls-aByyw=w80-h106-k-no","","Makan di tempat","","","","· Tutup Min pukul 09.00","Bawa pulang","Antar tanpa bertemu"
"https://www.google.com/maps/place/Ciz+n+Chic+jln+U/data=!4m7!3m6!1s0x2e69f7c4bd7df9e9:0x985f166b669b6672!8m2!3d-6.2024671!4d106.783388!16s%2Fg%2F11j0885zqp!19sChIJ6fl9vcT3aS4RcmabZmsWX5g?authuser=0&hl=id&rclk=1","Ciz n Chic jln U","4,6","(429)","·","Rp 25–50 rb","Restoran","·","","8, Jl. U Raya No.24, RT.8/RW.15","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHaiQ0mkZqZ36wkcojmXJ_eNaGMMROCOgoJP-4sjL1CLSIIWp45jOgnDb1E7ablhuWjA1-h9Ukuo7psyck4V9B70Y7LYpXT8ZQL1vJZId-_8f40TQhln1VxrHLsPROYfbWYJnG1=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga","","","","· Buka Min pukul 09.00","makanan","lumayan
Rasa"
"https://www.google.com/maps/place/Dapoer+Amyra/data=!4m7!3m6!1s0x2e69f744a2c07109:0x61d5da3a8f52bdfb!8m2!3d-6.2014793!4d106.7742542!16s%2Fg%2F11frr1t2s6!19sChIJCXHAokT3aS4R-71Sjzra1WE?authuser=0&hl=id&rclk=1","Dapoer Amyra","4,9","(27)","","","Makanan Sehat","·","","Jl. Komp. BPK II No.C6 14, RT.14/RW.2","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEaGYxwY6tVmILJbJwPyoGIrse3YpNaNWoZwhBWkm2jOnCXe7n2gj2vWpeBng-8LJvmz1nvHf_BGEPsI48-hMjCAXLJmuROr3G7a8I8YLEBGvZ6xUqW50ZZzwVFatGJkmoKJucS=w92-h92-k-no","","Makan di tempat","","","","","Bawa pulang","Pesan antar"
"https://www.google.com/maps/place/Dhe,Bagoes+coffee+resto/data=!4m7!3m6!1s0x2e69f70032170adf:0x7993f47f56d27291!8m2!3d-6.1941752!4d106.7559971!16s%2Fg%2F11y298ks9c!19sChIJ3woXMgD3aS4RkXLSVn_0k3k?authuser=0&hl=id&rclk=1","Dhe,Bagoes coffee resto","5,0","(18)","·","Rp 25–50 rb","Indonesia","·","","Jl. Pesanggrahan No.12b, RT.9/RW.5","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFM_2TAg1AVtQCnST0ACQ4tuU81n1SIAWzbz-BVONedGaQwidAtqHO1oa-MFD7uR3l5IREjan0iXYCHXHuPDphOCT3TLsHlFWLCG6jTQbVyAuwwX5FJwiePy1bwQ-msF0R8QCRLBOknby3i=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasanya enak, Creamy dan harga enjoyable.""","","","","· Tutup pukul 00.00","",""
"https://www.google.com/maps/place/Bale+Dahar/data=!4m7!3m6!1s0x2e69f71db1f00645:0x814dab962bcd095f!8m2!3d-6.1939015!4d106.7692194!16s%2Fg%2F1v90f60n!19sChIJRQbwsR33aS4RXwnNK5arTYE?authuser=0&hl=id&rclk=1","Bale Dahar","4,4","(520)","·","Rp 50–75 rb","Restoran","·","","·","Jl. Panjang No.5D, RT.7/RW.11","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiyn8pk-LjXsVE7SEItNlqmcu-zzDANLJ8EDlbRZrqMowpSI30x85gTLwIq_NnjKmkrBFd631nKniwRnlxkcIKhiJSvdEQUbKViu4DSSeCJMyZoFv0SiYc8tgZTqm90j-boDDR=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Overall","https://www.google.com/viewer/chooseprovider?mid=/g/1v90f60n&g2lbs=AIBNGdVk9HTWQdQQn9hODldLIUZuGjw-GwDQJgIw20y6cNkXACjO8JAbhxLnZ_26w5C0N2Z-bihvZQPj-_YCgRGBbyMlsaTSnA%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=oabjabz6AfyXnesPqrmzkQk&ei=oabjabz6AfyXnesPqrmzkQk&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","· Buka Min pukul 10.00","makanan","sangat enak, kami pesan tahu isi, nasi lodeh, nasi pecel."""
"https://www.google.com/maps/place/Saung+Jamboe/data=!4m7!3m6!1s0x2e69f7500b55fedf:0x1256dca4c75e3508!8m2!3d-6.203125!4d106.760148!16s%2Fg%2F11lgdhkjjn!19sChIJ3_5VC1D3aS4RCDVex6TcVhI?authuser=0&hl=id&rclk=1","Saung Jamboe","4,7","(77)","·","Rp 25–50 rb","Kafe","·","","Jl. Lapangan Bola No.4, RT.4/RW.5","","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRiISoB-ZIC8JQJE9qv9J2w0MkK2_FlD1rRGRYiHXBpXLvD5FemPPrRJVrBl1fXPwMR53ZN330Y04uQmt4gJdOqeDftKUdS9QgeNpSH74AUq9w1OFAErwGjnbeeAS45JejwxSy=w199-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""sederhana tapi nyaman, harga","","","","· 23.00 · Buka Min pukul 09.00","makanan","pun standar."""
