"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 7","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Alfamart+Kebon+Jeruk+Raya+3/data=!4m7!3m6!1s0x2e69f719402397d5:0x6ab52f9f0a19c61!8m2!3d-6.1986026!4d106.7656219!16s%2Fg%2F1hm5zg1d7!19sChIJ1ZcjQBn3aS4RYZyh8PlSqwY?authuser=0&hl=id&rclk=1","Alfamart Kebon Jeruk Raya 3","4,2","(131)","Minimarket","·","","·","Jl. Raya Kb. Jeruk No.16 6, RT.6/RW.1","Buka 24 jam","0815-1907-8223","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Standard","","","",""
"https://www.google.com/maps/place/Alfamart+Rawa+Belong+3+K883/data=!4m7!3m6!1s0x2e69f6c32c4b85fd:0x87ab4057f8f04f8d!8m2!3d-6.2012214!4d106.7827103!16s%2Fg%2F11g9r04gg_!19sChIJ_YVLLMP2aS4RjU_w-FdAq4c?authuser=0&hl=id&rclk=1","Alfamart Rawa Belong 3 K883","3,8","(29)","Minimarket","·","","Jl. Raya Kb. Jeruk No.76 7, RT.7/RW.12","","Buka 24 jam","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya kecil, mungil, AC nya dingin, staf friendly.""","","","",""
"https://www.google.com/maps/place/Mini+Market+Sari+Bumi+Abadi/data=!4m7!3m6!1s0x2e69f6fbb8b1b23f:0xca0b2c73dd37292b!8m2!3d-6.184357!4d106.7783411!16s%2Fg%2F11bxf702rx!19sChIJP7KxuPv2aS4RKyk33XMsC8o?authuser=0&hl=id&rclk=1","Mini Market Sari Bumi Abadi","4,5","(11)","Toko bahan makanan","·","","No Jl. H. Sanusi Taming No.107 2, RT.2/RW.2","","Segera tutup","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada harga grosir dan ecer.""","· 00.00 · Buka Min pukul 08.00","","",""
"https://www.google.com/maps/place/Lawson+Gili+Sampeng/data=!4m7!3m6!1s0x2e69f77b43ed869f:0x5084ba04c0665b0f!8m2!3d-6.1936538!4d106.7803187!16s%2Fg%2F11sv_ffd3d!19sChIJn4btQ3v3aS4RD1tmwAS6hFA?authuser=0&hl=id&rclk=1","Lawson Gili Sampeng","3,5","(39)","Minimarket","·","","Jl. Gili Sampeng No.76, RT.1/RW.4","·","Segera tutup","0821-3016-9276","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""AC ga dingin banget ga masalah, masih nyaman2 aja kq.""","· 00.00 · Buka Min pukul 06.00","","",""
"https://www.google.com/maps/place/FamilyMart+Rawa+Belong/data=!4m7!3m6!1s0x2e69f7002f64bcfb:0xd389c694cc99c293!8m2!3d-6.2023098!4d106.7826428!16s%2Fg%2F11rr0_gt9v!19sChIJ-7xkLwD3aS4Rk8KZzJTGidM?authuser=0&hl=id&rclk=1","FamilyMart Rawa Belong","2,4","(122)","Minimarket","·","","3, Jl. Rw. Belong No.1, RT.3/RW.6","·","Tutup","0811-9730-1669","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopinya enak plus harganya murah banget dibanding brand2 kopi lainnya.""","· Buka Min pukul 07.00","","",""
"https://www.google.com/maps/place/Indomaret+Panjang+Raya+5A/data=!4m7!3m6!1s0x2e69f7d849461d51:0xec5ec981032842!8m2!3d-6.1952276!4d106.768603!16s%2Fg%2F11j0s0s_h6!19sChIJUR1GSdj3aS4RQigDgcle7AA?authuser=0&hl=id&rclk=1","Indomaret Panjang Raya 5A","4,6","(1.157)","Minimarket","·","","Jl. Panjang No.5, RT.5/RW.10","Buka 24 jam","·","1 500 280","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alfamart dengan konsep drive thru terbaru.""","","https://www.indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Mini+Market+Rahman/data=!4m7!3m6!1s0x2e69f6e42c1e03e5:0xeb4528fa4a6d8932!8m2!3d-6.192904!4d106.7791374!16s%2Fg%2F11gfgdn50y!19sChIJ5QMeLOT2aS4RMoltSvooRes?authuser=0&hl=id&rclk=1","Mini Market Rahman","4,7","(11)","Toko bahan makanan","·","","9 No.3, RT.9/RW.3","","Tutup","","","Rute","","","· Buka Min pukul 08.00","","",""
"https://www.google.com/maps/place/Sya%27ban+Mart+Kebon+Jeruk/data=!4m7!3m6!1s0x2e69f6e06f5a6777:0xa2655f27fe3bdd8d!8m2!3d-6.1977778!4d106.7725!16s%2Fg%2F11gfjddc12!19sChIJd2dab-D2aS4Rjd07_idfZaI?authuser=0&hl=id&rclk=1","Sya'ban Mart Kebon Jeruk","4,5","(183)","Minimarket","·","","Jl. Raya Kb. Jeruk No.6 4, RT.4/RW.2","·","Tutup","0813-1477-8474","","Rute","","Pesan antar","· Buka Min pukul 07.00","","",""
