"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Kebon+Jeruk/data=!4m7!3m6!1s0x2e69f71e6db89e33:0xbbb9bcc27f8da03!8m2!3d-6.1942799!4d106.7688814!16s%2Fg%2F11b7r_y4z_!19sChIJM564bR73aS4RA9r4J8ybuws?authuser=0&hl=id&rclk=1","Kebon Jeruk","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kebon+Jeruk/data=!4m7!3m6!1s0x2e69f71cd8d39419:0x382f15a81e0236ae!8m2!3d-6.1897809!4d106.7674535!16s%2Fg%2F11gnq84d8z!19sChIJGZTT2Bz3aS4RrjYCHqgVLzg?authuser=0&hl=id&rclk=1","Kebon Jeruk","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Duri+Kepa/data=!4m7!3m6!1s0x2e69f7025a9ff487:0x2eaebebef819edd0!8m2!3d-6.1852543!4d106.7684247!16s%2Fg%2F11bcc9rdnr!19sChIJh_SfWgL3aS4R0O0Z-L6-ri4?authuser=0&hl=id&rclk=1","Duri Kepa","Perhentian bus","","Rute"
"https://www.google.com/maps/place/KH+Syahdan/data=!4m7!3m6!1s0x2e69f6c2d495497f:0x61bceea9c725e602!8m2!3d-6.20052!4d106.78254!16s%2Fg%2F11fnymrd94!19sChIJf0mV1ML2aS4RAuYlx6nuvGE?authuser=0&hl=id&rclk=1","KH Syahdan","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kebon+Jeruk+1/data=!4m7!3m6!1s0x2e69f71e41432ddb:0x4eb330fb6575143e!8m2!3d-6.1947246!4d106.7687555!16s%2Fg%2F11hdlwqj51!19sChIJ2y1DQR73aS4RPhR1Zfsws04?authuser=0&hl=id&rclk=1","Kebon Jeruk 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Jln.+Jeruk+Manis/data=!4m7!3m6!1s0x2e69f71f37dd67c5:0xa6e28d4eae2692bf!8m2!3d-6.19742!4d106.76535!16s%2Fg%2F11fj6jqbl0!19sChIJxWfdNx_3aS4Rv5Imrk6N4qY?authuser=0&hl=id&rclk=1","Jln. Jeruk Manis","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Simpang+Budi+Sakti+Raya/data=!4m7!3m6!1s0x2e69f6efe4bf0885:0x8ae97d17ae584363!8m2!3d-6.18838!4d106.78328!16s%2Fg%2F11fd567ytx!19sChIJhQi_5O_2aS4RY0NYrhd96Yo?authuser=0&hl=id&rclk=1","Simpang Budi Sakti Raya","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kebon+Jeruk+2/data=!4m7!3m6!1s0x2e69f71e727e95df:0xf2eec622f3c93c2a!8m2!3d-6.19416!4d106.76901!16s%2Fg%2F11gtznwgnw!19sChIJ35V-ch73aS4RKjzJ8yLG7vI?authuser=0&hl=id&rclk=1","Kebon Jeruk 2","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Simpang+Rawa+Belong+Kemanggisan/data=!4m7!3m6!1s0x2e69f6dd4e01a889:0x49c28fa6c6cffa2!8m2!3d-6.19887!4d106.78206!16s%2Fg%2F11f5g0ysfq!19sChIJiagBTt32aS4Rov9sbPoonAQ?authuser=0&hl=id&rclk=1","Simpang Rawa Belong Kemanggisan","Perhentian bus","","Rute"
"https://www.google.com/maps/place/RS+Anggrek+Mas/data=!4m7!3m6!1s0x2e69f6df2eba2bc5:0xa5d870d7bfdbd106!8m2!3d-6.20319!4d106.77283!16s%2Fg%2F11fd567_cn!19sChIJxSu6Lt_2aS4RBtHbv9dw2KU?authuser=0&hl=id&rclk=1","RS Anggrek Mas","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Gerbang+Tol+Kb.+Jeruk/data=!4m7!3m6!1s0x2e69f71cfdad6445:0x7f9b0c16c6b17787!8m2!3d-6.19059!4d106.76752!16s%2Fg%2F11tfp5qtrx!19sChIJRWSt_Rz3aS4Rh3exxhYMm38?authuser=0&hl=id&rclk=1","Gerbang Tol Kb. Jeruk","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Jln.+Majelis+Meruya+Ilir/data=!4m7!3m6!1s0x2e69f717972da451:0xae147ec912870c25!8m2!3d-6.19722!4d106.75773!16s%2Fg%2F11sc3m4shw!19sChIJUaQtlxf3aS4RJQyHEsl-FK4?authuser=0&hl=id&rclk=1","Jln. Majelis Meruya Ilir","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Sebrang+Suzuki+Kebon+Jeruk/data=!4m7!3m6!1s0x2e69f71da4a678c3:0x6d51869211e5752b!8m2!3d-6.19149!4d106.7687!16s%2Fg%2F11fd5681m6!19sChIJw3impB33aS4RK3XlEZKGUW0?authuser=0&hl=id&rclk=1","Sebrang Suzuki Kebon Jeruk","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Sbr.+Jln.+Bhakti+VII+Palmerah/data=!4m7!3m6!1s0x2e69f6e8b4ed7013:0x253e8ab4043e22b5!8m2!3d-6.19318!4d106.78365!16s%2Fg%2F11tfp5t1y9!19sChIJE3DttOj2aS4RtSI-BLSKPiU?authuser=0&hl=id&rclk=1","Sbr. Jln. Bhakti VII Palmerah","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Apartemen+Kedoya+Elok+1/data=!4m7!3m6!1s0x2e69f71d3381ca47:0x6d57e8a58d408a1e!8m2!3d-6.18847!4d106.7688!16s%2Fg%2F11tkb19wcy!19sChIJR8qBMx33aS4RHopAjaXoV20?authuser=0&hl=id&rclk=1","Apartemen Kedoya Elok 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Jalan+Sitrun/data=!4m7!3m6!1s0x2e69f71f0dee1211:0x53ab2c4fb2903779!8m2!3d-6.19713!4d106.76719!16s%2Fg%2F11gh1p3c_d!19sChIJERLuDR_3aS4ReTeQsk8sq1M?authuser=0&hl=id&rclk=1","Jalan Sitrun","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Gg.+U+Palmerah/data=!4m7!3m6!1s0x2e69f6c35203d2cb:0xfc9db48c7d260abe!8m2!3d-6.20269!4d106.7828!16s%2Fg%2F11fr522lzg!19sChIJy9IDUsP2aS4RvgomfYy0nfw?authuser=0&hl=id&rclk=1","Gg. U Palmerah","Perhentian bus","","Rute"
"https://www.google.com/maps/place/SMKN+60/data=!4m7!3m6!1s0x2e69f6fd74f285d3:0x109efe0a6abf8d09!8m2!3d-6.1859165!4d106.7719263!16s%2Fg%2F11gnq84grl!19sChIJ04XydP32aS4RCY2_agr-nhA?authuser=0&hl=id&rclk=1","SMKN 60","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Duri+Kepa+1/data=!4m7!3m6!1s0x2e69f70250a5de49:0xe9d171c04d7f3197!8m2!3d-6.1852568!4d106.7684238!16s%2Fg%2F11gnq84fzk!19sChIJSd6lUAL3aS4RlzF_TcBx0ek?authuser=0&hl=id&rclk=1","Duri Kepa 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kb.+Jeruk+1/data=!4m7!3m6!1s0x2e69f71e698b55c7:0xeea22cfebd6b0468!8m2!3d-6.19474!4d106.76878!16s%2Fg%2F11tkb179jp!19sChIJx1WLaR73aS4RaARrvf4sou4?authuser=0&hl=id&rclk=1","Kb. Jeruk 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Jln.+H.+Salihun+Kb.+Jeruk/data=!4m7!3m6!1s0x2e69f6e0beeac841:0xab5fb90535fd4130!8m2!3d-6.19743!4d106.77536!16s%2Fg%2F11fj6jpmb5!19sChIJQcjqvuD2aS4RMEH9NQW5X6s?authuser=0&hl=id&rclk=1","Jln. H. Salihun Kb. Jeruk","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Jln.+Angsana+Kemanggisan/data=!4m7!3m6!1s0x2e69f6e6269d0acb:0xf2540af297334dbb!8m2!3d-6.19493!4d106.78208!16s%2Fg%2F11fd5693q8!19sChIJywqdJub2aS4Ru00zl_IKVPI?authuser=0&hl=id&rclk=1","Jln. Angsana Kemanggisan","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Tol+Kb.+Jeruk+1/data=!4m7!3m6!1s0x2e69f71d111fe4bf:0xc766586b597369bc!8m2!3d-6.1902!4d106.76759!16s%2Fg%2F11j_2grcx7!19sChIJv-QfER33aS4RvGlzWWtYZsc?authuser=0&hl=id&rclk=1","Tol Kb. Jeruk 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Suzuki+Panjang+Arteri/data=!4m7!3m6!1s0x2e69f71dbdd359c3:0xb014aa2a68a32da8!8m2!3d-6.192!4d106.76896!16s%2Fg%2F11tfp63ymg!19sChIJw1nTvR33aS4RqC2jaCqqFLA?authuser=0&hl=id&rclk=1","Suzuki Panjang Arteri","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kencana+Tower+Meruya+Ilir/data=!4m7!3m6!1s0x2e69f7189b1dadb9:0x9803e0886c4fb98c!8m2!3d-6.19838!4d106.76266!16s%2Fg%2F11s7_4dbxd!19sChIJua0dmxj3aS4RjLlPbIjgA5g?authuser=0&hl=id&rclk=1","Kencana Tower Meruya Ilir","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Duri+Kepa+2/data=!4m7!3m6!1s0x2e69f7025a16e66d:0x248a81a0e4bbce7a!8m2!3d-6.1854356!4d106.7685605!16s%2Fg%2F11fd5695_t!19sChIJbeYWWgL3aS4Res675KCBiiQ?authuser=0&hl=id&rclk=1","Duri Kepa 2","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Sbr.+Jln.+Srengseng+Dalam/data=!4m7!3m6!1s0x2e69f7234676466f:0xa6d4715490ba83ed!8m2!3d-6.20309!4d106.75971!16s%2Fg%2F11td4j44wc!19sChIJb0Z2RiP3aS4R7YO6kFRx1KY?authuser=0&hl=id&rclk=1","Sbr. Jln. Srengseng Dalam","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Ps.+Pengampuan/data=!4m7!3m6!1s0x2e69f7229b0eb4cf:0x8500cd47e07d0a05!8m2!3d-6.19934!4d106.76094!16s%2Fg%2F11gtznrc4d!19sChIJz7QOmyL3aS4RBQp94EfNAIU?authuser=0&hl=id&rclk=1","Ps. Pengampuan","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Apartemen+Kedoya+Elok+1/data=!4m7!3m6!1s0x2e69f702cb596aa9:0x3817414d2400d56f!8m2!3d-6.18861!4d106.76882!16s%2Fg%2F11tfp61m0w!19sChIJqWpZywL3aS4Rb9UAJE1BFzg?authuser=0&hl=id&rclk=1","Apartemen Kedoya Elok 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Sbr.+SMAN+78/data=!4m7!3m6!1s0x2e69f6e5f4482461:0x4626d99e347447ec!8m2!3d-6.19207!4d106.78222!16s%2Fg%2F11tfp5c24f!19sChIJYSRI9OX2aS4R7Ed0NJ7ZJkY?authuser=0&hl=id&rclk=1","Sbr. SMAN 78","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Sbr.+Graha+Kencana/data=!4m7!3m6!1s0x2e69f71c9c373d79:0xfb5a0120a70f0dfa!8m2!3d-6.19026!4d106.76528!16s%2Fg%2F11q3_3qmb9!19sChIJeT03nBz3aS4R-g0PpyABWvs?authuser=0&hl=id&rclk=1","Sbr. Graha Kencana","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Jln.+Salam+IV/data=!4m7!3m6!1s0x2e69f6db877a7509:0x9d7e9af86796efd7!8m2!3d-6.20347!4d106.77897!16s%2Fg%2F11s7_513s5!19sChIJCXV6h9v2aS4R1--WZ_iafp0?authuser=0&hl=id&rclk=1","Jln. Salam IV","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Tol+Kb.+Jeruk+2/data=!4m7!3m6!1s0x2e69f71ce836711d:0x95debedd35d4bad1!8m2!3d-6.18985!4d106.7668!16s%2Fg%2F11tfp5q1v_!19sChIJHXE26Bz3aS4R0brUNd2-3pU?authuser=0&hl=id&rclk=1","Tol Kb. Jeruk 2","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Simpang+Meruya+Panjang+Arteri/data=!4m7!3m6!1s0x2e69f71fb739de85:0xd9c4bc680e6a416b!8m2!3d-6.1965922!4d106.7688022!16s%2Fg%2F11gyxcr51b!19sChIJhd45tx_3aS4Ra0FqDmi8xNk?authuser=0&hl=id&rclk=1","Simpang Meruya Panjang Arteri","Perhentian bus","","Rute"
