"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/TROPPO+PIZZA/data=!4m7!3m6!1s0x2e69f1b55e0bcc81:0x8ae0ce1d14c3f845!8m2!3d-6.2211384!4d106.787856!16s%2Fg%2F11yqkndtld!19sChIJgcwLXrXxaS4RRfjDFB3O4Io?authuser=0&hl=id&rclk=1","TROPPO PIZZA","4,4","(66)","·","Rp 250.000+","Pizza","·","Kompleks Perkantoran, Jl. Permata Hijau Blok D9, RT.4/RW.12","Tutup","· Buka Min pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2ghfjg2tewQe37QOoq-X4D72yMARDsEnUyXmOj7J4ZsACVnQ_8_7MzKq-P5TR4jKSq0l52glWnub2g_ZnRdNvf_6aO69JERiZwTSWCqsIdgwssVAGplnYHthyQjHaNbbz0V20-jp39CMJ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice little hidden gem","pizza","place in permata hijau""","","","","",""
"https://www.google.com/maps/place/Pizza+La+Pizzeria/data=!4m7!3m6!1s0x2e69f12fd050bed3:0x385ad70a5b57db6b!8m2!3d-6.2202591!4d106.7517765!16s%2Fg%2F11p00hky85!19sChIJ075Q0C_xaS4Ra9tXWwrXWjg?authuser=0&hl=id&rclk=1","Pizza La Pizzeria","4,7","(21)","·","Rp 50–75 rb","Pizza","·","Jl. Taman Alfa Indah No.7, RT.3/RW.7","Tutup","· Buka Min pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFyJ64rQmJzbbnVKH37wJo_DeqwQXzmtLdUmFNUecOcE0pkSEmdoU-ohnD0JWYXMA0ly3Qxuhq7zCTQ8Rm4SKcY5kfWQMKnxq1EG-Gln-P0oquFo_DWVKdJaWrNF7--DdojC45a=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pizzanya ueenakkk""","","","https://www.google.com/viewer/chooseprovider?mid=/g/11p00hky85&g2lbs=AIBNGdWdapPMhFQUq1FlR5hw-nogvLqoCeXRVQGzalb5OmrqQsj2OzSUrUbZznWRaxQy5asRktTLnhhV-U5ncSWhFAH12AC9jg%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=WavjaaaHEIqr4-EP6ZGeiQU&ei=WavjaaaHEIqr4-EP6ZGeiQU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/VETERAN+PIZZA+KEMANDORAN/data=!4m7!3m6!1s0x2e69f6c9c75837d1:0x82a0dcbf0f54fd08!8m2!3d-6.2115412!4d106.7928262!16s%2Fg%2F11c6y9dv74!19sChIJ0TdYx8n2aS4RCP1UD7_coII?authuser=0&hl=id&rclk=1","VETERAN PIZZA KEMANDORAN","4,7","(41)","·","Rp 25–50 rb","Pizza","·","Jl. Kemandoran Pluis No.27 7, RT.7/RW.14","Tutup","· Buka Min pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZ3uVMUcKZbC5shRA2AqAqPLRqgL_zBbzDa3ct8LG3N3RGL9KmebSDSckLc5OwsfzCXAqLv7rnEZWjy1W50M-JaxHo1FNtuQytQp5u0_-a5q2Gsz0IxilZIwXjoYW_XcTB5XWvRA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pizzanya tebal dan renyah, topping melimpah, dan rasa autentik.""","","","","","","",""
"https://www.google.com/maps/place/Dian%27s+Kue+%26+Pizza/data=!4m7!3m6!1s0x2e69f7957426b7ef:0xaaff7222b16fd954!8m2!3d-6.2141063!4d106.7700813!16s%2Fg%2F11ksrxd6dc!19sChIJ77cmdJX3aS4RVNlvsSJy_6o?authuser=0&hl=id&rclk=1","Dian's Kue & Pizza","5,0","(23)","·","Rp 1–25.000","Toko Kue","·","Jl. Inpres No.4B, RT.8/RW.5","Tutup","· Buka Min pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG5oBYDi7O2lBMghSsJ85obvKdq8pufBEwa7wtTfvdlJu-AA4_m-8OJnChcGpjNjCzk8-X5YtymhEdH55NB9BSRdCFZ2n7gY-nhdbT7rvn_O95ZyqH8OMasKGNhOlIkFEJS5Zjssg=w199-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","PIZZA","NYA JUARA!😻
enakkk parah, adonannya empuk, selalu repeat order..""","","","","",""
"https://www.google.com/maps/place/Emilia+Cucina+Italiana/data=!4m7!3m6!1s0x2e69f7b90f7ad6c5:0x57fd76ddbb533a84!8m2!3d-6.2155918!4d106.7802735!16s%2Fg%2F11ng735qyt!19sChIJxdZ6D7n3aS4RhDpTu912_Vc?authuser=0&hl=id&rclk=1","Emilia Cucina Italiana","4,8","(4.817)","·","Rp 250.000+","Italia","·","·","Tutup","· Buka Min pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOnlGti6_cd-KT1Lqr77BMA1aoICm3hdEt-Cia_IsPEwb56_3l181eMpOsE_ojyY9NLDpXret34bm2EdRZqfrpaf2yCkwQP7_7FHzQudljmqfTGy4AsFqtRquKGz6JupzmzOtK=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","pizza","funghi and pasta bistecca nya mantap, ambient atmosphere.""","https://www.google.com/viewer/chooseprovider?mid=/g/11ng735qyt&g2lbs=AIBNGdW7aeSaFySkOZGD6I7HewHTIE3FtB5fw_o04D6kIaSCRuEPC__X2dt9A5IZMJg70sCMGmGtEyqfuiuVZysKWIbw-0HK4Q%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=WavjaaaHEIqr4-EP6ZGeiQU&ei=WavjaaaHEIqr4-EP6ZGeiQU&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Biduri Bulan Blok I No.03, RT.6/RW.1"
"https://www.google.com/maps/place/Pizza+Yolo/data=!4m7!3m6!1s0x2e69f12ab46c2123:0xf91bd5be5772646!8m2!3d-6.2192493!4d106.7718915!16s%2Fg%2F11x03zfsw0!19sChIJIyFstCrxaS4RRiZ35Vu9kQ8?authuser=0&hl=id&rclk=1","Pizza Yolo","4,2","(5)","","","Restoran","·","Jl. Panjang Kp. Baru No.54, RT.7/RW.3","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFhDWummgBH4EyamAdWMZYfQNjTel8-9pWukAAV9fGiCZCL391HQASQBxzZ27AljoNjlhP_d5Tyzja5dc1Sb9rhTqQZzz7DiP0hs_Grf5rWYgq_CR8DWqdm2eQ-YAReYrK0jA0R=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pizza","nya murah ternyata letaknya diseberang Alfamidi bukan disampingnya""","https://www.google.com/viewer/chooseprovider?mid=/g/11x03zfsw0&g2lbs=AIBNGdV1EgyN8btzgHrSVZlOnUL8IU9EP894k9Jt8sOO9qKHlNozaFWT04g6pMwaE38u9mhqhGK8z9SSbZ02lAU1SxbI8QmlsQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=WavjaaaHEIqr4-EP6ZGeiQU&ei=WavjaaaHEIqr4-EP6ZGeiQU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Pizza+Pepperino+-+Barito/data=!4m7!3m6!1s0x2e69f10054c60d65:0x450d388f2ef0401e!8m2!3d-6.243971!4d106.7921225!16s%2Fg%2F11m6w7cmsx!19sChIJZQ3GVADxaS4RHkDwLo84DUU?authuser=0&hl=id&rclk=1","Pizza Pepperino - Barito","4,8","(908)","","","Italia","·","Jl. Langsat I No.3a, RT.3/RW.1","Tutup","· Buka Min pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFyCYltAL4tvSezD2XoE9F7siflUXUai48B2QVu8VsAnh-lAnUsKyT10iFbn7JgE607c8DFrcWNU6ryJtDIKZHISadMW663AK5h47ewjQIdudp-Ev0wqYBJpb0BvHvF6z1dEBueS0npbVl7=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best","pizza",", khususnya yg tuna truffle ciamik!!!✨✨, Good Service!!""","https://www.google.com/viewer/chooseprovider?mid=/g/11m6w7cmsx&g2lbs=AIBNGdXRAqDb0gvnFI62y3_PmOhWoEwRR1QN6DxhZqsRnV2-ef89Edhz41Bq7sG68LD0dW122RR76EvVpRoTUGuPWua6ez2XOg%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=WavjaaaHEIqr4-EP6ZGeiQU&ei=WavjaaaHEIqr4-EP6ZGeiQU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Pizza+Hut+Delivery+-+PHD+Pos+Pengumben/data=!4m7!3m6!1s0x2e69f72b0d1d3323:0x1e9c52eb4295a4ab!8m2!3d-6.2165298!4d106.7669085!16s%2Fg%2F11r8c93jv!19sChIJIzMdDSv3aS4Rq6SVQutSnB4?authuser=0&hl=id&rclk=1","Pizza Hut Delivery - PHD Pos Pengumben","4,5","(650)","·","$$","Stan Pizza","·","·","Buka","· Tutup pukul 02.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAELRjNKNHj_s76DUWmC6zqk3il7Y8NuKU3_8iVfaSJiCCm-hPW8FNvNm9YrYL4AHG3q2FRnDEjlNaKzolQrsSgFWv1z6x5DW6VteKpTvlEf6L0trwXOjjldP0gcH5aSa4OvAATg=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pizzanya selaluu enak topping melimpahhh selalu baca notee""","","","https://www.google.com/viewer/chooseprovider?mid=/g/11r8c93jv&g2lbs=AIBNGdWMXt-M5Pmn4JY1eHtJcj7p-A49pxjHYWhb-LylQj1pb2H7cyLDa-_Ur8wSTHnqi5HFUHIpn2Pc2jEvAs7mO-IH9u9h-w%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=WavjaaaHEIqr4-EP6ZGeiQU&ei=WavjaaaHEIqr4-EP6ZGeiQU&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Raya Pos Pengumben No.188A"
