"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 5","W4Efsd 6","A1zNzb href","J8zHNe","bbPy1","M4A5Cf"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Rumah+Makan+Karunia+Jaya+Masakan+Padang/data=!4m7!3m6!1s0x2e69f7e983443923:0x54d7a2ade3d530bd!8m2!3d-6.1848188!4d106.7776272!16s%2Fg%2F11vdrlly4p!19sChIJIzlEg-n3aS4RvTDV462i11Q?authuser=0&hl=id&rclk=1","Rumah Makan Karunia Jaya Masakan Padang","4,1","(97)","·","Rp 1–25.000","Indonesia","·","Jl. Kebon Raya No.37, RT.8/RW.6","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGGAXA-gOFPfRAeJzq7wUtAa7ney8x-gfx0B3rG4KW7y81Wny6xw8dZE2uEyk864QPNbdicd804ySWqdQ67FyhFuD3beLd_gIF0HEDvnkICHWF3ZBbv8443K-ecfzGthGhCkYyQdSiwZeBd=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masakan","Padang","Karunia Jasa recommended banget!""","","","","","","",""
"https://www.google.com/maps/place/Rumah+Makan+Karunia+Jaya/data=!4m7!3m6!1s0x2e69f72290cb33bf:0x415d56aa790ac9d!8m2!3d-6.1993408!4d106.7609278!16s%2Fg%2F11f06lv4vk!19sChIJvzPLkCL3aS4RnayQp2rVFQQ?authuser=0&hl=id&rclk=1","Rumah Makan Karunia Jaya","4,5","(382)","·","Rp 1–25.000","Padang","·","·","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3jrQUYVhDph17X6RmdLbWuNKw3qGcDg7ZG7xwRH3Q5CT_8qr74nsvQ4bsc_GUa4eHZjeSmN3AqEtAx5jhSPxB0gjCe9PAj4lkmilUCAQl5CDn6xofVWzudtKj3ONJoEPFAoco=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan nya enak murah","padang","yg masih 10rb dan enak""","","Pasar Pengampuan, Jl. Ps. Pengampuan No.25 1, RT.1/RW.7","","","","",""
"https://www.google.com/maps/place/MASAKAN+PADANG+%27Simpang+Pondok%27/data=!4m7!3m6!1s0x2e69f7ec93627263:0x76282ffc460614ce!8m2!3d-6.1883179!4d106.7689299!16s%2Fg%2F11rylcj9n5!19sChIJY3Jik-z3aS4RzhQGRvwvKHY?authuser=0&hl=id&rclk=1","MASAKAN PADANG 'Simpang Pondok'","4,9","(66)","·","Rp 50–75 rb","Indonesia","·","Jl. Panjang No.56-59, RT.6/RW.1","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF9KH8TOw2kxbXQqla1UJc3lk655suSQZMrL5hs7tg76uSBKASuPfsnuNZTzofXVzeUzTlHXTwQJaNUZ8tKeg06cqelGGRx1V4YrTZfu3rbkfpGRSJH2Os72HpmK3L5VL9KPT6V4w=w85-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masakan enak khas","padang","… bumbu berasa sekalii wajib di cobaa""","","","· Buka Min pukul 10.00","https://www.google.com/viewer/chooseprovider?mid=/g/11rylcj9n5&g2lbs=AIBNGdVtfFiWaTd0Sqse8eEsWPSAXZMA8LzM6pBrUhIkokTg69_qfcp1OWaJfp6i0YD953zgRhG-80cRQUvY5Mgp63x9RizkLA%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mrHjaZrcPPmGjuMPz4Ou6Qg&ei=mrHjaZrcPPmGjuMPz4Ou6Qg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Rumah+Makan+Sinar+Tanjung/data=!4m7!3m6!1s0x2e69f6fc54b70d93:0x264f1f9dacd4395c!8m2!3d-6.1856003!4d106.7736615!16s%2Fg%2F11f401knxb!19sChIJkw23VPz2aS4RXDnUrJ0fTyY?authuser=0&hl=id&rclk=1","Rumah Makan Sinar Tanjung","4,5","(317)","·","Rp 25–50 rb","Padang","·","Jl. Kb. Raya 2 No.5, RT.1/RW.1","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHqExDNAQWoaLeCGORv8evPAtIFpKZ1nUyJ-WvXqprKZswwBqkyQvkShBSkSLY1CY7lRMYtHx-daWSCvXl5sr9QoifDL-52RRFCoCyVXn77JqUEIIv4FkJm94BD4uX1R27jm0X0=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Langganan nasi","padang",", joss, rasa originale, harga murah,""","","","· Buka Min pukul 08.00","https://www.google.com/viewer/chooseprovider?mid=/g/11f401knxb&g2lbs=AIBNGdU8lCVhTi6uaN8zZztwUPSZipmjne6Ep5sSmMov53sSxi4wvIxYtG_HM7k39LseBrXidJHoh-kXcMKn6gFWQsLOXvIhIQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mrHjaZrcPPmGjuMPz4Ou6Qg&ei=mrHjaZrcPPmGjuMPz4Ou6Qg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/RM+Padang+Koto+Tanjung/data=!4m7!3m6!1s0x2e69f6ef80654601:0x6332e44fcd19368b!8m2!3d-6.1904194!4d106.7824761!16s%2Fg%2F11gfmcx6_f!19sChIJAUZlgO_2aS4RizYZzU_kMmM?authuser=0&hl=id&rclk=1","RM Padang Koto Tanjung","4,6","(107)","·","Rp 25–50 rb","Padang","·","Jl. Budi Raya No.90-3, RT.7/RW.9","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0jv-96Tiw9cWOJLsOJ2BsYZAwZ5w6sSVHESFXf6v4PjVO2IAZVBNbFdA8MnxUhmWAQuve95CIOUZ0UMVsuipKfia1ii65ubL31-Rl9BKJHDRyngHHLcJWJ0lqPQYLo-9uHxjg=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harganya murah terjangkau dengan porsi standar masakan","padang",".""","","","· Buka Min pukul 09.30","https://www.google.com/viewer/chooseprovider?mid=/g/11gfmcx6_f&g2lbs=AIBNGdW3YH7haj2SDbar3Tbupo8LfMV6ymLwBWLa-d_Q73w8L1J-3T9KhaRAPc7RETBZnHQ2x8cHQBWnBEozZA4aV5wlIoqWmA%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mrHjaZrcPPmGjuMPz4Ou6Qg&ei=mrHjaZrcPPmGjuMPz4Ou6Qg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Rumah+Makan+Kota+Baru/data=!4m7!3m6!1s0x2e69f6c34e864223:0xca77d1d2dc883301!8m2!3d-6.2025435!4d106.7828293!16s%2Fg%2F1hm3lg33_!19sChIJI0KGTsP2aS4RATOI3NLRd8o?authuser=0&hl=id&rclk=1","Rumah Makan Kota Baru","4,5","(257)","·","Rp 25–50 rb","Padang","·","·","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGo2V0fliUJidFlwEm1uv0CcuqlrVrmJunDTQmt1pA5GVzMgrRGQ5z6WQE2QiN6K28EiLBaY5UtKVktWcKjIva5QL2Juc337zfg8SpL2QJ1D0nxZtX2sqauxJYZ85K3FU4AziwEmw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rendangnya enak cuma dagingnya terlalu kering jd sdikit alot.""","","","","Jalan Rawa Belong No.32 A RT.8/RW.15 RT.9, RT.8/RW.15","· Buka Min pukul 09.00","https://www.google.com/viewer/chooseprovider?mid=/g/1hm3lg33_&g2lbs=AIBNGdWF1MvBj5CztNYEbO0YooW55MLUc6v3of99M5KMC13EkwEcxI9T4OYkNpvVvGuf1--nPnunffuweCscCPrhnZ5GMwNYqw%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mrHjaZrcPPmGjuMPz4Ou6Qg&ei=mrHjaZrcPPmGjuMPz4Ou6Qg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Rumah+Makan+Padang+Minang+Permai+Kemanggisan/data=!4m7!3m6!1s0x2e69f730a6299907:0xb1eb4a09849fcd84!8m2!3d-6.1932856!4d106.7833333!16s%2Fg%2F11nnz4vqhv!19sChIJB5kppjD3aS4RhM2fhAlK67E?authuser=0&hl=id&rclk=1","Rumah Makan Padang Minang Permai Kemanggisan","4,7","(28)","·","Rp 1–25.000","Restoran","·","Jl. Kemanggisan Raya No.123 5, RT.5/RW.13","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmvtcob6tNEbPnKbaeGU1mmJ-vojp_8yG5hEJQ-BBP8ZCb44mDnieYa-A-ICt9f1zm8CpEX10ZErn1Hgb4YtdCZ4RpTHFTsJXXktE5Zn5DFQFAXPlGsFR4j-Zt01EdhsV6GyI=w89-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masakan disini enak2,spesialnya rendang dagingnya mantaaap…""","","","","","· Buka Min pukul 05.30","","","",""
"https://www.google.com/maps/place/Lapau+Bukittinggi+-+Masakan+Minangkabau/data=!4m7!3m6!1s0x2e69f6dbd86a0a77:0x9fde08a209d4a19a!8m2!3d-6.2065139!4d106.7766886!16s%2Fg%2F11cnxn71rc!19sChIJdwpq2Nv2aS4RmqHUCaII3p8?authuser=0&hl=id&rclk=1","Lapau Bukittinggi - Masakan Minangkabau","4,6","(931)","·","Rp 25–50 rb","Padang","·","·","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3fIFwPceUtkrqsOYyo4VicD6yAALyczJHtPqcNFVDlqHzFbczcKyaPPLnUrmh1r5GreI8WvXmlP1i7I40Nq9Nr5Qj_dkDWc-jG6A2izjttO1jFSzxZ-MBU2__7ZyiZAncetxiFg=w80-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... enak dan jarang ada di tempat lain menu2 ciri khas","padang","""","","8, Jl. Isa No.18 A, RT.8/RW.3","· 00.00 · Buka Min pukul 17.00","","","",""
