"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","W4Efsd 6","A1zNzb href","J8zHNe","bbPy1","doJOZc","M4A5Cf"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Sky+Pasta+Binus+Jakbar/data=!4m7!3m6!1s0x2e69f7df3d774cdb:0x693739725d68490e!8m2!3d-6.2038491!4d106.7826622!16s%2Fg%2F11sm8p_x90!19sChIJ20x3Pd_3aS4RDkloXXI5N2k?authuser=0&hl=id&rclk=1","Sky Pasta Binus Jakbar","4,9","(2.316)","·","Rp 25–50 rb","Italia","·","Jl. Rw. Belong No.38-34, RT.7/RW.15","Segera tutup","· 23.00 · Buka Min pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF79ivm-kGya2GmmDMFzM7a7pCjFtpsrE9Br16JT5-76pCy-BMCYqudnISBPiyIvZjYv96LwNu3FOZZtD1FILKX4iHE_UDIIJVDqn07ZVicETiqQEMhLNF5z7osJbLZiJaLSKiWnA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ambiencenya juga enak dan santai, servicenya juara.""","","","","","","",""
"https://www.google.com/maps/place/Thyme+Diner/data=!4m7!3m6!1s0x2e69f526268115e3:0x55af3db447f78dd4!8m2!3d-6.186692!4d106.7836314!16s%2Fg%2F11tj2dc7gv!19sChIJ4xWBJib1aS4R1I33R7Q9r1U?authuser=0&hl=id&rclk=1","Thyme Diner","4,9","(382)","·","Rp 50–75 rb","Restoran","·","Jl. Budi Raya No.35 10, RT.10/RW.9","Tutup","· Buka Min pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFudLze0TqSMYxHzo6pp2p5dCR5pAqvJimWcFOsQBf-uEu-L6v1qD-mdRpMUGrd_xtpWoScoEDM7WfS9KYPfTqOsfCwq1Jf6Wrlnsgz-d1fnY72F-oP2MWFYYWRisoS4taQhTU=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Restoran","","","","","",""
"https://www.google.com/maps/place/Kemangi/data=!4m7!3m6!1s0x2e69f71b0fdcd54f:0x7ef136ebd45c8b72!8m2!3d-6.1905693!4d106.7626419!16s%2Fg%2F11b806d72_!19sChIJT9XcDxv3aS4Rcotc1Os28X4?authuser=0&hl=id&rclk=1","Kemangi","4,3","(1.084)","·","Rp 75–100 rb","Indonesia","·","Jl. Perjuangan No.4 Blok A, RT.15/RW.10","Segera tutup","· 23.30 · Buka Min pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSVLEg6eeSPirBY6vxpdrLIBDeVrxOfsKKUmU6gdVqdC80Mrv1GlFRSgAwrxeH5iLWaoJGid83KBzu3PIQyQlMZERZgFXJ_J40UUdIdJTtXj7Yj51G6A0ziUpcaxQnw2O0jd16=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recomended banget kalo buat nongkrong, makanannya enak, pelayanan juga ok""","","Restoran keren dengan masakan klasik","https://www.google.com/viewer/chooseprovider?mid=/g/11b806d72_&g2lbs=AIBNGdV0bPu50brfv-ZUfQuNNcnuzqSsCbRWwLg4922_Qro7YOj3JKIekQOyn9vQldWAbstRnmRi8CUvVr6tU1weN8i81hKTbQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=JKbjafnCBaDvseMP3tmWkAs&ei=JKbjafnCBaDvseMP3tmWkAs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Bebek+Kaleyo+Kemanggisan/data=!4m7!3m6!1s0x2e69f7428ffe566f:0x1362475e19a73051!8m2!3d-6.1956679!4d106.7823963!16s%2Fg%2F11h92mx0b3!19sChIJb1b-j0L3aS4RUTCnGV5HYhM?authuser=0&hl=id&rclk=1","Bebek Kaleyo Kemanggisan","4,8","(2.926)","·","Rp 25–50 rb","Restoran","·","Jl. Kemanggisan Raya No.39 4, RT.3/RW.13","Segera tutup","· 23.00 · Buka Sen pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmVo8c7ASXE-lPlblm6oclX0-fbt5PJputJS98JfhkaNUz9RMFIGzEUN5tJaLGgfZZ-aJNaHan72xNFwG_NqZIarQog4E3v1-JoNOlWS7MQuHvgQ4k85_XxbEdEmypE4iGEW8=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu bebek yang enak, bumbunya terasa, dengan varian rasa.""","","","","","","",""
"https://www.google.com/maps/place/Bale+Dahar/data=!4m7!3m6!1s0x2e69f71db1f00645:0x814dab962bcd095f!8m2!3d-6.1939015!4d106.7692194!16s%2Fg%2F1v90f60n!19sChIJRQbwsR33aS4RXwnNK5arTYE?authuser=0&hl=id&rclk=1","Bale Dahar","4,4","(520)","·","Rp 50–75 rb","Restoran","·","·","Tutup","· Buka Min pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFh7ptwTiGWVREfU2AvCjkfIAmb-GvfiwO-uSGOeKokuv-RQskLKBKLgahqIuX1kx-tNCxF6-PfpoH04SR_dkKOi86iN7ibl6LFWU5_NwIPcjtco1ZAvtyEJHAGyiAHUdUNhFQfvw=w135-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pesen nasi lodeh, tahu isi, dan nasi pecel semuanya enak.""","","Jl. Panjang No.5D, RT.7/RW.11","https://www.google.com/viewer/chooseprovider?mid=/g/1v90f60n&g2lbs=AIBNGdVPCMf02j9VR6aTQuDvJUrcF3UOqSBaf5v7hdnaclgz81m8MOsF_Ln5dchNRhCUF2B0GVhADFiqnPdwJ6fRNS78o_qxZA%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=JKbjafnCBaDvseMP3tmWkAs&ei=JKbjafnCBaDvseMP3tmWkAs&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Pesisir+Seafood/data=!4m7!3m6!1s0x2e69f7602b9f7f0d:0x3e76fc8493347d90!8m2!3d-6.1974202!4d106.757001!16s%2Fg%2F11fmfz3955!19sChIJDX-fK2D3aS4RkH00k4T8dj4?authuser=0&hl=id&rclk=1","Pesisir Seafood","4,7","(5.582)","·","$$$","Hidangan Laut","·","·","Tutup","· Buka Min pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHoLMPVj3YeNc1ZvXdFcUrRdgR4w4tjrOqyzaJS5xgn6q-XSc0qcq3gIaXqnh6Y9YwMVb9c-brKZUSMi09LjnvLEDrPT6qJLSqsVnUUKTaPa4YXPJ-VrUTQXOzhwurcAxG_FkY5=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanan enak, tempat luas, servicenya mantap bintang 5 deh!""","","Daerah Khusus Ibukota, Jl. Meruya Ilir Raya No.9, RT.4/RW.1, Srengseng, Kec. Kembangan, Kota, Jl. Meruya Ilir Raya, RT.4/RW.1","https://www.google.com/viewer/chooseprovider?mid=/g/11fmfz3955&g2lbs=AIBNGdWARpMBRgOeBayOGnr-KcSw6VC1-MKUzOmP6WOKmcc2hsoY-CWV6c9erqmSoY3rrBLtLuF1OxMnXund9CIJUfl3d93SCQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=JKbjafnCBaDvseMP3tmWkAs&ei=JKbjafnCBaDvseMP3tmWkAs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Waroeng+Sunda/data=!4m7!3m6!1s0x2e69f702ca5474d9:0x3dfeb94d32643aac!8m2!3d-6.187942!4d106.768904!16s%2Fg%2F11cmsvpdhc!19sChIJ2XRUygL3aS4RrDpkMk25_j0?authuser=0&hl=id&rclk=1","Waroeng Sunda","4,5","(5.441)","·","$$","Sunda","·","·","Tutup","· Buka Min pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmeN9Ap7zmF4JkxdH07aIX0i6sRhuamkRhm2uRzt18ja0kmbnSWQ7czf-cbVzzsCnkDJTmk4fzjyyRl7qTB5esCFOh1s8f8FMIZBwK5SBtyALc65imibHEaLOiC2r-F6_sVTfsyhZTels=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""All good, makanan enak, ambient nya bagus""","","Jl. Panjang No.57, RT.6/RW.1","https://www.google.com/viewer/chooseprovider?mid=/g/11cmsvpdhc&g2lbs=AIBNGdX2916f4tpehvRbD8xc3JpBKGDR_uobAXeff9WirQ2HT-5NjIuBQB3d7acVMWrGaYSDroh18Gto1VKu60Pw03PXQhUaaA%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=JKbjafnCBaDvseMP3tmWkAs&ei=JKbjafnCBaDvseMP3tmWkAs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Fish+Bite+Kemanggisan/data=!4m7!3m6!1s0x2e69f6c32ab88dad:0x65a6fbd6c560bf64!8m2!3d-6.200706!4d106.7836059!16s%2Fg%2F11hbgjcn75!19sChIJrY24KsP2aS4RZL9gxdb7pmU?authuser=0&hl=id&rclk=1","Fish Bite Kemanggisan","4,3","(381)","·","Rp 50–75 rb","Fish & Chips","·","Jl. Keluarga No.36 6, RT.6/RW.12","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFunWV1n2L8N99637ESTSrvagQHfGCXhv3DXN-JDLCDZfiU5LpOoUeqruGrjWd2CGEycflaALQ6_1a_eXi09b-piMZlEs18gau0-uiOIYC2ax3LajF1J4gThga2_a3-WiisQpZ4Zw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tartar sauce, butter, creamy pasta, fish smua enak banget.""","","","https://www.google.com/viewer/chooseprovider?mid=/g/11hbgjcn75&g2lbs=AIBNGdUA5TO70mCHJgqw3-fZSiwjrc0xwx6_md8r2-EIEOUc_g9D9wAYG8HbygArSIIt5sRF0wsQlMdXqc6wR5Mnl0SGsE9eNw%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=JKbjafnCBaDvseMP3tmWkAs&ei=JKbjafnCBaDvseMP3tmWkAs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
