"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/FIT+HUB+Kemanggisan/data=!4m7!3m6!1s0x2e69f7d3b8b6999d:0x3f0f09e42e7bc9c1!8m2!3d-6.198826!4d106.7812859!16s%2Fg%2F11kk99j2bt!19sChIJnZm2uNP3aS4Rwcl7LuQJDz8?authuser=0&hl=id&rclk=1","FIT HUB Kemanggisan","4,5","(284)","Pusat kebugaran","·","","·","Jl. Raya Kb. Jeruk No.15 ABC, RT.7/RW.5","Tutup","· Buka Min pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGN9P1wtdoucGA-TgIbUht3k-KnnO7mNHPGzn7aAgc5TA_0wwve5r8P4PgK1OdloYdkyxSQ5rkFT1f3YJRHPbQirtp0Xa9ulImz2hAA4A1RD2l1edYZpwPXh8JekE_eQlnDnrsATA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","premium dan affordable, tempatnya bersih, staff nya ramah"""
"https://www.google.com/maps/place/FTL+Gym+Kemanggisan/data=!4m7!3m6!1s0x2e69f7e34e89615b:0x2cdb40cbbfbfb709!8m2!3d-6.1986931!4d106.7820129!16s%2Fg%2F11wvbbxqzd!19sChIJW2GJTuP3aS4RCbe_v8tA2yw?authuser=0&hl=id&rclk=1","FTL Gym Kemanggisan","4,7","(182)","Pusat kebugaran","·","","Jl. Raya Kb. Jeruk No.18, RT.8/RW.5","","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXyoaYlKgsSkYT69ukUHi4c9YOzTcYjIbOQWhvFXHZP5SNz4aJh_X-6dptCcPoBvVFXOnaaEouGUXvMPmu6CnoD1Yn8j4b6AJxkNN9fGUyTotYU2IXzoCapfhFXJgwydfnTgg_WhblgAtY=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fasilitas","gym","lengkap dan bersih.Alat"
"https://www.google.com/maps/place/Emporium+Gym+Square+1/data=!4m7!3m6!1s0x2e69f6c3209749e5:0x7354651a7da9a7b8!8m2!3d-6.2007445!4d106.7836029!16s%2Fg%2F11c1s2k9wk!19sChIJ5UmXIMP2aS4RuKepfRplVHM?authuser=0&hl=id&rclk=1","Emporium Gym Square 1","4,4","(104)","Tempat Fitness","·","","·","The Cortado, Jl. Kyai H. Syahdan No.36A Lantai 3, RT.2/RW.12","Tutup","· Buka Min pukul 06.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnPLhuKAa0_u6qXKaJXE6rKT-hXvA_srn4ZB2XX4DnBvdmwfqxORvwqH0BgNzJ5yvGxxCOgRUU70xvhs5qOg8mssKqp4tfIA0mJWdxhUkFmw3oWjrBt5B9D8kL54Ae3UhqKeE=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kalo yg suka terang benderang,","gym","ini bukan pilihan."""
"https://www.google.com/maps/place/FTL+Gym+Arjuna/data=!4m7!3m6!1s0x2e69f7e32d19b6b5:0xe2523189c760f1bf!8m2!3d-6.1849145!4d106.7834866!16s%2Fg%2F11ms1sgk_x!19sChIJtbYZLeP3aS4Rv_Fgx4kxUuI?authuser=0&hl=id&rclk=1","FTL Gym Arjuna","5,0","(43)","Pusat kebugaran","·","","Jl. Arjuna Utara No.42E, RT.11/RW.2","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF9HTv9CLQeUH3_C3CH4QLrgg2sRKPx5ihVi0SS8o7IXRsRRfyTAkYZqb_NSzaHtwARbXUSAMidFB-zl8hgip7v2jhoda2AfXn7obmgGde56LKGVuHH12ItOyivdAFasM_JWWefup1LTpQb=w115-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","besar, yang akan segera buka, yuk daftar ke Ftl Arjuna"""
"https://www.google.com/maps/place/FITX+GYM+Meruya/data=!4m7!3m6!1s0x2e69f70d92ac7adb:0x77fbc8e8e12c74b9!8m2!3d-6.1976651!4d106.7563312!16s%2Fg%2F11yn3yb5nn!19sChIJ23qskg33aS4RuXQs4ejI-3c?authuser=0&hl=id&rclk=1","FITX GYM Meruya","4,8","(99)","Pusat kebugaran","·","","Jl. Srengseng Raya, RT.4/RW.1","","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEw0ADVzFEhgT2l7sD2Q6MwEVakLt5DQO_m_Dqes_t__uowBL7GE6Xoi5YRynYlFxCUgaijIiPuIC0F3cnpwbnpwS8dhaRMkjjZv8_ii_Ac-OlJ-mK6iXG6b7LCkXmugQnLdbB4otT4ln4=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","yang nyaman banget pokonya recomend deh buat latihan disini"""
"https://www.google.com/maps/place/Anytime+Fitness+Kebon+Jeruk/data=!4m7!3m6!1s0x2e69f794460b64c9:0x65d755f7859dec2a!8m2!3d-6.1914261!4d106.7679386!16s%2Fg%2F11y64wskm2!19sChIJyWQLRpT3aS4RKuydhfdV12U?authuser=0&hl=id&rclk=1","Anytime Fitness Kebon Jeruk","4,8","(202)","Pusat kebugaran","·","","Lantai 6, Jl. Panjang No.5, RT.11/RW.10","","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGOCoo8809zl590mH_ewkU7orwBgWLbOLTaVbrrEFHH2SNi1boXSFosAkVxxcTO156VlBDEw0_hk0Ej-IxzsO987gHbXT_0HnGb8GSi0wYUAEHD1T5gt35ZP2L3Gx46yUquJ0W=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","nya nyaman dan bagus.instruktur nya juga baik2"""
"https://www.google.com/maps/place/AbsoluteFit+Kebon+Jeruk+Xtension/data=!4m7!3m6!1s0x2e69f70044b852e7:0xb296de927cc55c0e!8m2!3d-6.1933555!4d106.7691533!16s%2Fg%2F11y5h39fpr!19sChIJ51K4RAD3aS4RDlzFfJLelrI?authuser=0&hl=id&rclk=1","AbsoluteFit Kebon Jeruk Xtension","4,7","(353)","Pusat kebugaran","·","","·","Jl. Panjang No.28, RT.6/RW.11","Segera tutup","· 00.00 · Buka Min pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHJI1bZKJbDK2LLBEm6uJyDwpYbbE49C5adJ0Tq4Ig_JKng0GHI3KnpCHQDuEVNFd8_2YdBqY1CjE9KvISDJ-qhpPcb5RgL-SFKorYRMSw6cDzJ_xuwspblvXsNDZP-djwukeqSr3CkT8hd=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat Gym","yg nyamam, fasilitas nyaa oke bangett."""
"https://www.google.com/maps/place/AbsoluteFit+Kebon+Jeruk/data=!4m7!3m6!1s0x2e69f774b401de1d:0xc4b91fca413650ac!8m2!3d-6.1851206!4d106.782003!16s%2Fg%2F11fj95r6hz!19sChIJHd4BtHT3aS4RrFA2QcofucQ?authuser=0&hl=id&rclk=1","AbsoluteFit Kebon Jeruk","4,1","(287)","Pusat kebugaran","·","","·","Rukan Arjuna Niaga, Jl. Arjuna Utara No.1J 6, RT.6/RW.2","Tutup","· Buka Min pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFmKO4ZdS-rxUfjkc9MMLysxFONrcXfHyN0UVupLlv3QnAjtHkG7e-gzVukLUE3uLkBeuiM-48QTcb9aDiEb6tmewqlNzBQgQYMV0D5MLliluAU3rqPv4srupr7-SH4vQgMEk68=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","bagus, staff ramah-ramah, Sukses selalu buat"
"https://www.google.com/maps/place/KILO+GYM+Meruya/data=!4m7!3m6!1s0x2e69f7001adbf3a1:0xcbf4f4028fe182fc!8m2!3d-6.1971683!4d106.7621112!16s%2Fg%2F11yxyq_cyb!19sChIJofPbGgD3aS4R_ILhjwL09Ms?authuser=0&hl=id&rclk=1","KILO GYM Meruya","5,0","(2)","Tempat Fitness","·","","Jl. Meruya Ilir Raya No.80","","Tutup","· Buka Sen pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmIsJf4nx9BOB1-RHK4fnoMV-cMMffyVIEr_pUTTaf0qWanH9z_RYUIvzzkz0SBaGwXD8iOmRCkCDeQfcTkXTFk8QpHqrfxaNgvDqcegU-x4G6SIvPRayfXQ46rmwJxK7EQXDjOOmAfWiJ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bersih, nyaman, mudah ditemukan.""","",""
"https://www.google.com/maps/place/The+Gym+Pod+-+Pesanggrahan/data=!4m7!3m6!1s0x2e69f7002ab98e5d:0xac2aa98d3dabc3c!8m2!3d-6.1893745!4d106.7572591!16s%2Fg%2F11vzvnxdd7!19sChIJXY65KgD3aS4RPLza05iqwgo?authuser=0&hl=id&rclk=1","The Gym Pod - Pesanggrahan","4,2","(19)","Tempat Fitness","·","","·","RQ64+7W2 Puri Rama, Jl. H. Nabet","Segera tutup","· 23.30 · Buka Min pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEo-Oz83sMNgUNw2tNH50JsGLBSylo7_c9MBV3dKNhrZSGeMeb7DIokBCaK3yNOIzc0cXQOIlGULmBs6GRu-pVsiSCqY0zb9Q7lEYEl9nf-nTsTgxBDLQs6dVsIqUxEocnemP5ohL85E7o-=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nyobain the","gym","pod cabang pesanggrahan,  okelah not bad!"""
"https://www.google.com/maps/place/Muscle+Art+Fitnes/data=!4m7!3m6!1s0x2e69f6c291b07df1:0x2d2402e995202e7e!8m2!3d-6.1989546!4d106.7845952!16s%2Fg%2F11c6cxw9z3!19sChIJ8X2wkcL2aS4Rfi4glekCJC0?authuser=0&hl=id&rclk=1","Muscle Art Fitnes","4,4","(92)","Tempat Fitness","·","","·","10, Jl. H. Sennin No.21A, RT.10/RW.12","Tutup","· Buka Min pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGuZYEQE-sa3ASfl8I5prawAuFC4pXuYr9pGwi44DinydB-O5lvR1F_HpInzmtXFq_ZujiN47F_37GIMdvdLlOqul99Uax5Z5cjidA69_nUNxzf3ELagYrXhzzGsIOcyt_Ydw2K=w80-h131-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","dengan harga 200rb/bulan, lumayan untuk harga segitu."""
"https://www.google.com/maps/place/The+Power+Lab+Meruya/data=!4m7!3m6!1s0x2e69f71656caa4c5:0x72ac407cbc51eb58!8m2!3d-6.1973324!4d106.7574607!16s%2Fg%2F11g8bxkz00!19sChIJxaTKVhb3aS4RWOtRvHxArHI?authuser=0&hl=id&rclk=1","The Power Lab Meruya","4,8","(36)","Tempat Fitness","·","","·","Jl. Meruya Ilir Raya No.23, RT.4/RW.1","Tutup","· Buka Sen pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIg5AGxLFCun1agHxCo7ikS4N_Hfv-SSiMbd1XTHs8j870Kg1VHWsIMA9pe-4f0jpgpkkPIWEUjhS9_jGhi8iqLz-iNWeRqJOYEwO9isjiYFhAGmGlhXA1SOXJv3aXBcxU-6uapA=w122-h92-k-no","","","",""
