"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 6","W4Efsd 7","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/La+Reassa+Ice+Cream/data=!4m7!3m6!1s0x2e69f70302758855:0x191104680db679a9!8m2!3d-6.189603!4d106.7660751!16s%2Fg%2F1tj4q7j6!19sChIJVYh1AgP3aS4RqXm2DWgEERk?authuser=0&hl=id&rclk=1","La Reassa Ice Cream","4,6","(36)","Es Krim","·","·","Tutup","· Buka Min pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwD4iYWEEoakLi7QP32PBqUai3ylhZmyoR9hdOjuw2TmID_B_h_JJblCUmHcz5i39mMQiLvsxVkVGPg_P6qvOlffpusupeMjhjB5XdbOKKNbQZ-btYEdF78jpirqlZUPpWSAtn=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mudah di akses""","","","","",""
"https://www.google.com/maps/place/Pesca+Ice+Cream/data=!4m7!3m6!1s0x2e69f70bf96bd8d9:0xc07dd4bad9eb2dc3!8m2!3d-6.1867492!4d106.7554116!16s%2Fg%2F1jky5jht9!19sChIJ2dhr-Qv3aS4Rwy3r2brUfcA?authuser=0&hl=id&rclk=1","Pesca Ice Cream","4,6","(720)","Es Krim","·","Jl. Pesanggrahan Raya Jl. Puri Indah Raya No.6C, RT.2/RW.6","Tutup","· Buka Min pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUgiXG6uBxY9nujeOYfrXZC8Xxpd_zccBfj3eeuyIVRjOk4Rhk3ClUs5oB8pxpoIWlo80NLPhhWNSKStMGz36EcShVZc_0SY2q6tJQHFh8J-RGu9gflHzZl70Tw3oU-hN0Oo0r2A=w189-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es krim","nya enak, tapi tempat nya kurang asik buat nongkrong""","https://www.google.com/viewer/chooseprovider?mid=/g/1jky5jht9&g2lbs=AIBNGdURtJ-it1dQK1zOaHdx8WYsgEVXlXjQBuHsUzwIl1qXuRQgDALYGm95fQWe4yxAZ2GKMYnoV9Gvg6SGb48dWdjBRlyJCA%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=86njafGCG6n3seMP3qGDoAk&ei=86njafGCG6n3seMP3qGDoAk&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Katina+Gelato+%26+Dessert/data=!4m7!3m6!1s0x2e69f7005109062b:0xe5d558eb1a4ae886!8m2!3d-6.1849335!4d106.7528539!16s%2Fg%2F11y5yx_j4n!19sChIJKwYJUQD3aS4RhuhKGutY1eU?authuser=0&hl=id&rclk=1","Katina Gelato & Dessert","4,9","(138)","Es Krim","·","Jl. Puri Indah Raya Blok A No.13, RT.1/RW.8","Segera tutup","· 23.00 · Buka Min pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF20mcpFQloLV-Yk_CQrpaX4-cD82e7O43fZytFAm4z89b8taSmHFpbu4oit9ye8hkyWwJ44tOCA1TDz2oJRPgFK9Tf9Lo06ATo8pjxF-9P6cuXUajCy8S21seZU4elAMu72reVItcH_AM=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pertama kesini,","es","krimnya enak enak 🫶""","","",""
"https://www.google.com/maps/place/Es+Campur+Gili+Sampeng,+Asep/data=!4m7!3m6!1s0x2e69f70056048abf:0xdb9b29352056176d!8m2!3d-6.1928365!4d106.7794302!16s%2Fg%2F11n9syp529!19sChIJv4oEVgD3aS4RbRdWIDUpm9s?authuser=0&hl=id&rclk=1","Es Campur Gili Sampeng, Asep","5,0","(2)","Es Krim","·","RQ4H+VQ7, Jl. Gili Sampeng, RT.11/RW.4","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7BgJ0GjedCgaArj3yqhz3g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=31.516783&pitch=0&thumbfov=100","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Top semoga lancar usahanya""","","","","",""
"https://www.google.com/maps/place/Momoyo+KH+Syahdan/data=!4m7!3m6!1s0x2e69f79ffb512b5b:0xc50e579d372348f9!8m2!3d-6.2007015!4d106.7845636!16s%2Fg%2F11vyzgjvnr!19sChIJWytR-5_3aS4R-UgjN51XDsU?authuser=0&hl=id&rclk=1","Momoyo KH Syahdan","4,6","(502)","Es Krim","·","Jl. KH. Syahdan Gg. H. Senin No.23, RT.6/RW.12","Tutup","· Buka Min pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGvMOSyYbhOOlu8oCQxdZYh8ADAzNz7OrCj_KKZPb5rRXajM-RYJ-8qCvJyadr4LYIbtiyFsIyneuzrpPsVwwbux_unk8Gnh0Oonr1kan6lUAGh_JMFiBNGZs5H2quMg3uMyetlXVcmUHnH=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Servis baik, tempatnya enak dan","es krim","enak""","https://www.google.com/viewer/chooseprovider?mid=/g/11vyzgjvnr&g2lbs=AIBNGdW6gSFQ8WVR4rbIG0wtJVWMyLkFfhR-lBwrwJV2WSd0jyLvVeeDD-iMMYTgms3sBcBWnJ943nrvkghYUrGThrzWFRkJMA%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=86njafGCG6n3seMP3qGDoAk&ei=86njafGCG6n3seMP3qGDoAk&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Momoyo+Kemanggisan/data=!4m7!3m6!1s0x2e69f72df09b339f:0x9280a7fbfe5da5f7!8m2!3d-6.2032431!4d106.7711883!16s%2Fg%2F11vwryq229!19sChIJnzOb8C33aS4R96Vd_vungJI?authuser=0&hl=id&rclk=1","Momoyo Kemanggisan","4,4","(188)","Es Krim","·","Jl. Anggrek No.86, RT.7/RW.2","Tutup","· Buka Min pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4nB9uqkosMX1IgZnyW9spkpIKj61fi_o99rs4rfZVfDkJOdYO_9lhSMhPHFWI4r035juKeC6JmDvbJ4UX79Bgsy4J5rR-QxfwRbeWx0o3L9qXGfR98yJnJAygKEfIX9ZkNWKqzg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","krimm nyaa enakk bangettt,","","",""
"https://www.google.com/maps/place/Mixue+Binus+Syahdan/data=!4m7!3m6!1s0x2e69f7d0165a2963:0x103c48f9f667b33a!8m2!3d-6.2009138!4d106.7842125!16s%2Fg%2F11rd_8s9tr!19sChIJYylaFtD3aS4ROrNn9vlIPBA?authuser=0&hl=id&rclk=1","Mixue Binus Syahdan","4,6","(418)","Es Krim","·","Jl. Kyai H. Syahdan No.16B, RT.7/RW.12","Segera tutup","· 23.00 · Buka Min pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHMY6IYYMJOL7m2p3MIGLmgQG3PCMnTOYunt5gGj1a1LpNFnD0wpO4OJF7sAjM7jd1MkyNwH5peoSoHl0bToelgex7hLpUdoVP3nMURlXEuoz-5M4dBDblikFx0Ab5gDPhvbPQQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","es krim","dan","https://www.google.com/viewer/chooseprovider?mid=/g/11rd_8s9tr&g2lbs=AIBNGdVAemXIqcJstiWHllj4dgzEdzdRbvbqBhH3F68LBZDXLSVcc9LpS2U2L5JrSuzPvhvsEVktXzA3a7KV8is_0IHqF7sxhA%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=86njafGCG6n3seMP3qGDoAk&ei=86njafGCG6n3seMP3qGDoAk&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Depo+Ice+Cream+Diamond,+Kosasih/data=!4m7!3m6!1s0x2e69f7272ee4dbc5:0xca5177436e3d6973!8m2!3d-6.2042093!4d106.768169!16s%2Fg%2F11b6plf5hv!19sChIJxdvkLif3aS4Rc2k9bkN3Uco?authuser=0&hl=id&rclk=1","Depo Ice Cream Diamond, Kosasih","4,7","(25)","Es Krim","·","·","Tutup","· Buka Min pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEe9kh_N6dpUYw-5e8eLEI_70vxlg2LVzEANEs5x1jk7kr7Pbx_P0FPrajfXiiRzieIw6EwCr0Ib76TKfB1K0eugyNT2TuRdpTyTbgd6Xc4Xvislj3iDvNvSJZBBApb7YeMMbCr=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apakah masih buka""","","","","",""
