"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","W4Efsd 6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/WARTEG+DKI/data=!4m7!3m6!1s0x2e69f6e7d727af37:0xf3c8bb075c9c4f7d!8m2!3d-6.1961044!4d106.7820892!16s%2Fg%2F11dfqtqj1_!19sChIJN68n1-f2aS4RfU-cXAe7yPM?authuser=0&hl=id&rclk=1","WARTEG DKI","4,5","(351)","Restoran","·","","·","Jl. Kemanggisan Raya No.5 3, RT.3/RW.5","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEVkjJHr7TNkVIExDY0_jK4i5Um_AdwV0fUXjPI9xtdc8TG0Qb35ypZ1vbabA3M5QZa3c5CFtEGTcEAOZAPW8vRbt3zRO72RCwQhgfctTqMZe4rXxigfLIo0_4XPQ_pZ7ReSXFYRQ=w122-h92-k-no","Makan di tempat","·","Bawa pulang",""
"https://www.google.com/maps/place/Warung+Tegal+Fajar/data=!4m7!3m6!1s0x2e69f705010bb9d1:0x6f7475c1c10013db!8m2!3d-6.1869163!4d106.7615723!16s%2Fg%2F1hm4cgx4x!19sChIJ0bkLAQX3aS4R2xMAwcF1dG8?authuser=0&hl=id&rclk=1","Warung Tegal Fajar","4,5","(210)","Tegal","·","","·","Jl. Kedoya Pesing No.4, RT.4/RW.3","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG1aPVbBC15M1Tj7BeJX6uWG4UjAtwy-jJUn3ueHyrud6svO8Z-_KvHY_d0N0QY3khq3GZ8eJ8RrreWxnz3suHWvJ9dZtAxFw93YZKK3bmKTwHY8F3gGNoShi_qhxlxWHyyjjw3=w122-h92-k-no","Makan di tempat","·","Bawa pulang","· Tutup pukul 02.00"
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari/data=!4m7!3m6!1s0x2e69f71fa3ab627f:0xd4070c58b93cbfc3!8m2!3d-6.1972263!4d106.7682266!16s%2Fg%2F11c6df4nh4!19sChIJf2Krox_3aS4Rw788uVgMB9Q?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari","4,2","(83)","Soto Ayam","·","","·","Jl. Lapangan Bola No.6 7, RT.7/RW.1","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEDh-QqT5Mou2VstZZq_-cVIl3clOGvl-8AlfZvL8mj1DnNOHIv9Lfd-pIG9p2mqlk_cjEgCwNfmPQk4ubqPIOiwdcxbHIfLfvQduP8rWhUVCePYoJvmI8ui10dzWEkDrUN-3mz_Q=w122-h92-k-no","Makan di tempat","·","Bawa pulang",""
"https://www.google.com/maps/place/Warteg+Berkah+%28+Asli+Tegal+%29/data=!4m7!3m6!1s0x2e69f70061fa6f65:0xa83ee68e3567e464!8m2!3d-6.202542!4d106.7668961!16s%2Fg%2F11zk8345q6!19sChIJZW_6YQD3aS4RZORnNY7mPqg?authuser=0&hl=id&rclk=1","Warteg Berkah ( Asli Tegal )","4,9","(7)","Indonesia","·","","QQW8+XQF, Jl. E, RT.5/RW.1","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZ1CxgZ0ZVmec85nrOvZq5yyNZNXHricr_d1i_mF5orPRkoGWagtPBcU5kf2ahjoIKjwOiXsjaMINZDOSIKMyXQLTTHwS2TTvudE9jgbyrpmt-qxkmY6rvh-GksQUweuJkwMw_qkZmaNgV=w80-h106-k-no","Makan di tempat","·","Bawa pulang","· Buka Min pukul 06.00"
"https://www.google.com/maps/place/WARTEG+KHARISMA+BAHARI+KEDOYA/data=!4m7!3m6!1s0x2e69f7bb55bed02d:0x4c4294ee9e22476a!8m2!3d-6.1852894!4d106.7735446!16s%2Fg%2F11t99n1ybk!19sChIJLdC-Vbv3aS4Rakcinu6UQkw?authuser=0&hl=id&rclk=1","WARTEG KHARISMA BAHARI KEDOYA","4,9","(11)","Dapur Umum","·","","Jl. Kebon Raya No.77, RT.4/RW.7","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6XAJn3ZdxdjnZhDqpfWMNzPnbRjEJwDmcaC5ypQmjzKn8TPzg9GtNrIvQgDXkhJ4r9iWDVHcqtpSlE_s5CK4tIYqgBBBgS5Kcr1QK8E2SnAsoS6lSlmz2DGbH9aHfo-8xLOOF_w=w122-h92-k-no","","","",""
"https://www.google.com/maps/place/Warteg+Plus+Doa+Ibu/data=!4m7!3m6!1s0x2e69f7ffa9439289:0xe55f43da8cf3ac55!8m2!3d-6.2022604!4d106.7825385!16s%2Fg%2F11wj5zv2g0!19sChIJiZJDqf_3aS4RVazzjNpDX-U?authuser=0&hl=id&rclk=1","Warteg Plus Doa Ibu","4,8","(24)","Restoran","·","","Samping Binus Anggrek, Jl. Anggrek Cakra No.1C","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGo7ZWMKDM7dz63eUUT0hzGWjqN7wyZsYpsWhETWTjvq-JyEcw75Coa-azs042QnkaIDnnqntyRzNSQGuqwYPhlrwh4mOzWXXlvA6VQ2BpBAY9cwGxiPgsQgRZ-ou7rEP2G0QU=w163-h92-k-no","Makan di tempat","·","Bawa pulang","· Buka Sen pukul 08.00"
"https://www.google.com/maps/place/WARTEG+PUTRA+BAHARI/data=!4m7!3m6!1s0x2e69f6c34669734f:0xa7fbcc5eb9103588!8m2!3d-6.2023705!4d106.7833148!16s%2Fg%2F11c5b3v42r!19sChIJT3NpRsP2aS4RiDUQuV7M-6c?authuser=0&hl=id&rclk=1","WARTEG PUTRA BAHARI","4,5","(119)","Tegal","·","","Jl. U Raya kemanggisan No.25B, RT.8/RW.15","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFjzOWOF_LPblh3Sa0X8bmt51ushEeV4up5iZQB1o2UcISRb3FQyTMuoOziklvzitkWLUqlQCen5tZMmQHyAuf83hi-_p7hn7tACfNUU69X9Vw6ppiU0H0icb4vaH8EJy0Cks4JDg=w80-h142-k-no","Makan di tempat","·","Bawa pulang","· Tutup pukul 01.00"
"https://www.google.com/maps/place/WARTEG%2FWARNAS+PAK%27E/data=!4m7!3m6!1s0x2e69f77ed2eac2bf:0x761d32478e5f9c5c!8m2!3d-6.2013212!4d106.7835268!16s%2Fg%2F11nnhrrssl!19sChIJv8Lq0n73aS4RXJxfjkcyHXY?authuser=0&hl=id&rclk=1","WARTEG/WARNAS PAK'E","5,0","(12)","Brunch","·","","Jl. Kyai H. Syahdan No.58, RT.7/RW.12","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0ZgG0CfNQNTUEJTpjiCQ6qfCfQQHT6_DtOMyr_ERDbht-tAg3IvBy9VqE9IeYsY-22ydpk9vUVw-sbLi-1WFV1z5-aBzDuRbsAYVaWFCrPh_z1MQzTrQs-r3Wvv2za7GkxShv=w122-h92-k-no","Makan di tempat","·","Bawa pulang","· Buka Min pukul 07.00"
