"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","W4Efsd 6"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Apotek+K-24+Gajayana+Malang/data=!4m7!3m6!1s0x2e7882700e023183:0xfa89f8246ae4b1e4!8m2!3d-7.9519325!4d112.60903!16s%2Fg%2F11dxfry_3l!19sChIJgzECDnCCeC4R5LHkaiT4ifo?authuser=0&hl=id&rclk=1","Apotek K-24 Gajayana Malang","4,5","(273)","Apotek","·","Jl. Raya Sumbersari No.Kav. 4","Buka 24 jam","·","0813-2750-7074","https://www.apotek-k24.com/location","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""puas dg pelayanan nya + pegawai sgt membantu dan sabar terimakasih""",""
"https://www.google.com/maps/place/Sehat+Farma/data=!4m7!3m6!1s0x2e788300160f649f:0x84e7386254d05b0f!8m2!3d-7.9487657!4d112.6145165!16s%2Fg%2F11yr8zy2m7!19sChIJn2QPFgCDeC4RD1vQVGI454Q?authuser=0&hl=id&rclk=1","Sehat Farma","","","Apotek","·","Jl. MT. Haryono No.59","","","","","","Rute","","","","",""
"https://www.google.com/maps/place/APOTEK+GOLDEN+FARMA/data=!4m7!3m6!1s0x2e788333872d1615:0xc479e24a04f8f1d1!8m2!3d-7.9538473!4d112.6067335!16s%2Fg%2F11xg706vmx!19sChIJFRYthzODeC4R0fH4BEriecQ?authuser=0&hl=id&rclk=1","APOTEK GOLDEN FARMA","4,9","(78)","Apotek","·","Jl. Sunan Kalijaga No.3","Tutup","·","0852-1993-2018","https://www.instagram.com/goldenfarmaapotek?igsh=MWlraDU3MGthdTBqZw==","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih, pelayanan bagus,obat lengkap dan harga terjangkau.""","· Buka Min pukul 08.00"
"https://www.google.com/maps/place/Apotek+Sanada+Farma+Malang/data=!4m7!3m6!1s0x2e788300113928af:0xc73dccd06e85d199!8m2!3d-7.9472506!4d112.6089213!16s%2Fg%2F11yqqk9wbb!19sChIJryg5EQCDeC4RmdGFbtDMPcc?authuser=0&hl=id&rclk=1","Apotek Sanada Farma Malang","5,0","(4)","Apotek","·","Jl. Gajayana No.11-A","Tutup","· Buka Min pukul 10.30","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Obat berkualitas apoteker sangat informatif harga murah""",""
"https://www.google.com/maps/place/Apotek+Siguragura/data=!4m7!3m6!1s0x2e7882649ed7ebf3:0x6f0f45c16744c954!8m2!3d-7.9574721!4d112.6060875!16s%2Fg%2F11fz9y0l37!19sChIJ8-vXnmSCeC4RVMlEZ8FFD28?authuser=0&hl=id&rclk=1","Apotek Siguragura","4,9","(327)","Apotek","·","Jl. Sigura-Gura Barat","Tutup","·","(0341) 5086397","https://linktr.ee/apotek_siguragura","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""obat2nya lengkap dg harga terjangkau, dan pelayanannya juga bagus 😃""","· Buka Min pukul 07.00"
"https://www.google.com/maps/place/Apotek+Gamasari+2/data=!4m7!3m6!1s0x2e7883001e2c959b:0x83134f531cf63df6!8m2!3d-7.9456851!4d112.6095297!16s%2Fg%2F11vrwvl33h!19sChIJm5UsHgCDeC4R9j32HFNPE4M?authuser=0&hl=id&rclk=1","Apotek Gamasari 2","5,0","(4)","Apotek","·","3J35+PRM, Jl. Gajayana","","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""",""
"https://www.google.com/maps/place/Toko+Brain/data=!4m7!3m6!1s0x2e7882702d04a9dd:0xba112c438aa7b233!8m2!3d-7.9500546!4d112.6085889!16s%2Fg%2F1hm3sdk5p!19sChIJ3akELXCCeC4RM7KnikMsEbo?authuser=0&hl=id&rclk=1","Toko Brain","4,7","(12)","Toko Kesehatan dan Kecantikan","·","Jl. Sunan Ampel I No.2","Tutup","· Buka Sen pukul 08.00","0897-4470-669","","","Rute","","","","Belanja di toko","·"
"https://www.google.com/maps/place/Apotek+Green+Pharmacy/data=!4m7!3m6!1s0x2e78827018527d89:0x9a95661274617151!8m2!3d-7.9513178!4d112.6086834!16s%2Fg%2F11b6bjfl9_!19sChIJiX1SGHCCeC4RUXFhdBJmlZo?authuser=0&hl=id&rclk=1","Apotek Green Pharmacy","","","Apotek","·","Jl. Gajayana No.50","Tutup","· Buka Sen pukul 08.00","(0341) 8666551","","","Rute","","","","","·"
