"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","AJB7ye","AJB7ye 2","W4Efsd 6","M4A5Cf","ah5Ghc 2"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Kuma+Bake+and+Coffee/data=!4m7!3m6!1s0x2e7883db7dfbb269:0x9f404ade9611ad5c!8m2!3d-7.9525869!4d112.6151727!16s%2Fg%2F11qgcn3519!19sChIJabL7fduDeC4RXK0Rlt5KQJ8?authuser=0&hl=id&rclk=1","Kuma Bake and Coffee","4,9","(61)","Kedai Kopi","·","Kantin Fakultas Teknologi Pertanian Universitas Brawijaya, Jl. Veteran","Tutup","· Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0C6Ov6ibpLxa8sPq25jtrcagGng_lTs93Gx8TZxhJNB2GtdJCEzQh6jvEwYEkTKD79efcZFrFdPSvAjeCrSmd4nKoJXm6UPU4Xx8pmYm8mUGKrqU35o7m65Dfau-YQuT1sQc=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""RECOMENDEDDDD 5/5🌟""","","","","",""
"https://www.google.com/maps/place/Semusim+Cafe/data=!4m7!3m6!1s0x2e789d6c034f40bf:0xea6f83c59e54b7c7!8m2!3d-7.9471786!4d112.6134383!16s%2Fg%2F11j34gjxct!19sChIJv0BPA2ydeC4Rx7dUnsWDb-o?authuser=0&hl=id&rclk=1","Semusim Cafe","4,5","(1.399)","Kafe","·","·","Buka","· Tutup pukul 02.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEcYO7CTES7iCqXHR74AQ7N7M_yXSXszUk4RG7zVJgfZMvYkCs1Quzc0gluH5ePqE_8wKEcic4Ss4FEzElRXT76DoJpBEWxgrC3G4laQcZrY5gNYQgDZO7d0UKZ7Ldau3PpDhR8sA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Minumnya ice coffee cappucino sama mango creamy""","·","Rp 1–25.000","Jl. MT. Haryono No.110","",""
"https://www.google.com/maps/place/UB+Coffee+-+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e78827150fc0507:0x93d16be7c34fdb40!8m2!3d-7.9477396!4d112.6132613!16s%2Fg%2F11hcw3t1zh!19sChIJBwX8UHGCeC4RQNtPw-dr0ZM?authuser=0&hl=id&rclk=1","UB Coffee - Coffee & Eatery","4,6","(1.662)","Kafe","·","·","Tutup","· Buka Min pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHf_L6cvmNWAUDPn7OXC-Y7h5Kv0K8s7IPwSvLZkz-El6-xAhC7nWhMC4078UjG5mOqphBb_BmdyHtMR_vDn_hojmEuHuWcuJNRQizhJ2ziFr_vck1lN5WFIV5z7QL6HhmnOuz=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Coffenya UB bagus makanan enak, harga agak pricey tp worth it.""","·","Rp 25–50 rb","Jl. MT. Haryono No.169","",""
"https://www.google.com/maps/place/Hyde+Cafe+%28Rooftop+Trix+House%29/data=!4m7!3m6!1s0x2e78830041eb6177:0x2af24cda00d8c212!8m2!3d-7.9549759!4d112.6167842!16s%2Fg%2F11y5cqfmlv!19sChIJd2HrQQCDeC4REsLYANpM8io?authuser=0&hl=id&rclk=1","Hyde Cafe (Rooftop Trix House)","4,8","(346)","Kafe","·","Jl. Terusan Cikampek No.31","Tutup","· Buka Min pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8q-n_XuzmGJZ7XDWfLda4iIfbdGBI1BXKGT3L_2r1G_vI5h0QcGEhuRuEf6WB7KP6s-XEEZA9mWEMUk6ByOIgeze7NRwob5VnkImLQ3_p4GVAfDVT7Ym6eEOmNDjB6fiwvTc=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya enak, pelayanannya bagus, kopinya si kureng ya""","·","Rp 25–50 rb","","",""
"https://www.google.com/maps/place/Kingfolk+Cafe/data=!4m7!3m6!1s0x2e7883005cec1587:0x90f778b1e4c8323d!8m2!3d-7.9552313!4d112.6112865!16s%2Fg%2F11mys823nw!19sChIJhxXsXACDeC4RPTLI5LF495A?authuser=0&hl=id&rclk=1","Kingfolk Cafe","5,0","(27)","Kedai Kopi","·","Jl. Raya Sumbersari No.280a","Segera tutup","· 00.00 · Buka Min pukul 18.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsos4m40znt6yU0iNGZHrex3lTKnJmp9ThLMlT7za3mVHekwaEKU-1Z23o2cD2K2JcKVsKGgfhRLDDD1uNwr3nopiDQBULHWYi1PArsCjpRgZ_TJ2XJqujPr0Lm-hAWsfnh7PCdlfcPzL2=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""kafenya nyaman bngttt""","·","Rp 1–25.000","","",""
"https://www.google.com/maps/place/Motiv+Coffee/data=!4m7!3m6!1s0x2e78836e43e19357:0x289bf6e1f414a93a!8m2!3d-7.9462133!4d112.6131483!16s%2Fg%2F11vb5xlxmp!19sChIJV5PhQ26DeC4ROqkU9OH2myg?authuser=0&hl=id&rclk=1","Motiv Coffee","4,7","(278)","Kedai Kopi","·","Ruko Istana Dinoyo, B-8","Tutup","· Buka Min pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZWKeSLTqNcMWjsOm1gB6iye9zCp_AY_vNUjRpqAiRxM0VS7a9eiXRKMBJpDrYehIY79uq5gNKtzMIARef9xYV5dY4iecMVczrwG5PNpgh3en_rIlkTXd2m3JletBJwv06g4OXIg=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The staff & barista are so friendly.""","·","Rp 25–50 rb","","",""
"https://www.google.com/maps/place/KAF+Cafe/data=!4m7!3m6!1s0x2e788333398f3db3:0x282645ad24fa3992!8m2!3d-7.9450156!4d112.6115516!16s%2Fg%2F11s3_4lp5q!19sChIJsz2POTODeC4Rkjn6JK1FJig?authuser=0&hl=id&rclk=1","KAF Cafe","4,4","(725)","Kedai Kopi","·","Jl. MT. Haryono No.127","Buka","· Tutup pukul 03.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGB9cwn4wzMaXdbsH-y9AtsqAKIHtqjMRLQ6crTZ6lOssWXewoIB-nK9zkjJ0nG39_eWlcM7RKKWyh1pzwvv14hEULdqOCc4c7k7PYIALIjMsUYTB8wjtpGSTiQfW_m9qerfoA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Loving the ambience, the food, the service, and everything in KAF!!""","·","Rp 25–50 rb","","",""
"https://www.google.com/maps/place/TG+Table+Bar/data=!4m7!3m6!1s0x2e7883c86969eaf5:0x7997f4418e9973fb!8m2!3d-7.9525454!4d112.61159!16s%2Fg%2F11l59sbm1x!19sChIJ9eppaciDeC4R-3OZjkH0l3k?authuser=0&hl=id&rclk=1","TG Table Bar","5,0","(10)","Kedai Kopi","·","2JW6+XJP, Universitas Brawijaya","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrK9YevhYf777TeJxUsJDr0jUU3qATW2ylkJ64tsXxEY5bD59O9lWo181NR83A-aUKI2E6hPDThaQNntrk6WZXN0LErjN9Z6td-HbkfLrcL9o7jWVm3O4WdEfXpC62oOTIbhk=w80-h128-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""lop banyak-banyak 🥰""","","","","",""
