"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 7"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/PRINT+TERMURAH+FOTOCOPY+VIAN+PUSAT+24JAM/data=!4m7!3m6!1s0x2e788329b73b82bb:0x487605666305c9c2!8m2!3d-7.9563183!4d112.612266!16s%2Fg%2F11kjj8f2lc!19sChIJu4I7tymDeC4RwskFY2YFdkg?authuser=0&hl=id&rclk=1","PRINT TERMURAH FOTOCOPY VIAN PUSAT 24JAM","4,9","(353)","Toko Fotokopi","·","","·","WARNA KUNING (FC VIAN, Jl. Raya Sumbersari No.302","Buka 24 jam","·","0857-1044-4333","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat print dan segala urusan mahasiswa terjangkau juga murah.""",""
"https://www.google.com/maps/place/FOTO+KOPI+%22Putra+Jaya+%221/data=!4m7!3m6!1s0x2e78827069f86a0d:0xdc9874673ace3b03!8m2!3d-7.9511392!4d112.6103098!16s%2Fg%2F11b764phth!19sChIJDWr4aXCCeC4RAzvOOmd0mNw?authuser=0&hl=id&rclk=1","FOTO KOPI ""Putra Jaya ""1","4,4","(7)","Toko Fotokopi","·","","·","Jl. Kerto Leksono No.70","Buka","· Tutup pukul 02.00","0813-3474-3280","","Rute","","","·"
"https://www.google.com/maps/place/PRINT+24+JAM+FOTOCOPY+VIAN+CAB+UIN/data=!4m7!3m6!1s0x2e78839a93953b31:0xb8b9326289e6e724!8m2!3d-7.951192!4d112.609097!16s%2Fg%2F11tp4bsmzr!19sChIJMTuVk5qDeC4RJOfmiWIyubg?authuser=0&hl=id&rclk=1","PRINT 24 JAM FOTOCOPY VIAN CAB UIN","4,8","(175)","Toko Percetakan","·","","Jl. Gajayana No.37","·","Buka 24 jam","","0818-1838-9336","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cocok banget buat kebutuhan tugas, dokumen kantor, sampai print warna.""",""
"https://www.google.com/maps/place/Rajawali+Fotocopy/data=!4m7!3m6!1s0x2e788271a05f8bc5:0x8b5f6fd502a6c0d3!8m2!3d-7.9487427!4d112.6111107!16s%2Fg%2F11g9jph_gc!19sChIJxYtfoHGCeC4R08CmAtVvX4s?authuser=0&hl=id&rclk=1","Rajawali Fotocopy","5,0","(1)","Kantor Perusahaan","·","","B, Jl. Kertosentono No.107","","Buka 24 jam","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya bagus!""",""
"https://www.google.com/maps/place/Restu+Ibu+Print+%26+Fotocopy/data=!4m7!3m6!1s0x2e7882744eb02765:0x8a68882f3fc72af!8m2!3d-7.9452886!4d112.6164071!16s%2Fg%2F11b6gng9xj!19sChIJZSewTnSCeC4Rr3L884KIpgg?authuser=0&hl=id&rclk=1","Restu Ibu Print & Fotocopy","4,3","(26)","Layanan cetak digital","·","","Jl. Semanggi Bar. No.15","·","Buka 24 jam","","0853-3524-4146","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan super cepat, lengkap apa aja ada.""",""
"https://www.google.com/maps/place/Gavin+Foto+Copy+%26+Print/data=!4m7!3m6!1s0x2e78837ac11b87cf:0xba8b758bf81f4bbf!8m2!3d-7.9452438!4d112.6158889!16s%2Fg%2F11v6spnyrn!19sChIJz4cbwXqDeC4Rv0sf-It1i7o?authuser=0&hl=id&rclk=1","Gavin Foto Copy & Print","5,0","(114)","Toko Fotokopi","·","","Jl. Semanggi Bar. No.4","·","Tutup","","0856-4955-9347","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pernah print amplop disini dan hasilnya sangat bagus, approved bgt""","· Buka Min pukul 13.00"
"https://www.google.com/maps/place/Veeva+Copy+Center/data=!4m7!3m6!1s0x2e78827192d7c487:0x69427f216ba134fd!8m2!3d-7.9481881!4d112.6094115!16s%2Fg%2F11b6cpb1fm!19sChIJh8TXknGCeC4R_TShayF_Qmk?authuser=0&hl=id&rclk=1","Veeva Copy Center","4,8","(14)","Toko Fotokopi","·","","Jl. Kertosentono No.53","·","Tutup","· Buka Min pukul 05.30","0813-3447-2266","","Rute","","",""
"https://www.google.com/maps/place/ALFI+FOTO/data=!4m7!3m6!1s0x2e78830042bc71ab:0x20ed36e29232f80f!8m2!3d-7.9524702!4d112.6092839!16s%2Fg%2F11n9snh_xd!19sChIJq3G8QgCDeC4RD_gykuI27SA?authuser=0&hl=id&rclk=1","ALFI FOTO","5,0","(2)","Layanan cetak digital","·","","Jl. Sumber Sari Gg. 1 No.17","","","","","","Rute","","",""
