"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","W4Efsd 7"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/McDonald%27s+MT+Haryono+Malang/data=!4m7!3m6!1s0x2e78834cc396c2d3:0x9f93d96f1f5f53b2!8m2!3d-7.9468541!4d112.6127958!16s%2Fg%2F11g1lw1vfg!19sChIJ08KWw0yDeC4RslNfH2_Zk58?authuser=0&hl=id&rclk=1","McDonald's MT Haryono Malang","4,5","(6.483)","·","Rp 25–50 rb","Makanan Siap Saji","·","","·","Jl. MT. Haryono No.115","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAED5uyfiR6lj4k_pBqJxUj52aGgwsxUy7O2jt1GczroGcSi058l-YdfMzLeEtG_CVkw_6fUdJlmgXMmYIajn0w_7Oay38C3JID8DAbu8451VOP5fKF6kfsBC1D6YkV_OoqBH2y-=w80-h164-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Makanan","dan minumannya enak dan harga sesuai.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnMWx3MXZmZxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=WS32aYSqMtHB4-EPt6jIkAM&ei=WS32aYSqMtHB4-EPt6jIkAM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Warung+Mekar+Jaya/data=!4m7!3m6!1s0x2dd629748fb9005f:0xad15da1a10586c5a!8m2!3d-7.9454863!4d112.6189779!16s%2Fg%2F11tdxt78kx!19sChIJXwC5j3Qp1i0RWmxYEBraFa0?authuser=0&hl=id&rclk=1","Warung Mekar Jaya","4,1","(1.720)","·","Rp 1–25.000","Restoran","·","","·","Jl. Soekarno Hatta No.28","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAECpml3kUYhJKCedl0OC7zTUX2HZAYL87PDZWJPm-Cf1IM4hcc3ZSylWeKeAAH0O2evqYx1msV-oiJJW3anHoRIJcAnG8ZRcto71OLEagXiU682NPRkQIldTV2EQRVXmMKS9z3VBWV9iVyU=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Makanan","enak,harga murah,layanan","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0ZHh0NzhreBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=WS32aYSqMtHB4-EPt6jIkAM&ei=WS32aYSqMtHB4-EPt6jIkAM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","· Tutup pukul 02.00"
"https://www.google.com/maps/place/SHUGOKU+CABANG+MALANG+1/data=!4m7!3m6!1s0x2e78831abe42fb11:0xb50671f950b9fb5f!8m2!3d-7.9577034!4d112.6074064!16s%2Fg%2F11svbgw7y0!19sChIJEftCvhqDeC4RX_u5UPlxBrU?authuser=0&hl=id&rclk=1","SHUGOKU CABANG MALANG 1","4,5","(527)","·","Rp 25–50 rb","Jepang","·","","·","32, Jl. Sigura - Gura No.kav D","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7hDhF1r4va1d96Qwzoew-y70jbsLQupWdaY2x86RCi3lY20HWuh6EkFK46s3e7nIXVv-mmWbXy6rfSSJCwWHFqIfVOz_Vv9yBcd8kZOZ3SmeNcT4nqhioyKJOT6dPhyiTKzq0QqXBEAg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanannya enak, pelayanannya ramah, dan harganya affordable""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzdmJndzd5MBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=WS32aYSqMtHB4-EPt6jIkAM&ei=WS32aYSqMtHB4-EPt6jIkAM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","· Buka Min pukul 10.45"
"https://www.google.com/maps/place/Oyi+Buttermilk+Chicken+-+Cengkeh/data=!4m7!3m6!1s0x2dd6294cf430175b:0x332df5d25300e83b!8m2!3d-7.9474521!4d112.6243546!16s%2Fg%2F11m_m4vkpz!19sChIJWxcw9Ewp1i0RO-gAU9L1LTM?authuser=0&hl=id&rclk=1","Oyi Buttermilk Chicken - Cengkeh","4,5","(1.171)","·","Rp 1–25.000","Makanan Siap Saji","·","","Jl. Cengkeh No.1","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEYyH7sJVBXDQIWbOwLRJ33d30QP95_C1_M6StXYz7_J0NuvXDh2pMhIUUUQbYXEQm5znWw-MNojNfHdIf3asZ_obmU2y5HYsDQbxiYondMhtOE6PKdbCuxny_v09j3e2PEZTNU=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, tempatnya  bersih, harganya affordable.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFtX200dmtwehgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=WS32aYSqMtHB4-EPt6jIkAM&ei=WS32aYSqMtHB4-EPt6jIkAM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Oyi+Buttermilk+Chicken+-+Jakarta/data=!4m7!3m6!1s0x2dd629003656b989:0xe1620c6c0ad961bc!8m2!3d-7.9630734!4d112.624819!16s%2Fg%2F11m5y6hvm7!19sChIJiblWNgAp1i0RvGHZCmwMYuE?authuser=0&hl=id&rclk=1","Oyi Buttermilk Chicken - Jakarta","4,5","(179)","·","Rp 1–25.000","Restoran","·","","Jl. Jakarta No.4","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHijEvl8JmtApjxQwYoST6puJ70TiD9Cu0-1WgAe23y9Fis4G-H1MbQJ9vygwG__guRfjjIhR6Dgp2gwEz6J1H559p3vHP9PrP-BIdifqtPsyiY36yd5Vn_4_bGkx4GOAJ2D08=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ayamnya enak, pelayanan","cepat","recommend banget disini""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFtNXk2aHZtNxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=WS32aYSqMtHB4-EPt6jIkAM&ei=WS32aYSqMtHB4-EPt6jIkAM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Ayam+Goreng+Nelongso+-+Soekarno+Hatta/data=!4m7!3m6!1s0x2e788275da7e8039:0xde6462f959a64451!8m2!3d-7.9465681!4d112.6176564!16s%2Fg%2F11c6q98kdk!19sChIJOYB-2nWCeC4RUUSmWfliZN4?authuser=0&hl=id&rclk=1","Ayam Goreng Nelongso - Soekarno Hatta","4,3","(5.475)","·","Rp 1–25.000","Makanan Siap Saji","·","","","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-Slhdn7YgxuRDXp2FJEbwlvAkv6F9PGTJH8VNWwv9vdxAOpAUeD2Esj6MfCkvEXcsiKDVxL-odXWsDDhpNlQKdFI7UpB6iN4WLYIPlr5xVtLRkMk2Feh7FKtYXOUlU1AT4D_2=w80-h100-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Makanan","nya enak dan harga nya murah,.dan varian sambalnya super mantap""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjNnE5OGtkaxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=WS32aYSqMtHB4-EPt6jIkAM&ei=WS32aYSqMtHB4-EPt6jIkAM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/MIEKITA/data=!4m7!3m6!1s0x2e78835d2407ae2b:0x451c4ed6756dba51!8m2!3d-7.9536634!4d112.6085363!16s%2Fg%2F11gyyk8ttb!19sChIJK64HJF2DeC4RUbptddZOHEU?authuser=0&hl=id&rclk=1","MIEKITA","5,0","(19)","","","Makanan Siap Saji","·","","Jl. Sumbersari Gg. II No.51","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAESopFrOlydMFbFyV5z2tbzgvPEgKvFT_n38gleMwbUOKLcHMbvVnhXGO5495rjPdwyLmrsk6PsTPhKNDFxALnwSI4qTQ0iAs4MtCgzC62zQml6qBtdrxI51bHaMY8eKMUWM-Wnag=w80-h142-k-no","","Makan di tempat","Bawa pulang","Antar tanpa bertemu","","","","· Buka Min pukul 10.00"
"https://www.google.com/maps/place/Hangry+Suhat+-+Moon+Chicken+x+Ayam+Koplo+x+Hot+Side+Story+x+Bu+Tumbar/data=!4m7!3m6!1s0x2dd6297e37256d2f:0xafec3f6f20305a2f!8m2!3d-7.9426948!4d112.6215945!16s%2Fg%2F11wvkgzq2g!19sChIJL20lN34p1i0RL1owIG8_7K8?authuser=0&hl=id&rclk=1","Hangry Suhat - Moon Chicken x Ayam Koplo x Hot Side Story x Bu Tumbar","1,8","(198)","·","Rp 25–50 rb","Restoran","·","","Ruko Taman Niaga, Blk. A Jl. Soekarno Hatta No.3","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGqhtmY6mWlPLov3EvBCMsxkknY93SDAWL-5mLSP5tNiZvqRIzACqiBQaRq2H_XH-JHjejoD4c4ay6H4pSj_7ZhzqtjfLqhaHfEcmMx-L7vrl7EcZbIjHekdnj3FH2XTpwSrinpDmzlNkHh=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Burger nashvillenya enak, ayamnya gede banget sampe bisa dipake makan 2x.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3dmtnenEyZxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=WS32aYSqMtHB4-EPt6jIkAM&ei=WS32aYSqMtHB4-EPt6jIkAM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
