"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","W4Efsd 6","ah5Ghc 2"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Tenggang+Rasa+sijurik/data=!4m7!3m6!1s0x2e78827193042d8d:0x301ff37bbeb1bc1a!8m2!3d-7.9482562!4d112.6096724!16s%2Fg%2F11b6chnnz3!19sChIJjS0Ek3GCeC4RGryxvnvzHzA?authuser=0&hl=id&rclk=1","Tenggang Rasa sijurik","4,5","(463)","·","Rp 1–25.000","Jawa","·","","·","Jl. Kerto Raharjo No.79","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHletGSJEbXrtM9CIXszNAPFZ3ofpaM6DxDSwBBo-hqJDPl1TLwAkjZ849QYVqlzF779m5I5GYO8hC04OmO-y9whg83X4Tkh_SQ2JSo3dG2LBc5RN9lvg5Xi798j_QtA09XWwQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya murah dan pemiliknya enak banget diajak ngobrol.""","",""
"https://www.google.com/maps/place/WARUNG+LPI+,+Catering+murah+malang/data=!4m7!3m6!1s0x2e7883ca2333be79:0x3282ed8bb6a267e9!8m2!3d-7.9487187!4d112.6106684!16s%2Fg%2F11j2xgpkcr!19sChIJeb4zI8qDeC4R6WeitovtgjI?authuser=0&hl=id&rclk=1","WARUNG LPI , Catering murah malang","4,8","(53)","·","Rp 1–25.000","Makanan Sehat","·","","Jl. Kertosentono No.97","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzh1XxieNLY6ibj8Jvmj_Kzp08EnG772VNOdNABujCipi8mjoB_3armg52PNfiA6qtuIezDoDl2Ptu70ZrKe3OfuANv8XvC5L_UncvAzDms50wkDfucBZf0q0ykQXkg8WhqQ8u=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya uwenak, ayam krispi, ayam goreng, sambel, lalapan, dll.""","",""
"https://www.google.com/maps/place/WARUNG+SOPO+NYONO/data=!4m7!3m6!1s0x2e7882722bf2ea5b:0x33656f647ab4ef0!8m2!3d-7.9472039!4d112.6106857!16s%2Fg%2F11b6wqdq49!19sChIJW-ryK3KCeC4R8E6rR_ZWNgM?authuser=0&hl=id&rclk=1","WARUNG SOPO NYONO","4,7","(95)","·","Rp 1–25.000","Ayam","·","","·","Jl. Kerto Asri No.mor 77","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1urVbWzPEglU2VPc7R5dFsiS-yb4TqPzRSrODOhOhFMWwzwViAiW_jjZQ-JkTJb605glQ492UgutoGfa9klmoLky2ZNVdAgDh7MIoRgyYCcOSI_gkyLdklbaDwOI5UtYvABkJVQ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cukup enak ayam crispy my gurih dan menu sangat bervariasiii""","· 00.00 · Buka Min pukul 08.00",""
"https://www.google.com/maps/place/AYO+MAKAN+-+Sego+Sambel+%26+Ayam+Goreng/data=!4m7!3m6!1s0x2e7883262117406d:0xbf2d515e817c844e!8m2!3d-7.9530841!4d112.6100979!16s%2Fg%2F11th_ymmxm!19sChIJbUAXISaDeC4RToR8gV5RLb8?authuser=0&hl=id&rclk=1","AYO MAKAN - Sego Sambel & Ayam Goreng","4,9","(328)","·","Rp 1–25.000","Rumah Makan","·","","·","Jl. Raya Sumbersari","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHGfjfTK2CC6IePN09wd_tD2nN1eWDLK2HFsL1_GDnRR6G-oTEAoMb8yAPiu3UUG9WNpASb1nCY6jrdtQ3HSRwH3c9NyGMSiGCHFs9tFIkuElDKWVqKuU3qsLlGeVqCVHvLa0z8=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","· Buka Min pukul 08.00","Makanan"
"https://www.google.com/maps/place/Warung+Pudji+Mulyo/data=!4m7!3m6!1s0x2e7882723525e7d5:0xb7849386e212c877!8m2!3d-7.9463499!4d112.6109167!16s%2Fg%2F1pzw605jk!19sChIJ1eclNXKCeC4Rd8gS4oaThLc?authuser=0&hl=id&rclk=1","Warung Pudji Mulyo","4,5","(2.665)","·","Rp 1–25.000","Jawa","·","","·","Jl. Kerto Raharjo No.43","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHK2gtWBY8K2l0AnCAAkhxQ7r9a4hKK1G8WvwZqNIP7R6hzYVdvIGZD7N4uEyAenTaNii6gUtBClJA1bWlB1L7y7Hg3S8l-dR_HYyXYOf0Hi9rnaa8Q8MnQckrzIjWj06TVJdnF=w129-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya beragam sekali dan rasanya lumayan enak dan cocok utk sy""","· 00.00 · Buka Min pukul 06.00",""
"https://www.google.com/maps/place/Warung+Prasmanan+Mama/data=!4m7!3m6!1s0x2e788275acc43a53:0xd71ac9d3ec94c95f!8m2!3d-7.9448848!4d112.616698!16s%2Fg%2F11b6gnsrl_!19sChIJUzrErHWCeC4RX8mU7NPJGtc?authuser=0&hl=id&rclk=1","Warung Prasmanan Mama","4,5","(312)","·","Rp 1–25.000","Prasmanan","·","","·","Jl. Senggani No.26","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKZyKyPeF3kAAiSEUd3KJnKAsRH-om8zRT6kvvpDdOQnBrOwx2RQko1RkG9hVLIu-FNsdw5tZTplzFjGi1onhmrs0CDVz-YsXdAwGNOrnUerMprxQhm4DmyCZddp_frAeWY_NMjQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah, nasi ambil sendiri,  sayur ambil sendiri.""","· Buka Sen pukul 07.00",""
"https://www.google.com/maps/place/Warung+Dkeprek/data=!4m7!3m6!1s0x2e7882710c21c383:0x642287bdef90aad5!8m2!3d-7.9489346!4d112.6114503!16s%2Fg%2F11b6cmk5f8!19sChIJg8MhDHGCeC4R1aqQ772HImQ?authuser=0&hl=id&rclk=1","Warung Dkeprek","4,5","(1.185)","·","Rp 1–25.000","Rumah Makan","·","","·","Jl. Kertosentono No.96B","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUL5F2bFQ1B7jxeJK0HtvfbjcD-Qvr0yKbS-E1QufDsshxCiQpJ95oEBHEW4j0i-kiKU6729CGImDBEJLwzeTbjqLCTqKO4inadA3w_yGXyaSqGcdDIa_gTHbc8IFlyaduVXIn=w184-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kuliner enak dan murah dekat kampus Brawijaya, variasi menu banyak juga""","· Buka Min pukul 09.00",""
"https://www.google.com/maps/place/Warung+Nasi+Bu+Pah/data=!4m7!3m6!1s0x2e788271f1a4b0e1:0x67ad07652b9a200c!8m2!3d-7.9479565!4d112.6088939!16s%2Fg%2F11b6cm8knw!19sChIJ4bCk8XGCeC4RDCCaK2UHrWc?authuser=0&hl=id&rclk=1","Warung Nasi Bu Pah","4,8","(134)","·","Rp 1–25.000","Jawa","·","","·","Jl. Kertosentono No.11","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEe8RE2LCQhEF5BFFfG4aZN2YcdrYfrYI-nEQ2aIIS1ZuyV1kLK4Z-EEPR5nbHogkzfnP2FOv857DkBFJCfzCl_h-w4WCN0pxSB2T6IHSxfcTT7iW2R2Zm4t17FVIfcv0Z9kozO=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","· Buka Min pukul 09.00","makanan"
