"hfpxzc href","qBF1Pd","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","Cw1rxd","R8c4Qb","MW4etd","UY7F9","doJOZc","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","W4Efsd 7"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Toko+Alat+Listrik+Mitra+Group/data=!4m7!3m6!1s0x2e78830012d93aaf:0x90f3f2bfe067d9b4!8m2!3d-7.9502981!4d112.608793!16s%2Fg%2F11nj0_bvx2!19sChIJrzrZEgCDeC4RtNln4L_y85A?authuser=0&hl=id&rclk=1","Toko Alat Listrik Mitra Group","Minimarket","·","Jl. Gajayana No.31a","Tutup","· Buka pukul 07.00","","Rute","","","","","","","","","","",""
"https://www.google.com/maps/place/Indomaret+Point+M.T.+Haryono/data=!4m7!3m6!1s0x2e78827157c050fd:0x60eb544a98991378!8m2!3d-7.9464064!4d112.6125415!16s%2Fg%2F11b6dp0q61!19sChIJ_VDAV3GCeC4ReBOZmEpU62A?authuser=0&hl=id&rclk=1","Indomaret Point M.T. Haryono","Minimarket","·","·","Jalan Mayjend Jl. MT. Haryono","Buka 24 jam","","Situs Web","3,6","(136)","","·","(021) 1500580","http://indomaret.co.id/","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lembut banget dan tidak bikin serik.""",""
"https://www.google.com/maps/place/Minimarket+Al+Khaibar/data=!4m7!3m6!1s0x2e788271bf856c9b:0xc35e42e6615eb33a!8m2!3d-7.9489043!4d112.6094705!16s%2Fg%2F11f122ts27!19sChIJm2yFv3GCeC4ROrNeYeZCXsM?authuser=0&hl=id&rclk=1","Minimarket Al Khaibar","Pusat Perbelanjaan","·","Jl. Kerto Raharjo No.89A","","","","Rute","4,7","(21)","","","","","","","","",""
"https://www.google.com/maps/place/Indomaret+MT+HARYONO+2/data=!4m7!3m6!1s0x2e788361c46c89d7:0xa9a2039c56df705e!8m2!3d-7.9478995!4d112.6138504!16s%2Fg%2F11fhrz9c2h!19sChIJ14lsxGGDeC4RXnDfVpwDoqk?authuser=0&hl=id&rclk=1","Indomaret MT HARYONO 2","Minimarket","·","3J27+RGX","Buka 24 jam","","","Rute","4,6","(320)","","·","0888-5524-843","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga dibuat sama dengan lainnya.""",""
"https://www.google.com/maps/place/Indomaret+Soekarno-Hatta+Selatan/data=!4m7!3m6!1s0x2e788276f43d8825:0xd8a3b915aea02b54!8m2!3d-7.9486584!4d112.6165712!16s%2Fg%2F11c4bcssr3!19sChIJJYg99HaCeC4RVCugrhW5o9g?authuser=0&hl=id&rclk=1","Indomaret Soekarno-Hatta Selatan","Minimarket","·","·","Jl. Bunga Andong Sel. No.3","Buka 24 jam","","Situs Web","4,0","(164)","","","","https://indomaret.co.id/","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga ttp sama""",""
"https://www.google.com/maps/place/Toko+Sembako+Wildan+mart+24+jam/data=!4m7!3m6!1s0x2e78830045196bab:0x503171e43c8b47b4!8m2!3d-7.9509007!4d112.6093805!16s%2Fg%2F11ykhvppgz!19sChIJq2sZRQCDeC4RtEeLPORxMVA?authuser=0&hl=id&rclk=1","Toko Sembako Wildan mart 24 jam","Minimarket","·","Jl. Kerto Leksono No.6","Buka 24 jam","","","Rute","5,0","(1)","","·","0857-0886-5833","","","","","",""
"https://www.google.com/maps/place/Indomaret+Sumbersari,+Lowokwaru,+Malang/data=!4m7!3m6!1s0x2e7883822577ac99:0x933a1acba0eb796e!8m2!3d-7.9527785!4d112.6095557!16s%2Fg%2F11f86h_hrr!19sChIJmax3JYKDeC4RbnnroMsaOpM?authuser=0&hl=id&rclk=1","Indomaret Sumbersari, Lowokwaru, Malang","Minimarket","·","·","Jl. Raya Sumbersari No.2d","Buka 24 jam","","Situs Web","4,4","(386)","","","","https://www.indomaret.co.id/","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bersih,bagus dan sangat lengkap""",""
"https://www.google.com/maps/place/Toko+PUTRA+JAYA/data=!4m7!3m6!1s0x2e788300512e78b5:0x2a1c98dd80658f47!8m2!3d-7.9539998!4d112.6105747!16s%2Fg%2F11y5d5x56d!19sChIJtXguUQCDeC4RR49lgN2YHCo?authuser=0&hl=id&rclk=1","Toko PUTRA JAYA","Minimarket","·","Jl. Raya Sumbersari No.290","Buka 24 jam","","","Rute","5,0","(1)","","·","0878-1443-3948","","","","","",""
