"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Halte+Veteran+Kota+Malang/data=!4m7!3m6!1s0x2e78827be0a6a09f:0x4f15c9468298f77f!8m2!3d-7.9561!4d112.61359!16s%2Fg%2F11hd8jls65!19sChIJn6Cm4HuCeC4Rf_eYgkbJFU8?authuser=0&hl=id&rclk=1","Halte Veteran Kota Malang","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Politeknik+Negeri+Malang/data=!4m7!3m6!1s0x2e78827688231845:0xb0c2a4e360ad1400!8m2!3d-7.947767!4d112.616845!16s%2Fg%2F11hd8jqk4m!19sChIJRRgjiHaCeC4RABStYOOkwrA?authuser=0&hl=id&rclk=1","Politeknik Negeri Malang","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Universitas+Brawijaya+MT+Haryono/data=!4m7!3m6!1s0x2e7882714d7ca339:0x232aaa0fb0443906!8m2!3d-7.94789!4d112.61374!16s%2Fg%2F11gh1pjkjm!19sChIJOaN8TXGCeC4RBjlEsA-qKiM?authuser=0&hl=id&rclk=1","Universitas Brawijaya MT Haryono","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Dinas+Pendidikan+Kota+Malang/data=!4m7!3m6!1s0x2e78827be19d9939:0xa4f1c2d355fa16e5!8m2!3d-7.95645!4d112.61373!16s%2Fg%2F11f5g11v6c!19sChIJOZmd4XuCeC4R5Rb6VdPC8aQ?authuser=0&hl=id&rclk=1","Dinas Pendidikan Kota Malang","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Halte+SMAN+08+Malang/data=!4m7!3m6!1s0x2e788278d4c90111:0x4ac1cb8a5186a6f3!8m2!3d-7.957174!4d112.617152!16s%2Fg%2F11b6dx0wnf!19sChIJEQHJ1HiCeC4R86aGUYrLwUo?authuser=0&hl=id&rclk=1","Halte SMAN 08 Malang","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Veteran+1/data=!4m7!3m6!1s0x2e788278d48ffe6b:0x8cb7db08a9c1ed2c!8m2!3d-7.95708!4d112.61721!16s%2Fg%2F11mt2t3hgc!19sChIJa_6P1HiCeC4RLO3BqQjbt4w?authuser=0&hl=id&rclk=1","Veteran 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Indomaret+MT+Haryono/data=!4m7!3m6!1s0x2e7882714daa0fa7:0xb584b7bbe1829829!8m2!3d-7.94799!4d112.61368!16s%2Fg%2F11f5g14hkb!19sChIJpw-qTXGCeC4RKZiC4bu3hLU?authuser=0&hl=id&rclk=1","Indomaret MT Haryono","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Veteran+2/data=!4m7!3m6!1s0x2e788278d7a2457d:0x7e6b2f965ca39057!8m2!3d-7.95666!4d112.61704!16s%2Fg%2F11yts3pcg_!19sChIJfUWi13iCeC4RV5CjXJYva34?authuser=0&hl=id&rclk=1","Veteran 2","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Meteor+Cell/data=!4m7!3m6!1s0x2e788272ddcf279d:0x9bb22aa76b3b56ef!8m2!3d-7.943455!4d112.610487!16s%2Fg%2F11f5g10_9s!19sChIJnSfP3XKCeC4R71Y7a6cqsps?authuser=0&hl=id&rclk=1","Meteor Cell","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Poliklinik+Universitas+Drawijaya/data=!4m7!3m6!1s0x2e78827710faf7e7:0x539cacb9eb60e67b!8m2!3d-7.95043!4d112.6159!16s%2Fg%2F11hd8jqgv7!19sChIJ5_f6EHeCeC4Re-Zg67msnFM?authuser=0&hl=id&rclk=1","Poliklinik Universitas Drawijaya","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Lowokwaru/data=!4m7!3m6!1s0x2e788274294d3d7d:0xa1bbf352ba2bfe4a!8m2!3d-7.946748!4d112.616458!16s%2Fg%2F11nb9z6rrj!19sChIJfT1NKXSCeC4RSv4rulLzu6E?authuser=0&hl=id&rclk=1","Lowokwaru","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Pabrik+Es+Betek/data=!4m7!3m6!1s0x2e788277107dc6f5:0xd660df5aff348108!8m2!3d-7.950295!4d112.615962!16s%2Fg%2F11hd8jqpqj!19sChIJ9cZ9EHeCeC4RCIE0_1rfYNY?authuser=0&hl=id&rclk=1","Pabrik Es Betek","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Ketawanggede+1/data=!4m7!3m6!1s0x2e78827030518453:0xa1806a14621861a4!8m2!3d-7.95054!4d112.60884!16s%2Fg%2F11yszlmsml!19sChIJU4RRMHCCeC4RpGEYYhRqgKE?authuser=0&hl=id&rclk=1","Ketawanggede 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Halte+Galeri+Seni+Budaya/data=!4m7!3m6!1s0x2e788278d79e12eb:0xa7a170f6079512f3!8m2!3d-7.956634!4d112.617066!16s%2Fg%2F11b6v6lzqz!19sChIJ6xKe13iCeC4R8xKVB_Zwoac?authuser=0&hl=id&rclk=1","Halte Galeri Seni Budaya","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Pecel+Madiun+Sleko/data=!4m7!3m6!1s0x2e7882725dfbcc3f:0xe8bd7a07273a1eb1!8m2!3d-7.94527!4d112.60951!16s%2Fg%2F11f5g10dq9!19sChIJP8z7XXKCeC4RsR46Jwd6veg?authuser=0&hl=id&rclk=1","Pecel Madiun Sleko","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Ketawanggede+2/data=!4m7!3m6!1s0x2e788271e8dc0909:0x81a39a7390dc230a!8m2!3d-7.94851!4d112.60885!16s%2Fg%2F11mt2hjjn1!19sChIJCQnc6HGCeC4RCiPckHOao4E?authuser=0&hl=id&rclk=1","Ketawanggede 2","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Malang+Town+Square+Bus+Station/data=!4m7!3m6!1s0x2e788278b241e84d:0xb65d43dac1da0328!8m2!3d-7.9568728!4d112.6190233!16s%2Fg%2F11yj66lk1w!19sChIJTehBsniCeC4RKAPawdpDXbY?authuser=0&hl=id&rclk=1","Malang Town Square Bus Station","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Ikan+Goreng+Pangeran+Muda/data=!4m7!3m6!1s0x2e78827663a6efb7:0xd4b71a0cd0a31b8f!8m2!3d-7.94781!4d112.61709!16s%2Fg%2F11gh1pczr8!19sChIJt--mY3aCeC4Rjxuj0Awat9Q?authuser=0&hl=id&rclk=1","Ikan Goreng Pangeran Muda","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Indomaret+Gajayana/data=!4m7!3m6!1s0x2e7882725d483275:0xfb2ca54fc0f17e99!8m2!3d-7.945517!4d112.609526!16s%2Fg%2F11f5g13nvs!19sChIJdTJIXXKCeC4RmX7xwE-lLPs?authuser=0&hl=id&rclk=1","Indomaret Gajayana","Perhentian bus","","Rute"
"https://www.google.com/maps/place/MTS+Nurul+Huda/data=!4m7!3m6!1s0x2e78827bf831f6c9:0xbc5648192f5a0fa4!8m2!3d-7.95727!4d112.61325!16s%2Fg%2F11hd8jrxnq!19sChIJyfYx-HuCeC4RpA9aLxlIVrw?authuser=0&hl=id&rclk=1","MTS Nurul Huda","Perhentian bus","","Rute"
"https://www.google.com/maps/place/House+Of+Beauty/data=!4m7!3m6!1s0x2e788272de9b0e11:0x186577a4596ca1c7!8m2!3d-7.94339!4d112.61056!16s%2Fg%2F11f5g124yq!19sChIJEQ6b3nKCeC4Rx6FsWaR3ZRg?authuser=0&hl=id&rclk=1","House Of Beauty","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Malang/data=!4m7!3m6!1s0x2e78827de797cc03:0x27cf4620c186547e!8m2!3d-7.961318!4d112.61329!16s%2Fg%2F11z30bxdq1!19sChIJA8yX532CeC4RflSGwSBGzyc?authuser=0&hl=id&rclk=1","Malang","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Malang+FamilyMart+Soekarno+Hatta+Bus+Station/data=!4m7!3m6!1s0x2dd629df8a12f9ff:0x97302ad5f763a19f!8m2!3d-7.9432935!4d112.6199203!16s%2Fg%2F11zk1z6zws!19sChIJ__kSit8p1i0Rn6Fj99UqMJc?authuser=0&hl=id&rclk=1","Malang FamilyMart Soekarno Hatta Bus Station","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Swalayan+Giant/data=!4m7!3m6!1s0x2e78820d7c43e8ff:0x385fe8fb3303bd52!8m2!3d-7.9403!4d112.60825!16s%2Fg%2F11hd8jm5cs!19sChIJ_-hDfA2CeC4RUr0DM_voXzg?authuser=0&hl=id&rclk=1","Swalayan Giant","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Universitas+Negeri+Malang/data=!4m7!3m6!1s0x2dd6282a88b378a5:0xa8bd453802a7a9e2!8m2!3d-7.96433!4d112.620678!16s%2Fg%2F11gh1n3vv0!19sChIJpXiziCoo1i0R4qmnAjhFvag?authuser=0&hl=id&rclk=1","Universitas Negeri Malang","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Halte+MIN+Negeri+Malang+1/data=!4m7!3m6!1s0x2dd629d4d8894957:0x9a601111b6600c1d!8m2!3d-7.961151!4d112.62291!16s%2Fg%2F11gh1n1rjv!19sChIJV0mJ2NQp1i0RHQxgthERYJo?authuser=0&hl=id&rclk=1","Halte MIN Negeri Malang 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Rumah+Sakit+Islam+Unisma+Malang/data=!4m7!3m6!1s0x2e78820d7b9ff3f5:0xfa293fdbcf20bdd3!8m2!3d-7.94032!4d112.60847!16s%2Fg%2F11hd8jrxkn!19sChIJ9fOfew2CeC4R070gz9s_Kfo?authuser=0&hl=id&rclk=1","Rumah Sakit Islam Unisma Malang","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Papa+Bear+8+Diner/data=!4m7!3m6!1s0x2dd629d5d588bc45:0x2bb8e0a6378bea05!8m2!3d-7.95695!4d112.62257!16s%2Fg%2F11gh1n47zq!19sChIJRbyI1dUp1i0RBeqLN6bguCs?authuser=0&hl=id&rclk=1","Papa Bear 8 Diner","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Taman+Makan+Pahlawan+Untung+Suropati/data=!4m7!3m6!1s0x2dd629d59e5c23a7:0x77e16e4b878af3b!8m2!3d-7.959386!4d112.621092!16s%2Fg%2F11gh1n3ccs!19sChIJpyNcntUp1i0RO694uOQWfgc?authuser=0&hl=id&rclk=1","Taman Makan Pahlawan Untung Suropati","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Malang+Brawijaya+Bus+Station/data=!4m7!3m6!1s0x2dd628374b75c887:0x5103b93fc01c9b9f!8m2!3d-7.9702703!4d112.6379206!16s%2Fg%2F11z9tnq5dt!19sChIJh8h1Szco1i0Rn5scwD-5A1E?authuser=0&hl=id&rclk=1","Malang Brawijaya Bus Station","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Perum+Jasa+Tirta+1/data=!4m7!3m6!1s0x2e788281954af351:0x736b48b4347a1245!8m2!3d-7.966118!4d112.618365!16s%2Fg%2F11gh1ph8qd!19sChIJUfNKlYGCeC4RRRJ6NLRIa3M?authuser=0&hl=id&rclk=1","Perum Jasa Tirta 1","Perhentian bus","","Rute"
