"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","M4A5Cf"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Cissipizza+Streetbites+Malang/data=!4m7!3m6!1s0x2e788334682fae1f:0x63575414effa9557!8m2!3d-7.950681!4d112.608994!16s%2Fg%2F11wwpvr2dq!19sChIJH64vaDSDeC4RV5X67xRUV2M?authuser=0&hl=id&rclk=1","Cissipizza Streetbites Malang","4,6","(180)","·","Rp 25–50 rb","Toko Makanan","·","Jl. Gajayana No.107","Tutup","· Buka pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGwFRSQCjc3eZgToYGwRyxw3pG9Xb1FX823pgpUQo437pptLmVq3zA0jf8WWqJjlYGrQGjvyKN_zaPBDYcAG3I9x85GnfN6XS8LahEJpiU3tmoV5aXewK8LZX57-1URsxmOc29x3U9OGuTD=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","pizza","nya enak bangettttt, rotinya lembut dan toppingnya banyakkk""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3d3B2cjJkcRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=pi_2abLtEPm8juMPtorosQ4&ei=pi_2abLtEPm8juMPtorosQ4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Morebite+Pizza+-+Sumbersari/data=!4m7!3m6!1s0x2e7883585a1949e5:0xfcfd286c34e77e16!8m2!3d-7.9544333!4d112.6105696!16s%2Fg%2F11yx0p2lbs!19sChIJ5UkZWliDeC4RFn7nNGwo_fw?authuser=0&hl=id&rclk=1","Morebite Pizza - Sumbersari","5,0","(6)","","","Stan Pizza","·","Jl sumbersari III, sebelah gapura Gg. III No.244","Tutup","· Buka pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFpcRY4j_yGBWAFCjc3c2vPrp6bOvc-91aLTWt7TIGZ2sXdkbyTAMypm_l2aB-LcpkMnOHwpVn7gJXPMjpTbDTjRsRHBMvV399a4Cd4NFTj9-dwDR1Nyt2O8yErozNtxvsNk5W05g1aNh9f=w80-h141-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanannya ramah banget, pizzanya super chewy, gurih top🫰🏻🫰🏻🫰🏻""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5eDBwMmxicxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=pi_2abLtEPm8juMPtorosQ4&ei=pi_2abLtEPm8juMPtorosQ4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/LIAM+REGAN+PIZZA/data=!4m7!3m6!1s0x2e7883000bb71075:0x343b9647a5e3b951!8m2!3d-7.944427!4d112.6180789!16s%2Fg%2F11x6q5z65g!19sChIJdRC3CwCDeC4RUbnjpUeWOzQ?authuser=0&hl=id&rclk=1","LIAM REGAN PIZZA","5,0","(4)","·","Rp 25–50 rb","Restoran","·","Jl. Kesumba No.15","Tutup","· Buka pukul 15.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEqwAinWVuyh5B9xUfV_08AXFZPZsBV2IoOBVYJz5lnkpAMKrtBDdTCKgicZ57Tcd5i616PChDXu8rbgx2HW4SGROi_XK4v7PQk5Q3lULjq2fIcmu42O2Tvr0Avb1-n4jRw7qdBdB4IP-pm=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""paling suka di bagian Crust pizzanya yg renyahh!""","","","","","",""
"https://www.google.com/maps/place/Pizza+toengkoe/data=!4m7!3m6!1s0x2e78830051c332a1:0x7087990739c599e7!8m2!3d-7.9397413!4d112.6035988!16s%2Fg%2F11yqk_mjx7!19sChIJoTLDUQCDeC4R55nFOQeZh3A?authuser=0&hl=id&rclk=1","Pizza toengkoe","4,8","(12)","·","Rp 25–50 rb","Toko Roti","·","Jl. Mertojoyo Bar.","Tutup","· Buka pukul 13.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmnEWlJFe_P2gJZjz5dosVvsvlsdMV5eNRiFUu6C630JH1cKgeKFLv3vL6G1WYmI9PDZn7WdLth9HfSLdAVe0Tdcm7JEq_6FX4rH0mTx1Rni32be4WGrlNds6dbqCFHcWk-9qwPEubtMwr=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pizza","yang anak2 approve dari rasa dan tekstur.""","","","",""
"https://www.google.com/maps/place/JILATOICE/data=!4m7!3m6!1s0x2e7883c6f4a0c06f:0xef34a9b97558a56b!8m2!3d-7.9484806!4d112.609644!16s%2Fg%2F11kbwgzsxg!19sChIJb8Cg9MaDeC4Ra6VYdbmpNO8?authuser=0&hl=id&rclk=1","JILATOICE","4,7","(22)","·","Rp 1–25.000","Kafe","·","·","Tutup","· Buka pukul 11.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHp7Qx_kf9z_BoScIf1j_ymvL2F0cHtUjICiqOlI8UAvDELv5dOx_hDkIOkcZeTymNeBbaNAft2qwhBrUA9QNZTeTjBLAcyK8hjP5HDqLvjej_ZP_C4cl286vFRgUkO4CKy1EKcp11AcAzI=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga ga terlalu mahal..pizzza nya enak loo 👍🏻""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFrYndnenN4ZxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=pi_2abLtEPm8juMPtorosQ4&ei=pi_2abLtEPm8juMPtorosQ4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/De%27+Melted+Pizza/data=!4m7!3m6!1s0x2e78827c87057095:0xad1ea4c1d2c2f4b5!8m2!3d-7.9579618!4d112.6110188!16s%2Fg%2F11c2nhn3v2!19sChIJlXAFh3yCeC4RtfTC0sGkHq0?authuser=0&hl=id&rclk=1","De' Melted Pizza","4,4","(14)","","","Pizza","·","Jl. Sigura - Gura No.9","Tutup","· Buka pukul 14.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQ3qasdQH2MoasOu8Nv6Er1_zcNoVnSweR97m5sCiLG8HwqlOkL4BaDKuCocPAmnm1pfBMdypgI9Auvh4ZfRKF6tK2FgUhOpAsY474vF5NxpmREEj5G1LoKiRhJcXcRgi9UpusGw=w80-h142-k-no","","Makan di tempat","Bawa pulang","Pesan antar","","","","·"
"https://www.google.com/maps/place/Snack%27s+%26+Bakery%27s+FPTC/data=!4m7!3m6!1s0x2e788279ea04b53b:0x1ac2c2c0d91385e6!8m2!3d-7.9529146!4d112.6154151!16s%2Fg%2F11b6dcx1kb!19sChIJO7UE6nmCeC4R5oUT2cDCwho?authuser=0&hl=id&rclk=1","Snack's & Bakery's FPTC","4,6","(14)","·","Rp 1–25.000","Toko Roti","·","Jl. Veteran","Tutup","· Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqPT36b30DuFcY5EF49IHgEtON_acO3n4gxhuuFFvYwfXFm_jF15ZXnGbPJDKPPzDr8k-dEkifvoCDxzYG13_m0EqgiPXZK4__heUiiam1qpk1Pf6o8_Ua5SV9wyAK-BMra4tlQw=w122-h92-k-no","https://www.gstatic.com/local/justifications/menu_highlight_24pd_G650.png","Menu yang ditandai:","pizza","","","","",""
"https://www.google.com/maps/place/Luigi+Pizza/data=!4m7!3m6!1s0x2dd629d9173c38a3:0x4037c174b347014c!8m2!3d-7.9564687!4d112.626872!16s%2Fg%2F11x_6rmqd5!19sChIJozg8F9kp1i0RTAFHs3TBN0A?authuser=0&hl=id&rclk=1","Luigi Pizza","5,0","(18)","·","Rp 25–50 rb","Restoran","·","Jl. Ardeli No.14B","Tutup","· Buka pukul 13.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFpaKuUibicHb0MyMMjLCSNUzvg-j3TMylzlCs1lKe3OLb3NQvHrTpIEB51cc9SVKqUJ5ibs4tdfl-M6FiY6rDAY6ErTbMO_CzpDJ-ufE1zaKF8S_QBeDLjw32d9a3Qx4J4LQfVlASDFUA6=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pizza","dengan topping melimpah dan kaya rasaaa slurrrppp enakk polll 😭😭""","","","",""
