"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Ampera+Dep+Pasca/data=!4m7!3m6!1s0x2e788276b37de645:0x382cac3ae2e0fe94!8m2!3d-7.948154!4d112.6140073!16s%2Fg%2F11b6d2nvsf!19sChIJReZ9s3aCeC4RlP7g4jqsLDg?authuser=0&hl=id&rclk=1","Ampera Dep Pasca","4,6","(966)","·","Rp 1–25.000","Padang","·","","·","Jl. MT. Haryono No.90","Tutup","· Buka pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3oSIpvxRfCmKXEkxXHQkfyE42wQJyDbKz4B9bKjPUri2divH_icJxyFrn1eZrIaWSYUrxdjwVN710NSG0zGErdMHuUZmvti5Og607k9p-tL8Nug_kj6DHsRl-Cw4PqgDQ_Q7SZA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masakan","padang","dengan rasa yg paten dan mewah, dengan harga terjangkau.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNmQybnZzZhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=pDD2aeTcDPCu4-EPr9iE0QI&ei=pDD2aeTcDPCu4-EPr9iE0QI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/RM+Ampera+Roda+Baru+%28Masakan+Padang%29/data=!4m7!3m6!1s0x2e7883002f891edb:0x2125a131f9aa6748!8m2!3d-7.9450373!4d112.617704!16s%2Fg%2F11xp7f1448!19sChIJ2x6JLwCDeC4RSGeq-TGhJSE?authuser=0&hl=id&rclk=1","RM Ampera Roda Baru (Masakan Padang)","5,0","(14)","·","Rp 1–25.000","Restoran","·","","Jl. Kesumba Dalam No.9","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFohK_MLjnChDOL1cnlQvdYxRDJp-wKJzWG4aNBGSI9uoKp8F6eIZNOWhyTIBU_MABq7YzvY9je9YgpM0WnRsfW5tSxbn6B7ZlHmSWbNJLFiUTwL5dVAl-RGRRRftQXJ55z2AUwOhRWoMpe=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""⋆౨ৎ˚","Rumah makan Padang","langgananku bareng temen-temen anak kos!""","","",""
"https://www.google.com/maps/place/NASI+PADANG+MURAH/data=!4m7!3m6!1s0x2e788273958c4383:0x2448c4893c991a90!8m2!3d-7.9458302!4d112.6124258!16s%2Fg%2F11b6dg5wh3!19sChIJg0OMlXOCeC4RkBqZPInESCQ?authuser=0&hl=id&rclk=1","NASI PADANG MURAH","4,5","(1.281)","·","Rp 1–25.000","Padang","·","","·","Jl. MT. Haryono No.7-1","Tutup","· Buka pukul 08.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRnuxvuVoAdF2lD0hbKbuDOQxBFZiBqYllTNr7w-ig2-yr_WGABAP8pGRwaOfxAfKdxDXrlFk23lDk1xEHYVmRVzxosfoJQdWf7oagcy1Q1FmaXkqs-vEjTkCwlRAfMIAO7ZYM=w199-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan","padang","enak, nyaman dan sesuai dengan namanya.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNmRnNXdoMxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=pDD2aeTcDPCu4-EPr9iE0QI&ei=pDD2aeTcDPCu4-EPr9iE0QI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Rumah+Makan+Minang+Sepakat/data=!4m7!3m6!1s0x2e788273a142b7c5:0x32a63976ccdbe1c0!8m2!3d-7.9478322!4d112.6139217!16s%2Fg%2F1pzxqcxy7!19sChIJxbdCoXOCeC4RwOHbzHY5pjI?authuser=0&hl=id&rclk=1","Rumah Makan Minang Sepakat","4,5","(235)","·","Rp 1–25.000","Padang","·","","·","Jl. MT. Haryono No.97","Tutup","· Buka pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHo0KJLZFzxUfZ_Hcw5uKgolilIclYeywrm-76LED3RiZTVouVa9z9YKl8PFYd0zCDgNrJ5natEiWPCdjIHJAV6v5RXJyVIAxumR-G5n4wwshQno6nVziN7y9-Re5gRGojSVKaM=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu favorit pake paru, 10ribu aja, ayam 12rb.""","","","","",""
"https://www.google.com/maps/place/Masakan+Padang+Pamudo/data=!4m7!3m6!1s0x2e7883bda235eb8b:0x81005a4fe7ca5ae!8m2!3d-7.9538227!4d112.6106516!16s%2Fg%2F11f61tqq84!19sChIJi-s1or2DeC4RrqV8_qQFEAg?authuser=0&hl=id&rclk=1","Masakan Padang Pamudo","4,6","(25)","·","Rp 1–25.000","Padang","·","","Jl. Raya Sumbersari No.79b","","Tutup","· Buka pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPGmepFrfo4VknIwbMFczWyshd_9TXo0b9ngTUTIJRUNQ2EGkm5WMOdV5WCnoCBUyWEDxFdjvuFgCyh2al2Jig3hVQt6eNJYQk1vvYJ2OVvQDtXu18wz4HsAkr2GzgsVIGKttg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menunya banyak, harganya murah, porsinya besar juga.""","","","","",""
"https://www.google.com/maps/place/RM+Padang+Roda+Baru+Depan+Ringin/data=!4m7!3m6!1s0x2e78827de799d02d:0x81e878c433027192!8m2!3d-7.9611245!4d112.6137166!16s%2Fg%2F1hm4vlxpy!19sChIJLdCZ532CeC4RknECM8R46IE?authuser=0&hl=id&rclk=1","RM Padang Roda Baru Depan Ringin","4,6","(2.939)","·","Rp 1–25.000","Padang","·","","·","Jl. Bendungan Sutami No.53","Tutup","· Buka pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOlOFdbHK7jgq61uYTUfQ_iFGr3NjvJSiVlgba8OOzHDaomu5OCkU_tfTC46Y13vK89DmouItyA0vm_IRyLo2Hwk0BB2KgoI_bWyHqyn1BQXzHrq6FLhCu6hflIqukUA_x7fJo=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan kesukaan istri nasi","padang","enak slalu ramai dan menu komplit""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhtNHZseHB5GAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=pDD2aeTcDPCu4-EPr9iE0QI&ei=pDD2aeTcDPCu4-EPr9iE0QI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Padang+Pop/data=!4m7!3m6!1s0x2e7883efc344fa19:0x55ed47edc2840602!8m2!3d-7.9577482!4d112.6115902!16s%2Fg%2F11qsrb__df!19sChIJGfpEw--DeC4RAgaEwu1H7VU?authuser=0&hl=id&rclk=1","Padang Pop","4,5","(11)","","","Restoran","·","","Jl. Sigura - Gura No.51","","Tutup","· Buka pukul 15.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHyHprH-_2HN6Ln6gEC0ZxqJS3_v0fn87whnPobKP4p1o6FNAngJED7-OfKf1tBKXC2jahLN7psqKZfJvrSeCY8sRIsek9fOh04_NnDw6kOxgOgTQC-8saIQSWWsZHFbAVLt3SLdg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apa masih buka sekarang""","","","","",""
"https://www.google.com/maps/place/Rm+masakan+padang+roda+baru+depan+apotek/data=!4m7!3m6!1s0x2e788331982d0c33:0x765d74447a55ee0f!8m2!3d-7.9581464!4d112.6136416!16s%2Fg%2F11q1s3qm04!19sChIJMwwtmDGDeC4RD-5VekR0XXY?authuser=0&hl=id&rclk=1","Rm masakan padang roda baru depan apotek","3,0","(58)","·","Rp 1–25.000","Padang","·","","Jl. Bendungan Sutami No.317k No.317k","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGt0lAQAM0loDA552nB7NwdcEXK_2qu6ahsnZj29cSRlB2wA8elJM5FCoDEqpztZ9LpcRKmmD5TAfcVC5Rb4_YBEjOtr6vfkspX0fKcQoaODd_r8iy74XZROxzqbvlhisFx2OGF=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Rumah makan","nasi","","",""
