"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","W4Efsd 6","M4A5Cf","ah5Ghc 2"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Tenggang+Rasa+sijurik/data=!4m7!3m6!1s0x2e78827193042d8d:0x301ff37bbeb1bc1a!8m2!3d-7.9482562!4d112.6096724!16s%2Fg%2F11b6chnnz3!19sChIJjS0Ek3GCeC4RGryxvnvzHzA?authuser=0&hl=id&rclk=1","Tenggang Rasa sijurik","4,5","(463)","·","Rp 1–25.000","Jawa","·","","·","Jl. Kerto Raharjo No.79","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGxsLdNjzLZflA_EeW7___nb8NcqwGG5_SO2BjfiVbeyd_DxMb4Xzx6ach9WN-FxHGLOSydMBAnRVsymYMLmWr-YjwvaKha1NDzZ0LE8Rrl9_-ow-LyucRAbUxIcRS3WzlMX8I0Rw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya murah dan pemiliknya enak banget diajak ngobrol.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNmNobm56MxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=hDD2ac6JAdCF4-EPzaLlwQE&ei=hDD2ac6JAdCF4-EPzaLlwQE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/WARUNG+LPI+,+Catering+murah+malang/data=!4m7!3m6!1s0x2e7883ca2333be79:0x3282ed8bb6a267e9!8m2!3d-7.9487187!4d112.6106684!16s%2Fg%2F11j2xgpkcr!19sChIJeb4zI8qDeC4R6WeitovtgjI?authuser=0&hl=id&rclk=1","WARUNG LPI , Catering murah malang","4,8","(53)","·","Rp 1–25.000","Makanan Sehat","·","","Jl. Kertosentono No.97","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmRW1cfHt_gzvklpP8TpBTXGFlalrHVqEaFOqeRPvDX8p3kM2HCgXCIr_yQp3UnupWIgZO0aXFjSsMr-ms229gvcJ9Jw7kNBqBY0Hbua7uHj5Vgvjt0KxVisi7y8pO9JrMmiFAHw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya uwenak, ayam krispi, ayam goreng, sambel, lalapan, dll.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqMnhncGtjchgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=hDD2ac6JAdCF4-EPzaLlwQE&ei=hDD2ac6JAdCF4-EPzaLlwQE&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Lesehan+Bambu1/data=!4m7!3m6!1s0x2e78827bf49b7259:0x38fbd2f10fb2071b!8m2!3d-7.957122!4d112.6125086!16s%2Fg%2F1hm1zkzff!19sChIJWXKb9HuCeC4RGweyD_HS-zg?authuser=0&hl=id&rclk=1","Lesehan Bambu1","4,3","(1.544)","·","Rp 1–25.000","Hidangan Laut","·","","·","Jl. Sigura-Gura Barat No.2A","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEXb5nhSho3AGI3mnmGcxdpY0P_UxXJc4trlUAbHAvv0zy5-eaT5bWSH9LyyaDi9pGB63zoHBmXlOrbsXxPalaONl7qcsTq8zKekJaNpVL7gej_sU5FIXXLdo2767SirMgbajLY=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ayam bakarnya enak, harga terjangkau, kekurangannya hanya di kang park.""","","","","· Buka pukul 09.00","",""
"https://www.google.com/maps/place/Warung+Dkeprek/data=!4m7!3m6!1s0x2e7882710c21c383:0x642287bdef90aad5!8m2!3d-7.9489346!4d112.6114503!16s%2Fg%2F11b6cmk5f8!19sChIJg8MhDHGCeC4R1aqQ772HImQ?authuser=0&hl=id&rclk=1","Warung Dkeprek","4,5","(1.185)","·","Rp 1–25.000","Rumah Makan","·","","·","Jl. Kertosentono No.96B","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFHlO_cudOVW0rklqU3CB-cFnB566dxQmlhbCzk77xN08B1OZATuqvfc_zOH9Knf4gFtBEvgcKC9j-fRnKCUA05pCsQ9dc_EhixbfnBiXEVJjxELVtv_B65nLLwFyvNMfk7spSv=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cocok banget buat mahasiswa yang mau makan enak tapi murah.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNmNtazVmOBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=hDD2ac6JAdCF4-EPzaLlwQE&ei=hDD2ac6JAdCF4-EPzaLlwQE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","· Buka pukul 09.00","",""
"https://www.google.com/maps/place/Warung+Pudji+Mulyo/data=!4m7!3m6!1s0x2e7882723525e7d5:0xb7849386e212c877!8m2!3d-7.9463499!4d112.6109167!16s%2Fg%2F1pzw605jk!19sChIJ1eclNXKCeC4Rd8gS4oaThLc?authuser=0&hl=id&rclk=1","Warung Pudji Mulyo","4,5","(2.665)","·","Rp 1–25.000","Jawa","·","","·","Jl. Kerto Raharjo No.43","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlut747GEhwQ8pemynyPrpWK2NVkAWi11edFOdvXO8cC_QiZOpesBmGvKBijX4j1eFKxXwPNVWqhu4GVjrxGQb-NN75wUTckWPHjitdLEf36K0DDTF2__JMaTGmyNzc06MIx6N4A=w116-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap masakannya,ramah pelayanannya,menu banyak terasa dirumah""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB6dzYwNWprGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=hDD2ac6JAdCF4-EPzaLlwQE&ei=hDD2ac6JAdCF4-EPzaLlwQE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","· Buka pukul 06.00","",""
"https://www.google.com/maps/place/Warung+Nasi+Bu+Pah/data=!4m7!3m6!1s0x2e788271f1a4b0e1:0x67ad07652b9a200c!8m2!3d-7.9479565!4d112.6088939!16s%2Fg%2F11b6cm8knw!19sChIJ4bCk8XGCeC4RDCCaK2UHrWc?authuser=0&hl=id&rclk=1","Warung Nasi Bu Pah","4,8","(134)","·","Rp 1–25.000","Jawa","·","","·","Jl. Kertosentono No.11","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGh-JF5eAULzbYGbssOHF7xsaBU3CWZaXbavORJTxrlgOkgvS0Jiw7ePPH10uJ1yAjlSWHi47ziXBXx7nEWxhiKdgO2d_T6a_xsWzOnWMlQI7DVumF9FMxNbS3Zag-0OOB1G9wS8A=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanan enak-enak, harga affordable, nyaman, mbak nya ramah.""","","","","· Buka pukul 09.00","",""
"https://www.google.com/maps/place/Warung+Rokhiis/data=!4m7!3m6!1s0x2e788271f1a64869:0x6de4a666ad50696e!8m2!3d-7.9479565!4d112.6088939!16s%2Fg%2F11b6chdvgm!19sChIJaUim8XGCeC4RbmlQrWam5G0?authuser=0&hl=id&rclk=1","Warung Rokhiis","4,8","(69)","·","Rp 1–25.000","Indonesia","·","","·","Jl. Kertosentono No.11","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGkyri09kXI5wAWYTWATWOa6DsVtZyFqDMAgGC4kmQa7aw4yRYITNZ5UDZhDSzlGQYy6GW5V_tHDzK4V5AC6A-o229kBGY8VvM1ay-n1XRCz_-KzXSbrIrBxldZ5QySRTIwkzIt=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah, porsi banyak, dan pelayanannya cepet.""","","","","· Buka Sen pukul 07.00","",""
"https://www.google.com/maps/place/Warung+Prasmanan+Mama/data=!4m7!3m6!1s0x2e788275acc43a53:0xd71ac9d3ec94c95f!8m2!3d-7.9448848!4d112.616698!16s%2Fg%2F11b6gnsrl_!19sChIJUzrErHWCeC4RX8mU7NPJGtc?authuser=0&hl=id&rclk=1","Warung Prasmanan Mama","4,5","(312)","·","Rp 1–25.000","Prasmanan","·","","·","Jl. Senggani No.26","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFkV7LYF6pDqckayWzsb9caXqA47FvmibaC3vIutoMZ8mZGnVl5OzdI4H13ZGETJjt6i9cDOn0Pe37NyXqChnI9GmnzAWFkScbEDEaXXs5z-lRy7KfTZnaUwXDpDB0G1oXx2IAM=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah, nasi ambil sendiri,  sayur ambil sendiri.""","","","","· Buka Sen pukul 07.00","",""
