"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 6"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Starfit+GYM+Malang+24+jam/data=!4m7!3m6!1s0x2e788272131294f7:0x69d5f0d74d52fe10!8m2!3d-7.946331!4d112.6089634!16s%2Fg%2F11f29t0vxr!19sChIJ95QSE3KCeC4REP5STdfw1Wk?authuser=0&hl=id&rclk=1","Starfit GYM Malang 24 jam","4,8","(198)","Tempat Fitness","·","","·","Jl. Gajayana No.575","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOoQZ36i1eHiQh_K6ZzDAI_z4boWD28U9plI5qZTJpilMEiXyhVwk2QtQLxZxFenXZoh9100dwNOiO5Gr7WEnIXe3p3BfscKj9BO2gRtiwCVLwJr80rjpNkglKMrU83xRyw5Mp=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","nya bagus, cocok buat yg cari",""
"https://www.google.com/maps/place/FITNESS+PLUS+DINOYO/data=!4m7!3m6!1s0x2e78833aba70de61:0x26760a6be9ff6d40!8m2!3d-7.9407893!4d112.6079392!16s%2Fg%2F11kj0b1s9_!19sChIJYd5wujqDeC4RQG3_6WsKdiY?authuser=0&hl=id&rclk=1","FITNESS PLUS DINOYO","4,6","(324)","Tempat Fitness","·","","Jl. MT. Haryono No.146","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHArRNRwj1j1KKY_IPpoYysjGqtlBYQgHbjHkrlEv_bPxbgF5pZ59UcOBV2lhnfjw2TRMMGSdide8zwpd7Pb_xosEuSxEMcpM1-7Qngai8iaFLBNgujGT4Yfk4fR6zeTzMf3B4rYAV9z_8=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mega","Gym","pertama di kota Malang dengan fasilitas super lengkap dan modern""",""
"https://www.google.com/maps/place/Shape+Up+Malang/data=!4m7!3m6!1s0x2e7883005aeb08cf:0xc919a565a3a213b1!8m2!3d-7.9467188!4d112.6081007!16s%2Fg%2F11lcvt_hn2!19sChIJzwjrWgCDeC4RsROio2WlGck?authuser=0&hl=id&rclk=1","Shape Up Malang","4,9","(14)","Tempat Fitness","·","","Ruko Doni, Jl. Simpang Gajayana No.01","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEd5BrrTwbHyn_DsafCrQaNRGZBd11YF-r6GQ2fTQk2jpDaqz1_xM0HLtDF-sKwjXNi0s0c4Wg8UI4dr_0vCAwpZi7_vnorTRYK4l2JZ8_0DCcbFuh4_BapEmILBmJrGt-6AOas-A=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","tempat olahraga","paling pw si, coachnya juga ramah bgt😍""","· Buka Sen pukul 07.00"
"https://www.google.com/maps/place/ProFIT+Gym+ladies+only/data=!4m7!3m6!1s0x2e78827c7d0efba7:0x5e7d7d4c9c550813!8m2!3d-7.9549654!4d112.6065386!16s%2Fg%2F11b7pzt415!19sChIJp_sOfXyCeC4REwhVnEx9fV4?authuser=0&hl=id&rclk=1","ProFIT Gym ladies only","4,6","(195)","Tempat Fitness","·","","·","Ruko Griya Mandiri Kav. 7, Sumbersari, Jl. Sigura - Gura","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1E6W11jjAYL3Ope8kQxwj24diTrK6iMHJxRJ5pNL2YomAuXBbAYYpsPCahuhDqVuF3hLTUBdFH5Q5j-k--B3h6GQ5dZOVU-xpcQhrOXo0Q5XaKZB_xPEe2JzwM-hI2o-7n_U=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan nya ramah,","tempat gym","nya bersih dan rapi, cocok untuk pemula""","· Tutup pukul 00.00"
"https://www.google.com/maps/place/Sport+Center+UB/data=!4m7!3m6!1s0x2e7882788af472d9:0x12f8cee690772ec5!8m2!3d-7.955132!4d112.618489!16s%2Fg%2F11ckv5zn2f!19sChIJ2XL0iniCeC4RxS53kObO-BI?authuser=0&hl=id&rclk=1","Sport Center UB","4,4","(1.197)","Tempat Fitness","·","","·","Jl. Terusan Cibogo No.1","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGxxoz71f4Bz4KcHi1BJByug4zBvjSGUHA3GJlzRWEf_h1By4pvDOSBGfVTNtj4nbU0YvFuwCI2OA2FsEzcxVH0jo4VEFZ3Cz55alM-vkCPmH04hBJeyPeWLfhp56CSriqrs2qv=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym",", tennis court, futsl, badminton 2 lap..parkir cukup luas""","· Buka pukul 06.00"
"https://www.google.com/maps/place/Goa+Gong+Gym/data=!4m7!3m6!1s0x2e78826522342c2f:0xad9806f913e0a05c!8m2!3d-7.9547949!4d112.6065758!16s%2Fg%2F11b6dqsljm!19sChIJLyw0ImWCeC4RXKDgE_kGmK0?authuser=0&hl=id&rclk=1","Goa Gong Gym","4,3","(13)","Pusat Kebugaran","·","","·","Ruko Griya Mandiri, Jalan Bendungan Sigura-Gura Barat Kav.5","Tutup","https://lh3.googleusercontent.com/gps-proxy/ALd4DhHdiD7xRR-7uO4S6egUH3WVWuk-ywqbMWqZVsgNVo01-USRv8TfGpb1uO70fxav8d4fpZFrlhzA7KJO9PHjPAFWLeTJ4lWdMVAIUC-g5qMuDhl80LCJFig5mQvDoDpmbGhElwvTDKVxezhqBl9oaX_SlkmgukyRlk24NyMPoDdKCuk9fBpcWe8n39XT6iKdeNnuUQ=w122-h92-k-no","","","","","· Buka Sen pukul 07.00"
"https://www.google.com/maps/place/Urban+Zumba/data=!4m7!3m6!1s0x2e78833c1964bc03:0x84a9de254fd03f81!8m2!3d-7.9495804!4d112.6168462!16s%2Fg%2F11fgllmx_d!19sChIJA7xkGTyDeC4RgT_QTyXeqYQ?authuser=0&hl=id&rclk=1","Urban Zumba","3,5","(2)","Tempat Fitness","·","","Everyday Smart Hotel, Jl. Soekarno Hatta No.2","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","","","","",""
"https://www.google.com/maps/place/Club+Berlian+Ceria/data=!4m7!3m6!1s0x2e78836a2580dda7:0x2b808886a06682de!8m2!3d-7.960002!4d112.6134807!16s%2Fg%2F11h0hjjx9q!19sChIJp92AJWqDeC4R3oJmoIaIgCs?authuser=0&hl=id&rclk=1","Club Berlian Ceria","5,0","(3)","Pusat kebugaran","·","","Jl. Bendungan Sutami No.15n","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZK9FBGeNsbclT80TacB3RIez8SkfyIR_fc7uhqs4gr7NswPv3L_tcYr2Q0LQGB83O7106ot2kTtIoLO_46wRibI3s10qyC0QVG_BFL2rDldbG2-40tDfSwBKtnWPDRWZxO2lD0Q=w80-h106-k-no","","","","","· Buka Sen pukul 07.00"
