"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Ruma+coffee+%26+ice+cream/data=!4m7!3m6!1s0x2e7883df8f9b5a89:0xc9a8c3f40a0ebdde!8m2!3d-7.9575593!4d112.6064287!16s%2Fg%2F11st7_k0qt!19sChIJiVqbj9-DeC4R3r0OCvTDqMk?authuser=0&hl=id&rclk=1","Ruma coffee & ice cream","4,7","(184)","Es Krim","·","Jl. Bend. Sigura-Gura Barat","Tutup","· Buka pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEbPCl9cW-8vrPb8z-x8_EMGGDIDq0mPYP-3IdL3UZUH51IKI4t3DNOfU2IuiyBNononHYmHFWZNaTHZ05Nbs36jhZ-bzn4vTg2dKLcI_x-48FoaYqRILcmsFQ4I49MRKttxT8=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es krim","enak, tempat juga enak cuma sayang ada tukang parkirnya""","","",""
"https://www.google.com/maps/place/Momoyo+Ice+Cream+And+Fruit+Tea+-+Suhat+Malang/data=!4m7!3m6!1s0x2e788300215ee135:0xfced52a090f0d72c!8m2!3d-7.9467925!4d112.6179357!16s%2Fg%2F11wqy5y382!19sChIJNeFeIQCDeC4RLNfwkKBS7fw?authuser=0&hl=id&rclk=1","Momoyo Ice Cream And Fruit Tea - Suhat Malang","4,8","(481)","Es Krim","·","3J39+75J, Jl. Soekarno Hatta","Tutup","· Buka pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGt4pj2CWARap_cpq5tz9fX-k_APNi83vjvR18pRDeYfAWWK5q47wUKsnl44JMyS9snrtX49-QC7hf6FcZAk6zMyPTDGUcw5B_97iYvz3lm0jd8xz893MHNAAAhhM0kV-nMJSVuVH1Z8LU7=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnyaa bersih,crewnya ramahh,","es krim","jumbonyaaa enakkk bangetttt kak""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3cXk1eTM4MhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=_TD2afGOCMO5juMP1O2smA0&ei=_TD2afGOCMO5juMP1O2smA0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Ice+Cream+Belepotan+Polinema+%28Cabang+UB%29+ft+DnD+Snack/data=!4m7!3m6!1s0x2e7883da5e87035d:0x332fa900a21794a1!8m2!3d-7.945611!4d112.6164885!16s%2Fg%2F11l5qxm_g9!19sChIJXQOHXtqDeC4RoZQXogCpLzM?authuser=0&hl=id&rclk=1","Ice Cream Belepotan Polinema (Cabang UB) ft DnD Snack","4,7","(3)","Es Krim","·","Jl. Semanggi Bar. No.17a","Tutup","· Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEsbLQTHSvysbg3-H1n4MrJKaZ7GaSmZBPrXWBDAFWcEZwD5b0ce5MsilS7qQNh600iXtyp9AsRSzNgydW9ee_y2DRWT3eHmanDTki_sfdENY5g-5muBO7ShTnZIn0Vb4hfzMXOFg=w113-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Boleh juga nih.......","Es krim","+ roti enak juga""","","",""
"https://www.google.com/maps/place/Es+Krim+Rusunawa+UB/data=!4m7!3m6!1s0x2dd629261c396581:0x6e88154f2e1d2c90!8m2!3d-7.9520274!4d112.6167599!16s%2Fg%2F11kj6jc7ps!19sChIJgWU5HCYp1i0RkCwdLk8ViG4?authuser=0&hl=id&rclk=1","Es Krim Rusunawa UB","4,8","(12)","Es Krim","·","2JX8+6M3","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGCsm82CJCPNSYNF9pWJGe4Srlclt_mFd8Oj2ZJc2bxjfaPNsyRcMbAY2gSKPc9PHeEmbB4N_l1qO-VzvgKx_H7ADKEysuBEIb9erVbEmw5JizTUpUSclBra9bV3EilC7wbmg=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es krim","langganan anak UB, terutama kalo lagi piket/habis ada acara.""","","",""
"https://www.google.com/maps/place/Canelo+Kopice/data=!4m7!3m6!1s0x2e78839e9f2041bf:0x2e9843b7612940f!8m2!3d-7.9503429!4d112.6110009!16s%2Fg%2F11sbpv34_5!19sChIJv0Egn56DeC4RD5QSdjuE6QI?authuser=0&hl=id&rclk=1","Canelo Kopice","4,0","(25)","Es Krim","·","Jl. Watumujur I No.16","Tutup","· Buka Sen pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFss4fhLSlNg-7mM29g_ug9ebCuMe8SiuRrdIfJG1rO3ux_IKNZd2va98bx6IfbpDr2oBJmYYkM7CMbCU9DMat4BMbaQiiYkePupGr96BGemqsYmq9tonUhDFcOuMjpHESdQhn=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es krim","nya murah enak..""","","",""
"https://www.google.com/maps/place/COOLVIBE/data=!4m7!3m6!1s0x2e7883002b846525:0x9d660ba3cb57f327!8m2!3d-7.9515855!4d112.613494!16s%2Fg%2F11mly_z1mf!19sChIJJWWEKwCDeC4RJ_NXy6MLZp0?authuser=0&hl=id&rclk=1","COOLVIBE","5,0","(4)","Es Krim","·","Gedung Widyaloka, Jl. Veteran","Tutup","· Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGBTkq7dGDe-C341LKsPsiYQZXV25ZjRDdy7-VUuy7j2jQRxkhauHZGPIsZCVO6FDCVI3z7GpGiGiMmrEaoUS9r71rUV24kg8gZWv3__owwHVungUvnhavV3uHnGY1GLomtFS62qZmrQSc=w92-h92-k-no","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/Momoyo+Sumbersari/data=!4m7!3m6!1s0x2e7883fc7effdbe9:0xd2ce842fb312d4e6!8m2!3d-7.9533053!4d112.610355!16s%2Fg%2F11xs1psyhg!19sChIJ6dv_fvyDeC4R5tQSsy-EztI?authuser=0&hl=id&rclk=1","Momoyo Sumbersari","5,0","(1.407)","Es Krim","·","Jl. Raya Sumbersari No.89D","Tutup","· Buka pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiv2v7mlWXkGjYCNlhA-tjYeLJjy1DlcLPjsL31AhEepp90g9tRq8QT0myc-m7bW4_pUBnKXgzJa50cRVRdh9JRYX9cHiLT-oc7k14-Lz5dIBZ-MYwaD5QhfNpZvy60ox5i1luow6HHIM=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman, pelayanan Bagus,  rasa","es","krimnya enak""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4czFwc3loZxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=_TD2afGOCMO5juMP1O2smA0&ei=_TD2afGOCMO5juMP1O2smA0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Ice+Cream+Blepotan/data=!4m7!3m6!1s0x2e7883001053a90d:0x7e9fa9fa1a19623e!8m2!3d-7.9505889!4d112.606357!16s%2Fg%2F11wp05065h!19sChIJDalTEACDeC4RPmIZGvqpn34?authuser=0&hl=id&rclk=1","Ice Cream Blepotan","5,0","(1)","Es Krim","·","2JX4+QG9 deretan pinggir kali kracaan tepat nya depan kimia kalijaga, Jl. Sunan Kalijaga","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jsti6RS71H9WswDcJaJRvQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=252.78651&pitch=0&thumbfov=100","","Bawa pulang","","","","",""
