"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 6"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Warung+Tegal/data=!4m7!3m6!1s0x2e7883e9ba24389b:0x818648970d2b76fb!8m2!3d-7.9580361!4d112.6098426!16s%2Fg%2F11mvn6hrp3!19sChIJmzgkuumDeC4R-3YrDZdIhoE?authuser=0&hl=id&rclk=1","Warung Tegal","4,5","(85)","·","Rp 1–25.000","Restoran","·","","·","2JR5+QWP, Jl. Sigura - Gura","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSMTwhpsQwfSsfNLL3mG-zqLHZwTud_uPG_DJhYDlfrXFlN9C6-6j6ux1hJEWTM6D3pbOravGT_-L4-3wFg8uz_ITAaJ__mDyOxbAtRvEwNqlFs5qxjh50xWoYavYk2KxRl7RZ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""enak murah pol""","","",""
"https://www.google.com/maps/place/Warteg+24+Jam/data=!4m7!3m6!1s0x2e788353611bd7b3:0x2696ecf93f4d54e9!8m2!3d-7.9580946!4d112.609875!16s%2Fg%2F11hsrd7_74!19sChIJs9cbYVODeC4R6VRNP_nsliY?authuser=0&hl=id&rclk=1","Warteg 24 Jam","4,5","(44)","·","Rp 1–25.000","Tegal","·","","·","Jl. Sigura - Gura No.16","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGL9g7SatJ14UJ42yEdh5LF0ZWhNtaPXb95q30p3ogGOgMvEt1ZJGb-oBzvajSTk8CIMXxPEfYV--kkdQaXgwqeJt8G1FED6C7dGM0UGEJJSFstt6e4wkZerfomeMQotEkyJKOgYA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah, Enak, Ramah""","","",""
"https://www.google.com/maps/place/WARTEG+KHARISMA+BAHARI/data=!4m7!3m6!1s0x2e78830068441333:0x9c05166679a80596!8m2!3d-7.957037!4d112.6129901!16s%2Fg%2F11xnnt56l2!19sChIJMxNEaACDeC4RlgWoeWYWBZw?authuser=0&hl=id&rclk=1","WARTEG KHARISMA BAHARI","4,4","(9)","·","Rp 1–25.000","Indonesia","·","","Jl. Bendungan Sutami No.1B","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4ldYQ8t1HyA3J6VWdvtJYzDReRlm7N6R8xQAtL_hvXi7Mr5b4us4z9YPtznLyOrH2FZXj5rY28l3bal6eYQEUMCOVi5MEyacaxbAJE9rE-OnGGqFD_z0jOwi7ETZhEyFnu055hCkigZz2=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak murah 10k pas buat kantong hanya 10k""","","",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Gajayana/data=!4m7!3m6!1s0x2e7883003849820b:0xaf8ead17833496e1!8m2!3d-7.9501798!4d112.6089698!16s%2Fg%2F11zj0gy5ys!19sChIJC4JJOACDeC4R4ZY0gxetjq8?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Gajayana","5,0","(2)","","","Dapur Umum","·","","Jl. Kertorejo No.01","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0IEjb6BEHryQezB221ER33btJxNNBAFxYKzEhUs74Ef8nlflrCEB6eC3SueR2YliN1pDpRRI1bmZHOXsfCWhdLzH6sb17RkpgkOgVyyWiBu8L-L8sC8p1rKHp1L1o9zDytybZYxS5OqLv=w80-h106-k-no","","","","",""
"https://www.google.com/maps/place/Tenggang+Rasa+sijurik/data=!4m7!3m6!1s0x2e78827193042d8d:0x301ff37bbeb1bc1a!8m2!3d-7.9482562!4d112.6096724!16s%2Fg%2F11b6chnnz3!19sChIJjS0Ek3GCeC4RGryxvnvzHzA?authuser=0&hl=id&rclk=1","Tenggang Rasa sijurik","4,5","(463)","·","Rp 1–25.000","Jawa","·","","·","Jl. Kerto Raharjo No.79","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHletGSJEbXrtM9CIXszNAPFZ3ofpaM6DxDSwBBo-hqJDPl1TLwAkjZ849QYVqlzF779m5I5GYO8hC04OmO-y9whg83X4Tkh_SQ2JSo3dG2LBc5RN9lvg5Xi798j_QtA09XWwQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan dari pemilik","warteg","sangat ramah.""",""
"https://www.google.com/maps/place/Warteg+Sari+Rasa/data=!4m7!3m6!1s0x2e7883f9129c7001:0x3c00539a35ba1eb0!8m2!3d-7.9448281!4d112.6067841!16s%2Fg%2F11ndxm3l1q!19sChIJAXCcEvmDeC4RsB66NZpTADw?authuser=0&hl=id&rclk=1","Warteg Sari Rasa","4,6","(783)","·","Rp 1–25.000","Tegal","·","","·","Jl. Joyo Tambaksari No.18","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFEbAhUXaYfebIjfJ0E0cLGGXOD4RL4y9JOl-DyZFT_1_UXZoDdo_72gh9BSBIjnCXKTucoefdT4GNk-kSX-ZKDy_S0IJPKEGFK8J1LYTwaP-K7IpANAVYTMMYz5VPVV2TKpaZn=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jujur ini","warteg","langganan dan murah, idola anak kos/kuliah.""",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Sunan+Kalijaga/data=!4m7!3m6!1s0x2e7883006d4cadb5:0xe8cd60c069102209!8m2!3d-7.9481281!4d112.605962!16s%2Fg%2F11mm7g9ktc!19sChIJta1MbQCDeC4RCSIQacBgzeg?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Sunan Kalijaga","4,4","(7)","","","Indonesia","·","","3J24+P9W, Ruko Sumbersari kalijaga, center, Jl. Sunan Kalijaga","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFLnhXTGT0DmohW6q137jGawl3QcfhXcnLJ8ernYf30lFcZ8OX426b4zArPRkSqCvK5nhvzwoLpSjEyihA41SyL3_egHCIUbpjGDqU0XVmNO3P-fcjrU3iNAP4FzwFpvbNTbkDEuy3YDGke=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","warteg","kharisma bahari emang ga pernah salah guys, u should try this.""",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Pak+Sayudi/data=!4m7!3m6!1s0x2e7883001cbee8f5:0x530aaadc5aeeb03b!8m2!3d-7.9575387!4d112.6071235!16s%2Fg%2F11xrp3ll7k!19sChIJ9ei-HACDeC4RO7DuWtyqClM?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Pak Sayudi","4,9","(9)","·","Rp 1–25.000","Indonesia","·","","Jl. Sigura - Gura No.37C","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFLztX8WLVh5OcjsVNzWWKXw6naBZ9OFm8a-00NuASSYckydloen4swpQ5MzhghAZ5uYeY9RTXZ4q2QBvemgnXr7rrohpJZeDopPMzHIamvvZ1KYfMMp-xbSFZZboS2J0OaKmx7UFiW849P=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak, murah meriah, tempatnya bersih, free air minum""","","",""
