"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","ah5Ghc 2"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Petik+Merah+Cafe+%26+Roastery/data=!4m7!3m6!1s0x2e7a59cb20e3ae23:0xde005f5b69c865c8!8m2!3d-7.7788759!4d110.3937435!16s%2Fg%2F11h105c7vz!19sChIJI67jIMtZei4RyGXIaVtfAN4?authuser=0&hl=id&rclk=1","Petik Merah Cafe & Roastery","4,6","(1.580)","·","$$","Kafe","·","Jl. Cucak Rowo No.1","Buka","· Tutup pukul 02.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFLfjNTSc6gpD1O0h8jrOAi6zpANYw_Y_bOazThbv-ZTFT_2F8LEXzhqN4iRPxUms4ODu8v5Ps9SHV0bHn0LmagTIqLb4LBKuvrp5J1afiZf-iBBkAMQoqCjtecgMElWg5SxdK2=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopi mocktailnya seger, coconut coffeenya juga enak 👍🏾""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoMTA1Yzd2ehgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Pin3acXcGL2H4-EPmsyMuQk&ei=Pin3acXcGL2H4-EPmsyMuQk&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Tiga+Roepa+Pandega+Galeri+%26+Cafe/data=!4m7!3m6!1s0x2e7a59c9b3237eb7:0xe42ee5d8a88ca2e6!8m2!3d-7.7549611!4d110.380011!16s%2Fg%2F11fwcwtx3l!19sChIJt34js8lZei4R5qKMqNjlLuQ?authuser=0&hl=id&rclk=1","Tiga Roepa Pandega Galeri & Cafe","4,7","(788)","·","Rp 25–50 rb","Kafe seni","·","Jl. Pandega Marta No.43","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvxDiUjBpVpd046SMfgWPVVFXIA5iSnWdRBowLjUcKVBkuD9bNiA2WrJfPYXQzcjI-Xc44jrKF0brLTKmMb-4rIVufdQKDwwrozTXJouH7BkXz4Fj_DwxIi-P_166Bcg9sY6nEkMHlZSk=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada art galery, kopinya enak, affordable,
Tempatnya artistic, adem.""","","","","","",""
"https://www.google.com/maps/place/COLORTONES+Koffie+%26+Studio+%28Baciro%29/data=!4m7!3m6!1s0x2e7a59c8744065b7:0xe5e6057821f11983!8m2!3d-7.7925248!4d110.3816378!16s%2Fg%2F11k9gqdfwl!19sChIJt2VAdMhZei4RgxnxIXgF5uU?authuser=0&hl=id&rclk=1","COLORTONES Koffie & Studio (Baciro)","4,9","(260)","·","Rp 1–25.000","Kedai Kopi","·","Jl. Bakung No.21","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFzK_Rcwes4uTrhA21ScIcpvLnGL2rlQU-32EgY7QGyU3JI5UlmByE5UFRoc4kgauRV-cIlCfH2kvy1Za78F692w6zXOlAR50JqLdGIKgI-6YXtYLzUsByOJXyW5x4IlqXm5cMK=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat yang Homey banget, makanannya enak, apalagi kopinya, JUARAA!""","","","","","",""
"https://www.google.com/maps/place/Coklat+Cafe/data=!4m7!3m6!1s0x2e7a583466ceb781:0x681fe56de541d582!8m2!3d-7.778882!4d110.375355!16s%2Fg%2F1pzr91571!19sChIJgbfOZjRYei4RgtVB5W3lH2g?authuser=0&hl=id&rclk=1","Coklat Cafe","4,5","(2.205)","·","Rp 25–50 rb","Kafe","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpp6UU07edz8x_lF1CxL8LIpvNaEGT0zqAaYYsSpCkKqmszKeDTk-wkOdahnlaxDK8zbjKIfhrxnivXMFrlVHa1zyKs3LgIhIe9rOmQ1ojdkSmgPzLaUDWBHObNLPVzvbtc-NF=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ambience, plating and overall are good quality.""","","","","","Jl. Cik Di Tiro No.19",""
"https://www.google.com/maps/place/Simetri+Coffee+Roaster/data=!4m7!3m6!1s0x2e7a58321847366b:0x2d1c974a3f408e1e!8m2!3d-7.784344!4d110.3740934!16s%2Fg%2F11dxnm7j9g!19sChIJazZHGDJYei4RHo5AP0qXHC0?authuser=0&hl=id&rclk=1","Simetri Coffee Roaster","4,6","(2.283)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Sabirin No.20","Buka","· Tutup pukul 22.45","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEA2oabwdjFPSDJdvUOlKAj9lIAkU7ob6BOqeseqkgsRkEbMGOjnUtwJYUnTuDydQbrx0XuOkCIruoP2IOlNQiQ4W5W-qFGBjGZffFcsp5lcN6myQkyzjxc_g_jKUG4JdCQzaA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Coffee dan ambiencenya enak banget.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFkeG5tN2o5ZxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Pin3acXcGL2H4-EPmsyMuQk&ei=Pin3acXcGL2H4-EPmsyMuQk&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/atiga+cafe/data=!4m7!3m6!1s0x2e7a599f04af4c1d:0xbaf732dab34c973e!8m2!3d-7.7544573!4d110.4032999!16s%2Fg%2F11mjz24_bz!19sChIJHUyvBJ9Zei4RPpdMs9oy97o?authuser=0&hl=id&rclk=1","atiga cafe","4,7","(187)","·","Rp 25–50 rb","Kafe","·","Jl. Delima","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQK-97t211GIFgVr-nV_DlKQHJqlEH132mhFzALWG5h-ToSXrwNldqqjswLqN92FgvQhxx17H-WYXDJNYat2wtfP-hfWFgdOu9Ue8Ny-YBlsj__cR6Aet_GsOLP6QEUu09ou90=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""indoor lebih cocok buat working space, outdoor cocok untuk nongkrong.""","","","","","",""
"https://www.google.com/maps/place/Legend+Coffee/data=!4m7!3m6!1s0x2e7a582ec18d1347:0x34afc639ceaa0573!8m2!3d-7.7881602!4d110.372794!16s%2Fg%2F1pzrm44fv!19sChIJRxONwS5Yei4RcwWqzjnGrzQ?authuser=0&hl=id&rclk=1","Legend Coffee","4,4","(10.951)","·","Rp 25–50 rb","Kafe","·","·","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFW1coreBvmXe5W3PI6USb9RIqqB7laXJaJdvvyuXfsBuV3VNnkh0L3A-KDdh6OpAWMIzoPrOw2UBQn-AJ1TGaVD6yPftxd2R-tXRkAmWAjngAC1UmxqHH1XAFhc6sKZQqdoSI=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Buat brunch ato sekedar ngopi santai juga bisa banget.""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB6cm00NGZ2GAA6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Pin3acXcGL2H4-EPmsyMuQk&ei=Pin3acXcGL2H4-EPmsyMuQk&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Abu Bakar Ali No.24-26",""
"https://www.google.com/maps/place/Estuary+Caf%C3%A9/data=!4m7!3m6!1s0x2e7a592453113ae7:0xc92fb44d034ddd57!8m2!3d-7.7634102!4d110.3698868!16s%2Fg%2F11g1kn1g2n!19sChIJ5zoRUyRZei4RV91NA020L8k?authuser=0&hl=id&rclk=1","Estuary Café","4,6","(3.584)","·","Rp 25–50 rb","Kafe","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHlwdgy9_IWXyu1TJeRaYL6Gy7wqn1ZalPsJWZ3n4x3nKunOY8zc4w_3qVLCH8NhZ25yt5--KsVW_8MVnyX5N9e_fwhFJWPhsFa9Vqk8_GnAWp3bmqFFlhSg4pprIXD5Zcjuz54=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""nyaman, authentic coffee, bersih, luas, dingin, wfc friendly, 🌃""","","","","","Gg. Code III No.170C",""
