"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","ah5Ghc 3","Jn12ke src"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Kedai+Bang+Rindu/data=!4m7!3m6!1s0x2e7a59001e64df3b:0x3d2d50d99143e069!8m2!3d-7.7635272!4d110.3876622!16s%2Fg%2F11xnv1vyjr!19sChIJO99kHgBZei4RaeBDkdlQLT0?authuser=0&hl=id&rclk=1","Kedai Bang Rindu","4,9","(946)","·","Rp 25–50 rb","Kedai Kopi","·","","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEydI35lksUpN0R1NdPHzDQ9nbVfCNS-pIMb2G7LvSTFJlKhk83dBSrRmoPEg1fTCF1vzRfz8eHSk_rQBxtjWo3r56ZSZLjh4GQIAS4g2NqSCWNI73ryR7zWySccK7up699eL54-qbrOoE=w80-h106-k-no","Makan di tempat","·","Bawa pulang","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Kedai+Kupi+Harvest/data=!4m7!3m6!1s0x2e7a591cddd7c6f9:0x7facac01faff3824!8m2!3d-7.7663174!4d110.381009!16s%2Fg%2F11tx7srv_n!19sChIJ-cbX3RxZei4RJDj_-gGsrH8?authuser=0&hl=id&rclk=1","Kedai Kupi Harvest","4,7","(1.227)","·","Rp 1–25.000","Brunch","·","","belakang Fak kehutanan UGM, Jl. Agro No.210","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG80tr-AZpkgK80ZZNGHomevsn-uGTT5CejYXnPErxqeVGY7s91EY2dtarXZznnb7nzLaf5TlCtk7ZIlTPDevpetnCukPOzuTq6I2zIeE50UDMSkbjfeIo0nFeB9N3SvjD6FH_j7hrQpRE=w80-h106-k-no","Makan di tempat","·","Ambil di tepi jalan","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Kedai+Turut+Senang/data=!4m7!3m6!1s0x2e7a590048a92251:0x91fa7f9571419196!8m2!3d-7.7642438!4d110.4004623!16s%2Fg%2F11z5wsz1g5!19sChIJUSKpSABZei4RlpFBcZV_-pE?authuser=0&hl=id&rclk=1","Kedai Turut Senang","5,0","(14)","·","Rp 1–25.000","Kedai Kopi","·","","Jl. Sumatra No.21","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHJCfLfMTUDNCxG2uxOOs-hHK4V2iO7snEr4dwLU0PcI6szC8whP2_hgTuB7eR06fiZshn0wGfotGWISndwluuaftu6Hp-al59PTGvasdoyBwph8R3TeSdwWbfkf_rdSL67-jD13IRRoFc=w80-h106-k-no","","","","",""
"https://www.google.com/maps/place/Kedai+Semesta+Abadi/data=!4m7!3m6!1s0x2e7a59e3f37e1535:0x4cad21fe110679e9!8m2!3d-7.7734527!4d110.4112129!16s%2Fg%2F11v4khdy5g!19sChIJNRV-8-NZei4R6XkGEf4hrUw?authuser=0&hl=id&rclk=1","Kedai Semesta Abadi","4,7","(922)","·","Rp 25–50 rb","Kedai Kopi","·","","Komplek Pertokoan Jl. Babarsari No.46","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvLx5oTqA6wUEoTnjGtJvhLgZ3sO5d2S1a58749FfomI_kFHq3kHbaN5jMTzKCyi_f3YLTJjkbzTONOPjUaqDNNvBr7xE9asLvJkJs6cXR9-YLOaBRUE7mHKO1p8HbO106Gwliwb9iUtKv=w80-h106-k-no","Makan di tempat","·","Bawa pulang","Pesan antar",""
"https://www.google.com/maps/place/Little+Tiam+%7C+Deresan/data=!4m7!3m6!1s0x2e7a590072d0caef:0x83f01f941346ccd8!8m2!3d-7.7656569!4d110.3885939!16s%2Fg%2F11vqc85zk2!19sChIJ78rQcgBZei4R2MxGE5Qf8IM?authuser=0&hl=id&rclk=1","Little Tiam | Deresan","4,9","(2.666)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. Gambir No.9A","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFG88qeQzNe_P47HVOZnyyL8cqJpCR4-0_EPa1XZTBYTNPtnIQNQpt4QHe8aWvJMI8f-o051fMQLdszuCEd7S_TAVLmQHh_957PizRTA9HBriTBe0XtpT51O9ciJMHjlcCevBpl4IvihcQ=w80-h142-k-no","Makan di tempat","·","Bawa pulang","Pesan antar",""
"https://www.google.com/maps/place/Kedai+Warga+Jogja+%28WARJOG%29/data=!4m7!3m6!1s0x2e7a59ceafa26efd:0x49c767891f5311b1!8m2!3d-7.7834921!4d110.4115135!16s%2Fg%2F11n4hk9gbg!19sChIJ_W6ir85Zei4RsRFTH4lnx0k?authuser=0&hl=id&rclk=1","Kedai Warga Jogja (WARJOG)","4,9","(21)","·","Rp 1–25.000","Kedai Kopi","·","","Jl. Laksda Adisucipto No.8","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFyzs1PJW5VIT69QesHj7KPpb8LksKnSXZMh3dNsEDLpoO2A7JpeJtlmggq-q0pZjgAqwSC1iJfRJ7dZShfrPc7xYFFSEgUylRODNfqoDQudsu1yamfxYuCNnyyJGiXf4tk7AMGttmjBWM=w80-h142-k-no","","","","",""
"https://www.google.com/maps/place/At+Kedai+Garasi/data=!4m7!3m6!1s0x2e7a59b0a70ece89:0xfaf2ba8209cedb7e!8m2!3d-7.7683325!4d110.3907179!16s%2Fg%2F11g6hy6f1p!19sChIJic4Op7BZei4RftvOCYK68vo?authuser=0&hl=id&rclk=1","At Kedai Garasi","4,7","(10)","·","Rp 1–25.000","Kafe","·","","69JR+M78, Gg. Dahlia","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAES18DyqyPFnMY7FRxQNG8-Z86J-XddfbxZ9P6IpQLngQk8QPzJ3WQdUnIoMov5abeCf70IFTltCn2Tw2vfmkh0uEV_a6IRom-JKLaVl80Iy4MaYJ1THCSoScpCnJtL4s0mK2dJ=w80-h142-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/KEDAI+ALAYDRUS/data=!4m7!3m6!1s0x2e7a5964f44eb003:0xb84cd23912379ee3!8m2!3d-7.7635615!4d110.4019531!16s%2Fg%2F11k9xl1w2_!19sChIJA7BO9GRZei4R4543EjnSTLg?authuser=0&hl=id&rclk=1","KEDAI ALAYDRUS","5,0","(17)","·","Rp 1–25.000","Kedai Kopi","·","","Gg. Mawar No.165","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE7PNm3g5FosK1qJ6AXMdbP4Cw5i5VDEmJ2LdOWtsgLxaFZkYvChg-gjvzNFL8gL2l7i87mPKYSb8kUnnHjIqbBnBCDnk883YKI3TKg2oM8rXIrw8Tlm6zAr9x7yfzmAI_vRW65=w122-h92-k-no","Makan di tempat","·","Bawa pulang","Pesan antar",""
