"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","doJOZc","W4Efsd 6"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Hungry+Bites/data=!4m7!3m6!1s0x2e7a59ec3b5e9ead:0x618c972b35825108!8m2!3d-7.7702509!4d110.4086789!16s%2Fg%2F11gnn0l42w!19sChIJrZ5eO-xZei4RCFGCNSuXjGE?authuser=0&hl=id&rclk=1","Hungry Bites","4,9","(995)","·","Rp 25–50 rb","Restoran","·","Jl. Pemancar Timur Jl. Seturan Raya No.43","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQ73e-HHeVmiVQ8UfGsez03D33M6yTG42BGmn29hR-uEu9r5rLk3V1debTraHR2ncD5-0xJGXfPSO92tuLJdfxgYHvRrTl0bbDaJhwhmj7fkk3K7S8m87IX_Df6cPjYGBNmqzM=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, sambelnya nampol, porsinya pas, harganya cocok.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnbm4wbDQydxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=tyn3acvXI96a4-EPx7PQuAc&ei=tyn3acvXI96a4-EPx7PQuAc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Kantin+Larasati/data=!4m7!3m6!1s0x2e7a59313a148b4f:0xd70bcb90423017a!8m2!3d-7.7551769!4d110.3965084!16s%2Fg%2F11t_t59v20!19sChIJT4sUOjFZei4RegEjBLm8cA0?authuser=0&hl=id&rclk=1","Kantin Larasati","4,7","(706)","·","Rp 1–25.000","Indonesia","·","Ruko Kelapa Hijau, Jl. Brojomulyo No.10","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH45UGVv6T3H27EQJJ_M5Oz9G9GDwIoegoeheEp5QjpFgw2atKTiHZpzD0mQUnOYnWhYRqJG37YNsq1J4aCCJ2a_101osfs8iSiruTUJ-5rXtVUmGkVeVyUxcodN9b5UqQI=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0X3Q1OXYyMBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=tyn3acvXI96a4-EPx7PQuAc&ei=tyn3acvXI96a4-EPx7PQuAc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","makanan","",""
"https://www.google.com/maps/place/Food+Area+%28Warung+makan+Pedas%29/data=!4m7!3m6!1s0x2e7a598df8713b33:0x8a4f60be6dc1c907!8m2!3d-7.7595744!4d110.4076568!16s%2Fg%2F11shcw8xbx!19sChIJMztx-I1Zei4RB8nBbb5gT4o?authuser=0&hl=id&rclk=1","Food Area (Warung makan Pedas)","5,0","(11)","","","Brunch","·","Jl. Nusa Indah No.130","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFcsYEmmWdChUIAP7KDLpIBN4LMR36ahbeLY0Ztr1GnsZ1UEhEUZeyXVrma-B7tnJa6vkz8BU3rfFc3MHgOTHBpvtSGHkPBUAJVPGjY25AhjiYVFszFWRguopgBZSU7WuMZwBAwcg=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, tempatnya juga  nyaman dan bersih.""","","","","","",""
"https://www.google.com/maps/place/Tea+Campus+Indonesia/data=!4m7!3m6!1s0x2e7a59002474edb5:0x737ac4917086d78b!8m2!3d-7.7665693!4d110.385979!16s%2Fg%2F11yyfcr0rf!19sChIJte10JABZei4Ri9eGcJHEenM?authuser=0&hl=id&rclk=1","Tea Campus Indonesia","4,9","(29)","·","Rp 1–25.000","Makanan Siap Saji","·","Jl. Apokat No.2B CT 8, Blok B","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEouh0HPb9GXOuyDZrf0O-I_AC6Cz4iwmf6TnUCNf_5bNXw4rK5Qmm_9FSeRe7nFC5LG6SMdzcG5M09E24qwe-d7apQpZhlGd7uibt4TWD55YG69lSUzW113FRMkWXHn8hToBzkx5gWhY7L=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada","","","","makanan","",""
"https://www.google.com/maps/place/Popeneeye+Chicken+Express+Karang+Gayam/data=!4m7!3m6!1s0x2e7a59006442b489:0x12f2c5d2ee74b663!8m2!3d-7.7689956!4d110.3899286!16s%2Fg%2F11yv3b8q6n!19sChIJibRCZABZei4RY7Z07tLF8hI?authuser=0&hl=id&rclk=1","Popeneeye Chicken Express Karang Gayam","4,2","(678)","·","Rp 1–25.000","Makanan Siap Saji","·","","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8miKvIfx0VIJ1drpV-CrSdfZCXK1cFFF-AdO9XO6zV79KZWC6YPrjzG9a__hEDDSSPRnw3Kr3dJq6rVhRwhuKIWIKh9q40BiolmhsJ-cnWrpdgJkdLhS7Bpz_nu-SFsdihgfv=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya sepi banget, padahal rasanya lumayan dan harganya murah.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5djNiOHE2bhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=tyn3acvXI96a4-EPx7PQuAc&ei=tyn3acvXI96a4-EPx7PQuAc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Dango+Cece+Foodtruck/data=!4m7!3m6!1s0x2e7a59603928600b:0x7d1cb6596b0f2635!8m2!3d-7.7826274!4d110.4116632!16s%2Fg%2F11t3hw2r2s!19sChIJC2AoOWBZei4RNSYPa1m2HH0?authuser=0&hl=id&rclk=1","Dango Cece Foodtruck","5,0","(11)","","","Indonesia","·","6C86+XMM","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFPCdcoMdHhuHjroWygEIPbNk0Qqy-MYyGiyrUcHiuCeZoXfFuGj8ukZH7d7nLFiIt2_wFOfRR93RF5I-7c3leDzSHq-WmrD1U6Ra0BSyQjrsJJz6aRDu2GNWjECASZylHOOatV0K7ta0I=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak enak banget sesuai dengan harganya""","","","","","",""
"https://www.google.com/maps/place/Wendy%27s+Transmart+Maguwo/data=!4m7!3m6!1s0x2e7a59f0a9eddcf9:0xd80abc2edacaf9f9!8m2!3d-7.7830154!4d110.4198628!16s%2Fg%2F11g7_5nfpj!19sChIJ-dztqfBZei4R-fnK2i68Ctg?authuser=0&hl=id&rclk=1","Wendy's Transmart Maguwo","4,2","(163)","·","Rp 25–50 rb","Makanan Siap Saji","·","Transmart Carrefour Maguwoharjo, Jl. Raya Solo - Yogyakarta No.KM 8 Lt. GF","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPZ1lRGlwlpMmqycCGseZmMWlJ9E2rnvVC5dMM7YVLZqoDCTolojV3hLr_BCCxbL3ooUvPUCCilVPlJ9St01pYtZXCqwnbRr66pjVj_96IFGnhj0HY-ljJdT-FVAyjlmUilpKu=w184-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih makanannya enak dan lezat saya suka""","","","","","",""
"https://www.google.com/maps/place/Olive+Fried+Chicken+-+Affandi+gejayan/data=!4m7!3m6!1s0x2e7a5938de13639f:0x72c313ac77a2994!8m2!3d-7.7701183!4d110.3905717!16s%2Fg%2F11g0g64krp!19sChIJn2MT3jhZei4RlCl6xzoxLAc?authuser=0&hl=id&rclk=1","Olive Fried Chicken - Affandi gejayan","4,6","(1.135)","·","Rp 1–25.000","Ayam","·","·","Buka","· Tutup pukul 20.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH9dCsROLdkV2TSTJMyysiI4FWunplkpmPZdd-A_uGOwGK7IgzuBg664EGLLkgmp5XF1fxDjYbqjdUkxvGSjv8kAhNU3szRZh4wd-g366_DAvffp-yOLJ1oInnSSJpy6EfRB7FX8WC1uwmR=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnMGc2NGtycBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=tyn3acvXI96a4-EPx7PQuAc&ei=tyn3acvXI96a4-EPx7PQuAc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","Makanan","","Jl. Affandi No.40-36"
