"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Mak+Semarangan+Express/data=!4m7!3m6!1s0x2e7a5993698b358f:0x6f92bde72f0b84c8!8m2!3d-7.7593715!4d110.3994963!16s%2Fg%2F11gfgxykg5!19sChIJjzWLaZNZei4RyIQLL-e9km8?authuser=0&hl=id&rclk=1","Mak Semarangan Express","4,6","(877)","·","Rp 25–50 rb","Halal","·","","·","Jl. Ring Road Utara","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG81tFv1srDONJBZDJ8MwmbGp-G8BArgH5RkFPmThU85EBE3wMSdHbJTWaxpqbjJJvdbmYSKwd45B6BSpVxFbjVsIlpmsEj-34qwVFfFN2zpy_CAI1VS-aei24pS6oW23HWcfXv=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Empal sambel bawangnya empuk mantap""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnZmd4eWtnNRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=nyn3aay9GLmD4-EP5_rNwQY&ei=nyn3aay9GLmD4-EP5_rNwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Ngudi+Rejeki+Pogung/data=!4m7!3m6!1s0x2e7a585216a2761b:0x86bd35dab4f22aab!8m2!3d-7.7637983!4d110.3737143!16s%2Fg%2F11clyz1jfh!19sChIJG3aiFlJYei4RqyrytNo1vYY?authuser=0&hl=id&rclk=1","Ngudi Rejeki Pogung","4,4","(1.626)","·","Rp 1–25.000","Restoran","·","","·","69PF+FFP","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_tglHM8unEepy4n-a_asiKNx7H2OIk-2Aa-ZM5aNKfn_sezWlKH311KgdXaF5xwf6FvpImOor8QrNtLTOPmfyS7mf0FxC7JIEfSzs_qR6Lwu7lgfEbJY84RjZKTF7551ry5Ur=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makananya enak ikan, udang, jamur krispi enak, nasi banyak sewakul.""","","","","",""
"https://www.google.com/maps/place/Warung+Makan+Mr.+B/data=!4m7!3m6!1s0x2e7a599ee6097e2b:0xce1369fcb6bd916b!8m2!3d-7.7588388!4d110.4054586!16s%2Fg%2F11c0w530db!19sChIJK34J5p5Zei4Ra5G9tvxpE84?authuser=0&hl=id&rclk=1","Warung Makan Mr. B","4,7","(246)","·","Rp 1–25.000","Rumah Makan","·","","·","Jl. Cemp. No.231","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFCK0vqL-NV45QrwVP4aRZrV94OOtwC7sYdJr9Jz7px3xjFFww-7mKsWIVxeeSAWlqV4O9cMNQbTo_peL781wxqcC767IXkBSdPk6DNWaCTjs55e93UCP_mrOXWW6cQod4m9qe8=w184-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, banyak pilihan menu, dan harganya terjangkau""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjMHc1MzBkYhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=nyn3aay9GLmD4-EP5_rNwQY&ei=nyn3aay9GLmD4-EP5_rNwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Warung+Makan+Pak+Imam/data=!4m7!3m6!1s0x2e7a5853d2faf113:0xbb09f650c116003c!8m2!3d-7.7620362!4d110.3730824!16s%2Fg%2F11bzr61z4_!19sChIJE_H60lNYei4RPAAWwVD2Cbs?authuser=0&hl=id&rclk=1","Warung Makan Pak Imam","4,7","(143)","·","Rp 1–25.000","Indonesia","·","","·","Jl. Selokan Mataram Jl. Pogung Kidul","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHDZs7iGW8YAxNI5yEzE7QnvAxX-j_PdJPPnne1T4PeXDS0_uLhsmEuFS5gQK2I0RIF95_wgfmDDWdYpcJDkcfIT6PGFDNofXMxYWS7npIT2iz8pattFwnf-tXe1EKdc-0X0NlT=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa makanannya enak, porsinya sangat banyak, dan harganya murah.""","","","","",""
"https://www.google.com/maps/place/Nyambel+Cobek+-+Condongcatur/data=!4m7!3m6!1s0x2e7a59a68e053f4d:0x4b0dee7de149f4d5!8m2!3d-7.7537864!4d110.3977127!16s%2Fg%2F11ynb9v8w0!19sChIJTT8FjqZZei4R1fRJ4X3uDUs?authuser=0&hl=id&rclk=1","Nyambel Cobek - Condongcatur","4,5","(534)","·","Rp 1–25.000","Rumah Makan","·","","Jl. Garuda No.120","","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH6ZPU0NYhCgEbBY6R9oKjf-ffEdPliJWLFtW3J4EgcNRfyBt0WcJlQgvgxsFfvQR4NVSigAHY0FaV6C7wCfzVxPcMtxf-IFj1onGxUu6EcrWiuMKsUo6v6QPVe0Lg1s8rR97Zx8N3xB0aR=w80-h109-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makananya enak pilihan banyak dan unik, jarang jarang dijogja ada begini""","","","","",""
"https://www.google.com/maps/place/Warung+Ocik+-+Makanan+Khas+Medan+%28Halal%29/data=!4m7!3m6!1s0x2e7a59c227abdacd:0x900590cb27fecb57!8m2!3d-7.7790262!4d110.4003678!16s%2Fg%2F11c483ff0n!19sChIJzdqrJ8JZei4RV8v-J8uQBZA?authuser=0&hl=id&rclk=1","Warung Ocik - Makanan Khas Medan (Halal)","4,7","(375)","·","Rp 25–50 rb","Mi","·","","·","Perum Tirta Kirana, Jl. Nologaten No.1A","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHue8UhGuEcus4fh9brcAEtsNBxEwUdk2SxMJy3dB_OvhFcvrwNwcSaJ1LPMI4h_jqeLEaFRIjaYppgOmyeT8ZXpc_jUNmo6rmbqSvs-ucfRVwmHpAtkeEw_I7eLSvGELX5Dy8IBg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih,","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjNDgzZmYwbhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=nyn3aay9GLmD4-EP5_rNwQY&ei=nyn3aay9GLmD4-EP5_rNwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","makanan","lumayan enak tapi harganya ga sesuai."""
"https://www.google.com/maps/place/Rumah+Makan+Khas+Banyuwangi%28%EA%A7%8B%EA%A6%AB%EA%A6%B8%EA%A6%A9%EA%A6%83%EA%A6%A9%EA%A6%8F%EA%A6%A4%EA%A7%80%EA%A6%8F%EA%A6%B3%EA%A6%B1%EA%A7%80%EA%A6%A7%EA%A6%9A%EA%A6%B8%EA%A6%AE%EA%A6%94%EA%A6%B6%29/data=!4m7!3m6!1s0x2e7a59988cb58a43:0x57b68b1522b20842!8m2!3d-7.7608449!4d110.4038294!16s%2Fg%2F11c51sh00n!19sChIJQ4q1jJhZei4RQgiyIhWLtlc?authuser=0&hl=id&rclk=1","Rumah Makan Khas Banyuwangi(꧋ꦫꦸꦩꦃꦩꦏꦤ꧀ꦏ꦳ꦱ꧀ꦧꦚꦸꦮꦔꦶ)","4,8","(35)","","","Rumah Makan","·","","Jl. Wahid Hasyim No.49","","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHWSBp45m6NVDosCbkOgb79gX-6ZZ5G0QpKItb9mz-lGYEmSYcvosbAS8HRHvjtbqFOvS3TlJlc0vukBkkBkUxTX29FhVyphgBNcqfpFWISy51IzgKDVehRIVLfbYz9MuDOff8=w80-h100-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa makanannya lumayan enak, minumnya mantap""","","","","",""
"https://www.google.com/maps/place/Warung+Makan+Khas+Kalimantan+Lemeq/data=!4m7!3m6!1s0x2e7a59c24f9d2e97:0xd39a1c7c91fac7b1!8m2!3d-7.7806097!4d110.4000476!16s%2Fg%2F11b62110y3!19sChIJly6dT8JZei4Rscf6kXwcmtM?authuser=0&hl=id&rclk=1","Warung Makan Khas Kalimantan Lemeq","4,8","(106)","·","Rp 1–25.000","Restoran","·","","Jl. Nologaten No.326","","Segera buka","· 18.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTvSdhWYyhJ5Vn66OXrKzrmzAOYagaNG5vSrT2kweqQd6kujsOnSNw5ZRTVepIDB3No_0KTF9b1NsuB52teZc4MyAxUSOEooqUhs8EMA4qTCvqyf5NtXFwaD__nh-IUJ05U_8=w182-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak banget, krispi, porsinya juga lumayan banyak dengan harga 17k!""","","","","",""
