"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","FQ2IWe src","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/MC-3+Mart/data=!4m7!3m6!1s0x2e7a599e6f01ba49:0x744327d25e035040!8m2!3d-7.7550755!4d110.408232!16s%2Fg%2F11c0xyyh27!19sChIJSboBb55Zei4RQFADXtInQ3Q?authuser=0&hl=id&rclk=1","MC-3 Mart","4,2","(102)","Toko","·","","·","Jl. Dahlia Perumnas No.118","Buka","· Tutup pukul 21.30","·","0895-0930-2360","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFJVckJmWtn2CEcjtCjCkeuZmiG0OZFkGc6KGUnsADmn3WmCF8EMvokwjwW78vEQxu1yVNZCznyP9YhrpQSDLJ_m5LiFUblSNsR5R7u_zCTR1Qp-g-osS-LEdXYujkS8B2j8Wvg=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Suasana toko nya nyaman dan pelayanan sangat ramah"""
"https://www.google.com/maps/place/Laras+Minimarket/data=!4m7!3m6!1s0x2e7a585511f831c1:0xc953db0c0c3a5155!8m2!3d-7.7559825!4d110.3764113!16s%2Fg%2F11b6b9qc4t!19sChIJwTH4EVVYei4RVVE6DAzbU8k?authuser=0&hl=id&rclk=1","Laras Minimarket","4,5","(172)","Toko Swalayan","·","","·","69VG+JH3, Jl. Pandega Marta","Buka","· Tutup pukul 22.00","·","0857-2972-4478","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmYKTjaEiLqKvmAmG_tjR1VhW7lGUX-I3knkGPyBIYM0xBW21tIxQglPFe4TV5ntqOHQVNOoCwanmv7yeZclpSLSSKRv8V76oLK7mpEosFiA8RBtDjyR805gyTq23xPvt2B-Fs=w162-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap, murah"", ramah juga"""
"https://www.google.com/maps/place/%22O%22+Mart/data=!4m7!3m6!1s0x2e7a599b38a2ef95:0x1e632eb8055765ac!8m2!3d-7.7590072!4d110.4132912!16s%2Fg%2F11gcddbpw1!19sChIJle-iOJtZei4RrGVXBbguYx4?authuser=0&hl=id&rclk=1","""O"" Mart","4,7","(128)","Toko bahan makanan","·","","·","Jl. Cendrawasih","Buka","· Tutup pukul 21.00","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFIXZgQ7WX-lh9M8FDGS9jReZ3IG_9f8LVI2ohn9sRvVS11EbsB5c4O9EM9jgrRIymyWMuUSmfub_i9Qqu-J7oEB9TC4MDKoLBRAumC2GFONjpOPkwfZDdkbDVfYRP70wlRvgYX=w162-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recommended ya man..teman toko nya lengkap serba ada harga ttp murah"""
"https://www.google.com/maps/place/Minimarket+Efsiji/data=!4m7!3m6!1s0x2e7a59003f5d7179:0x8e1025cb23eac378!8m2!3d-7.7589799!4d110.3791771!16s%2Fg%2F11ykvb1vcp!19sChIJeXFdPwBZei4ReMPqI8slEI4?authuser=0&hl=id&rclk=1","Minimarket Efsiji","","","Minimarket","·","","Jl. Kaliurang komplek, Jl. Pogung Baru No.Km.5 Blok F1","","","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fOsZBUrKBmJlSv8i3QSwoQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=301.53912&pitch=0&thumbfov=100","",""
"https://www.google.com/maps/place/Minimarket+Vio/data=!4m7!3m6!1s0x2e7a59bfc6c30411:0x7e62b484f4adeb7!8m2!3d-7.7719897!4d110.4011313!16s%2Fg%2F11b8_rt75g!19sChIJEQTDxr9Zei4Rt95KT0gr5gc?authuser=0&hl=id&rclk=1","Minimarket Vio","4,9","(13)","Toko bahan makanan","·","","·","Jl. Ace No.08","Buka","· Tutup pukul 22.30","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qhLMrNbGDBxoeMOuu3UfcA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=186.3808&pitch=0&thumbfov=100","",""
"https://www.google.com/maps/place/Alfa+Mart/data=!4m7!3m6!1s0x2e7a59b79b184bab:0x4bedefe9755826b2!8m2!3d-7.7721855!4d110.3896462!16s%2Fg%2F11g04yx2kl!19sChIJq0sYm7dZei4RsiZYdenv7Us?authuser=0&hl=id&rclk=1","Alfa Mart","3,3","(74)","Minimarket","·","","·","Jl. Affandi Kel No.21 A","Buka","· Tutup pukul 22.00","·","(021) 1500959","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGvuB88Wghy5KDF2Db8ntyRVEU6ykGZ4M9em61iU9UepANrForyy6FW0AYaGhFihKFz-0Z7LpZMw81tlNzxDd0ZKBkiKYauXddduVdRKb_nQFHGgDAnbJicFS9lGlzH1wT-C5a0ow=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""bagus, nyaman, lengkap, bersih,"""
"https://www.google.com/maps/place/Alfamart+MOJO+YOGYAKARTA/data=!4m7!3m6!1s0x2e7a59698d5a0d05:0xe01a81c6bc7ff695!8m2!3d-7.7906954!4d110.3865161!16s%2Fg%2F11qq6_f9mv!19sChIJBQ1ajWlZei4RlfZ_vMaBGuA?authuser=0&hl=id&rclk=1","Alfamart MOJO YOGYAKARTA","3,6","(41)","Minimarket","·","","Jl. Mojo No.12, RW.02","","Buka","· Tutup pukul 21.00","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPJBc6Ro-KCl_mZ3LhWgk4Q1BuTfolJJE_TWeTJ6ntXG0sYyjeBeD4Z79ON7SjJLDvKSz22LvfkDwjPHHUo0-wT1nYnfAl83R-kc0VXWzsO407Ty7FQK2zYUYOmPf9ZYTl9-jj=w172-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap harga oke"""
"https://www.google.com/maps/place/Minimart+Apartement+TM/data=!4m7!3m6!1s0x2e7a59ae9c152ae1:0x28681610619bcd5c!8m2!3d-7.7614603!4d110.3721125!16s%2Fg%2F11p60tkmc6!19sChIJ4SoVnK5Zei4RXM2bYRAWaCg?authuser=0&hl=id&rclk=1","Minimart Apartement TM","5,0","(1)","Toko bahan makanan","·","","Jl. Selokan Mataram No.49 No.11","","Buka","· Tutup pukul 00.00","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEA83Mhf0C85ZqRxt_QDMgCRQJFdVGX14toaqfWbopAUe0l9g2AwZ_sGQG0iqQSYpnV9dvBNNPi1QbewsJamJd1uelDJ-aERVGW7Ap0Cf9zuzO8yr3K1fBK-t_8HQ-wezSKPujI=w80-h142-k-no","",""
