"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/St.+Lempuyangan+Eksisting/data=!4m7!3m6!1s0x2e7a597d1850c3db:0x871f527871ff6cf!8m2!3d-7.79022!4d110.37736!16s%2Fg%2F11flggsk67!19sChIJ28NQGH1Zei4Rz_Yfhyf1cQg?authuser=0&hl=id&rclk=1","St. Lempuyangan Eksisting","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Bus+Stop+Trans+Jogja/data=!4m7!3m6!1s0x2e7a584d67620c01:0x5209a1c09713d3d!8m2!3d-7.7650523!4d110.3770528!16s%2Fg%2F11f38v2dr3!19sChIJAQxiZ01Yei4RPT1xCRyaIAU?authuser=0&hl=id&rclk=1","Bus Stop Trans Jogja","Perhentian bus","","Rute"
"https://www.google.com/maps/place/SPBU+Condongcatur+%28Barat%29/data=!4m7!3m6!1s0x2e7a59a45bc63329:0xdf2c60f67ccd2e81!8m2!3d-7.7608!4d110.39442!16s%2Fg%2F11k3qvv2j8!19sChIJKTPGW6RZei4RgS7NfPZgLN8?authuser=0&hl=id&rclk=1","SPBU Condongcatur (Barat)","Perhentian bus","","Rute"
"https://www.google.com/maps/place/UPN+Veteran/data=!4m7!3m6!1s0x2e7a599981843907:0x39d2bd4b6fbd93e3!8m2!3d-7.76066!4d110.40804!16s%2Fg%2F11b6npj9yh!19sChIJBzmEgZlZei4R45O9b0u90jk?authuser=0&hl=id&rclk=1","UPN Veteran","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Janti/data=!4m7!3m6!1s0x2e7a59ef86b251e7:0x3c6ed41e0f947170!8m2!3d-7.7832!4d110.4117!16s%2Fg%2F11tfp4t_9m!19sChIJ51Gyhu9Zei4RcHGUDx7Ubjw?authuser=0&hl=id&rclk=1","Janti","Perhentian bus","","Rute"
"https://www.google.com/maps/place/LPP/data=!4m7!3m6!1s0x2e7a59ce418fd2ff:0xb79c472615b39ee6!8m2!3d-7.78316!4d110.38615!16s%2Fg%2F11f5g1843w!19sChIJ_9KPQc5Zei4R5p6zFSZHnLc?authuser=0&hl=id&rclk=1","LPP","Perhentian bus","","Rute"
"https://www.google.com/maps/place/TJ+Kotabaru/data=!4m7!3m6!1s0x2e7a5831e91ef14b:0x7d7e69c45647a3d3!8m2!3d-7.78467!4d110.37136!16s%2Fg%2F11f5g169dm!19sChIJS_Ee6TFYei4R06NHVsRpfn0?authuser=0&hl=id&rclk=1","TJ Kotabaru","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Janti+Selatan+Bawah+Jembatan/data=!4m7!3m6!1s0x2e7a59e5b18cbfb3:0xc234706d20773e02!8m2!3d-7.7857751!4d110.4104746!16s%2Fg%2F11tfp6fqbr!19sChIJs7-MseVZei4RAj53IG1wNMI?authuser=0&hl=id&rclk=1","Janti Selatan Bawah Jembatan","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Jl.+Colombo+%28Panti+Rapih%29/data=!4m7!3m6!1s0x2e7a583535d8e47d:0x25b09dd732291f4e!8m2!3d-7.7762503!4d110.3781815!16s%2Fg%2F11b6cvmsgp!19sChIJfeTYNTVYei4RTh8pMtedsCU?authuser=0&hl=id&rclk=1","Jl. Colombo (Panti Rapih)","Perhentian bus","","Rute"
"https://www.google.com/maps/place/STIE+YKPN+%28Timur%29/data=!4m7!3m6!1s0x2e7a5993c336ad23:0x21656efe52156a0c!8m2!3d-7.7684653!4d110.4101887!16s%2Fg%2F11gh1ph5g1!19sChIJI602w5NZei4RDGoVUv5uZSE?authuser=0&hl=id&rclk=1","STIE YKPN (Timur)","Perhentian bus","","Rute"
