"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","doJOZc","W4Efsd 7","lcr4fd href","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/PASAMAN+Photocopy+And+Print+Shop/data=!4m7!3m6!1s0x2e7a5856ad436e37:0x5770dd0d040aae74!8m2!3d-7.7597199!4d110.37203!16s%2Fg%2F11gdkpg3g_!19sChIJN25DrVZYei4RdK4KBA3dcFc?authuser=0&hl=id&rclk=1","PASAMAN Photocopy And Print Shop","4,7","(39)","Toko Alat Tulis","·","69RC+4R6, Jl. Selokan Mataram","Buka","· Tutup pukul 20.00","·","(0274) 557712","","Rute","","","","","","","","",""
"https://www.google.com/maps/place/Explora+Digital+Printing/data=!4m7!3m6!1s0x2e7a59c8ceccff71:0xebd0d50f8b01e695!8m2!3d-7.77149!4d110.3897503!16s%2Fg%2F1pzq8ccdj!19sChIJcf_MzshZei4RleYBiw_V0Os?authuser=0&hl=id&rclk=1","Explora Digital Printing","4,2","(1.531)","Toko Percetakan","·","·","Jl. Affandi No.27","Buka","· Tutup pukul 21.00","0815-7748-888","","Situs Web","","·","http://www.exploraprint.com/","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga terjangkau, kualitas","print","nya bagus, dan pelayanannya baik"""
"https://www.google.com/maps/place/Mangrove+Printing/data=!4m7!3m6!1s0x2e7a5787ad8c1b2d:0x3558906a5f9804cb!8m2!3d-7.7689099!4d110.3902369!16s%2Fg%2F1pzt6k4m_!19sChIJLRuMrYdXei4RywSYX2qQWDU?authuser=0&hl=id&rclk=1","Mangrove Printing","4,2","(2.620)","Toko Percetakan","·","·","Buka","· Tutup pukul 21.00","Jalan Bougenvile CT X2","0857-9920-5499","","Rute","","·","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dulu pernah","print","disini, harganya termasuk yang paling murah se-jogja"""
"https://www.google.com/maps/place/Photocopy+and+Printing+%22Le+Petit+Print%22/data=!4m7!3m6!1s0x2e7a59e653f3cae9:0x24250c4bbbbcae76!8m2!3d-7.7613287!4d110.3721683!16s%2Fg%2F11xckttxyd!19sChIJ6crzU-ZZei4Rdq68u0sMJSQ?authuser=0&hl=id&rclk=1","Photocopy and Printing ""Le Petit Print""","5,0","(10)","Toko Fotokopi","·","Taman Melati Apartment, Jl. Jemb. Baru UGM","Buka","· Tutup pukul 00.00","·","0823-3802-1382","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... banget buat mahasiswa atau siapapun yang mau","print",""""
"https://www.google.com/maps/place/ORTINDO+Digital+Print+1/data=!4m7!3m6!1s0x2e7a59b775f08ff9:0xbd823d26ecc8b315!8m2!3d-7.7718457!4d110.3894675!16s%2Fg%2F11dyr09w_f!19sChIJ-Y_wdbdZei4RFbPI7CY9gr0?authuser=0&hl=id&rclk=1","ORTINDO Digital Print 1","4,0","(1.350)","Toko Percetakan","·","·","Gg. Bayu","Buka","· Tutup pukul 20.00","0819-0416-2707","","Situs Web","","·","https://ortindo.com/","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Langganan","print",".. harga murah, cepat, dan hasil memuaskan.."""
"https://www.google.com/maps/place/Fotokopi+Cozy+24+Jam+Sendowo/data=!4m7!3m6!1s0x2e7a584970c905d7:0x850b1234f902c302!8m2!3d-7.7723977!4d110.3719557!16s%2Fg%2F1pzt86drs!19sChIJ1wXJcElYei4RAsMC-TQSC4U?authuser=0&hl=id&rclk=1","Fotokopi Cozy 24 Jam Sendowo","4,4","(569)","Layanan cetak digital","·","·","Jl. Sendowo D No.19","Buka 24 jam","","0895-3926-82241","","Situs Web","","·","http://www.tokopedia.com/fotokopi24jam","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""bagus pelayananya cepat, solusi buat","print","tugas murah"""
"https://www.google.com/maps/place/Sinar+Fotocopy+%22Sinar+Print+Copy+Center%22/data=!4m7!3m6!1s0x2e7a5997608e9ae9:0xc44c31e2ea277df8!8m2!3d-7.7633418!4d110.4067487!16s%2Fg%2F11b62_q2p8!19sChIJ6ZqOYJdZei4R-H0n6uIxTMQ?authuser=0&hl=id&rclk=1","Sinar Fotocopy ""Sinar Print Copy Center""","4,5","(100)","Toko Fotokopi","·","·","Jl. Pintu Selatan UPN","Buka","· Tutup pukul 23.30","0815-7200-7272","","Situs Web","","·","https://linktr.ee/upnsurya","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""murahhh, bisa","print","sendiri"""
"https://www.google.com/maps/place/Everyprint/data=!4m7!3m6!1s0x2e7a59ba052b6615:0x3ff9611af06ad7be!8m2!3d-7.7677855!4d110.3912879!16s%2Fg%2F11cnb239dl!19sChIJFWYrBbpZei4Rvtdq8Bph-T8?authuser=0&hl=id&rclk=1","Everyprint","4,6","(2.324)","Percetakan Komersial","·","Jl. Affandi No.27","·","Buka","· Tutup pukul 21.00","(0274) 2924803","","Situs Web","","","http://www.everyprint.co.id/","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""everyprint","print","yang sangaf cepat dan tepat serta harga yang murah"""
