"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","AJB7ye","AJB7ye 2","W4Efsd 4","doJOZc","W4Efsd 5","W4Efsd 6","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Padang+Pariaman+Uni+Ara+Gejayan/data=!4m7!3m6!1s0x2e7a59ecc85cb77b:0x894928392392101d!8m2!3d-7.7630378!4d110.3938836!16s%2Fg%2F11n3n19n53!19sChIJe7dcyOxZei4RHRCSIzkoSYk?authuser=0&hl=id&rclk=1","Padang Pariaman Uni Ara Gejayan","4,5","(30)","Indonesia","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1GuFzILHlurOVCtMZZfiY8go5dVhJTBeIkAjuK_niQ6Xgj2OIagSRgOV1Gmm58fSjEwU0UIH8vDS4J9vm1UMeHvaCXHtjR9EElGuf1C9jObohkWi0VpMVQenpHs8-dB3GbSDJYz5n1YFA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""rendang dan sayur nangka top bgt di tambah sambel merah dan ijonya.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFuM24xOW41MxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mCr3acHfHuay4-EPnvr64Ak&ei=mCr3acHfHuay4-EPnvr64Ak&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","","","","","",""
"https://www.google.com/maps/place/Warung+Makan+Padang+Sendowo/data=!4m7!3m6!1s0x2e7a584915ac2695:0x82c9446d8746a3df!8m2!3d-7.7712505!4d110.3709031!16s%2Fg%2F11bwyrmqtm!19sChIJlSasFUlYei4R36NGh21EyYI?authuser=0&hl=id&rclk=1","Warung Makan Padang Sendowo","4,6","(387)","Padang","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFXxp4H6bBKmGi76jl4RAjVpHVWIxLt1CNJxdQc2gwJagEY8gadIDGVsHwD3yoiNCArhqq__0tDDybTtmiFa53u3NvsiaRrJ01_2lP9S0v2sv1rlXmQxk7ylglIJQ0sR-h-PPk=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi","","","","·","Rp 1–25.000","·","","·","Jl. Sendowo F No.129","padang","murah, dan rasanya enak bgt"""
"https://www.google.com/maps/place/RM+Padang+Duta+Minang/data=!4m7!3m6!1s0x2e7a59eff8d92f39:0x1eb53c6806690724!8m2!3d-7.7831605!4d110.4138375!16s%2Fg%2F11cjj02_jc!19sChIJOS_Z-O9Zei4RJAdpBmg8tR4?authuser=0&hl=id&rclk=1","RM Padang Duta Minang","4,4","(2.321)","Padang","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSwW0fr2wtbdjR7xtMxSPiWB7nNjgzrocZpCPaefbyk4MdT_y4KvpWy_7XXASWN3s-bN9kR-h9HLLW4D3eXv0HYyHzKcPGfuAorf_13cgKX0dlSf4crLYbXZR7LyxtoL4GMkgO1A=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan enak, kmrn","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjamowMl9qYxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mCr3acHfHuay4-EPnvr64Ak&ei=mCr3acHfHuay4-EPnvr64Ak&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 25–50 rb","·","","No Jl. Raya Solo - Yogyakarta No.211","","makan","rendang empuk banget dagingnya"""
"https://www.google.com/maps/place/RM+Padang+Lima+Sekawan/data=!4m7!3m6!1s0x2e7a59b2c16d67f3:0xd0a344a6f7db6aec!8m2!3d-7.7660167!4d110.3798349!16s%2Fg%2F11b6d7qzq2!19sChIJ82dtwbJZei4R7Grb96ZEo9A?authuser=0&hl=id&rclk=1","RM Padang Lima Sekawan","4,5","(482)","Padang","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFzFXLf1Ae5GT7ohbe67Skpzm_BDyKY81SQeT9G-oLS4qeImOpbP1JDP-yFV8Co1FhQzPM1S53FTd2KaZV0BgSWF9ZGmfotq5rWuehELjhc2DaBqKozQLF2IutTu03mVX97u9LY=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kuahnya enak, rasanya seperti","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNmQ3cXpxMhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mCr3acHfHuay4-EPnvr64Ak&ei=mCr3acHfHuay4-EPnvr64Ak&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 1–25.000","·","","·","69MH+MW6, Jl. Agro No.7","makan","indomie rendang"""
"https://www.google.com/maps/place/Padang+Djuang+-+Pogung/data=!4m7!3m6!1s0x2e7a585254f418e1:0x6d9a271bd78fc1aa!8m2!3d-7.7622426!4d110.3753559!16s%2Fg%2F1pzr_74yx!19sChIJ4Rj0VFJYei4RqsGP1xsnmm0?authuser=0&hl=id&rclk=1","Padang Djuang - Pogung","4,4","(478)","Padang","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEtkdj2B-IIcRL6I54erpD6S0qrQSIFYu7H_USc3CHPcBaQ23oRMj9MIEZVaptjx_zb066Axd5uSQ2KdHpceLyq__xwt0V7BKULn9wrdZMNj8dSOUVdP5Te94WiUyZiikzRcxb2fw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB6cl83NHl4GAA6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mCr3acHfHuay4-EPnvr64Ak&ei=mCr3acHfHuay4-EPnvr64Ak&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 1–25.000","·","","·","Jl. Pogung Kidul No.8A","Padang","enak dan harga murah"""
"https://www.google.com/maps/place/RM.+SINAR+MINANG+BACIRO/data=!4m7!3m6!1s0x2e7a59b159be7641:0x8b19b71e2a47f02c!8m2!3d-7.7919618!4d110.3861497!16s%2Fg%2F11j4nbj7z3!19sChIJQXa-WbFZei4RLPBHKh63GYs?authuser=0&hl=id&rclk=1","RM. SINAR MINANG BACIRO","4,5","(600)","Padang","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFricFrbaKtIJZzmN0PrvnsoISvb4pcdllgDsfATvMX_0Hvs3G1animotha3JW-Ky2aW-ZKnMQAHmjfhCaWDlvh_MZrDOPD_TcnxsFb9jccxDaZPMj2XQEuduXG97nrc67xdjXd0g=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","·","Rp 1–25.000","·","","·","Jl. Gondosuli No.5","Rumah makan padang","dengan harga murah tapi enak, nasi ayam cuma 10k..."""
"https://www.google.com/maps/place/Rumah+Makan+Padang+Sederhana+Jogja/data=!4m7!3m6!1s0x2e7a584c9dd9ae11:0x7235a730ef6838ae!8m2!3d-7.7572944!4d110.382419!16s%2Fg%2F1jkxhx_k1!19sChIJEa7ZnUxYei4Rrjho7zCnNXI?authuser=0&hl=id&rclk=1","Rumah Makan Padang Sederhana Jogja","4,5","(4.405)","Padang","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGwlocX3UZSFyzT7UBmAJleBkIwPVn2m1jqKFFRlFN7fU9T-qFMailKI9qxjVCO8MsUt0IrYS1zJf53_Ap-efpRaliuVP3XcTH0VPL2Uan5rhgvCyKFskYAFWFDUC7KGAI2ORyU=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rendangnya ok, menunya rata-rata ok.""","","","","·","Rp 25–50 rb","·","","Jl. Kaliurang No.5, RW.6","","",""
"https://www.google.com/maps/place/Nasi+Kapau+Uda+Jack/data=!4m7!3m6!1s0x2e7a598dfd06f94b:0x35067956492f8662!8m2!3d-7.7794092!4d110.3886499!16s%2Fg%2F11p60t267z!19sChIJS_kG_Y1Zei4RYoYvSVZ5BjU?authuser=0&hl=id&rclk=1","Nasi Kapau Uda Jack","4,6","(1.385)","Padang","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGF-FjaCJRm895nEFoWNzBzVdZRfSf9g0V2EnyHm7x4WlCMLlKwO70a08dSIXW5g-XfZaPIMWyddczO8eBzJpDG3bTdl64jcNMelv_W9sRu60xRDhOAuA0U623khMNEMoiv9Zgqnd28O8Qq=w80-h118-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hr ini beli nasi daging rendang, perkedel & telur balado via shopee food.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFwNjB0MjY3ehgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mCr3acHfHuay4-EPnvr64Ak&ei=mCr3acHfHuay4-EPnvr64Ak&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 25–50 rb","·","","Jl. Cenderawasih No.32 B","","",""
