"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Moerni+78/data=!4m7!3m6!1s0x2e7a5855d67a82f5:0xbe294da9aa70fb34!8m2!3d-7.791185!4d110.3723407!16s%2Fg%2F11c55vmx8x!19sChIJ9YJ61lVYei4RNPtwqqlNKb4?authuser=0&hl=id&rclk=1","Moerni 78","4,6","(4.447)","·","Rp 25–50 rb","Jawa Tengah","·","","·","Jl. Tukangan No.45","Buka","· Tutup pukul 20.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGh59NGquyV0DlJwfy-MPjMLUYNErD4BcgDD52acFyddPccqrweuNjlIMAmV1saU-eYUBEG2DndJ7hKzNYc6QG26K2zJMGtDvMFAyIfwx5r8VmTRIGXAK6Lw7fTfc_JbAoVmrOKQ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu makanan dan minumannya unik unik, dan yang jelas enak enak!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjNTV2bXg4eBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Wyr3ae7EE-GY4-EP5Kjj-QQ&ei=Wyr3ae7EE-GY4-EP5Kjj-QQ&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Koki+Joni/data=!4m7!3m6!1s0x2e7a5835865f7e2b:0xbb186cab8d8ab69a!8m2!3d-7.7768174!4d110.3730543!16s%2Fg%2F1pzq46tny!19sChIJK35fhjVYei4RmraKjatsGLs?authuser=0&hl=id&rclk=1","Koki Joni","4,6","(6.187)","·","Rp 50–75 rb","Italia","·","","·","Yoga, Jl. C. Simanjuntak Gk V","Buka","· Tutup pukul 21.00","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cocok buat makan serius, bukan cuma foto-foto.""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB6cTQ2dG55GAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Wyr3ae7EE-GY4-EP5Kjj-QQ&ei=Wyr3ae7EE-GY4-EP5Kjj-QQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Nanamia+Pizzeria+%28North+Area%29/data=!4m7!3m6!1s0x2e7a59c7d0f0c797:0x485cfaac95e66563!8m2!3d-7.7761791!4d110.3909347!16s%2Fg%2F1tvrfh17!19sChIJl8fw0MdZei4RY2Xmlaz6XEg?authuser=0&hl=id&rclk=1","Nanamia Pizzeria (North Area)","4,7","(5.313)","·","Rp 50–75 rb","Italia","·","","·","Jl. Moses Gatotkaca No.B 9 - 14","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7OPaajrNSVZOHErlcebYU124f4fm54um6bP2mUlguaubF-7jVAfB0-C890nfc4t1yIvz6N_7DZPHKfjUCdUM_R-8kBnTSXlI9TnMQVF43cL9cwzTJxZyjnWTaQnH31wJM1ccB=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Salad, pasta, pizza, sandwich, sampe desert dan minumannya enak2 banget.""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXR2cmZoMTcYADoDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Wyr3ae7EE-GY4-EP5Kjj-QQ&ei=Wyr3ae7EE-GY4-EP5Kjj-QQ&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/SamaZana+Restaurant/data=!4m7!3m6!1s0x2e7a59e87aae1f03:0x1678b0e3de78f9f!8m2!3d-7.7823033!4d110.4032781!16s%2Fg%2F11cs254qyn!19sChIJAx-ueuhZei4Rn4_nPQ6LZwE?authuser=0&hl=id&rclk=1","SamaZana Restaurant","4,7","(309)","·","Rp 250.000+","Restoran","·","","·","Royal Ambarrukmo Yogyakarta, Jl. Laksda Adisucipto No.81","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwPjuzcqojwbDwNpyW7ST8VBPRKjJ2imOL9Mj6xJKHYPUZICpEwfZG1qhnuzwnZyfQqVCXV6qMgVawqRGpoaSjfLDg2uyQDDqOyPSUR3nHa1vyV-WZs_ThyrffcWzoBPWZCO0=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Overal menunya taste enak cuman untuk guramenya kurang begitu enak.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjczI1NHF5bhgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Wyr3ae7EE-GY4-EP5Kjj-QQ&ei=Wyr3ae7EE-GY4-EP5Kjj-QQ&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Hao+Kopitiam/data=!4m7!3m6!1s0x2e7a591e84e0df0f:0x6be54d93f015c9ea!8m2!3d-7.7854448!4d110.3881459!16s%2Fg%2F11shdbj0pz!19sChIJD9_ghB5Zei4R6skV8JNN5Ws?authuser=0&hl=id&rclk=1","Hao Kopitiam","4,6","(536)","·","Rp 25–50 rb","Malaysia","·","","Jl. Munggur No.44","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGfKYdVXkgqhooc_u65fZUwDNr4S8tydPRCCSkSGKta5CfChjtKPoLakzf7n-I10GZuzbTddCzgS-edSMMFVvD1Yipy9hU5tNi-on-D13eb8YXZblOgtTUIAfN60MvWsYGY9IL0=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu yang saya coba rasanya enak dan suasana retronya saya suka.""","","",""
"https://www.google.com/maps/place/Warung+Makan+Cak+Koting/data=!4m7!3m6!1s0x2e7a582b3be3c5a1:0xb741aae180d98fda!8m2!3d-7.7920498!4d110.3776769!16s%2Fg%2F11h03r1qb!19sChIJocXjOytYei4R2o_ZgOGqQbc?authuser=0&hl=id&rclk=1","Warung Makan Cak Koting","4,3","(3.138)","·","Rp 25–50 rb","Jawa","·","","·","Jl. Doktor Sutomo No.57","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGq4lxHoHaM5YxSa__V3QHJETcpQWFLS5FcyP1B4P_C0ugFb6A3nDxZ7onnWLqRtPkGlSfWw6yNLMMdl9Jng5N4HNuKEOuMHWhXu-3H4SaVT4YiCE0n6pZAbghpUqYXqlIphpvn=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Burung dara goreng atau bebek gorengnya jossss, sambelnya mantabb!""","","",""
"https://www.google.com/maps/place/Kindai+Warung+Masakan+Banjar/data=!4m7!3m6!1s0x2e7a59bc9faa1bc1:0xf356388ae30a5371!8m2!3d-7.7651586!4d110.3965299!16s%2Fg%2F1hf0c98hx!19sChIJwRuqn7xZei4RcVMK44o4VvM?authuser=0&hl=id&rclk=1","Kindai Warung Masakan Banjar","4,5","(5.106)","·","Rp 1–25.000","Indonesia","·","","·","Gg. Jemb. Merah No.116 D","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQG4cmeHujg4oswXetuDv5cer1A7qBefqZ2r9aiiIk_rn8tg6rPJI3Hh8eSM0ELT4--fafd-z2TJ41cgBwBLLVnNNE77fZJ2yXIpz-IyTXvcFuD_xRKEb7flRKGdo-4KcLUTY=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menunya variatif, harga relatif terjangkau untuk mahasiswa.""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhmMGM5OGh4GAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Wyr3ae7EE-GY4-EP5Kjj-QQ&ei=Wyr3ae7EE-GY4-EP5Kjj-QQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/ROUX+Kitchen+%26+Bar/data=!4m7!3m6!1s0x2e7a59110f96e5db:0x183bcf136603076e!8m2!3d-7.7853604!4d110.3743054!16s%2Fg%2F11h02llyv0!19sChIJ2-WWDxFZei4RbgcDZhPPOxg?authuser=0&hl=id&rclk=1","ROUX Kitchen & Bar","4,4","(237)","","","Restoran","·","","Roemi Xtraordinary Ice Cream, Jl. Suroto No.3","","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHyoI7HkzN3LR_xZm6Jr19cHTwrBhGfVqvXFaLj6lYQ6IRFFAA3twfDf2XrOjO6--mIoA2jxptHhZzs69uIg_2qn0frvFTVcKHDhNHW-sJDBp-RUZsz07xSsp_mcjaGK8JzQSgW=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tp untuk taste makanannya biasa aja dengan harga yg pricey 😅""","","",""
