"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/FIT+HUB+Gejayan/data=!4m7!3m6!1s0x2e7a59910fedbed7:0x74beac699a2b557f!8m2!3d-7.7803063!4d110.3883122!16s%2Fg%2F11lw85_lvh!19sChIJ177tD5FZei4Rf1UrmmmsvnQ?authuser=0&hl=id&rclk=1","FIT HUB Gejayan","4,9","(349)","Tempat Fitness","·","Jl. Affandi No.55","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSvCR7EuxQfMPpY6TD-dam1gAITPO_Aob5mU4oNUILBLujcmyY6LyPfzPtRFjCuaxo72NmiiQ2z8gLi-Ic73IkUmhWH-c0UxHrPXE9nK3Dlbs2SCwZMq6HMH3P0oWw68Qzdiq_EdR946xI=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Asik banget nge","gym","di fit hub.. lengkap alatnya dan banyak temannya""","",""
"https://www.google.com/maps/place/HULA+HOOP+-+Wellness+%26+Recreation+Land/data=!4m7!3m6!1s0x2e7a59e9a7007ad7:0x7fa6340706821d21!8m2!3d-7.7768636!4d110.3900421!16s%2Fg%2F11vc0tyg8c!19sChIJ13oAp-lZei4RIR2CBgc0pn8?authuser=0&hl=id&rclk=1","HULA HOOP - Wellness & Recreation Land","4,7","(237)","Tempat Fitness","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFRLk_CG3r64H2KsthdtxCIartXIgdLfDsJgmGD7dB_wru9hWEs2s5l7RFV0lvjMbumeHCGIq9UJOQoQKYLhW2Hi8aIB9N4VTIpcV-qpD7YB1uSdm6DKCv07-UCUkywJjWe8bd1HA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","dan spa nya asik bgt, enak untuk healing""","","Complex, Hulahoop wellness and recreation land, Jl. Affandi Jl. Colombo"
"https://www.google.com/maps/place/Fitness+Center+HSC+UNY/data=!4m7!3m6!1s0x2e7a59c984d8315f:0x5c2eddf0ea6dff71!8m2!3d-7.7772775!4d110.3863409!16s%2Fg%2F1pzprbz2r!19sChIJXzHYhMlZei4Rcf9t6vDdLlw?authuser=0&hl=id&rclk=1","Fitness Center HSC UNY","4,7","(301)","Tempat Fitness","·","·","Tutup","· Buka Sen pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPpOFO9-ssg7zraYLPDa8JPdfsEuHrNbD1oZaMju0YABwDhJyE323RIZaXUTHoDyDzjXhZjTRCrIkfL4d8hW11qtjnZ6FW2W7D0LuOUUU6kOjA4uJ9gOsjNqHA_vcdk6mmTJ8d=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","yang nyaman, lebih baik member karena harga lebih murah""","","Jl. Karangmalang Jl. Colombo No.1"
"https://www.google.com/maps/place/PF+Gym+%26+Fitness+Condongcatur/data=!4m7!3m6!1s0x2e7a59a11eaf8d35:0xc9a736f59f1a751d!8m2!3d-7.7560625!4d110.3981875!16s%2Fg%2F11gydqpbrw!19sChIJNY2vHqFZei4RHXUan_U2p8k?authuser=0&hl=id&rclk=1","PF Gym & Fitness Condongcatur","4,9","(376)","Tempat Fitness","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmA9gO_ICP0izYZFOr5jYxRg_myl_aEdX9_nWKfC9dLcUnvRJx4t8uIycBeObYq9RgKEpd7lQ2R9Xx_YvKAcoSXHz1bI4ZK3VhMlpF3kN0lUdmDd5PHUPSDT12OzkUt1XLlizq5Q=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saya suka","tempat gym","yg bersih, dan sirkulasi udara yg baik.""","","69VX+H78"
"https://www.google.com/maps/place/Bear+Cave+Powerhouse/data=!4m7!3m6!1s0x2e7a59bcd62b7c2d:0x20d64dea019e4f3!8m2!3d-7.7708039!4d110.4016959!16s%2Fg%2F11kk72223w!19sChIJLXwr1rxZei4R8-QZoN5kDQI?authuser=0&hl=id&rclk=1","Bear Cave Powerhouse","4,9","(55)","Tempat Fitness","·","Jl. Wahid Hasyim No.126","Segera tutup","· 19.00 · Buka Sen pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH32FuGGn3f6KLtSx35yWfuTx0v5l1-FCzLDEpTuYIUNzy6evF1IOG9kQVQWplspFwppKJBxcHLgYF6FPtPIul9d9-IiKTzMXyReFfBHjiKjRGP93sNQ6de5ublFvABP2Yol1XwCA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","paling top bisa buat powerlifting dan weightlifting""","",""
"https://www.google.com/maps/place/MISSFIT+STUDIO+GYM/data=!4m7!3m6!1s0x2e7a598be6a81dc3:0x5a0925f91d2c59b!8m2!3d-7.754079!4d110.4158762!16s%2Fg%2F11f7qggg_g!19sChIJwx2o5otZei4Rm8XSkV-SoAU?authuser=0&hl=id&rclk=1","MISSFIT STUDIO GYM","4,7","(299)","Tempat Fitness","·","·","Tutup","· Buka Sen pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6OOvHsTpvqxdBjZ-DsJIf33-ZpMz80oK61y_Y2KFhY7inEgSToMTjIiTxr2ih4zWUCSZC8aiPPR-TXXC7vfTVQBTeYY6sWTi0ErOCioliElh2gVvyOZHRlPq9V20pMMBRfERy=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","luas, nyaman, fasilitas lengkap, murah""","","Jl. Tambakboyo 3"
"https://www.google.com/maps/place/DF+FIT+CLUB/data=!4m7!3m6!1s0x2e7a597aeebd9989:0x8551a3fb57cd17c!8m2!3d-7.7804898!4d110.3926605!16s%2Fg%2F11js7w70j3!19sChIJiZm97npZei4RfNF8tT8aVQg?authuser=0&hl=id&rclk=1","DF FIT CLUB","4,7","(140)","Tempat Fitness","·","·","Tutup","· Buka Sen pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZGEHm7qybLjcT6MEzNEo94ngABfaRVxWzJuZOkGh03LOdGLnWGklIiRtlA0AOqjp8_5mpe1hhajMoy7BulV-pjmOfEvyTvDoDxrTaGkgnPtHpRd3twM7W7GJqFmptbPIf0WFG=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","yg Bersih, nyaman, es americano lemon dan arem2 nya juaraaaaa""","","Jl. Demangan Baru"
"https://www.google.com/maps/place/FORZA+GYM/data=!4m7!3m6!1s0x2e7a5900271da937:0x42a9a6d67628e7f8!8m2!3d-7.7730719!4d110.4115328!16s%2Fg%2F11w8n7flbg!19sChIJN6kdJwBZei4R-OcodtamqUI?authuser=0&hl=id&rclk=1","FORZA GYM","5,0","(32)","Tempat Fitness","·","Komplek Ruko babarsari, Jl. Babarsari","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZwWkOap_vJc9kkScjBplfrU3fcTCFpY1aArTBWAkrUWK_dg7G_PsLiRbmmMuOt3i-J3iSGqP23ZgZLywrUZJoXm9OUBeI0gH-Nj3zHzYVjmHR1Ee3HtNR7nX45X-CWV2DCwHIVdgLCPM=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","murah dengan alat yang cukup lengkap""","",""
