"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Tempo+Gelato+Kaliurang/data=!4m7!3m6!1s0x2e7a59ac8eba7b9b:0xa481b43442a601bc!8m2!3d-7.7626559!4d110.3794968!16s%2Fg%2F11c600f616!19sChIJm3u6jqxZei4RvAGmQjS0gaQ?authuser=0&hl=id&rclk=1","Tempo Gelato Kaliurang","4,7","(22.021)","Es Krim","·","·","Buka","· Tutup pukul 22.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8cDcDUI2Azwax1Kpe2bTDD7t3kq60N46FScxqZe1ttp7RkJ3Xw9gnOFA5bMrf9Yr5nA5HcmFEzItf9yWizSe32-mfPMZDJbz-DzXP5T09PGL4obT0wa9EiY3a3GXo_A4DR6ba=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Beli","es krim","tiga rasa dengan cup ukuran M seharga Rp50.000.""","","",""
"https://www.google.com/maps/place/Cooler+City+Jogja/data=!4m7!3m6!1s0x2e7a59637fd3a885:0x5ae39c4acb059e8f!8m2!3d-7.7835068!4d110.3751692!16s%2Fg%2F11vxgk5bm1!19sChIJhajTf2NZei4Rj54Fy0qc41o?authuser=0&hl=id&rclk=1","Cooler City Jogja","4,7","(366)","Es Krim","·","Jl. Suroto No.20","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFyF0Ac9XJhg7n9vg6ATFC1v6adhWCu3D9UZ54nTR-m4czVRWBnVvscj8n7qPliGt5uw6vhtjENE-m7UJIY7_zNeHGryyt0mfnR_W_m_rIrzDF2bvQEJ9iADUR2mhaV_2MHp5nYN1nOOU0=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempate bagus","es krim","nya enak enak tempatnya lucu pol pink biru""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2eGdrNWJtMRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=3Cr3adfhFbSL4-EPkr7RmQo&ei=3Cr3adfhFbSL4-EPkr7RmQo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Bingxue+Kaliurang+UGM/data=!4m7!3m6!1s0x2e7a59007bb51457:0x84103a9653d26660!8m2!3d-7.7634228!4d110.3796667!16s%2Fg%2F11yr4hdh79!19sChIJVxS1ewBZei4RYGbSU5Y6EIQ?authuser=0&hl=id&rclk=1","Bingxue Kaliurang UGM","4,8","(32)","Es Krim","·","69PH+JV7","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFB_1cJy1ooGx87umrKuUL5Egp7dLQDE8mGV9j0sz4jGR9qW6sOxyPfs9B3YVP1Ia00QSzsilL2FhXPvIj-Me5hjLYQZKHrp_hDGEChXq9rCl8MIZ3D3hyc32nKL3q3qKDeDHaiWy8xCQun=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk rasa","es krim","matcha enak.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5cjRoZGg3ORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=3Cr3adfhFbSL4-EPkr7RmQo&ei=3Cr3adfhFbSL4-EPkr7RmQo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/ROEMI+Xtraordinary+Ice+Cream/data=!4m7!3m6!1s0x2e7a583276eb8cc3:0xee9dcdf0b868127e!8m2!3d-7.7855747!4d110.3742329!16s%2Fg%2F1tdhvyfj!19sChIJw4zrdjJYei4RfhJouPDNne4?authuser=0&hl=id&rclk=1","ROEMI Xtraordinary Ice Cream","4,3","(3.016)","Es Krim","·","Jl. Suroto No.1","Buka","· Tutup pukul 22.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZObAe4tQ_lmaM-B2aW3pKRX4ArGqK6WWJPmBxDE8ICkzGYt0tQyQee0U36-01LVOJXBE1ry8V2zWL9452yPLzwJjwCs1CWu4QGePqmBLUrqzEch1hNmUFOXpAwu_iK_LgGrOMLg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","krimnya enak, lembut, ada potongan buah strawberry nya, sukak banget.""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRkaHZ5ZmoYAToDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=3Cr3adfhFbSL4-EPkr7RmQo&ei=3Cr3adfhFbSL4-EPkr7RmQo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/17%E2%80%99s+Ice+Cream/data=!4m7!3m6!1s0x2e7a5984dcd414e1:0xadef66965e052f6!8m2!3d-7.7705444!4d110.3883303!16s%2Fg%2F11vqlpp_n5!19sChIJ4RTU3IRZei4R9lLgZWn23go?authuser=0&hl=id&rclk=1","17’s Ice Cream","4,7","(193)","Es Krim","·","Jl. Komojoyo No.21A","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEW8Zc50K1591-xCJnLb4B3IiOzLrd1phXyPDk_xdCsobocKQ6Nz5xx79EZhk_Als6WHh0xk7r2aMRNrgOtX15sHAG_OBPLxiY1l87mkElqGBlQohfMHkjHz53yPs6lt7c4iP3UOsazfGI=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dan menyediakan tidak banyak variasi","es krim",",tapi sangat unik unik.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2cWxwcF9uNRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=3Cr3adfhFbSL4-EPkr7RmQo&ei=3Cr3adfhFbSL4-EPkr7RmQo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Papakibo+Ice+Cream+-+CondongCatur+Jogja/data=!4m7!3m6!1s0x2e7a59625c367f4d:0x902b84b474c3beec!8m2!3d-7.7532618!4d110.4070736!16s%2Fg%2F11wb0t6_10!19sChIJTX82XGJZei4R7L7DdLSEK5A?authuser=0&hl=id&rclk=1","Papakibo Ice Cream - CondongCatur Jogja","4,8","(63)","Es Krim","·","No 311-313, Jl. Tanjung","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSJucGnz_OcVNJucpTgWoj-NknCSJHchs6Rwy5M2VUn2EYTknvuq5fPxIlfpT7kiuu1c7yDBsS0NrrQXZCaXPiIyGYyLWPuJpE3woC1clHt1tQC5KFUTARbqz5U9_SMpXBD2wsOg=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","toko es krim","rasa","","",""
"https://www.google.com/maps/place/London+Bakery+Coffee+and+Gelato/data=!4m7!3m6!1s0x2e7a59526df1261b:0xa502f74f81511081!8m2!3d-7.7841781!4d110.374977!16s%2Fg%2F11q42ww7mw!19sChIJGybxbVJZei4RgRBRgU_3AqU?authuser=0&hl=id&rclk=1","London Bakery Coffee and Gelato","4,8","(517)","Es Krim","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjXNApoDwNLBYRkHv1M3gxPnvlVOBz-TplLolanK7yg1s20UxWMZDll0pcyMJiTngbvOxg4G-Ddc-bZWPC7VPJqeNdmVmc8-BFQ15zTkHQN64BcQVvh7-ixx0tcCNNOp2w3buxtw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Gelato, tp rasa","es krim",", roti banyak yg habis, jd blm sempat coba""","","",""
"https://www.google.com/maps/place/La+Moda+del+Gelato/data=!4m7!3m6!1s0x2e7a59d17066a0e7:0x6cd65d04d4b1dd82!8m2!3d-7.7829613!4d110.4013136!16s%2Fg%2F11mhlhyl8b!19sChIJ56BmcNFZei4Rgt2x1ARd1mw?authuser=0&hl=id&rclk=1","La Moda del Gelato","4,1","(92)","Es Krim","·","6C82+RG8, Plaza Ambarrukmo, Jl. Laksda Adisucipto","Buka sekarang","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxBIJgN4dyr3j1UlItVHgFUfsQvABVl19PSS3CdSRbDuN-wpdmDuJBktKzQeuQ8-vYvOVAYqriK1XKybbBBV1E5ONLz2lA2sbG7SWbfJAgmpqRWzDovTGukWRyxHNaOXroX4L_=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Banyak pilihan","es krim","""","","",""
