"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 6","M4A5Cf"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+premier/data=!4m7!3m6!1s0x2e7a5991f7c1aec7:0x4e9deaac4247a13b!8m2!3d-7.7805294!4d110.3880706!16s%2Fg%2F11kb3yld05!19sChIJx67B95FZei4RO6FHQqzqnU4?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari premier","3,7","(67)","·","Rp 1–25.000","Tegal","·","","·","Jl. Affandi","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEpVPoK2agV_FcXFnxn02x6kRkKM5CrRhuMCiIwFcbkvDD8cmzLBzSHKD0I0tRhiOBBQl89kU3_NFgxAkWCwiS__K8xoQmsPjMGeJOI7yUkF3a9tX-9IhYqiaC2nQpAguwOBloj=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","bersih, dateng hari jumat ada harga spesial""","",""
"https://www.google.com/maps/place/WARTEG+Kharisma+Bahari+Babarsari/data=!4m7!3m6!1s0x2e7a59f6e103341b:0xfd4b3dd50b5952d0!8m2!3d-7.7754379!4d110.4157531!16s%2Fg%2F11l5vkszw_!19sChIJGzQD4fZZei4R0FJZC9U9S_0?authuser=0&hl=id&rclk=1","WARTEG Kharisma Bahari Babarsari","2,8","(80)","·","Rp 1–25.000","Tegal","·","","·","Ruko BBC, Gg. Puri Sari","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHD5-CK0O6Ff0CEGF5Jv8tpjJIKJlSNrE1pO_sxq-sYqAOpyAYh5a09aG3oAnvG14yEsQwfk14o0Zn_balNCcV_k9LygVyxaidspRieoY-_itQdktUxrc41Ibty2ixoGia0ljDs7A=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan y enak harga standar murah
Gratis esteh.pelayanan y juga ramah.""","","","",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Nusantara+Janti/data=!4m7!3m6!1s0x2e7a59ee0b40c8ab:0xb8413f0c6dbbd36a!8m2!3d-7.7817625!4d110.4083041!16s%2Fg%2F11l_0h2k_m!19sChIJq8hAC-5Zei4RatO7bQw_Qbg?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Nusantara Janti","3,7","(22)","·","Rp 1–25.000","Restoran","·","","Depan East Parc Hotel, Jl. Kapas No.03","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGu6kGKSQ1BVCxlqbJDgVeJC_3Xxe9WKhDCPnv41MP7yJ_4OAIsuNsEzffm1iFpNPtjpMJSXH3JJdpOpNEZvIqaP5TFiGX_avSXZG56y3K--vM0EIerajFjQkQDdnyBVJZc2ASP=w199-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Warung Tegal yang sangat nyaman dengan masakan khas berkualitas.""","","","",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Jl.+Nusa+Indah/data=!4m7!3m6!1s0x2e7a592eca29f8e7:0xeabccaec26ec9924!8m2!3d-7.7557469!4d110.4098607!16s%2Fg%2F11kpzzv617!19sChIJ5_gpyi5Zei4RJJnsJuzKvOo?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Jl. Nusa Indah","4,3","(33)","·","Rp 1–25.000","Restoran","·","","Jl. Nusa Indah","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFkUc95cxv-LiXq5UQPDoo7-IuiusYwEwN4jz9BZLKrhF_ClD6VC0pvdo6A5b8Ql_tPmhERVo4BOKkX9Dkk38BZwF7W0zzoB7QvOvU_4SdiyW2_7QvB3ZhsrjnLHL8WIc-BoFWnOQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan selalu enak dan fresh dengan harga terjangkau.""","","","· Tutup pukul 22.00",""
"https://www.google.com/maps/place/The+Wartegs/data=!4m7!3m6!1s0x2e7a5950357c6f27:0xfd53d0acc33048d4!8m2!3d-7.7712565!4d110.4050006!16s%2Fg%2F11h74h1tjf!19sChIJJ298NVBZei4R1Egww6zQU_0?authuser=0&hl=id&rclk=1","The Wartegs","4,6","(36)","·","$","Restoran","·","","Jl. Perumnas No.88A","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiqkKl6LCuC6ySWOd0AG6-gW3Pe1O4m7rRG7xvZfKygX22q-5iKh6__Wn9tD41nNHYhyagXy-1EsGiOjOlbnfbXVGsJ9OHnqrleEiAMpfT3WLtKMJ8WAqRx0xJN0jStPrIeqUuGg=w163-h92-k-no","","Makan di tempat","Bawa pulang","","","·"
"https://www.google.com/maps/place/Kantin+Larasati/data=!4m7!3m6!1s0x2e7a59313a148b4f:0xd70bcb90423017a!8m2!3d-7.7551769!4d110.3965084!16s%2Fg%2F11t_t59v20!19sChIJT4sUOjFZei4RegEjBLm8cA0?authuser=0&hl=id&rclk=1","Kantin Larasati","4,7","(706)","·","Rp 1–25.000","Indonesia","·","","Ruko Kelapa Hijau, Jl. Brojomulyo No.10","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEBK7QF_GzHRurLr87xwMe0SfW_x1nAcXFBs0G0SXtpYhS5WNkd3msdopGSrxyFJsZeMkDIB5Y6pKa66rjfb3-l54_EFG6jWd1de5FZQNRCDniZO1wxnZXUEXxqLb-rwZ96HpzbPw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Service oke lah, level","warteg","premium.""","· Tutup pukul 22.00",""
"https://www.google.com/maps/place/Warteg+%26+Es+Kelapa+Muda+Mas+Kirno/data=!4m7!3m6!1s0x2e7a5915ecc88a69:0x54ef05a58606db68!8m2!3d-7.7667054!4d110.4055434!16s%2Fg%2F11f61gg3gq!19sChIJaYrI7BVZei4RaNsGhqUF71Q?authuser=0&hl=id&rclk=1","Warteg & Es Kelapa Muda Mas Kirno","4,5","(149)","·","Rp 1–25.000","Tegal","·","","·","6CM4+76X, Jl. Perumnas, Condongsari","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHM7q1kU1jFAkseoBOhI8sPxJgj1e0bi72mCtSElqOraBELH6sB-Cec9PuVK13ZiEVfCYPqH0amb0vI6KtYjO3QhZCb5XxPl3rkMnRgP5crI4Sp592w9FjQUmY-zQHF4P9-2evg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Selain cumi ada beberapa menu seperti","warteg","pada umumnya.""","· Tutup pukul 21.00",""
"https://www.google.com/maps/place/Warung+Pojok+Seturan/data=!4m7!3m6!1s0x2e7a59598eeda0a1:0x152d976151e68863!8m2!3d-7.7620457!4d110.4121228!16s%2Fg%2F11spnm24_7!19sChIJoaDtjllZei4RY4jmUWGXLRU?authuser=0&hl=id&rclk=1","Warung Pojok Seturan","5,0","(25)","","","Tegal","·","","Jl. Seturan Raya No.414","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbo9X22a5oxnNIo5Bxo51X-31_mtSLPV1H7aXhb82_ZAk5IkIepGS_rhACZ3oZAgrhzHh1-E0BOUE6uz4VnniYBZST2ttYKzyvZvHtdJLnO1-y5B0aHKXgyWOxm4bYlxHP5Ydfrw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mie ayamnya enak gak kalah dengan mie lain""","","","",""
