"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2","doJOZc","W4Efsd 7"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/apotek+teguh+farma/data=!4m7!3m6!1s0x2e68e6456a07e095:0x1b40b8a616a0fbb7!8m2!3d-6.8989928!4d107.6086557!16s%2Fg%2F11cp7hkxxk!19sChIJleAHakXmaC4Rt_ugFqa4QBs?authuser=0&hl=id&rclk=1","apotek teguh farma","3,0","(4)","Apotek","·","Balubur Town Square, Jl. Tamansari D2 P26","Buka","· Tutup pukul 21.00","·","(022) 84468885","","Rute","","","","","","",""
"https://www.google.com/maps/place/APOTEK+AGAPE+FARMA/data=!4m7!3m6!1s0x2e68e70021ebbff1:0x3a8e3b48feeda9e7!8m2!3d-6.8958145!4d107.6063995!16s%2Fg%2F11y05r59y5!19sChIJ8b_rIQDnaC4R56nt_kg7jjo?authuser=0&hl=id&rclk=1","APOTEK AGAPE FARMA","5,0","(2)","Apotek","·","Jl. Kb. Bibit Barat No.47","Buka","· Tutup pukul 22.00","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","",""
"https://www.google.com/maps/place/Apotek+Kimia+Farma+4/data=!4m7!3m6!1s0x2e68e6fc896be135:0xfdbf46ab56cc26bc!8m2!3d-6.8997844!4d107.6120822!16s%2Fg%2F1tf8ht52!19sChIJNeFrifzmaC4RvCbMVqtGv_0?authuser=0&hl=id&rclk=1","Apotek Kimia Farma 4","4,1","(316)","Apotek","·","Jl. Sulanjana No.4","Buka 24 jam","·","","0811-2157-664","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanannya baik,","http://kimiafarmaapotek.co.id/","","Rute","",""
"https://www.google.com/maps/place/Apotek+vee+farma/data=!4m7!3m6!1s0x2e68e7f35b4d9adb:0x86a0aafb3a4bf577!8m2!3d-6.900087!4d107.6091732!16s%2Fg%2F11jz2plfzg!19sChIJ25pNW_PnaC4Rd_VLOvuqoIY?authuser=0&hl=id&rclk=1","Apotek vee farma","4,8","(48)","Apotek","·","25, Jl. Tamansari No.25 D","Buka","· Tutup pukul 21.00","·","0821-2055-3155","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","",""
"https://www.google.com/maps/place/VIVA+Apotek+Djuanda/data=!4m7!3m6!1s0x2e68e50e798e221f:0x3fc78c1131d9db8!8m2!3d-6.8901434!4d107.6129939!16s%2Fg%2F11v5s67ffr!19sChIJHyKOeQ7laC4RuJ0dE8F4_AM?authuser=0&hl=id&rclk=1","VIVA Apotek Djuanda","4,3","(51)","Apotek","·","Jl. H.Djuanda No.139","Buka","·","· Tutup pukul 21.30","0822-4633-8389","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan baik, obat lengkap, penjelasan apoteker jg mudah dipahami""","https://vivaapotek.co.id/","","Rute","",""
"https://www.google.com/maps/place/CENTURY/data=!4m7!3m6!1s0x2e68e65bbf7801a9:0x4584423d747ce512!8m2!3d-6.8933172!4d107.6059656!16s%2Fg%2F1hc2f7sb4!19sChIJqQF4v1vmaC4REuV8dD1ChEU?authuser=0&hl=id&rclk=1","CENTURY","3,4","(32)","Apotek","·","CIHAMPELAS WALK, LT. LG NO.L28, Jl. Cihampelas No.160","Buka","·","· Tutup pukul 22.00","(022) 2061148","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan mantap👍🏻
Semangatttt💪🏻""","http://www.century-pharma.com/","","Rute","",""
"https://www.google.com/maps/place/Pekayon+Jaya+Apotik/data=!4m7!3m6!1s0x2e68e644e46a6435:0xef67245c185e04b5!8m2!3d-6.899161!4d107.606277!16s%2Fg%2F1td6k1t5!19sChIJNWRq5ETmaC4RtQReGFwkZ-8?authuser=0&hl=id&rclk=1","Pekayon Jaya Apotik","5,0","(1)","Apotek","·","Jl. Raya Pekayon No. 7 RT 007%2F06 Pekayon Jaya Bekasi Selatan Bekasi Jawa Barat","","","","(021) 82408911","","Rute","","","","","","",""
"https://www.google.com/maps/place/Apotek+Bukit+Permata/data=!4m7!3m6!1s0x2e68e6f3de48249b:0x206d252c67244ddd!8m2!3d-6.8818092!4d107.6040777!16s%2Fg%2F1pzvf21rt!19sChIJmyRI3vPmaC4R3U0kZywlbSA?authuser=0&hl=id&rclk=1","Apotek Bukit Permata","4,6","(24)","Apotek","·","·","Buka","·","· Tutup pukul 21.00","0896-5262-2818","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.honestdocs.id/apotik/apotek-bukit-permata-bandung","","Rute","","Jl. Ciumbuleuit No.57"
