"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","AJB7ye","AJB7ye 2","doJOZc","W4Efsd 6","A1zNzb href","J8zHNe","bbPy1","M4A5Cf","ah5Ghc 2"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Bopie+Caf%C3%A9/data=!4m7!3m6!1s0x2e68e723471a571d:0xddf364e4a4b5413e!8m2!3d-6.8953043!4d107.6137349!16s%2Fg%2F11ykvvfl0s!19sChIJHVcaRyPnaC4RPkG1pORk890?authuser=0&hl=id&rclk=1","Bopie Café","5,0","(432)","Kafe","·","Jl. Kyai Gede Utama No.25","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGketGH3a9ikEJ4LjVTeTdVm_ROZWHqOLXWkZGVGDr5EjayEw2PsjOtTDxs1-vAnAQzGysXjU-O4juhO0O2FHotYh-WHfPXDwB7OvCzK4lbI1W2YdC6Yht-lf3N241s-wFLMox0pCp3vRcq=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Service nya oke banget, makanya enak banget, kopi & matchanya the best.""","","","","","","","","",""
"https://www.google.com/maps/place/One+Eighty+Coffee+and+Music/data=!4m7!3m6!1s0x2e68e650e167c1ab:0xdcc35bc2a4e6d1b1!8m2!3d-6.8938835!4d107.6124492!16s%2Fg%2F11cs125fcc!19sChIJq8Fn4VDmaC4RsdHmpMJbw9w?authuser=0&hl=id&rclk=1","One Eighty Coffee and Music","4,6","(9.187)","Kedai Kopi","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHgkD37i2o-RR4o5Oi_rOwQJRckGINVjjP5HSKASoIUJVzw3bT_wo6sYmzCDZUBhTUvpznl9VriYZiarQOI-o05SU-HQaOEhx97knnAQNmNFvboRI3EQfXYyaQOgAhVM3XBG_Me=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Service, Food Taste, Coffee, dan Vibes nya oke banget.""","·","$$","","Jl. Ganesa No.3","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjczEyNWZjYxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NzX3aejtApKaseMPtMyLwQY&ei=NzX3aejtApKaseMPtMyLwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/b%26D+%28Coffee+Bawa+Studio%29/data=!4m7!3m6!1s0x2e68e76fa7dbd793:0xa7a5f48657689eb0!8m2!3d-6.8981121!4d107.6074176!16s%2Fg%2F11vcbcrndy!19sChIJk9fbp2_naC4RsJ5oV4b0pac?authuser=0&hl=id&rclk=1","b&D (Coffee Bawa Studio)","4,8","(647)","Kedai Kopi","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOjYD81VzDH924xnY94C0zldXXeJnVziYow6IPlHlXjE1eKyEtDhVOjcGtOiN4esu34aRO1n4tApHMpB23qtscPR5-5Ptxr9RI4pyQRWmqTfGN_W6T5UCuLhXTX_6T1ZXrRIRH7dUtZE18=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya sangat homey,makanannya enak enak kopinya mantap""","·","Rp 25–50 rb","","Jl. Kb. Bibit Tengah No.11b","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2Y2Jjcm5keRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NzX3aejtApKaseMPtMyLwQY&ei=NzX3aejtApKaseMPtMyLwQY&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Bosscha+Space/data=!4m7!3m6!1s0x2e68e73e88d40b1b:0xf7a5d9b1649715b7!8m2!3d-6.8960711!4d107.6131413!16s%2Fg%2F11s5vkd563!19sChIJGwvUiD7naC4RtxWXZLHZpfc?authuser=0&hl=id&rclk=1","Bosscha Space","4,7","(941)","Restoran","","","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFJqV0vnoWS2MFJ7-5NFP3ClFB4ixxOi6oPwks4O2fs52_PCkrLIg33RVWkTtw_FSinNpLfFgnC45E46wD30JG6sGThBg-SxbANuQfmBzulTFZxNILYWwq7cTWW1CtokLPOKmcLA=w137-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""the ambience, coffee, service/Hospitality everything is gooood !""","·","Rp 50–75 rb","","","","","","",""
"https://www.google.com/maps/place/Garden+Coffee+Bandung/data=!4m7!3m6!1s0x2e68e6fc6d9b2155:0x9b228e028efe3e0e!8m2!3d-6.8951759!4d107.6113515!16s%2Fg%2F11hd7mb_5j!19sChIJVSGbbfzmaC4RDj7-jgKOIps?authuser=0&hl=id&rclk=1","Garden Coffee Bandung","4,6","(949)","Kedai Kopi","·","Jl. Ciungwanara No.10 A","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAExLykKY7-4FffPQ1iLjjcva4ynSNrMTjPBvVU-MkW9E4rX61ynpkBZVpeiCbGEEo-K6Ye6iGGIOoWh-XYvMqv4LJZwhLWE9Z5Ze-pRlB7GQOiakfTPVJJa4hxHqHk3gU9OuVaG=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Drinks-Foods: Worth for the price.""","·","Rp 25–50 rb","","Kedai kopi nyaman dengan meja outdoor","","","","",""
"https://www.google.com/maps/place/Nuesara+Coffee+%26+Habitual/data=!4m7!3m6!1s0x2e68e7432d380281:0x2f17fa5105c028bc!8m2!3d-6.8952377!4d107.6113116!16s%2Fg%2F11lv1xkdc9!19sChIJgQI4LUPnaC4RvCjABVH6Fy8?authuser=0&hl=id&rclk=1","Nuesara Coffee & Habitual","4,9","(940)","Kedai Kopi","·","Jl. Ciungwanara No.10A","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGdzCGgiVU0JIM3AuWfu9UnbcCCHZlvlK4RG-2DDLy2_FtBkBW31X3pmRp3zSczI11lwN2vwm6o3tiRxXcPHPfKZ8wtDp7jpQqQFrJXdNrZ-WNQlvzb21as1lccfSAKDV3uEWRY=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cozy banget, food and drinksnya enakk""","·","Rp 25–50 rb","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsdjF4a2RjORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NzX3aejtApKaseMPtMyLwQY&ei=NzX3aejtApKaseMPtMyLwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Waldemar+Caf%C3%A9+St.+Borromeus/data=!4m7!3m6!1s0x2e68e72c83512369:0x79de6903500b40d3!8m2!3d-6.8939506!4d107.6133731!16s%2Fg%2F11ltzxtghk!19sChIJaSNRgyznaC4R00ALUANp3nk?authuser=0&hl=id&rclk=1","Waldemar Café St. Borromeus","4,9","(177)","Kafe","·","Jl. Ir. H. Juanda No.100","Buka","· Tutup pukul 20.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnEErC05K4D3bthSfycizUxo-AhOs3qBm6KVsyPkimIwagkXVK0AUDg0cOL67HndcU2RZcUiKk4smiCUToQgUPmmzHAxX7QYE1OeB0ENpBkgerjhgxGPT8RzHVCPEHO5xlCpgq=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Caffe latte nya enak, kopinya terasa, dan  enak ke lambung juga.""","·","Rp 25–50 rb","","","","","","",""
"https://www.google.com/maps/place/Medane+Coffee/data=!4m7!3m6!1s0x2e68e91270eb3b2d:0x8017d45f88ebfe55!8m2!3d-6.887807!4d107.6132409!16s%2Fg%2F11kn3j0l1d!19sChIJLTvrcBLpaC4RVf7riF_UF4A?authuser=0&hl=id&rclk=1","Medane Coffee","4,9","(15)","Kedai Kopi","·","Jl. Ir. H. Juanda No.157","Buka","· Tutup pukul 20.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKrfF-AcpMqVbvipUVHOieiQoxFA7Ihu36TuLBPE8SH24LskgiRhi_PUsUz7zc1TBq-Q6YYGSsJPW2jl_aNd2TRozbSypPVSjRjjGA70GkQ_N9HhmaePvvxg9aEZhAURRsDqo=w122-h92-k-no","","Makan di tempat","","","","","","","","·","Bawa pulang"
