"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 7"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Poto+Copy+Family+Copy+Center/data=!4m7!3m6!1s0x2e68e6f8b901def1:0xac4fa00162397077!8m2!3d-6.8858975!4d107.6147318!16s%2Fg%2F1hm2fpbn3!19sChIJ8d4BufjmaC4Rd3A5YgGgT6w?authuser=0&hl=id&rclk=1","Poto Copy Family Copy Center","4,6","(22)","Toko Fotokopi","·","Jl. Dipati Ukur No.122","Buka","· Tutup pukul 23.00","·","0813-2206-4721","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kalau mau","",""
"https://www.google.com/maps/place/Cahaya+Abadi+Fotocopy,+Penjilidan+%26+Digital+Printing/data=!4m7!3m6!1s0x2e68e78b5576e0a5:0x327a9ed4ef1c41b5!8m2!3d-6.886133!4d107.614902!16s%2Fg%2F11gl15d6pd!19sChIJpeB2VYvnaC4RtUEc79SeejI?authuser=0&hl=id&rclk=1","Cahaya Abadi Fotocopy, Penjilidan & Digital Printing","4,7","(362)","Toko Fotokopi","·","·","Buka 24 jam","","Jl. Dipati Ukur No.122D","0823-1919-2336","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pegawainya ramah, dan hasil","","·"
"https://www.google.com/maps/place/Pelita+Karya+Fotocopy+%26+Digital+Printing+%2824+Jam%29/data=!4m7!3m6!1s0x2e68e7102f9c5f89:0xd47a75c92fba02a2!8m2!3d-6.8859561!4d107.614857!16s%2Fg%2F11rhvtd7n0!19sChIJiV-cLxDnaC4RogK6L8l1etQ?authuser=0&hl=id&rclk=1","Pelita Karya Fotocopy & Digital Printing (24 Jam)","4,8","(78)","Toko Fotokopi","·","Jl. Dipati Ukur No.122 B","Buka 24 jam","","·","0821-1863-3397","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""gercep banget dan bisa diambil via gosend, sangat membantu""","",""
"https://www.google.com/maps/place/Fabio+Copy+Center/data=!4m7!3m6!1s0x2e68e65a5d7544d5:0xa1b10de7516020d4!8m2!3d-6.8939134!4d107.6079287!16s%2Fg%2F11csbps8zs!19sChIJ1UR1XVrmaC4R1CBgUecNsaE?authuser=0&hl=id&rclk=1","Fabio Copy Center","4,5","(2)","Toko Fotokopi","·","Jl. Kebun Binatang Jl. Tamansari No.29","Buka","· Tutup pukul 22.00","·","0823-1582-7984","","Rute","","","",""
"https://www.google.com/maps/place/Atar+Jaya+Copy+Center/data=!4m7!3m6!1s0x2e68e650099da21b:0xae24fb93de544e94!8m2!3d-6.8941706!4d107.6078013!16s%2Fg%2F1pzw2tjt3!19sChIJG6KdCVDmaC4RlE5U3pP7JK4?authuser=0&hl=id&rclk=1","Atar Jaya Copy Center","4,0","(2)","Toko Fotokopi","·","Jl. Kebun Binatang No.46","Buka","· Tutup pukul 20.00","·","(022) 2512855","","Rute","","","",""
"https://www.google.com/maps/place/Rindu+99+foto+copy+%26+digital+printing/data=!4m7!3m6!1s0x2e68e6f8c1635c85:0xa4dbf47657e711cd!8m2!3d-6.8852893!4d107.6142916!16s%2Fg%2F11b61jm0pv!19sChIJhVxjwfjmaC4RzRHnV3b026Q?authuser=0&hl=id&rclk=1","Rindu 99 foto copy & digital printing","4,0","(23)","Layanan cetak digital","·","Jl. Dipati Ukur No.99","Buka 24 jam","","·","0812-2022-8081","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga murah dan bersahabat.""","",""
"https://www.google.com/maps/place/RAJAWALI+STATIONERY/data=!4m7!3m6!1s0x2e68e7ea8d9644ad:0xea4b978085a65246!8m2!3d-6.8948695!4d107.6107449!16s%2Fg%2F11tfd_l5kh!19sChIJrUSWjernaC4RRlKmhYCXS-o?authuser=0&hl=id&rclk=1","RAJAWALI STATIONERY","4,4","(7)","Toko Alat Tulis","·","Jl. Gelap Nyawang, ruko 4 B","Buka","· Tutup pukul 20.00","·","0857-1483-7335","","Rute","","Pesan antar","",""
"https://www.google.com/maps/place/King+Photo+Copy/data=!4m7!3m6!1s0x2e68e655d66678c1:0x10f3808d54e21cbe!8m2!3d-6.8852681!4d107.6141859!16s%2Fg%2F1pzslk0dx!19sChIJwXhm1lXmaC4RvhziVI2A8xA?authuser=0&hl=id&rclk=1","King Photo Copy","4,3","(21)","Toko Fotokopi","·","Jl. Dipati Ukur No.108","Segera tutup","· 19.30 · Buka Sen pukul 06.00","·","(022) 2502824","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ramah dan semangat membantu banget!""","",""
