"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Chikuro+Ciwalk/data=!4m7!3m6!1s0x2e68e78a477a5497:0xf5d5fb5e976e8c07!8m2!3d-6.893394!4d107.6053482!16s%2Fg%2F11rgrh_pwc!19sChIJl1R6R4rnaC4RB4xul1771fU?authuser=0&hl=id&rclk=1","Chikuro Ciwalk","4,6","(544)","·","Rp 25–50 rb","Makanan Siap Saji","·","Cihampelas Walk","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-oYyYInnqts6AnOBAsfLGHbMbRYqswaZ7MqTLsUMeKJPsKeXQi1j5SPAzIIbbxDW70KTssGbb3gvA17K3fFgGNh1PDL6dGvU27Vpmz_U_iytVr087MCLhx3xHdX8-69o-03Y=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak-enak semua, pelayanannya juga oke, staffnya ramah.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyZ3JoX3B3YxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=3DX3abmBBLbvseMPiLqNcQ&ei=3DX3abmBBLbvseMPiLqNcQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Almaz+Fried+Chicken+-+Dipatiukur+Dago/data=!4m7!3m6!1s0x2e68e7003a1fce7d:0xe75c1e9dcf8cd4be!8m2!3d-6.8856042!4d107.614326!16s%2Fg%2F11x7bf7fn4!19sChIJfc4fOgDnaC4RvtSMz50eXOc?authuser=0&hl=id&rclk=1","Almaz Fried Chicken - Dipatiukur Dago","4,9","(1.602)","·","Rp 25–50 rb","Ayam","·","Jl. Dipati Ukur No.107","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFj9r9PptQTQgHVn1pZl24JCGIkLh1-v1a_2-lSilM9KccjsOeuRXUXnEscBzERZSzJwV_DxmaHr8gwnwROhuBNDfrarTW8zv2DP3grqJdcZ0evAL1bjSpArG3m-M1LZ3S_WcWRKP3k283Q=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4N2JmN2ZuNBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=3DX3abmBBLbvseMPiLqNcQ&ei=3DX3abmBBLbvseMPiLqNcQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","Makanan","enak, harga terjangkau, pelayanan baik dan suasana nyaman.""","",""
"https://www.google.com/maps/place/Subway+-+Dipatiukur/data=!4m7!3m6!1s0x2e68e76acb9cfba1:0x1c4fbf5d48dc50b8!8m2!3d-6.8960689!4d107.6167357!16s%2Fg%2F11s5brk9gz!19sChIJofucy2rnaC4RuFDcSF2_Txw?authuser=0&hl=id&rclk=1","Subway - Dipatiukur","4,4","(634)","·","Rp 50–75 rb","Makanan Siap Saji","·","Jl. Dipati Ukur No.42","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHgtCNEGBgxhl4s_XS8iwP4dTmlN5jBoWCbWzX2hogFeZb8MUbfuaIn0FM98IYR_cIjxscM8NW9wCG9T7tOsYipsbUPPlP_d0O-HclTDlxxCmEW_pkT_29oONXyq1dP-vzWsuYHAA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat bersih, sayurnya fresh, saya lagi suka menu wrap spicy italian ❤️""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzNWJyazlnehgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=3DX3abmBBLbvseMPiLqNcQ&ei=3DX3abmBBLbvseMPiLqNcQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/HokBen+-+Dago/data=!4m7!3m6!1s0x2e68e7f7a8bd0221:0x15431cf11fec3b3b!8m2!3d-6.8854372!4d107.6134399!16s%2Fg%2F11b6t1lz06!19sChIJIQK9qPfnaC4ROzvsH_EcQxU?authuser=0&hl=id&rclk=1","HokBen - Dago","4,3","(1.326)","·","Rp 50–75 rb","Makanan Siap Saji","·","Jl. Ir. H. Juanda No.179","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIYgMBCxYUKdKTpqE02IxD8eTJJJTndFaNEmxpo7gv9SDDJHkRN1nLUAJYyvQ8I640vPY4EClBQd1-UliX1niQ8NTKpHIKRmgXJPNrs0IB4DaJjR2Bc3Yzc4Ijn_l3h7qkBMRx=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""chicken teriyaki hokben masih juara, rasanya enak bgtt.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNnQxbHowNhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=3DX3abmBBLbvseMPiLqNcQ&ei=3DX3abmBBLbvseMPiLqNcQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Richeese+Factory+Dipatiukur/data=!4m7!3m6!1s0x2e68e6567606d23d:0x6fd71e9f467bccf7!8m2!3d-6.8878312!4d107.6150776!16s%2Fg%2F11c2kh5rxz!19sChIJPdIGdlbmaC4R98x7Rp8e128?authuser=0&hl=id&rclk=1","Richeese Factory Dipatiukur","4,3","(3.084)","·","Rp 25–50 rb","Makanan Siap Saji","·","Jl. Dipati Ukur No.87","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHR3F2OIkEAjzoVl7EBa6p46tf0PHmFrW9DHv1afwOb4h5KaJG3BMaKNZZQAF_1z1lYrJUKQC4fCZ2GmVp0Bw6ZMLkw4Xnh4FZSPikrORry7bqmYx-Jx1fNTo5p5eef-uE8kX81bQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ayam nya enak, tapi maaf banget untuk pelayanan nya ga banget 👎👎""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjMmtoNXJ4ehgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=3DX3abmBBLbvseMPiLqNcQ&ei=3DX3abmBBLbvseMPiLqNcQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Kantin+Tamansari+21/data=!4m7!3m6!1s0x2e68e6458ff65d7f:0x4440e147a405d635!8m2!3d-6.9005266!4d107.6089741!16s%2Fg%2F1hm3lg2w3!19sChIJf132j0XmaC4RNdYFpEfhQEQ?authuser=0&hl=id&rclk=1","Kantin Tamansari 21","4,5","(1.191)","·","Rp 25–50 rb","Sunda","·","·","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHUh1vbt0HM5PY35HPpcYY4PAn60ziekcD3q6OYoKVZyyhtYZ894jh7G0afPWjEKdsrIQIiVJTVAdtxUgZFVTPf2oXHOFGUSfNhEwdHyJdmgKemOxp2SZwECh0yo98-rD77wzpG=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak..
Lalapan dan sambel ambil sepuasnya..
Mantap..
Murah banget..""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhtM2xnMnczGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=3DX3abmBBLbvseMPiLqNcQ&ei=3DX3abmBBLbvseMPiLqNcQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","","Jl. Tamansari No.21"
"https://www.google.com/maps/place/Yogya+Xpress+Borromeus/data=!4m7!3m6!1s0x2e68e651124bb8f3:0x47ecc72c9f43d5af!8m2!3d-6.8935328!4d107.6139888!16s%2Fg%2F11c2pmtstf!19sChIJ87hLElHmaC4Rr9VDnyzH7Ec?authuser=0&hl=id&rclk=1","Yogya Xpress Borromeus","4,3","(175)","·","Rp 25–50 rb","Kafe","·","Jl. Surya Kencana No.7","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGsKRQK4M6LKh5b1uwMT0xyD5wHTnHPI-TM1ypvCbyE3mDtbreA8eCd4mtbfaxPI_vWhABWMX2eMjjrOJKwRHZxrcoBUqmJYV5J9kRIdpHGdhs_fAookG4PGtNIG0GnB9FX1mJB=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya berharga affordable dan banyak pilihannya.""","","","","","","",""
"https://www.google.com/maps/place/Santap+Saji+Nusantara+Cuisine+%26+Coffee+Lounge/data=!4m7!3m6!1s0x2e68e75ed690cd97:0xbf34262a816e452f!8m2!3d-6.9059205!4d107.6174028!16s%2Fg%2F11xvxv6vsx!19sChIJl82Q1l7naC4RL0VugSomNL8?authuser=0&hl=id&rclk=1","Santap Saji Nusantara Cuisine & Coffee Lounge","4,8","(247)","","","Restoran","·","Jl. L. L. R.E. Martadinata No.65","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSwoj9TFkVoHRtw6b1JIPsmhCUNQculxZwjJzKgzSd9jRzOKTqsC7ALWAb1EYtpfsKcR3fnmelg0sWUpAF0bhebHzi9LveWHbVBqt6y5pkseYKk67DmcQIrjQ9xF-SwFzZm2NeowevsQYN=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih, enak makanannya, harganya ramah di kantong 💕""","","","","","","",""
