"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Sinar+Warisan/data=!4m7!3m6!1s0x2e68e79262a8084f:0xbb0dbc1063533006!8m2!3d-6.898163!4d107.6133243!16s%2Fg%2F11mzy3008c!19sChIJTwioYpLnaC4RBjBTYxC8Dbs?authuser=0&hl=id&rclk=1","Sinar Warisan","4,8","(92)","·","Rp 25–50 rb","Restoran","·","Jl. Dipati Ukur No.1","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH03EFPbgn4_VddjDLMTkTMZRZlLeJWv6l6aP2mQCF2zT4ViekgQ964ocBMAyXp5uDNC7wjxGJmizgL0AIX5tstP_HdUtWQT50yAEhAWqpYNtDegS-PepMAOkL-2G6Ihb0nxrZm_CA-kxFf=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sate ayamnya juga empuk dan juicy, perkedelnya juga enak.""","","","","","","",""
"https://www.google.com/maps/place/Shinimari+Japanese+Streetfood/data=!4m7!3m6!1s0x2e68e71d5a3cc121:0x964f08e4e4c7dc15!8m2!3d-6.893697!4d107.6083314!16s%2Fg%2F11jsm406ln!19sChIJIcE8Wh3naC4RFdzH5OQIT5Y?authuser=0&hl=id&rclk=1","Shinimari Japanese Streetfood","4,9","(1.508)","·","Rp 25–50 rb","Jepang","·","Jl. Tamansari No.17","Buka","· Tutup pukul 22.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFD_cb6d20C8vOq3O5RvP1CHsHfv7F4vuD9ur3GuNji1KEiSEy7-3NU1nPGveLk_RmEiwO3MzxyWm0fa7kp1VjXDsyEEVT182kgxbUAvr-UCQU8CU1Gt03EFylXsXFZ6A8_gVwd=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harganya murah, makanannya enak banget, cepet jadi juga, servis oke""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqc200MDZsbhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=qTX3afOpEJKaseMPtMyLwQY&ei=qTX3afOpEJKaseMPtMyLwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Ayam+Bakar+Pedas+H+Deno/data=!4m7!3m6!1s0x2e68e72304d24169:0xdd16151e52be8aab!8m2!3d-6.8981662!4d107.6132885!16s%2Fg%2F11y4q3r4jk!19sChIJaUHSBCPnaC4Rq4q-Uh4VFt0?authuser=0&hl=id&rclk=1","Ayam Bakar Pedas H Deno","4,8","(1.788)","·","Rp 25–50 rb","Restoran","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXeZhoA-jkbBfiFeXnfnGRqQl7I7_WMTKGeXe0oHLmH_v3AiLtpOxu5ohQm87iGHLns44ToLbMyAXx5j5szuz2gTAo8PFivRizWl14okXVvq7aPSy4S4fRsOnH0Qa4qUSlzdadiNXk8hA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5NHEzcjRqaxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=qTX3afOpEJKaseMPtMyLwQY&ei=qTX3afOpEJKaseMPtMyLwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Dipati Ukur No.1","makanan","enak, harga terjangkau, staff ramah dan cekatan"""
"https://www.google.com/maps/place/Seuri/data=!4m7!3m6!1s0x2e68e7006096f587:0x1d4199a80d98ac37!8m2!3d-6.8861105!4d107.6134289!16s%2Fg%2F11yw4bkm1b!19sChIJh_WWYADnaC4RN6yYDaiZQR0?authuser=0&hl=id&rclk=1","Seuri","4,8","(99)","","","Indonesia","·","Jl. Ir. H. Juanda No.171","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPxBUN1JhsoKdJ5TwAR8IvtsDUD8EspupQ5aPjagY0j1Dz_hWzpHF8ohbVAnZFj6VJJ7wZznqiKs_oc6caI2XaMsY2MMbNbhWgFyoZGe4TIEpk6smGzuf988mpPsOVsyfwGS074AsioaY=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","","","Makanan","nya enak semua with affordable price."""
"https://www.google.com/maps/place/Warung+Talaga+Ciwalk/data=!4m7!3m6!1s0x2e68e68add82b68f:0x304b7ba6caec0ea8!8m2!3d-6.8939592!4d107.6055352!16s%2Fg%2F1xgt_hgc!19sChIJj7aC3YrmaC4RqA7syqZ7SzA?authuser=0&hl=id&rclk=1","Warung Talaga Ciwalk","4,5","(1.995)","·","$$","Indonesia","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdAqXBSULM5R-fVojNbIc8AbaSZ32QjyvSr20X-LwUGnTPxlb0op399UONYUVAyxNEMjgcux6A-Tuw-JxrSw2wf9OwDmR_LWO0bPoPhQ7ZZ14z9JGxddwzTYSOxZs9j8IpN1aV=w189-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan ramah, makanannya terutama tahu khasnya itu enak banget""","","","","","Cihampelas Walk Lower Ground Floor, Broadway, Jl. Cihampelas No.160","",""
"https://www.google.com/maps/place/Dago+Panyawangan/data=!4m7!3m6!1s0x2e697298a875ddeb:0x7cfb304b1e293041!8m2!3d-6.8913643!4d107.6129129!16s%2Fg%2F1v6gb73g!19sChIJ6911qJhyaS4RQTApHksw-3w?authuser=0&hl=id&rclk=1","Dago Panyawangan","4,5","(2.978)","·","$$","Sunda","·","Jl. Ir. H. Juanda No.127","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGOxTerg57FcPf1mjDrernVW0at9YnNep_JDfhD2SryzvkI5UUBUpcDw4tr2GaaDzew1B2kk5E_kOKX2D-DAIElgI0Fft79-aQo7KVjdzJlX4MnvuQ21BgO_HtaJa0SwFMsprR=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu yang dipesan, pepes ikan , udang goreng telor asin serta karedok.""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXY2Z2I3M2cYADoDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=qTX3afOpEJKaseMPtMyLwQY&ei=qTX3afOpEJKaseMPtMyLwQY&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Warung+Kopi+Imah+Babaturan+2/data=!4m7!3m6!1s0x2e68e7006fd1932b:0x1353583b8e2e52a4!8m2!3d-6.8970905!4d107.6094628!16s%2Fg%2F11y393h8x9!19sChIJK5PRbwDnaC4RpFIujjtYUxM?authuser=0&hl=id&rclk=1","Warung Kopi Imah Babaturan 2","4,7","(670)","·","Rp 25–50 rb","Indonesia","·","Jl. Tamansari No.51a","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7P7_2isLg0skp49zDYjW0ZJ_CzqHLVrH6nX7QSvsG28eo0i-abvxU_15Ldud-6nDRia0S3e6pj1D__7IHLQeREHhIcQpGPeFDC-T3Wn8ypqWxiPnCQNmXlwWZCSGLHuHK5cXC6_U47yDl=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Semua menu nya enak2, service nya juga gercep.""","","","","","","",""
"https://www.google.com/maps/place/Katsunyaka+Ciwalk/data=!4m7!3m6!1s0x2e68e7c283a0787d:0x7669d47ebaa1bb06!8m2!3d-6.8933242!4d107.6057162!16s%2Fg%2F11k3rkyvzm!19sChIJfXigg8LnaC4RBruhun7UaXY?authuser=0&hl=id&rclk=1","Katsunyaka Ciwalk","4,9","(2.412)","·","Rp 50–75 rb","Restoran","·","Area Broadway, Ciwalk mall, Jl. Cihampelas Walk No.160","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFt96GTvYKmKD-1fPrRYzZ2Lz-Uz8D1bkqDG-fKlhE-ikDf21sA_fdVzZVZgxF1NK9mun0JYkQpoZ4ePaKgvmsWJCy0QZSCp0Og-ZrJ13-lKd58RUbQmL-b08Dc5wnu0PeviuNp=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice food, worth it harganya, rasa makanannya enak, platingnya okee.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFrM3JreXZ6bRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=qTX3afOpEJKaseMPtMyLwQY&ei=qTX3afOpEJKaseMPtMyLwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
