"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/RS+Borromeus/data=!4m7!3m6!1s0x2e68e651046e447f:0xf49611cb6bf9014b!8m2!3d-6.89424!4d107.6131!16s%2Fg%2F1jky_rh67!19sChIJf0RuBFHmaC4RSwH5a8sRlvQ?authuser=0&hl=id&rclk=1","RS Borromeus","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Balubur+Town+Square/data=!4m7!3m6!1s0x2e68e6455e075617:0x6517523a4532dd40!8m2!3d-6.898662!4d107.6092832!16s%2Fg%2F11gh1nhs76!19sChIJF1YHXkXmaC4RQN0yRTpSF2U?authuser=0&hl=id&rclk=1","Balubur Town Square","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Baltos/data=!4m7!3m6!1s0x2e68e64560c2266d:0x1d882ec635bd981e!8m2!3d-6.89871!4d107.60937!16s%2Fg%2F11f5g04r0b!19sChIJbSbCYEXmaC4RHpi9NcYuiB0?authuser=0&hl=id&rclk=1","Baltos","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Tamansari/data=!4m7!3m6!1s0x2e68e6f8441e07d3:0xf45633175320abe9!8m2!3d-6.88518!4d107.61148!16s%2Fg%2F11b6dn4qg_!19sChIJ0wceRPjmaC4R6asgUxczVvQ?authuser=0&hl=id&rclk=1","Tamansari","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Baltos/data=!4m7!3m6!1s0x2e68e64f86c7fa59:0x4950454d3a7671bf!8m2!3d-6.89953!4d107.60997!16s%2Fg%2F11ypmr1z8n!19sChIJWfrHhk_maC4Rv3F2Ok1FUEk?authuser=0&hl=id&rclk=1","Baltos","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Tamansari+Cikapayang/data=!4m7!3m6!1s0x2e68e64ff13c6c89:0xe69c6b7ff1130191!8m2!3d-6.89819!4d107.61014!16s%2Fg%2F11dxb2dd1y!19sChIJiWw88U_maC4RkQET8X9rnOY?authuser=0&hl=id&rclk=1","Tamansari Cikapayang","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kartika+Sari+B/data=!4m7!3m6!1s0x2e68e64e2c7f31b7:0xa217a2bced23c99a!8m2!3d-6.89752!4d107.61289!16s%2Fg%2F11td4jsmsp!19sChIJtzF_LE7maC4Rmskj7byiF6I?authuser=0&hl=id&rclk=1","Kartika Sari B","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Tamansari+ITB/data=!4m7!3m6!1s0x2e68e659b50c08e1:0xf31fd3152e437068!8m2!3d-6.8898181!4d107.6080903!16s%2Fg%2F11c6rxp3z9!19sChIJ4QgMtVnmaC4RaHBDLhXTH_M?authuser=0&hl=id&rclk=1","Tamansari ITB","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Simpang+Sumur+Bandung/data=!4m7!3m6!1s0x2e68e6f8f446e317:0x46b2c71f9971eb69!8m2!3d-6.8854!4d107.6129!16s%2Fg%2F11s7_51y0h!19sChIJF-NG9PjmaC4RaetxmR_HskY?authuser=0&hl=id&rclk=1","Simpang Sumur Bandung","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Ganesha+2/data=!4m7!3m6!1s0x2e68e650e77ae7d7:0x6097d8b34e671e53!8m2!3d-6.893411!4d107.612139!16s%2Fg%2F11b6cj7k3n!19sChIJ1-d651DmaC4RUx5nTrPYl2A?authuser=0&hl=id&rclk=1","Ganesha 2","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kartika+Sari+A/data=!4m7!3m6!1s0x2e68e64e2ca1b82d:0x171f6625f017d304!8m2!3d-6.89755!4d107.61274!16s%2Fg%2F11s7_3x4c7!19sChIJLbihLE7maC4RBNMX8CVmHxc?authuser=0&hl=id&rclk=1","Kartika Sari A","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Villa+Merah+ITB/data=!4m7!3m6!1s0x2e68e65a63f20e37:0xc4dd9fd7eb15efb0!8m2!3d-6.8944767!4d107.6086318!16s%2Fg%2F11b6cb3rj1!19sChIJNw7yY1rmaC4RsO8V69ef3cQ?authuser=0&hl=id&rclk=1","Villa Merah ITB","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Amanda+Brownies+bandung/data=!4m7!3m6!1s0x2e68e6f8904bb549:0xcf26c55a7c700f2f!8m2!3d-6.88611!4d107.61355!16s%2Fg%2F11hd8hnl40!19sChIJSbVLkPjmaC4RLw9wfFrFJs8?authuser=0&hl=id&rclk=1","Amanda Brownies bandung","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Baltos+Bandung/data=!4m7!3m6!1s0x2e68e645643f4311:0xd523e88d9b1337d4!8m2!3d-6.899035!4d107.609214!16s%2Fg%2F11x5y5ykvn!19sChIJEUM_ZEXmaC4R1DcTm43oI9U?authuser=0&hl=id&rclk=1","Baltos Bandung","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Cikapayang+Dago+1/data=!4m7!3m6!1s0x2e68e64fb06082dd:0x9ca1d4d05bac6a7e!8m2!3d-6.89902!4d107.61195!16s%2Fg%2F11hd8hq0p9!19sChIJ3YJgsE_maC4RfmqsW9DUoZw?authuser=0&hl=id&rclk=1","Cikapayang Dago 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Bandung+City+Kruzz+Bandung+Cikapayang/data=!4m7!3m6!1s0x2e68e64ff09ac7bf:0xdffbb10b7b1aa46b!8m2!3d-6.89799!4d107.6102!16s%2Fg%2F11xssbqdyq!19sChIJv8ea8E_maC4Ra6Qaewux-98?authuser=0&hl=id&rclk=1","Bandung City Kruzz Bandung Cikapayang","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Ciwalk/data=!4m7!3m6!1s0x2e68e65b81fa0ef5:0xeed313ce43d3e41a!8m2!3d-6.894884!4d107.6040749!16s%2Fg%2F11hd8hpv3v!19sChIJ9Q76gVvmaC4RGuTTQ84T0-4?authuser=0&hl=id&rclk=1","Ciwalk","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Teras+Cikapundung/data=!4m7!3m6!1s0x2e68e6f7a9432b1b:0x450eb18c921fa35b!8m2!3d-6.88469!4d107.60713!16s%2Fg%2F11c6rxpvb6!19sChIJGytDqffmaC4RW6MfkoyxDkU?authuser=0&hl=id&rclk=1","Teras Cikapundung","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Indomaret+YPAC+Bandung/data=!4m7!3m6!1s0x2e68e6457ebdc155:0x9fb02b2a8cd3a0ad!8m2!3d-6.8996499!4d107.6093219!16s%2Fg%2F11dxb2zy6t!19sChIJVcG9fkXmaC4RraDTjCorsJ8?authuser=0&hl=id&rclk=1","Indomaret YPAC Bandung","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Tutor+Time/data=!4m7!3m6!1s0x2e68e64e19d220e3:0x4ac8d2120fd17746!8m2!3d-6.89779!4d107.61436!16s%2Fg%2F11gh1nflb6!19sChIJ4yDSGU7maC4RRnfRDxLSyEo?authuser=0&hl=id&rclk=1","Tutor Time","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Sabuga+ITB+Tamansari/data=!4m7!3m6!1s0x2e68e65804b1220d:0x98c22c812c9084d7!8m2!3d-6.887669!4d107.609261!16s%2Fg%2F11dxb2vt0x!19sChIJDSKxBFjmaC4R14SQLIEswpg?authuser=0&hl=id&rclk=1","Sabuga ITB Tamansari","Perhentian bus","","Rute"
