"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Pizza+Place/data=!4m7!3m6!1s0x2e68e7a20d4debcd:0xb152f19603e9585a!8m2!3d-6.8924793!4d107.6127061!16s%2Fg%2F11fr753ztg!19sChIJzetNDaLnaC4RWljpA5bxUrE?authuser=0&hl=id&rclk=1","Pizza Place","4,7","(1.167)","·","Rp 25–50 rb","Pizza","·","Jl. Ir. H. Juanda No.113","Restoran pizza dengan pesan di konter","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHIzPjHZuJ77OuMC5PKV66y2LB6_iCXlf26ZfLSSVZN8AQ10Kmk_XSRSbvyh9cxtNNokJ4XypZnwn6mJ5wIBQacPCIcRfS03S3mLhAjp2MFbCE8RGWQ_2O2GxSFDDhprc-wD11jXQ=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""the","pizza","is big and taste pretty good.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmcjc1M3p0ZxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=JUv3aY-rEri74-EPmIPR8Qs&ei=JUv3aY-rEri74-EPmIPR8Qs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Dlamoza+Pizza+Cihampelas/data=!4m7!3m6!1s0x2e68e719bc6bd3fd:0xbf08a90f8cd6b855!8m2!3d-6.8991553!4d107.605165!16s%2Fg%2F11p0f5mv9w!19sChIJ_dNrvBnnaC4RVbjWjA-pCL8?authuser=0&hl=id&rclk=1","Dlamoza Pizza Cihampelas","4,8","(481)","·","Rp 25–50 rb","Pizza","·","Patokan: Masuk ke gang samping SPBU SHELL Cihampelas ( Gunakan mode motor pada penelurusan direksi di maps, Gg. Bongkaran No.14","","Segera tutup","· 21.00 · Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfhj3_Op8A7dvQ5KC7gZ8yjv4H2ezWNTn1FdtZvjV9AZMo8ccvLkBTTUOVXFcdRGU5KWbUKMN2vOYxVW7EVcYPUFBOsZesDlttPRYq8BgraV9d3-G-KlSehL8khIz9_8s6wU3aQE3MNejQ=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pizza","nya fresh from the oven, rasanya mantap harganya murah.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFwMGY1bXY5dxgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=JUv3aY-rEri74-EPmIPR8Qs&ei=JUv3aY-rEri74-EPmIPR8Qs&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/M%C3%A1laga+Resto/data=!4m7!3m6!1s0x2e68e7c4717ed73b:0xbc11ab76a90ed0f9!8m2!3d-6.8852669!4d107.6127399!16s%2Fg%2F11vs_mlx1h!19sChIJO9d-ccTnaC4R-dAOqXarEbw?authuser=0&hl=id&rclk=1","Málaga Resto","4,9","(1.144)","","","Restoran","·","M Building, Jl. Siliwangi Dalam No.1 Floor 1","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFuSaBZBAfa78TKRj4QGJT8bUFtS4rYriv1kvsi2xQdHnNX7PNU2t-O3P2ex6FHO-CAVQHrtsSvXJSjvIf5lrL8vC2x0qj6m5G26KioUWtBoV1N1YU9iRPDhQVSnzXkQ76Lo70AWw=w80-h96-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pizza","nya enak
Lemon tart nya  jga enak
Recommended""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2c19tbHgxaBgCOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=JUv3aY-rEri74-EPmIPR8Qs&ei=JUv3aY-rEri74-EPmIPR8Qs&fo_s=OA&opi=79508299&orderType=2&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/HIJINA+COFFEE+%26+PIZZA+ROMANA/data=!4m7!3m6!1s0x2e68e7007ef5b6e9:0x7e3d3fbb56b75af0!8m2!3d-6.9013938!4d107.6084242!16s%2Fg%2F11z10y21v_!19sChIJ6bb1fgDnaC4R8Fq3Vrs_PX4?authuser=0&hl=id&rclk=1","HIJINA COFFEE & PIZZA ROMANA","5,0","(11)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Tamansari No.15","","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpqn0tKurWnF4kedUYfluVjhemgY11pjiE3mHacZ3jM-igqcG5Ai7lHnEabypz-CGMVimLFP3pcYkwXs5lk5iRLzuyeVHddMgesPG4Tqja6IAWsZ_V6dBNuzz2FBAOqftNJfEfRRiZ9Nc=w80-h106-k-no","","","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF6MTB5MjF2XxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=JUv3aY-rEri74-EPmIPR8Qs&ei=JUv3aY-rEri74-EPmIPR8Qs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Richeese+Pizza+Dago/data=!4m7!3m6!1s0x2e68e7b92900b615:0x33751b1fed437d4f!8m2!3d-6.8926737!4d107.6135178!16s%2Fg%2F11x6wr2nxm!19sChIJFbYAKbnnaC4RT31D7R8bdTM?authuser=0&hl=id&rclk=1","Richeese Pizza Dago","4,7","(1.743)","","","Pizza","·","Jl. Ir. H. Juanda No.106","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEi5DmC4WHYWs2pa2gxU8SMqUOS-Yrwe8PTIk0O5l1F7Afz2p0Rym6xC4ZXzDgIDAtHDVyI9MmZvruROuTec7F6Ka6zE_fhsen85ZyhAbZKNXC0nBZ3vz6VzIrZdh940cFsgmODw4w9oTLR=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pizza","nya enak karena ada saus keju dan hot lava khas richeese.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4NndyMm54bRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=JUv3aY-rEri74-EPmIPR8Qs&ei=JUv3aY-rEri74-EPmIPR8Qs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Park+Slope+Pizzeria/data=!4m7!3m6!1s0x2e68e798ec4c178b:0xa4b750be71f9d48d!8m2!3d-6.895633!4d107.603058!16s%2Fg%2F11fm5x0wyy!19sChIJixdM7JjnaC4RjdT5cb5Qt6Q?authuser=0&hl=id&rclk=1","Park Slope Pizzeria","4,9","(1.370)","·","Rp 50–75 rb","Pizza","·","·","Jl. Prof. Eyckman No.12b","Segera tutup","· 21.00 · Buka Sen pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHuZxoqDNdcdQLpEq09FvG6KOU9G6wxT0w6GwkdclDRCtwDxB8xsXUgQLPd9TI3I6tnmZOtryVA9BXT8ypHAMURQPt_k6ZKq2HLA5nuKQRaffqMC0q9c9xwMuZuDsDSmaOzOnI2sQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best, ambiencenya enak, pizzanya moist on top dan crispy on the bottom.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmbTV4MHd5eRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=JUv3aY-rEri74-EPmIPR8Qs&ei=JUv3aY-rEri74-EPmIPR8Qs&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/RICI+by+Matoa+Group/data=!4m7!3m6!1s0x2e68e7799b835831:0x6b0f4bd5dd6cf517!8m2!3d-6.8858791!4d107.6128539!16s%2Fg%2F11zksv5vhp!19sChIJMViDm3nnaC4RF_Vs3dVLD2s?authuser=0&hl=id&rclk=1","RICI by Matoa Group","4,9","(439)","·","Rp 50–75 rb","Kedai Kopi","·","Jl. Sumur Bandung No.14","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFpYCaWgRP6WQJGgeTo6rhXzzbXnWVHUqwRLuKv2LXXAw0nU8q_FPTVyDF6lmtSxmhjeozuZN2QMMvdbwXbjnn82zAxKuNfe09xZoSjFq1OrCo0xHXvK3skM-6GXTYk-o9TPeSEi9OgMYGp=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Minumannya yang sunkis osmantus enak","Pizza","nya enak
Aglio Olio enak""","","",""
"https://www.google.com/maps/place/Waldemar+Caf%C3%A9+St.+Borromeus/data=!4m7!3m6!1s0x2e68e72c83512369:0x79de6903500b40d3!8m2!3d-6.8939506!4d107.6133731!16s%2Fg%2F11ltzxtghk!19sChIJaSNRgyznaC4R00ALUANp3nk?authuser=0&hl=id&rclk=1","Waldemar Café St. Borromeus","4,9","(177)","·","Rp 25–50 rb","Kafe","·","Jl. Ir. H. Juanda No.100","","Segera tutup","· 20.30 · Buka Sen pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGv02A_v90EP_CbiWcWRNQlFhE793ei0E7UUB6Oi8v7q1AooYcssGgALE9pmNXtzsnqVEXIhQ-ow0QmoSD7r2bPe06ia6gIBtKMezQVbEpYsmpexpmySPmYUceugA8FjIgQ57jbGLr4Q30=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tersedia aneka minuman kopi, ada","pizza","juga.""","","",""
