"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Padang+Merdeka+Bandung/data=!4m7!3m6!1s0x2e68e7865046e4fd:0x5ac106a6b919e19f!8m2!3d-6.9002908!4d107.6139993!16s%2Fg%2F11k7cww9bk!19sChIJ_eRGUIbnaC4Rn-EZuaYGwVo?authuser=0&hl=id&rclk=1","Padang Merdeka Bandung","4,5","(1.648)","·","$$","Padang","·","","·","Jl. Diponegoro Kel No.7","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHDkd5xfAULARgBAICPT0FjkoS-UjTRr9eL78FwhzYms-fRLccU90_hvTp6nscQWAxIDlj05naeXZqFACIvpgEMlvH7HsIMSb1GwBCkZuz8uzPVyXGt36ptqrWeQsVPIwatG6B_=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""enak si makanan padangnya, ambience nya mantap dan harganya pun mantap.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFrN2N3dzliaxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=xEv3ad_sGZuZ4-EPq5PYiQg&ei=xEv3ad_sGZuZ4-EPq5PYiQg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/PADANG+KEREN/data=!4m7!3m6!1s0x2e68e70039502ebb:0xfd78c116cb3394a!8m2!3d-6.8983648!4d107.6160146!16s%2Fg%2F11xs4kr0tq!19sChIJuy5QOQDnaC4RSjmzbBGM1w8?authuser=0&hl=id&rclk=1","PADANG KEREN","4,7","(312)","·","Rp 25–50 rb","Indonesia","·","","Jl. H. Hasan No.12","","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxFVJoUZhdOFkSsR-q6PeTKWNWZ87Tg2DxNfesmT4tHAgPMUsTiMS7cIBxj3PeJmH-bmv3XBp7ruOrLPndr21TTK-JxiaYuIZw4aYVbQyvZdQs5Z67Bk0v8N8_sphNYSu90WDEnxUJ2K2K=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rendangnya juara banget sih 😭✨ bumbunya medok, dagingnya empuk juga.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4czRrcjB0cRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=xEv3ad_sGZuZ4-EPq5PYiQg&ei=xEv3ad_sGZuZ4-EPq5PYiQg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Singgalang+Jaya/data=!4m7!3m6!1s0x2e68e6f927efd327:0x975efd96906c2f51!8m2!3d-6.8842122!4d107.6147952!16s%2Fg%2F11bbx098sn!19sChIJJ9PvJ_nmaC4RUS9skJb9Xpc?authuser=0&hl=id&rclk=1","Singgalang Jaya","4,6","(263)","·","Rp 1–25.000","Padang","·","","·","Jl. Tubagus Ismail No.7A","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEN14_j3zfLWnMBdgUyNtBRIoHaR0fmSPUJfc8iNUYoRezcvW7YEoRzd0LUW_M0eSCoagekyHmmXQAcBIzAU0fv1haD4LOcwLihlwbIzvKqkPSzuOUu841uD4nmLQ4i21XK7p0d1Q=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""rendang nya mantep banget kikil empuk harganya murah banget top pokonya""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiYngwOThzbhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=xEv3ad_sGZuZ4-EPq5PYiQg&ei=xEv3ad_sGZuZ4-EPq5PYiQg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Pagi+Sero+%28Masakan+Padang%29/data=!4m7!3m6!1s0x2e68e7462787e33b:0xe794d76b1723154f!8m2!3d-6.8846657!4d107.6149984!16s%2Fg%2F11y430nhjv!19sChIJO-OHJ0bnaC4RTxUjF2vXlOc?authuser=0&hl=id&rclk=1","Pagi Sero (Masakan Padang)","4,9","(100)","·","Rp 1–25.000","Padang","·","","Jl. Tubagus Ismail No.9","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGl0tCw9zcocp5KZMP4SZas4eYkCx3WUo2z1Q-IIsHGx06pZUcnhhxxMMpDV0rf2VLKPEyqdCmDyjJ541BdbD0jR7D1kGZM_ziKiMu8XC3thGytTfW8b7ETOQ6gZKokB8Mb3hbkwg=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak nasi padangnya
rendang juara, porsi pas, harga terjangkauu""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5NDMwbmhqdhgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=xEv3ad_sGZuZ4-EPq5PYiQg&ei=xEv3ad_sGZuZ4-EPq5PYiQg&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Restoran+Paduko/data=!4m7!3m6!1s0x2e68e7e5870f0bd7:0x92bf73841a3cf476!8m2!3d-6.8847957!4d107.6135925!16s%2Fg%2F11xvxp6zr7!19sChIJ1wsPh-XnaC4RdvQ8GoRzv5I?authuser=0&hl=id&rclk=1","Restoran Paduko","4,7","(63)","·","Rp 25–50 rb","Padang","·","","Jl. Ir. H. Juanda No.183","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHsdBwTh9pKuFoAijGKmNh1DxiXBb5zsilLVejZC4Rcwau_Sx_MUofYQB41woujCud7DfD8swxdN6DJXXBXADrsipJPorlrPDkwjtJ9GvdYY1o8KFEuvUeETaGZCy5wECKqlXqKisXkkg_I=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4dnhwNnpyNxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=xEv3ad_sGZuZ4-EPq5PYiQg&ei=xEv3ad_sGZuZ4-EPq5PYiQg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","Rumah makan padang","bintang 5 harga kaki 5"""
"https://www.google.com/maps/place/Rumah+Makan+Pagi+Sero+%28+Khas+Bukittinggi%29/data=!4m7!3m6!1s0x2e68e6f92ff48053:0x3cac1fa1a52d27b2!8m2!3d-6.883699!4d107.6148448!16s%2Fg%2F1pzspnrnm!19sChIJU4D0L_nmaC4RsictpaEfrDw?authuser=0&hl=id&rclk=1","Rumah Makan Pagi Sero ( Khas Bukittinggi)","4,3","(942)","·","Rp 25–50 rb","Padang","·","","·","Jl. Tubagus Ismail No.1","Segera tutup","· 21.00 · Buka Sen pukul 09.00","https://lh3.googleusercontent.com/gps-proxy/ALd4DhFGji_2NO5eGdhKww_19MZkSABXxYJzrMjcbt0dRF6H9qPkKioaaZ5-GXl8z-cSIrIXlLmDI5ASZ-bTocrzll_bUfkV8KLTAgfgNeCAE7zAWjzqqPh5-KOh-pHfBISFaaLCUE92jPo7O2ixOlu1PVREydEmN9fCQnfOMTjpCRazGgHVMtYO0Rqr7-mRi4kRApXbpw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi","","","","padang","lama banget dari jaman kuliah, rasanya masih sama enak."""
"https://www.google.com/maps/place/Rajo+Minang/data=!4m7!3m6!1s0x2e68e644a85d25ab:0x65759ace72a6268f!8m2!3d-6.898128!4d107.6039119!16s%2Fg%2F11b60szgtj!19sChIJqyVdqETmaC4Rjyamcs6adWU?authuser=0&hl=id&rclk=1","Rajo Minang","4,5","(124)","·","Rp 25–50 rb","Padang","·","","Jl. Cihampelas No.105","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGjNGMoU5nkqsTrIsdJz7y9H91poudFhcCxOC_CD2lYwKbaQykhvjSUGyIZIurTPoqGLL7_MRj5RT6sNmhrvQxDdMRuehBpNx3ZqjBDW_YDcwwDrIDZyEDyqi8C341JSgF3oZQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sayurnya rame banget, cukup susah nemu RM","","","","padang","di range harga serupa."""
"https://www.google.com/maps/place/Rumah+Makan+Boga+Raso/data=!4m7!3m6!1s0x2e68e6f8afcf9119:0xb4013ccfa00f3009!8m2!3d-6.8859411!4d107.6148699!16s%2Fg%2F1pzxqtbh3!19sChIJGZHPr_jmaC4RCTAPoM88AbQ?authuser=0&hl=id&rclk=1","Rumah Makan Boga Raso","4,5","(176)","·","Rp 1–25.000","Padang","·","","·","Jl. Dipati Ukur No.122C","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEB9hlS832eeeErvCP9JVR1FjZPyNsSfWwVhTltMyzOFgyQOjGL6WK262XRpPgSLSgDNUJYcBRgkiE9fAgIuheZG3a0u4YY8Pir3APYXnkekU10dk_kt5o_vzKYZfMtJ5PZ35lE=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masakan","","","","Padang","yang enak dengan harga bersahabat."""
