"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 6"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/FTL+Gym+Dago+Bandung/data=!4m7!3m6!1s0x2e68e710561cf6c7:0x4d5ccb2b18feb4f8!8m2!3d-6.8888649!4d107.6130779!16s%2Fg%2F11w26d0_9w!19sChIJx_YcVhDnaC4R-LT-GCvLXE0?authuser=0&hl=id&rclk=1","FTL Gym Dago Bandung","4,5","(449)","Pusat kebugaran","·","","·","Jl. Ir. H. Juanda No.151","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHkdBJ1IkCaxA3FeMYgSER1_T5RUTp3zDNGdNxVaMwxkLF-Wd0B3dJdCs8zz5LEqup6Lvbfn8nPJRhWbl0xI99ZcaVRBGQ3v2E7CVsShUQ82MqHkiFL6FOz2WcCbXpuMgZsu_04wA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","tempat gym","yang super kumplit, seru juga, nice place, betah kalo disini""",""
"https://www.google.com/maps/place/Rebel+Gym/data=!4m7!3m6!1s0x2e68e651bdc77f65:0xdb414a480f93851c!8m2!3d-6.896556!4d107.6142787!16s%2Fg%2F11gzd8tm8!19sChIJZX_HvVHmaC4RHIWTD0hKQds?authuser=0&hl=id&rclk=1","Rebel Gym","4,4","(272)","Tempat Fitness","·","","·","Jl. Kyai Gede Utama No.14","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYlanSh691HSupID0fvyqPSsXMs7vKYCMvE-gcgf0gADrpBdw_d3wiyPSfov2ydOvlq522wqmxepSDWpsNWQtmOxwhBffqVA3t9FOa39HuQD-wE_RiFDe-9yT41ELzLWXCLLk3=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat Gym","Bagus""","· Buka Sen pukul 07.00"
"https://www.google.com/maps/place/SOSI+Sport+Club+1+Baltos/data=!4m7!3m6!1s0x2e68e64569c1a57d:0x626a6c1492b84233!8m2!3d-6.8987236!4d107.6086867!16s%2Fg%2F11bbx0cvj8!19sChIJfaXBaUXmaC4RM0K4khRsamI?authuser=0&hl=id&rclk=1","SOSI Sport Club 1 Baltos","4,7","(272)","Tempat Fitness","·","","Balubur Town Square, Jl. Tamansari No.3 Lt 3","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAERER2YHRFSxFcT7nZ2wwsftpx1aW29SaQuFDV3VjyqeQGzi3CXyPR1QfkcwcgGiQ4ld-5TC50oaJE5eiiedckqkDWlWjoFLtOZIlneRxpGWFQ9oYKRNUtJrS4VESwHx7l3nvJ9=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","gym","nya nyaman, murah, alat alat lengkap bersih""","· Buka Sen pukul 07.00"
"https://www.google.com/maps/place/ESA+Athletica/data=!4m7!3m6!1s0x2e68e717ad1f34cf:0x593ab8ebeee9b911!8m2!3d-6.8920051!4d107.6130009!16s%2Fg%2F11yvg7_3v7!19sChIJzzQfrRfnaC4REbnp7uu4Olk?authuser=0&hl=id&rclk=1","ESA Athletica","5,0","(25)","Pusat kebugaran","·","","Jl. Ir. H. Juanda No.119A","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNZlZZReRQ1TS_zjM7D_hPt_Pw3LPmCK2oY6s6M75yKHN3rHRS5yg9pJeoMwTOb1LFkINZDd35bdxWlcHqxmHUVoG6_qWevwZ3CpfQqOPRTxsrtlXUKUARbTOtCLlwX2BC-K_otrznrZhy=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Coachnya friendly dan enak ng coachingnya""","","",""
"https://www.google.com/maps/place/79+Gym+Fitness+Center/data=!4m7!3m6!1s0x2e68e65b0c968c49:0x80074abfea171105!8m2!3d-6.8953791!4d107.6053138!16s%2Fg%2F11j7xb5wsy!19sChIJSYyWDFvmaC4RBREX6r9KB4A?authuser=0&hl=id&rclk=1","79 Gym Fitness Center","4,5","(48)","Tempat Fitness","·","","·","Jl. Pelesiran No.79","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE_4kW5onuJiP1Wnghcyb20J5kWZjlLnD39J-yf34zQmpbOUDX1RBCw40RsTZ6bv2AHeEcUomdsRMY3_-eg0ZfHy5_3hldrMCc3_FEYDk56pp8CQp8P6EWKuyKjKXXCXXl7Bp87=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","ramah di kantong tapi  fasilitas oke banget, owner nya juga ramah pol""","· Buka Sen pukul 09.00"
"https://www.google.com/maps/place/Osbond+Gym+Ciwalk+Corbuzier+Series/data=!4m7!3m6!1s0x2e68e70059195b6d:0x4303bed7ef78bcd!8m2!3d-6.8925786!4d107.6060273!16s%2Fg%2F11z361b1m9!19sChIJbVsZWQDnaC4RzYv3fu07MAQ?authuser=0&hl=id&rclk=1","Osbond Gym Ciwalk Corbuzier Series","4,6","(9)","Pusat kebugaran","·","","Cihampelas Walk, Jl. Cihampelas No.160 Lt. 1","","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvCZN4t9zFHnGoLpV_q_ef_31X71kSuc6WS9Q5lzbyy9jvTCnPHEVAyi79T1m1qDuLxh0vP1EucfWoOa07acKRtBTsWjxgfs24cREk4pjKtsKarKD8bCXee_y261hqROaZGCZeIbXGb6uB=w141-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""- Ada sauna (tapi kadang mati padahal baru buka), Steam, Ice bath.""","","","· 21.00 · Buka Sen pukul 06.00"
"https://www.google.com/maps/place/Gold%27s+Gym+-+Cihampelas+Walk/data=!4m7!3m6!1s0x2e68e65bbfbf3327:0xb0b20f4dec020d00!8m2!3d-6.8930491!4d107.6055772!16s%2Fg%2F1pp2twc3c!19sChIJJzO_v1vmaC4RAA0C7E0PsrA?authuser=0&hl=id&rclk=1","Gold's Gym - Cihampelas Walk","4,5","(364)","Tempat Fitness","·","","·","Jl. Cihampelas Walk Jl. Cihampelas No.160 Lantai 1","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEscTLu8kqbblTtXoVp-q-j9pkUMbnglMn5fd2K_vf3kyuSwJu5GPKAj93Yvtx7oCx-4s5I31mpGOrQ_Gtp5ygqLUxbJHIvfRM-6iPgMa2R038cvHHWsjL8WRxBZa3zO3GExqsPpQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recommended lah buat yang suka weight training dan ikut kelas.""","","","· Tutup pukul 22.00"
"https://www.google.com/maps/place/Saraga+ITB+Fitness/data=!4m7!3m6!1s0x2e68e6f8111aa789:0x4b0f1e9fdc305491!8m2!3d-6.8858957!4d107.6107082!16s%2Fg%2F11dxf0n9jc!19sChIJiacaEfjmaC4RkVQw3J8eD0s?authuser=0&hl=id&rclk=1","Saraga ITB Fitness","3,9","(116)","Tempat Fitness","·","","·","Jl. Tamansari No.90","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFPsnUD20gNwTo_T67OdpvDRz-mO9mrty4jdD9EoPlX3FJGOnmINEheP37dfLCVaoE0M9q7NMeCzqInFIlkq4bDoKo_xmn4QjscD8lx2UGBaWWLrI1kXZD_SdTCi03i9d3H9AEygw=w199-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""alat2","Fitness","nya komplit n tdk terlalu ramai jadi enak santai""","· Buka Sen pukul 07.00"
