"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","AJB7ye","AJB7ye 2"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Ice+Cream+Bandoeng+Van+Java/data=!4m7!3m6!1s0x2e68e64f9bf32183:0x82d6ba167bffbd5!8m2!3d-6.8994813!4d107.6107041!16s%2Fg%2F11b67jxswv!19sChIJgyHzm0_maC4R1fu_Z6FrLQg?authuser=0&hl=id&rclk=1","Ice Cream Bandoeng Van Java","4,4","(57)","Es Krim","·","Jl. Sulanjana No.30","Segera tutup","· 21.00 · Buka Sen pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF9wg3Yb8HnUn3zuZbWOYoO_bt1vm6nzOV7Z2NeC2bl9R4IS_GSVmkHkrKTqqjg_2Htw0e66k-f5eFU3PV78SCXgLP-ZaxmiLSfXpMsAmAqG79auwcpRGbNRaO4Do42McO150c=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk penutup, jelas","ice cream","atau banyak yang hangat""","","","","","","",""
"https://www.google.com/maps/place/MIXUE+Dipatiukur/data=!4m7!3m6!1s0x2e68e7007ce77509:0xe767302cf208d158!8m2!3d-6.8877761!4d107.6154758!16s%2Fg%2F11mkkr8yys!19sChIJCXXnfADnaC4RWNEI8iwwZ-c?authuser=0&hl=id&rclk=1","MIXUE Dipatiukur","4,9","(192)","Es Krim","·","Jl. Dipati Ukur No.96, Rt.002/013, d Jl. Dipati Ukur No.96","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHl53xDBW5d8uR3uONTE7QBSd8dWBzuM9Z-Gu-wNzcfZ2nGlZBx1393ehaqAXKYFnaP8rtlt9msW5mxxeObxqGkzieqZM-mdIpdCuEGBypzpHKHZ4qmmo71g4J44f9WqU48pjkidrTYxjpV=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Beli","es krim",", bonus kebahagiaan.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFta2tyOHl5cxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Wkz3aeaeON2Z4-EP0bGEmA4&ei=Wkz3aeaeON2Z4-EP0bGEmA4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Es+Krim+Tunggal/data=!4m7!3m6!1s0x2e68e7a1961dcb11:0x40798664085de0b9!8m2!3d-6.8934693!4d107.6049531!16s%2Fg%2F11vpcddvc9!19sChIJEcsdlqHnaC4RueBdCGSGeUA?authuser=0&hl=id&rclk=1","Es Krim Tunggal","4,9","(41)","Es Krim","·","Jl. Cihampelas No.160, Cipaganti, Kecamatan Coblong Ciwalk GF-17, Lantai Ground Floor Extension","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEvP_7XcGH8IQJi_MftzdZbse_G0wVqsSQ1MaSFpwA18mEXo8fFQPEi9D94a5kg9KL1cnyXPd7jVSuapxXGWVzBq16fkPb3eKaQVGl_nh6Tv9DvE-IpVtcDbmM3nQKYZkXrlxoM5w=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""rasanya unikk beda dengan","es krim","lain nya!!""","","","","","","",""
"https://www.google.com/maps/place/Tianlala+Tamansari/data=!4m7!3m6!1s0x2e68e70018338ab3:0x9e314478c8bbf585!8m2!3d-6.901355!4d107.6084228!16s%2Fg%2F11zkrdd99p!19sChIJs4ozGADnaC4RhfW7yHhEMZ4?authuser=0&hl=id&rclk=1","Tianlala Tamansari","4,9","(39)","Es Krim","·","Jl. Tamansari No.15","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuOlwibJtlOGvVztN_LSBm0uI_bHWXYqmn481FjMRcGExJprKwdIXrXxhRaxS1vNZdb81Wex-G9OimqWRn-IqEFzqcjF9Hwzi3_-ABE4EGFLfwX8YpgembnotjFEI1QFuJ95OsY3al7een=w104-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","ice","creamnyaa mantaapo jossss!!!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF6a3JkZDk5cBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Wkz3aeaeON2Z4-EP0bGEmA4&ei=Wkz3aeaeON2Z4-EP0bGEmA4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Tianlala+Ciwalk/data=!4m7!3m6!1s0x2e68e7e87bdd0d61:0x2de498f9b65f25d1!8m2!3d-6.8944374!4d107.6047633!16s%2Fg%2F11x__95l7l!19sChIJYQ3de-jnaC4R0SVftvmY5C0?authuser=0&hl=id&rclk=1","Tianlala Ciwalk","4,8","(114)","Es Krim","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1tVFI7LlpFRYn3SobE7OGdf8tj3bG5rkR18bsGsCXxNB6FndFdTbUwd4GORMr-r5GeMnCRUmwthyBYW-QD7lRlNqQefRkoQCmR2ZSZN_-HDccGX1E37iBwr3pMkPr_euPJzXJ0m5yUmfw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanan nyaa baik dan ramah
buat","es","krimnya enakk banget 😍😍""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4X185NWw3bBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Wkz3aeaeON2Z4-EP0bGEmA4&ei=Wkz3aeaeON2Z4-EP0bGEmA4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Cihampelas Walk. Jalan Cihampelas. 160, unit K-16, Lt. 1","",""
"https://www.google.com/maps/place/Mangkok+Manis/data=!4m7!3m6!1s0x2e68e644a71f13f7:0xbf82693e8ab25b50!8m2!3d-6.8989117!4d107.6037978!16s%2Fg%2F11b60sf9jj!19sChIJ9xMfp0TmaC4RUFuyij5pgr8?authuser=0&hl=id&rclk=1","Mangkok Manis","4,5","(3.846)","Kedai Hidangan Penutup","·","Jl. Cihampelas No.95","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDHYYahQO-uWze-4dToJAk1uswbNzl56LkR7Vixgs_e1RCstkOX-yFvkFH0DFP1xm6G5iOtCksvZeFVg488EE5wLUXPpn81hagFQuJml6KfhyS8Vsj_Zk6HbpK55p8iCXUXRb4xQ=w138-h92-k-no","https://www.gstatic.com/local/justifications/menu_highlight_24pd_G650.png","Menu yang ditandai:","es krim","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNjBzZjlqahgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Wkz3aeaeON2Z4-EP0bGEmA4&ei=Wkz3aeaeON2Z4-EP0bGEmA4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Kafe simpel makanan penutup & rumahan","·","$$"
"https://www.google.com/maps/place/Salmanis/data=!4m7!3m6!1s0x2e68e7391e13481b:0x2c4a18cd1ae93caa!8m2!3d-6.8942058!4d107.610872!16s%2Fg%2F11tjl2ptcr!19sChIJG0gTHjnnaC4RqjzpGs0YSiw?authuser=0&hl=id&rclk=1","Salmanis","5,0","(49)","Es Krim","·","Kantin Salman, Jl. Gelap Nyawang No.4","Tutup","· Buka Sen pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFUOZkJbAO-Brkee339ejQNNbLp2TJfIcWHXeqUVzeOM67YQE1dBCqKXGEBaJzzoFGa_dHJHKlWPWQaPukB49JtADUHgLFGzoQXlmbXJyHSX3LzQ00G0m4-3yUtvdfOmA0I_z1Tg=w80-h177-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es krim","nya enak, dan harga murah bangeettt.""","","","","","","",""
"https://www.google.com/maps/place/Momoyo+Dago/data=!4m7!3m6!1s0x2e68e7b969ad8061:0x5aa0d7f6e5139a4c!8m2!3d-6.8830206!4d107.6149948!16s%2Fg%2F11vc2g4jfw!19sChIJYYCtabnnaC4RTJoT5fbXoFo?authuser=0&hl=id&rclk=1","Momoyo Dago","4,9","(1.794)","Es Krim","·","Jl. Ir. H. Juanda No.244","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG30DYze14K0rwe4P63J98S8qioxVvPB_jsfUY7LhKyuImKv42a956RyaFDkZck29iE6Cl-2zAY6YSMQ1sHASlzPmVtrbjHe1PN7HOdpoMgld-wO-D3kIA8dcEfWb2Z9oICiz2NUYl6Hyzh=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat beli","es krim","yang murah tapi rasanya enak.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2YzJnNGpmdxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Wkz3aeaeON2Z4-EP0bGEmA4&ei=Wkz3aeaeON2Z4-EP0bGEmA4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
