"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 6","M4A5Cf"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Warteg+Aero/data=!4m7!3m6!1s0x2e68e6f92645939b:0x8f6ab3f050aecee0!8m2!3d-6.8840508!4d107.614743!16s%2Fg%2F11bbw_hkj6!19sChIJm5NFJvnmaC4R4M6uUPCzao8?authuser=0&hl=id&rclk=1","Warteg Aero","4,4","(542)","·","Rp 1–25.000","Tegal","·","","·","Jl. Tubagus Ismail No.2 C","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGM9WXSfWeJGhBWqZrwCBzkW9NUfNL-VPi-wZjJeg-4iWa537qBeAL6koKawW4oRFwqoqQLXWp3npLJh_MDCOCdKy9NnBuKPe_vvlBpKLowK7QahyEc6ttnGzS5EuCYuZzL2xMS_A=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","warteg","murah meriah dengan menu yang melimpah,rasanya standar warteg""","",""
"https://www.google.com/maps/place/Warteg+Wisata+jaya/data=!4m7!3m6!1s0x2e68e625da9e3e6b:0x93a44a8df15a11dc!8m2!3d-6.8955676!4d107.6036489!16s%2Fg%2F11c71gfz6f!19sChIJaz6e2iXmaC4R3BFa8Y1KpJM?authuser=0&hl=id&rclk=1","Warteg Wisata jaya","4,7","(50)","·","Rp 1–25.000","Tegal","·","","·","Jl. Prof. Eyckman No.2a","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4Sd5DugySABLXXv_EOsgplu3dDNW-ySHWtref_8o7wf3fYsVzsnUZnwo-MZx07wc6tUYkJlRzD6eI8N23HaiiTYaBpyUchEivrBZy7frnPF5OWGEsWJ_l5p48U1at5QZM8pkv=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan enak dengan harga yg terjangkau.""","","","",""
"https://www.google.com/maps/place/WARTEG+SIMPANG+DAGO/data=!4m7!3m6!1s0x2e68e7abeacf6e97:0x78b19f3f71ad50d!8m2!3d-6.8851702!4d107.6140136!16s%2Fg%2F11h9l84vqf!19sChIJl27P6qvnaC4RDdUa9_MZiwc?authuser=0&hl=id&rclk=1","WARTEG SIMPANG DAGO","4,2","(70)","·","Rp 1–25.000","Tegal","·","","·","Jl. Ir. H. Juanda No.172","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFtVUZi813406KW3x6ctSjlp8wIND3n-nHXTgfQo4g16Glh8T2y_9iMUoSCTL_gPbnR45-zgUdSgXkzH6fHn9w1xOrZHwP1KKpA8ucovkwA_OgTv0H00HB-sc3IVp86AGHC_7k=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ke","warteg","tuh mau makan murah tpi mesti bayar parkir motor lagi 😌""","· Tutup pukul 00.00",""
"https://www.google.com/maps/place/Kantin+Citra+Bahari/data=!4m7!3m6!1s0x2e68e6f8d827238b:0x48f54c76a45eb3c3!8m2!3d-6.8842133!4d107.615012!16s%2Fg%2F11bbw_sw2v!19sChIJiyMn2PjmaC4Rw7NepHZM9Ug?authuser=0&hl=id&rclk=1","Kantin Citra Bahari","4,1","(162)","·","Rp 1–25.000","Prasmanan","·","","Jl. Tubagus Ismail No.7","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHsQNN37GMXOYof5xtiMKYZMFtnRklnBQM-9Bo2yKI_xdGbwjr98IBAiNewKWIPLfOK-8toNfnqF5WhARimGpZXVaL1vvBMkne9145hwF9gWMBhTTpjng30xjPTSEwnUvxfxLs=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Standar lah untuk","warteg",".""","",""
"https://www.google.com/maps/place/Warteg+Kantin+Tegal+Abadi/data=!4m7!3m6!1s0x2e68e6f6eea26317:0xfc5a39229528fc99!8m2!3d-6.8836718!4d107.6055884!16s%2Fg%2F11cs64lbg1!19sChIJF2Oi7vbmaC4RmfwolSI5Wvw?authuser=0&hl=id&rclk=1","Warteg Kantin Tegal Abadi","4,6","(20)","·","Rp 1–25.000","Tegal","·","","·","Jl. Siliwangi No.61","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-BxYDZdO4gso8NAXckiWJsl7L_dk0sTTQYyr8EVknwY07VLQxsLQxh5rUGrybzvZrVPGOmomn6azXMyqusTasONm-5eqjVUk2aeaXqepDPVBAvuZkBlcdi95U29kuRfYKOj8APGY-ikQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","kok ada tukang parkir nya wkwk 😂""","· Tutup pukul 01.00",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Tubagus+Ismail/data=!4m7!3m6!1s0x2e68e7091faf3235:0xfbb4bc2724029062!8m2!3d-6.8836905!4d107.6146455!16s%2Fg%2F11n4w8ss3q!19sChIJNTKvHwnnaC4RYpACJCe8tPs?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Tubagus Ismail","","","","","Tegal","·","","Jl. Tubagus Ismail No.2","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH36EvIHDd_RSyT-uJx2jtQGtIC4CszYH5VS7nh21Cqo8xzoj6EnLPCb0C2ik5HwHkFUpp_FyzQefJGct4qe3b0bzqlwe1zaVqI3V6lRYhSzr0ajV7mDoOCU_PTctQEasrg8c14beMHKV8U=w80-h106-k-no","","","","","· Tutup pukul 22.00",""
"https://www.google.com/maps/place/WarTeg/data=!4m7!3m6!1s0x2e68e658ad159673:0x8f3934996768e8fd!8m2!3d-6.8878018!4d107.6037203!16s%2Fg%2F11gbkrvkgb!19sChIJc5YVrVjmaC4R_ehoZ5k0OY8?authuser=0&hl=id&rclk=1","WarTeg","4,7","(18)","·","Rp 1–25.000","Tegal","·","","·","Jl. Lamping No.2","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGrxR2iSEsjH3Iq2YStQ0rBDJn7OxewXh-PB-GQM1LIUYSTASX1t1JQxPZ-53Ls8H9eoI1FwWDiLtHzcXvgKRndRUSj0ZFHnC4SimpZFH3goE0YM00ddRYeTi-tRxs8eRmPwSIy=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","yang bersih dengan menu yang enak rasanya dan harga bersahabat.""","· Tutup pukul 22.00",""
"https://www.google.com/maps/place/Dalaraos/data=!4m7!3m6!1s0x2e68e6f6f8f0d98f:0xd3b1c924f05aa346!8m2!3d-6.8845234!4d107.6062175!16s%2Fg%2F11b6dsry08!19sChIJj9nw-PbmaC4RRqNa8CTJsdM?authuser=0&hl=id&rclk=1","Dalaraos","4,7","(1.866)","·","Rp 25–50 rb","Restoran","·","","·","Jl. Siliwangi No.43","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEilz3BVdmqA4Pa-99ixOvXXviTOE8ME6eg0f1KDYTgKr0u9OFPtuRvuZ9w3oDmtOcuF5f0j05HTviwVkh8kG5INi8q3RLRdsxT13s6DE_Y2-nuPU8XwxUdZn9R5pIHm3izpDT6=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk harga agak mahal ya, jangan disamain sama","warteg","lainnya 😄""","· Buka Sen pukul 07.00",""
